	REAGENT_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ANTIBODY_REGISTRY_ID	CATALOG_NUMBER	CLONE_NAME	CONTACT	DESCRIPTION	IS_SET	LOT_NUMBER	MANUFACTURER	NAME	REPORTER_NAME	TYPE	UPLOAD_TICKET_NUMBER	USER_DEFINED_ID	WEBLINK	WORKSPACE_ID	DATE_CREATED	CREATED_BY	DATE_LAST_UPDATED	LAST_UPDATED_BY
0	ESR29838				Full Length Spike Trimer			Full Length Spike Trimer	N		Full Length Spike Trimer	Full Length Spike Trimer		Other	aleliu_20220817_33720	PMID35504289_reagentID-01		6661	2022-08-17 14:23:10.0	aleliu	2022-08-17 14:23:10.0	aleliu
1	ESR29839				na			Reagents not curated for this experiment	N		na	Reagents not curated		Other	aleliu_20220817_33720	PMID35504289_reagents_not_curated		6661	2022-08-17 14:23:10.0	aleliu	2022-08-17 14:23:10.0	aleliu
2	ESR30061				Wild type Spike I Wild type RBD I Omicron RBD			Wild type Spike I Wild type RBD I Omicron RBD	N		Wild type Spike I Wild type RBD I Omicron RBD	Wild type Spike I Wild type RBD I Omicron RBD		Other	aleliu_20220822_33923	PMID35455241_reagentID-01		6661	2022-08-22 10:05:24.0	aleliu	2022-08-22 10:05:24.0	aleliu
3	ESR30062				Wild type Spike I Wild type RBD I Omicron RBD			Wild type Spike I Wild type RBD I Omicron RBD	N		Wild type Spike I Wild type RBD I Omicron RBD	Wild type Spike I Wild type RBD I Omicron RBD		Other	aleliu_20220822_33923	PMID35455241_reagentID-02		6661	2022-08-22 10:05:24.0	aleliu	2022-08-22 10:05:24.0	aleliu
4	ESR30063				Wild type Spike I Wild type RBD I Omicron RBD			Wild type Spike I Wild type RBD I Omicron RBD	N		Wild type Spike I Wild type RBD I Omicron RBD	Wild type Spike I Wild type RBD I Omicron RBD		Other	aleliu_20220822_33923	PMID35455241_reagentID-03		6661	2022-08-22 10:05:24.0	aleliu	2022-08-22 10:05:24.0	aleliu
5	ESR30064				Wild type Spike I Wild type RBD I Omicron RBD			Wild type Spike I Wild type RBD I Omicron RBD	N		Wild type Spike I Wild type RBD I Omicron RBD	Wild type Spike I Wild type RBD I Omicron RBD		Other	aleliu_20220822_33923	PMID35455241_reagentID-04		6661	2022-08-22 10:05:24.0	aleliu	2022-08-22 10:05:24.0	aleliu
6	ESR30065				Wild type Spike I Wild type RBD I Omicron RBD			Wild type Spike I Wild type RBD I Omicron RBD	N		Wild type Spike I Wild type RBD I Omicron RBD	Wild type Spike I Wild type RBD I Omicron RBD		Other	aleliu_20220822_33923	PMID35455241_reagentID-05		6661	2022-08-22 10:05:24.0	aleliu	2022-08-22 10:05:24.0	aleliu
7	ESR30090								N					Other	aleliu_20220822_33978	PMID35427477_reagentID-01		6661	2022-08-22 13:50:19.0	aleliu	2022-08-22 13:50:19.0	aleliu
8	ESR30086				na			Reagents not curated for this experiment	N		na	Reagents not curated		Other	aleliu_20220822_33958	PMID33440148_reagents_not_curated		6661	2022-08-22 12:45:20.0	aleliu	2022-08-22 12:45:20.0	aleliu
9	ESR30087				Receptor Binding Domain (RBD) | S2			Receptor Binding Domain (RBD) | S2	N		Receptor Binding Domain (RBD) | S2	Receptor Binding Domain (RBD) | S2		Other	aleliu_20220822_33962	PMID34696403_reagentID-01		6661	2022-08-22 12:50:20.0	aleliu	2022-08-22 12:50:20.0	aleliu
10	ESR30088								N					Other	aleliu_20220822_33962	PMID34696403_reagentID-02		6661	2022-08-22 12:50:20.0	aleliu	2022-08-22 12:50:20.0	aleliu
11	ESR30089								N					Other	aleliu_20220822_33962	PMID34696403_reagentID-03		6661	2022-08-22 12:50:20.0	aleliu	2022-08-22 12:50:20.0	aleliu
12	ESR30091				Receptor Binding Domain (RBD)			Receptor Binding Domain (RBD)	N		Receptor Binding Domain (RBD)	Receptor Binding Domain (RBD)		Other	aleliu_20220822_33978	PMID35427477_reagentID-02		6661	2022-08-22 13:50:19.0	aleliu	2022-08-22 13:50:19.0	aleliu
13	ESR30092				Receptor Binding Domain (RBD) | Full Length Spike Trimer			Receptor Binding Domain (RBD) | Full Length Spike Trimer	N		Receptor Binding Domain (RBD) | Full Length Spike Trimer	Receptor Binding Domain (RBD) | Full Length Spike Trimer		Other	aleliu_20220822_33978	PMID35427477_reagentID-03		6661	2022-08-22 13:50:19.0	aleliu	2022-08-22 13:50:19.0	aleliu
14	ESR30093				Receptor Binding Domain (RBD) | Full Length Spike Trimer			Receptor Binding Domain (RBD) | Full Length Spike Trimer	N		Receptor Binding Domain (RBD) | Full Length Spike Trimer	Receptor Binding Domain (RBD) | Full Length Spike Trimer		Other	aleliu_20220822_33978	PMID35427477_reagentID-04		6661	2022-08-22 13:50:19.0	aleliu	2022-08-22 13:50:19.0	aleliu
15	ESR30094				na			Reagents not curated for this experiment	N		na	Reagents not curated		Other	aleliu_20220822_33978	PMID35427477_reagents_not_curated		6661	2022-08-22 13:50:19.0	aleliu	2022-08-22 13:50:19.0	aleliu
16	ESR30095				S1 | S2 | Full Length Spike Trimer | Receptor Binding Domain (RBD) |  N-terminal Domain (NTD)			S1 | S2 | Full Length Spike Trimer | Receptor Binding Domain (RBD) |  N-terminal Domain (NTD)	N		S1 | S2 | Full Length Spike Trimer | Receptor Binding Domain (RBD) |  N-terminal Domain (NTD)	S1 | S2 | Full Length Spike Trimer | Receptor Binding Domain (RBD) |  N-terminal Domain (NTD)		Other	aleliu_20220822_33980	PMID35348368_reagentID-01		6661	2022-08-22 13:55:18.0	aleliu	2022-08-22 13:55:18.0	aleliu
17	ESR30096				S1 | S2 | Full Length Spike Trimer | Receptor Binding Domain (RBD) |  N-terminal Domain (NTD)			S1 | S2 | Full Length Spike Trimer | Receptor Binding Domain (RBD) |  N-terminal Domain (NTD)	N		S1 | S2 | Full Length Spike Trimer | Receptor Binding Domain (RBD) |  N-terminal Domain (NTD)	S1 | S2 | Full Length Spike Trimer | Receptor Binding Domain (RBD) |  N-terminal Domain (NTD)		Other	aleliu_20220822_33980	PMID35348368_reagentID-02		6661	2022-08-22 13:55:18.0	aleliu	2022-08-22 13:55:18.0	aleliu
18	ESR30097				S1 | S2 | Full Length Spike Trimer | Receptor Binding Domain (RBD) |  N-terminal Domain (NTD)			S1 | S2 | Full Length Spike Trimer | Receptor Binding Domain (RBD) |  N-terminal Domain (NTD)	N		S1 | S2 | Full Length Spike Trimer | Receptor Binding Domain (RBD) |  N-terminal Domain (NTD)	S1 | S2 | Full Length Spike Trimer | Receptor Binding Domain (RBD) |  N-terminal Domain (NTD)		Other	aleliu_20220822_33980	PMID35348368_reagentID-03		6661	2022-08-22 13:55:18.0	aleliu	2022-08-22 13:55:18.0	aleliu
19	ESR30098				na			Reagents not curated for this experiment	N		na	Reagents not curated		Other	aleliu_20220822_33980	PMID35348368_reagents_not_curated		6661	2022-08-22 13:55:18.0	aleliu	2022-08-22 13:55:18.0	aleliu
20	ESR30099				na			Reagents not curated for this experiment	N		na	Reagents not curated		Other	aleliu_20220822_33984	PMID35143473_reagents_not_curated		6661	2022-08-22 14:25:18.0	aleliu	2022-08-22 14:25:18.0	aleliu
21	ESR30100				Full Length Spike Trimer			Full Length Spike Trimer	N		Full Length Spike Trimer	Full Length Spike Trimer		Other	aleliu_20220822_33989	PMID35129576_reagentID-01		6661	2022-08-22 14:35:17.0	aleliu	2022-08-22 14:35:17.0	aleliu
22	ESR30101				Full Length Spike Trimer			Full Length Spike Trimer	N		Full Length Spike Trimer	Full Length Spike Trimer		Other	aleliu_20220822_33989	PMID35129576_reagentID-02		6661	2022-08-22 14:35:17.0	aleliu	2022-08-22 14:35:17.0	aleliu
23	ESR30102				Receptor Binding Domain (RBD) | Full Length Spike Trimer			Receptor Binding Domain (RBD) | Full Length Spike Trimer	N		Receptor Binding Domain (RBD) | Full Length Spike Trimer	Receptor Binding Domain (RBD) | Full Length Spike Trimer		Other	aleliu_20220822_33997	PMID35013325_reagentID-01		6661	2022-08-22 15:00:17.0	aleliu	2022-08-22 15:00:17.0	aleliu
24	ESR30103				Full Length Spike Trimer			Full Length Spike Trimer	N		Full Length Spike Trimer	Full Length Spike Trimer		Other	aleliu_20220822_33997	PMID35013325_reagentID-02		6661	2022-08-22 15:00:17.0	aleliu	2022-08-22 15:00:17.0	aleliu
25	ESR26226				Cat#MS-102-2003, Cat#MS-102-3003, Cat#MS-102-3001				N		Illumina			Sequencing	heschaefer_20210415_28453	PMID32941787_Illumina MiSeq		6661	2021-04-15 12:05:05.0	heschaefer	2021-04-15 12:05:05.0	heschaefer
26	ESR26230		Antibodies					antigens: RBD, S1, and N proteins isolated from expression vectors in Expi293F cells, HEK293 cells, and E. coli, respectively	N		collaborating labs	Plate96w coated RBD_S1_N		ELISA	Zhiping.gu_20210426_28532	plate96w_RBD_S1_N		6661	2021-04-26 15:20:05.0	Zhiping.gu	2021-04-26 15:20:05.0	Zhiping.gu
27	ESR26231		Human IgGγ		62-8420			horseradish peroxidase conjugated goat anti-human IgG (γ-chain specific), 1:6,000 dilution	N		Thermo Fisher	HRP_antiHum_IgG		ELISA	Zhiping.gu_20210426_28532	HRP_antiHum_IgG		6661	2021-04-26 15:20:05.0	Zhiping.gu	2021-04-26 15:20:05.0	Zhiping.gu
28	ESR26232		Human IgMμ		A6907			horseradish peroxidase conjugated goat anti-human IgM (μ-chain specific), 1:6,000 dilution	N		Sigma	HRP_antiHum_IgM		ELISA	Zhiping.gu_20210426_28532	HRP_antiHum_IgM		6661	2021-04-26 15:20:05.0	Zhiping.gu	2021-04-26 15:20:05.0	Zhiping.gu
29	ESR26233		Human IgAα		P0216			horseradish peroxidase conjugated goat anti-human IgA (α-chain specific), 1:5,000 dilution	N		Agilent	HRP_antiHum_IgA		ELISA	Zhiping.gu_20210426_28532	HRP_antiHum_IgA		6661	2021-04-26 15:20:05.0	Zhiping.gu	2021-04-26 15:20:05.0	Zhiping.gu
30	ESR26234		RBD					ACE2 (residues 1-615) joined by a (G4S)x2 linker to mouse IgG2a Fc under CMV promoter expressed in HEK293 cells	N		the lab	ACE2-mFc protein		ELISA	Zhiping.gu_20210426_28532	ACE2-mFc		6661	2021-04-26 15:20:05.0	Zhiping.gu	2021-04-26 15:20:05.0	Zhiping.gu
31	ESR26235		mouse IgG (Fc )		31439			horseradish peroxidase conjugated goat anti-mouse IgG (Fc specific), 1:10’000 dilution	N		Invitrogen	HRP_antiMus_IgG		ELISA	Zhiping.gu_20210426_28532	HRP_antiMus_IgG		6661	2021-04-26 15:20:05.0	Zhiping.gu	2021-04-26 15:20:05.0	Zhiping.gu
32	ESR26236				na				N		Qiagen Germantown	Qiagen EZ1 Virus Mini Kit v2.0		PCR	Zhiping.gu_20210426_28532	PCR_sample_prep		6661	2021-04-26 15:20:05.0	Zhiping.gu	2021-04-26 15:20:05.0	Zhiping.gu
33	ESR26237				na			produced in HEK293T cells by the lentiviral packaging vector (pHAGE_Luc2_IRES_ZsGreen), the SARS-CoV-2 spike (NC_045512), and lentiviral helper plasmids (HDM-Hgpm2, HDM-Tat1b, and pRC-CMV_Rev1b)	N		Lab	SARS-CoV-2 spike pseudotyped lentivirus		Virus Neutralization	Zhiping.gu_20210426_28532	Cov2_Lenti_RVP	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7457616/	6661	2021-04-26 15:20:05.0	Zhiping.gu	2021-04-26 15:20:05.0	Zhiping.gu
34	ESR26238				na			a HeLa cell line that stably expressed the cell surface ACE2 receptor	N		Lab	HeLa-ACE2 target cells		Virus Neutralization	Zhiping.gu_20210426_28532	ACE2/HeLa cells	https://science.sciencemag.org/content/369/6506/956	6661	2021-04-26 15:20:05.0	Zhiping.gu	2021-04-26 15:20:05.0	Zhiping.gu
35	ESR26239				na			BriteLite assay readout solution	N		Perkin Elmer	BriteLite assay readout solution		Virus Neutralization	Zhiping.gu_20210426_28532	Cell_Lysation_buffer		6661	2021-04-26 15:20:05.0	Zhiping.gu	2021-04-26 15:20:05.0	Zhiping.gu
36	ESR26240							ELISA setup to detect anti-SARS-CoV-2 Spike/RBD/N antibodies in human plasma samples	Y			33288645_ELISA		ELISA	Zhiping.gu_20210426_28532	33288645_ELISA		6661	2021-04-26 15:20:05.0	Zhiping.gu	2021-04-26 15:20:05.0	Zhiping.gu
37	ESR26241							Competition ELISA to detect antibodies blocking binding of ACE2 to RBD	Y			33288645_compELISA		ELISA	Zhiping.gu_20210426_28532	33288645_comptELISA		6661	2021-04-26 15:20:05.0	Zhiping.gu	2021-04-26 15:20:05.0	Zhiping.gu
