	EXPERIMENT_ACCESSION	DESCRIPTION	MEASUREMENT_TECHNIQUE	NAME	PURPOSE	STUDY_ACCESSION	UPLOAD_TICKET_NUMBER	USER_DEFINED_ID	WORKSPACE_ID	DATE_CREATED	CREATED_BY	DATE_LAST_UPDATED	LAST_UPDATED_BY
0	EXP33574	Study has reported results from one or more Multiplex Bead Array assays.	Multiplex Bead Array Assay	Multiplex Bead Array Assay		SDY1962	aleliu_20220524_32503	PMID34652783_exp-01	6661	2022-05-24 13:40:16.0	aleliu	2022-05-24 13:40:16.0	aleliu
1	EXP33575	Study has reported results from one or more Pseudovirus Neutralization assays.	Pseudovirus Neutralization Assay	Pseudovirus Neutralization Assay		SDY1962	aleliu_20220524_32503	PMID34652783_exp-02	6661	2022-05-24 13:40:16.0	aleliu	2022-05-24 13:40:16.0	aleliu
2	EXP33577	Study has reported results from one or more ELISA assays.	ELISA	ELISA		SDY1947	aleliu_20220524_32504	PMID34696403_exp-02	6661	2022-05-24 13:40:18.0	aleliu	2022-05-24 13:40:18.0	aleliu
3	EXP33578		Neutralizing Antibody Titer Assay	Neutralizing Antibody Titer Assay		SDY1947	aleliu_20220524_32504	PMID34696403_exp-03	6661	2022-05-24 13:40:18.0	aleliu	2022-05-24 13:40:18.0	aleliu
4	EXP33579	Study has reported results from PCR assays.	PCR	PCR		SDY1835	aleliu_20220524_32505	PMID34095338_exp-01	6661	2022-05-24 13:40:20.0	aleliu	2022-05-24 13:40:20.0	aleliu
5	EXP33580	Study has reported results from one or more ELISA assays.	ELISA	ELISA		SDY1835	aleliu_20220524_32505	PMID34095338_exp-02	6661	2022-05-24 13:40:20.0	aleliu	2022-05-24 13:40:20.0	aleliu
6	EXP33581		Neutralizing Antibody Titer Assay	Neutralizing Antibody Titer Assay		SDY1835	aleliu_20220524_32505	PMID34095338_exp-03	6661	2022-05-24 13:40:20.0	aleliu	2022-05-24 13:40:20.0	aleliu
7	EXP33582	Study has reported results from PCR assays.	PCR	PCR		SDY1818	aleliu_20220524_32506	PMID33276369_exp-01	6661	2022-05-24 13:50:11.0	aleliu	2022-05-24 13:50:11.0	aleliu
8	EXP33583	Study has reported results from one or more ELISA assays.	ELISA	ELISA		SDY1818	aleliu_20220524_32506	PMID33276369_exp-02	6661	2022-05-24 13:50:11.0	aleliu	2022-05-24 13:50:11.0	aleliu
9	EXP33584	Study has reported results from one or more Pseudovirus Neutralization assays.	Pseudovirus Neutralization Assay	Pseudovirus Neutralization Assay		SDY1818	aleliu_20220524_32506	PMID33276369_exp-03	6661	2022-05-24 13:50:11.0	aleliu	2022-05-24 13:50:11.0	aleliu
10	EXP33585	Study has reported results from PCR assays.	PCR	PCR		SDY1963	aleliu_20220524_32507	PMID34161961_exp-01	6661	2022-05-24 13:50:16.0	aleliu	2022-05-24 13:50:16.0	aleliu
11	EXP33586	Study has reported results from one or more ELISA assays.	ELISA	ELISA		SDY1963	aleliu_20220524_32507	PMID34161961_exp-02	6661	2022-05-24 13:50:16.0	aleliu	2022-05-24 13:50:16.0	aleliu
12	EXP33587		Neutralizing Antibody Titer Assay	Neutralizing Antibody Titer Assay		SDY1963	aleliu_20220524_32507	PMID34161961_exp-03	6661	2022-05-24 13:50:16.0	aleliu	2022-05-24 13:50:16.0	aleliu
13	EXP33588		ELISPOT	ELISPOT		SDY1963	aleliu_20220524_32507	PMID34161961_exp-04	6661	2022-05-24 13:50:16.0	aleliu	2022-05-24 13:50:16.0	aleliu
14	EXP33589	Study has reported results from PCR assays.	PCR	PCR		SDY1819	aleliu_20220524_32508	PMID33472939_exp-01	6661	2022-05-24 13:50:18.0	aleliu	2022-05-24 13:50:18.0	aleliu
15	EXP33590	Study has reported results from one or more Pseudovirus Neutralization assays.	Pseudovirus Neutralization Assay	Pseudovirus Neutralization Assay		SDY1917	aleliu_20220524_32510	PMID34802457_exp-01	6661	2022-05-24 13:50:21.0	aleliu	2022-05-24 13:50:21.0	aleliu
16	EXP33591	Study has reported results from PCR assays.	PCR	PCR		SDY1964	aleliu_20220524_32512	PMID34794169_exp-01	6661	2022-05-24 14:10:14.0	aleliu	2022-05-24 14:10:14.0	aleliu
