,PMID,Publication_Title
0,34687893,"SARS-CoV-2 vaccine uptake, perspectives, and adverse reactions following vaccination in patients with cancer undergoing treatment"
1,34877479,Roles of antiviral sensing and type I interferon signaling in the restriction of SARS-CoV-2 replication
2,34909777,Loss of Neutralizing Antibody Response to mRNA Vaccination against SARS-CoV-2 Variants: Differing Kinetics and Strong Boosting by Breakthrough Infection
3,34909778,SARS-CoV-2 Transmission and Impacts of Unvaccinated-Only Testing in Populations of Mixed Vaccination Status
4,34909785,The T-cell clonal response to SARS-CoV-2 vaccination in inflammatory bowel disease patients is augmented by anti-TNF therapy and often deficient in antibody-responders
5,34921308,A humanized mouse model of chronic COVID-19
6,34931078,Role of the T cell vitamin D receptor in severe COVID-19
7,33521695,Comprehensive analysis of T cell immunodominance and immunoprevalence of SARS-CoV-2 epitopes in COVID-19 cases
8,33993265,Reduced BNT162b2 Messenger RNA Vaccine Response in Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2)-Naive Nursing Home Residents
9,34647593,Coronavirus Disease 2019 and Children
10,34759001,Longitudinal SARS-CoV-2 mRNA Vaccine-Induced Humoral Immune Responses in Patients with Cancer
11,34774792,Lung Cancer and Severe Acute Respiratory Syndrome Coronavirus 2 Infection: Identifying Important Knowledge Gaps for Investigation
