,Base_Project,Status/ImmPort Study ID,Base_Project.1,PMID,PMID_N,Publication_Title,Journal,Author(s),Pub Date,PI
0,U54CA260543,,CA260543,33024969,PMID_33024969,SARS-CoV-2 D614G Variant Exhibits Enhanced Replication ex vivo and Earlier Transmission in vivo,bioRxiv : the preprint server for biology,"Yixuan J Hou, Shiho Chiba, Peter Halfmann, Camille Ehre, Makoto Kuroda, Kenneth H Dinnon 3rd, Sarah R Leist, Alexandra Schäfer, Noriko Nakajima, Kenta Takahashi, Rhianna E Lee, Teresa M Mascenik, Caitlin E Edwards, Longping V Tse, Richard C Boucher, Scott H Randell, Tadaki Suzuki, Lisa E Gralinski, Yoshihiro Kawaoka, Ralph S Baric",2020-09-29,
1,U54CA260492,,CA260492,33140070,PMID_33140070,Durable SARS-CoV-2 B cell immunity after mild or severe disease,medRxiv : the preprint server for health sciences,"Clinton O Ogega, Nicole E Skinner, Paul W Blair, Han-Sol Park, Kirsten Littlefield, Abhinaya Ganesan, Pranay Ladiwala, Annukka Ar Antar, Stuart C Ray, Michael J Betenbaugh, Andrew Pekosz, Sabra L Klein, Yukari C Manabe, Andrea L Cox, Justin R Bailey",2020-10-30,
2,U54CA260560,,CA260560,33200140,PMID_33200140,Physiology of cardiomyocyte injury in COVID-19,medRxiv : the preprint server for health sciences,"Mustafa M Siddiq, Angel T Chan, Lisa Miorin, Arjun S Yadaw, Kristin G Beaumont, Thomas Kehrer, Kris M White, Anastasija Cupic, Rosa E Tolentino, Bin Hu, Alan D Stern, Iman Tavassoly, Jens Hansen, Pedro Martinez, Nicole Dubois, Christoph Schaniel, Rupa Iyengar-Kapuganti, Nina Kukar, Gennaro Giustino, Karan Sud, Sharon Nirenberg, Patricia Kovatch, Joseph Goldfarb, Lori Croft, Maryann A McLaughlin, Edgar Argulian, Stamatios Lerakis, Jagat Narula, Adolfo García-Sastre, Ravi Iyengar",2020-11-16,
3,U54CA260543,,CA260543,33236009,PMID_33236009,An Engineered Antibody with Broad Protective Efficacy in Murine Models of SARS and COVID-19,bioRxiv : the preprint server for biology,"C Garrett Rappazzo, Longping V Tse, Chengzi I Kaku, Daniel Wrapp, Mrunal Sakharkar, Deli Huang, Laura M Deveau, Thomas J Yockachonis, Andrew S Herbert, Michael B Battles, ""Cecilia M OBrien"", Michael E Brown, James C Geoghegan, Jonathan Belk, Linghang Peng, Linlin Yang, Trevor D Scobey, Dennis R Burton, David Nemazee, John M Dye, James E Voss, Bronwyn M Gunn, Jason S McLellan, Ralph S Baric, Lisa E Gralinski, Laura M Walker",2020-11-17,
4,U01CA261277,,CA261277,33330882,PMID_33330882,Model-informed COVID-19 vaccine prioritization strategies by age and serostatus,medRxiv : the preprint server for health sciences,"Kate M Bubar, Kyle Reinholt, Stephen M Kissler, Marc Lipsitch, Sarah Cobey, Yonatan H Grad, Daniel B Larremore",2021-01-08,
5,U01CA260541,,CA260541,33442687,PMID_33442687,Immunological memory to SARS-CoV-2 assessed for up to eight months after infection,bioRxiv : the preprint server for biology,"Jennifer M Dan, Jose Mateus, Yu Kato, Kathryn M Hastie, Esther Dawen Yu, Caterina E Faliti, Alba Grifoni, Sydney I Ramirez, Sonya Haupt, April Frazier, Catherine Nakao, Vamseedhar Rayaprolu, Stephen A Rawlings, Bjoern Peters, Florian Krammer, Viviana Simon, Erica Ollmann Saphire, Davey M Smith, Daniela Weiskopf, Alessandro Sette, Shane Crotty",2020-12-18,
6,U01CA260541,,CA260541,33469594,PMID_33469594,Differential T cell reactivity to seasonal coronaviruses and SARS-CoV-2 in community and health care workers,medRxiv : the preprint server for health sciences,"Ricardo da Silva Antunes, Suresh Pallikkuth, Erin Williams, Esther Dawen Yu, Jose Mateus, Lorenzo Quiambao, Eric Wang, Stephen A Rawlings, Daniel Stadlbauer, Kaijun Jiang, Fatima Amanat, David Arnold, David Andrews, Irma Fuego, Jennifer M Dan, Alba Grifoni, Daniela Weiskopf, Florian Krammer, Shane Crotty, Michael E Hoffer, Savita G Pahwa, Alessandro Sette",2021-01-15,
7,U54CA260560,,CA260560,33501437,PMID_33501437,Host-directed therapies against early-lineage SARS-CoV-2 retain efficacy against B.1.1.7 variant,bioRxiv : the preprint server for biology,"Ann-Kathrin Reuschl, Lucy G Thorne, Lorena Zuliani-Alvarez, Mehdi Bouhaddou, Kirsten Obernier, Joseph Hiatt, Margaret Soucheray, Jane Turner, Jacqueline M Fabius, Gina T Nguyen, Danielle L Swaney, Romel Rosales, Kris M White, Pablo Avilés, Ilsa T Kirby, James E Melnyk, Ying Shi, Ziyang Zhang, Kevan M Shokat, Adolfo García-Sastre, Clare Jolly, Gregory J Towers, Nevan J Krogan",2021-02-04,
8,U54CA260560,,CA260560,33501468,PMID_33501468,The N501Y mutation in SARS-CoV-2 spike leads to morbidity in obese and aged mice and is neutralized by convalescent and post-vaccination human sera,medRxiv : the preprint server for health sciences,"Raveen Rathnasinghe, Sonia Jangra, Anastasija Cupic, Carles Martínez-Romero, Lubbertus C F Mulder, Thomas Kehrer, Soner Yildiz, Angela Choi, Ignacio Mena, Jana De Vrieze, Sadaf Aslam, Daniel Stadlbauer, David A Meekins, Chester D McDowell, Velmurugan Balaraman, Juergen A Richt, Bruno G De Geest, Lisa Miorin, Florian Krammer, Viviana Simon, Adolfo García-Sastre, Michael Schotsaert",2021-01-20,
9,U54CA260560,,CA260560,33532796,PMID_33532796,The E484K mutation in the SARS-CoV-2 spike protein reduces but does not abolish neutralizing activity of human convalescent and post-vaccination sera,medRxiv : the preprint server for health sciences,"Sonia Jangra, Chengjin Ye, Raveen Rathnasinghe, Daniel Stadlbauer, Florian Krammer, Viviana Simon, Luis Martinez-Sobrido, Adolfo Garcia-Sastre, Michael Schotsaert",2021-01-29,
