,Publication Owner,JIRA Epic #,Base_Project,Status/ImmPort Study ID,Base_Project.1,PMID,PMID_N,PMID_link,Publication_Title,Journal,Author(s),Pub Date,PI,print_type,citation
0,Alex,,CA260560,,CA260560,33846703,PMID_33846703,https://pubmed.ncbi.nlm.nih.gov/33846703,SARS-CoV-2 spike E484K mutation reduces antibody neutralisation,The Lancet. Microbe,"Sonia Jangra, Chengjin Ye, Raveen Rathnasinghe, Daniel Stadlbauer, Personalized Virology Initiative study group, Florian Krammer, Viviana Simon, Luis Martinez-Sobrido, Adolfo García-Sastre, Michael Schotsaert, Hala Alshammary, Angela A Amoako, Mahmoud H Awawda, Katherine F Beach, Maria C Bermúdez-González, Rachel L Chernet, Lily Q Eaker, Emily D Ferreri, Daniel L Floda, Charles R Gleason, Giulio Kleiner, Denise Jurczyszak, Julia C Matthews, Wanni A Mendez, Lubbertus Cf Mulder, Kayla T Russo, Ashley-Beathrese T Salimbangon, Miti Saksena, Amber S Shin, Levy A Sominsky, Komal Srivastava",,HIRSCH,,Lancet Microbe. 2021 Jul;2(7):e283-e284.
1,David,,CA260563,,CA260563,34001652,PMID_34001652,https://pubmed.ncbi.nlm.nih.gov/34001652,One-Stop Serum Assay Identifies COVID-19 Disease Severity and Vaccination Responses,ImmunoHorizons,"Natalie S Haddad, Doan C Nguyen, Merin E Kuruvilla, Andrea Morrison-Porter, Fabliha Anam, Kevin S Cashman, Richard P Ramonell, Shuya Kyu, Ankur Singh Saini, Monica Cabrera-Mora, Andrew Derrico, David Alter, John D Roback, Michael Horwath, ""James B OKeefe"", Henry M Wu, An-Kwok Ian Wong, Alexandra W Dretler, Ria Gripaldo, Andrea N Lane, Hao Wu, Helen Y Chu, Saeyun Lee, Mindy Hernandez, Vanessa Engineer, John Varghese, Rahul Patel, Anum Jalal, Victoria French, Ilya Guysenov, Christopher E Lane, Tesfaye Mengistsu, Katherine Elizabeth Normile, Onike Mnzava, Sang Le, Ignacio Sanz, John L Daiss, F Eun-Hyung Lee",,SANZ,,Immunohorizons. 2021 May 17;5(5):322-335.
2,Alex,,CA260517,,CA260517,34862384,PMID_34862384,https://pubmed.ncbi.nlm.nih.gov/34862384,Directed evolution of and structural insights into antibody-mediated disruption of a stable receptor-ligand complex,Nature communications,"Luke F Pennington, Pascal Gasser, Silke Kleinboelting, Chensong Zhang, Georgios Skiniotis, Alexander Eggel, Theodore S Jardetzky",,BOYD,,Nat Commun. 2021 Dec 3;12(1):7069.
3,David,,CA260563,,CA260563,35180044,PMID_35180044,https://pubmed.ncbi.nlm.nih.gov/35180044,Reduced COVID-19 Vaccine Response in Patients Treated with Biologic Therapies for Asthma,American journal of respiratory and critical care medicine,"Martin C Runnstrom, Andrea Morrison-Porter, Mayuran Ravindran, Hannah Quehl, Richard P Ramonell, Matthew Woodruff, Rahulkumar Patel, Caroline Kim, Natalie S Haddad, F Eun-Hyung Lee",,SANZ,,Am J Respir Crit Care Med. 2022 Feb 18.
4,David,,CA260476,,CA260476,35258323,PMID_35258323,https://pubmed.ncbi.nlm.nih.gov/35258323,Characterization of immune responses in fully vaccinated individuals after breakthrough infection with the SARS-CoV-2 delta variant,Science translational medicine,"Ai-Ris Y Collier, Catherine M Brown, Katherine A McMahan, Jingyou Yu, Jinyan Liu, Catherine Jacob-Dolan, Abishek Chandrashekar, Dylan Tierney, Jessica L Ansel, Marjorie Rowe, Daniel Sellers, Kunza Ahmad, Ricardo Aguayo, Tochi Anioke, Sarah Gardner, Mazuba Siamatu, Lorraine Bermudez-Rivera, Michele R Hacker, Lawrence C Madoff, Dan H Barouch",,BAROUCH,,Sci Transl Med. 2022 Apr 20;14(641):eabn6150.
5,David,,CA260563,,CA260563,35262095,PMID_35262095,https://pubmed.ncbi.nlm.nih.gov/35262095,The Serological Sciences Network (SeroNet) for COVID-19: Depth and Breadth of Serology Assays and Plans for Assay Harmonization,medRxiv : the preprint server for health sciences,"Amy B Karger, James D Brien, Jayne M Christen, Santosh Dhakal, Troy J Kemp, Sabra L Klein, Ligia A Pinto, Lakshmanane Premkumar, John D Roback, Raquel A Binder, Karl W Boehme, Suresh Boppana, Carlos Cordon-Cardo, James M Crawford, John L Daiss, Alan P Dupuis, Ana M Espino, Adolfo Firpo-Betancourt, Catherine Forconi, J Craig Forrest, Roxie C Girardin, Douglas A Granger, Steve W Granger, Natalie S Haddad, Christopher D Heaney, Danielle T Hunt, Joshua L Kennedy, Christopher L King, Florian Krammer, Kate Kruczynski, Joshua LaBaer, F Eun-Hyung Lee, William T Lee, Shan-Lu Liu, Gerard Lozanski, Todd Lucas, Damodara Rao Mendu, Ann M Moormann, Vel Murugan, Nkemakonam C Okoye, Petraleigh Pantoja, Anne F Payne, Jin Park, Swetha Pinninti, Amelia K Pinto, Nora Pisanic, Ji Qiu, Carlos A Sariol, Viviana Simon, Lusheng Song, Tara L Steffen, E Taylor Stone, Linda M Styer, Mehul S Suthar, Stefani N Thomas, Bharat Thyagarajan, Ania Wajnberg, Jennifer L Yates, Kimia Sobhani",,SANZ,preprint,medRxiv. 2022 Mar 14;2022.02.27.22271399.
6,David,,CA260476,,CA260476,35289637,PMID_35289637,https://pubmed.ncbi.nlm.nih.gov/35289637,Omicron variant Spike-specific antibody binding and Fc activity are preserved in recipients of mRNA or inactivated COVID-19 vaccines,Science translational medicine,"Yannic C Bartsch, Xin Tong, Jaewon Kang, María José Avendaño, Eileen F Serrano, Tamara García-Salum, Catalina Pardo-Roa, Arnoldo Riquelme, Yongfei Cai, Isabella Renzi, Guillaume Stewart-Jones, Bing Chen, Rafael A Medina, Galit Alter",,BAROUCH,,Sci Transl Med. 2022 Apr 27;14(642):eabn9243.
7,David,,CA260476,,CA260476,35348368,PMID_35348368,https://pubmed.ncbi.nlm.nih.gov/35348368,mRNA-1273 and BNT162b2 COVID-19 vaccines elicit antibodies with differences in Fc-mediated effector functions,Science translational medicine,"Paulina Kaplonek, Deniz Cizmeci, Stephanie Fischinger, Ai-Ris Collier, Todd Suscovich, Caitlyn Linde, Thomas Broge, Colin Mann, Fatima Amanat, Diana Dayal, Justin Rhee, Michael de St Aubin, Eric J Nilles, Elon R Musk, Anil S Menon, Erica Ollmann Saphire, Florian Krammer, Douglas A Lauffenburger, Dan H Barouch, Galit Alter",,BAROUCH,,Sci Transl Med. 2022 Mar 29;eabm2311.
8,Alex,,CA260492,,CA260492,35389888,PMID_35389888,https://pubmed.ncbi.nlm.nih.gov/35389888,SARS-CoV-2 -specific immune responses in boosted vaccine recipients with breakthrough infections during the Omicron variant surge,JCI insight,"Bezawit A Woldemeskel, Caroline C Garliss, Tihitina Y Aytenfisu, Trevor S Johnston, Evan J Beck, Arbor G Dykema, Nicole Frumento, Desiree A Wright, Andrew H Yang, Alexander I Damanakis, Oliver Laeyendecker, Andrea L Cox, Heba H Mostafa, Andrew H Karaba, Joel N Blankson",,KLEIN,,JCI Insight. 2022 Apr 7;e159474.
9,David,,CA260476,,CA260476,35427477,PMID_35427477,https://pubmed.ncbi.nlm.nih.gov/35427477,Vaccine protection against the SARS-CoV-2 Omicron variant in macaques,Cell,"Abishek Chandrashekar, Jingyou Yu, Katherine McMahan, Catherine Jacob-Dolan, Jinyan Liu, Xuan He, David Hope, Tochi Anioke, Julia Barrett, Benjamin Chung, Nicole P Hachmann, Michelle Lifton, Jessica Miller, Olivia Powers, Michaela Sciacca, Daniel Sellers, Mazuba Siamatu, Nehalee Surve, Haley VanWyk, Huahua Wan, Cindy Wu, Laurent Pessaint, Daniel Valentin, Alex Van Ry, Jeanne Muench, Mona Boursiquot, Anthony Cook, Jason Velasco, Elyse Teow, Adrianus C M Boon, Mehul S Suthar, Neharika Jain, Amanda J Martinot, Mark G Lewis, Hanne Andersen, Dan H Barouch",,BAROUCH,,Cell. 2022 Apr 28;185(9):1549-1555.e11.
