"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"35479",2020-01-22,1,1,"other",1,1
"35480",2020-01-23,0,0,"other",0,1
"35481",2020-01-24,0,0,"other",0,1
"35482",2020-01-25,0,0,"other",0,1
"35483",2020-01-26,0,0,"other",0,1
"35484",2020-01-27,0,0,"other",0,1
"35485",2020-01-28,0,0,"other",0,1
"35486",2020-01-29,0,0,"other",0,0
"35487",2020-01-30,0,0,"other",0,0
"35488",2020-01-31,0,0,"other",0,0
"35489",2020-02-01,0,0,"other",0,0
"35490",2020-02-02,0,0,"other",0,0
"35491",2020-02-03,0,0,"other",0,0
"35492",2020-02-04,0,0,"other",0,0
"35493",2020-02-05,0,0,"other",0,0
"35494",2020-02-06,0,0,"other",0,0
"35495",2020-02-07,0,0,"other",0,0
"35496",2020-02-08,0,0,"other",0,0
"35497",2020-02-09,0,0,"other",0,0
"35498",2020-02-10,0,0,"other",0,0
"35499",2020-02-11,0,0,"other",0,0
"35500",2020-02-12,0,0,"other",0,0
"35501",2020-02-13,0,0,"other",0,0
"35502",2020-02-14,0,0,"other",0,0
"35503",2020-02-15,0,0,"other",0,0
"35504",2020-02-16,0,0,"other",0,0
"35505",2020-02-17,0,0,"other",0,0
"35506",2020-02-18,0,0,"other",0,0
"35507",2020-02-19,0,0,"other",0,0
"35508",2020-02-20,0,0,"other",0,0
"35509",2020-02-21,0,0,"other",0,0
"35510",2020-02-22,0,0,"other",0,0
"35511",2020-02-23,0,0,"other",0,0
"35512",2020-02-24,0,0,"other",0,0
"35513",2020-02-25,0,0,"other",0,0
"35514",2020-02-26,0,0,"other",0,0
"35515",2020-02-27,0,0,"other",0,0
"35516",2020-02-28,0,0,"other",0,0
"35517",2020-02-29,0,0,"other",0,0
"35518",2020-03-01,0,0,"other",0,0
"9592",2020-03-02,2,2,"b.1.1",1,1
"35519",2020-03-02,0,0,"other",0,0
"9593",2020-03-03,0,0,"b.1.1",0,1
"35520",2020-03-03,0,0,"other",0,0
"9594",2020-03-04,0,0,"b.1.1",0,1
"35521",2020-03-04,0,0,"other",0,0
"9595",2020-03-05,0,0,"b.1.1",0,0.636363636363636
"35522",2020-03-05,2,2,"other",1,0.363636363636364
"9596",2020-03-06,0,0,"b.1.1",0,0.583333333333333
"35523",2020-03-06,0,0,"other",0,0.416666666666667
"9597",2020-03-07,0,0,"b.1.1",0,0.538461538461538
"35524",2020-03-07,0,0,"other",0,0.461538461538462
"9598",2020-03-08,0,0,"b.1.1",0,0.5
"35525",2020-03-08,0,0,"other",0,0.5
"9599",2020-03-09,0,0,"b.1.1",0,0
"35526",2020-03-09,3,3,"other",1,1
"9600",2020-03-10,0,0,"b.1.1",0,0
"35527",2020-03-10,0,0,"other",0,1
