"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"8527",2020-03-07,6,6,"other",1,1
"8528",2020-03-08,11,11,"other",1,1
"8529",2020-03-09,8,8,"other",1,1
"8530",2020-03-10,1,1,"other",1,1
"8531",2020-03-11,1,1,"other",1,1
"8532",2020-03-12,0,0,"other",0,1
"8533",2020-03-13,3,3,"other",1,1
"8534",2020-03-14,1,1,"other",1,1
"8535",2020-03-15,1,1,"other",1,1
"8536",2020-03-16,8,8,"other",1,1
"8537",2020-03-17,10,10,"other",1,1
"8538",2020-03-18,4,4,"other",1,1
"8539",2020-03-19,13,13,"other",1,1
"8540",2020-03-20,10,10,"other",1,1
"8541",2020-03-21,5,5,"other",1,1
"8542",2020-03-22,5,5,"other",1,1
"8543",2020-03-23,15,15,"other",1,1
"8544",2020-03-24,15,15,"other",1,1
"8545",2020-03-25,21,21,"other",1,1
"8546",2020-03-26,33,33,"other",1,1
"8547",2020-03-27,32,32,"other",1,1
"8548",2020-03-28,16,16,"other",1,1
"8549",2020-03-29,14,14,"other",1,1
"8550",2020-03-30,20,20,"other",1,1
"8551",2020-03-31,1,1,"other",1,1
"8552",2020-04-01,0,0,"other",0,1
"8553",2020-04-02,1,1,"other",1,1
"8554",2020-04-03,2,2,"other",1,1
"8555",2020-04-04,0,0,"other",0,1
"8556",2020-04-05,0,0,"other",0,1
"8557",2020-04-06,3,3,"other",1,1
"8558",2020-04-07,1,1,"other",1,1
"8559",2020-04-08,2,2,"other",1,1
"8560",2020-04-09,3,3,"other",1,1
"8561",2020-04-10,1,1,"other",1,1
"8562",2020-04-11,4,4,"other",1,1
"8563",2020-04-12,2,2,"other",1,1
"8564",2020-04-13,0,0,"other",0,1
"8565",2020-04-14,4,4,"other",1,1
"8566",2020-04-15,1,1,"other",1,1
"8567",2020-04-16,5,5,"other",1,1
"8568",2020-04-17,4,4,"other",1,1
"8569",2020-04-18,4,4,"other",1,1
"8570",2020-04-19,2,2,"other",1,1
"8571",2020-04-20,6,6,"other",1,1
"8572",2020-04-21,8,8,"other",1,1
"8573",2020-04-22,3,3,"other",1,1
"8574",2020-04-23,3,3,"other",1,1
"8575",2020-04-24,3,3,"other",1,1
"8576",2020-04-25,2,2,"other",1,1
"8577",2020-04-26,3,3,"other",1,1
"8578",2020-04-27,2,2,"other",1,1
"8579",2020-04-28,2,2,"other",1,1
"8580",2020-04-29,1,1,"other",1,1
"8581",2020-04-30,0,0,"other",0,1
"8582",2020-05-01,2,2,"other",1,1
"8583",2020-05-02,1,1,"other",1,1
"8584",2020-05-03,0,0,"other",0,1
"8585",2020-05-04,2,2,"other",1,1
"8586",2020-05-05,1,1,"other",1,1
"8587",2020-05-06,3,3,"other",1,1
"8588",2020-05-07,0,0,"other",0,1
"8589",2020-05-08,1,1,"other",1,1
"8590",2020-05-09,0,0,"other",0,1
"8591",2020-05-10,0,0,"other",0,1
"8592",2020-05-11,1,1,"other",1,1
"8593",2020-05-12,1,1,"other",1,1
"8594",2020-05-13,1,1,"other",1,1
"8595",2020-05-14,1,1,"other",1,1
"8596",2020-05-15,0,0,"other",0,1
"8597",2020-05-16,0,0,"other",0,1
"8598",2020-05-17,1,1,"other",1,1
"8599",2020-05-18,1,1,"other",1,1
"8600",2020-05-19,0,0,"other",0,1
"8601",2020-05-20,1,1,"other",1,1
"8602",2020-05-21,0,0,"other",0,1
"8603",2020-05-22,0,0,"other",0,1
"8604",2020-05-23,0,0,"other",0,1
"8605",2020-05-24,0,0,"other",0,1
"8606",2020-05-25,0,0,"other",0,1
"8607",2020-05-26,1,1,"other",1,1
"8608",2020-05-27,0,0,"other",0,1
"8609",2020-05-28,0,0,"other",0,1
"8610",2020-05-29,0,0,"other",0,1
"8611",2020-05-30,0,0,"other",0,1
"8612",2020-05-31,0,0,"other",0,1
"8613",2020-06-01,0,0,"other",0,1
