"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"7333",2020-03-02,1,1,"b.1",1,1
"7334",2020-03-03,0,0,"b.1",0,1
"7335",2020-03-04,0,0,"b.1",0,1
"7336",2020-03-05,0,0,"b.1",0,1
"7337",2020-03-06,0,0,"b.1",0,1
"7338",2020-03-07,0,0,"b.1",0,1
"7339",2020-03-08,0,0,"b.1",0,1
"7340",2020-03-09,5,3,"b.1",0.6,0.176470588235294
"9380",2020-03-09,5,1,"b.1.2",0.2,0.411764705882353
"25438",2020-03-09,5,1,"other",0.2,0.411764705882353
"7341",2020-03-10,10,4,"b.1",0.4,0.181818181818182
"7991",2020-03-10,10,1,"b.1.1",0.1,0.181818181818182
"9381",2020-03-10,0,0,"b.1.2",0,0.0909090909090909
"25439",2020-03-10,10,5,"other",0.5,0.545454545454545
"7342",2020-03-11,9,6,"b.1",0.666666666666667,0.326359832635983
"7992",2020-03-11,0,0,"b.1.1",0,0.0878661087866109
"9382",2020-03-11,0,0,"b.1.2",0,0.0585774058577406
"25440",2020-03-11,9,3,"other",0.333333333333333,0.527196652719665
"6669",2020-03-12,18,2,"b",0.111111111111111,0.220183486238532
"7343",2020-03-12,18,15,"b.1",0.833333333333333,0.440366972477064
"7993",2020-03-12,0,0,"b.1.1",0,0.036697247706422
"9383",2020-03-12,0,0,"b.1.2",0,0.0275229357798165
"25441",2020-03-12,18,1,"other",0.0555555555555556,0.275229357798165
"6670",2020-03-13,0,0,"b",0,0.0783435926133184
"7344",2020-03-13,34,26,"b.1",0.764705882352941,0.604364857302742
"7994",2020-03-13,0,0,"b.1.1",0,0.0195858981533296
"9384",2020-03-13,34,1,"b.1.2",0.0294117647058824,0.0313374370453274
"25442",2020-03-13,34,7,"other",0.205882352941176,0.266368214885283
"6671",2020-03-14,42,3,"b",0.0714285714285714,0.0899511693652018
"7345",2020-03-14,42,33,"b.1",0.785714285714286,0.670778720123362
"7995",2020-03-14,42,2,"b.1.1",0.0476190476190476,0.0323824209714726
"9385",2020-03-14,0,0,"b.1.2",0,0.0179902338730403
"25443",2020-03-14,42,4,"other",0.0952380952380952,0.188897455666924
"6672",2020-03-15,0,0,"b",0,0.0523168908819133
"7346",2020-03-15,45,39,"b.1",0.866666666666667,0.753363228699552
"7996",2020-03-15,0,0,"b.1.1",0,0.0209267563527653
"9386",2020-03-15,0,0,"b.1.2",0,0.0119581464872945
"25444",2020-03-15,45,6,"other",0.133333333333333,0.161434977578475
"6673",2020-03-16,0,0,"b",0,0.0334928229665072
"7347",2020-03-16,49,46,"b.1",0.938775510204082,0.808612440191388
"7997",2020-03-16,0,0,"b.1.1",0,0.0143540669856459
"9387",2020-03-16,0,0,"b.1.2",0,0.00478468899521531
"25445",2020-03-16,49,3,"other",0.0612244897959184,0.138755980861244
"6674",2020-03-17,0,0,"b",0,0.019262520638415
"7348",2020-03-17,105,88,"b.1",0.838095238095238,0.835443037974684
"7998",2020-03-17,0,0,"b.1.1",0,0.0066042927903137
"9388",2020-03-17,0,0,"b.1.2",0,0.00330214639515685
"25446",2020-03-17,105,17,"other",0.161904761904762,0.135388002201431
"6675",2020-03-18,0,0,"b",0,0.0130548302872063
"7349",2020-03-18,90,74,"b.1",0.822222222222222,0.838120104438642
"7999",2020-03-18,0,0,"b.1.1",0,0.00522193211488251
"9389",2020-03-18,0,0,"b.1.2",0,0.00261096605744125
"25447",2020-03-18,90,16,"other",0.177777777777778,0.140992167101828
"6676",2020-03-19,103,1,"b",0.00970873786407767,0.00854700854700855
"7350",2020-03-19,103,82,"b.1",0.796116504854369,0.829059829059829
"8000",2020-03-19,103,1,"b.1.1",0.00970873786407767,0.00641025641025641
"9390",2020-03-19,0,0,"b.1.2",0,0.00213675213675214
"25448",2020-03-19,103,19,"other",0.184466019417476,0.153846153846154
"6677",2020-03-20,0,0,"b",0,0.00769230769230769
"7351",2020-03-20,86,79,"b.1",0.918604651162791,0.848076923076923
"8001",2020-03-20,86,1,"b.1.1",0.0116279069767442,0.00769230769230769
"9391",2020-03-20,86,1,"b.1.2",0.0116279069767442,0.00192307692307692
"25449",2020-03-20,86,5,"other",0.0581395348837209,0.134615384615385
"6678",2020-03-21,0,0,"b",0,0.00170357751277683
"7352",2020-03-21,109,96,"b.1",0.880733944954128,0.858603066439523
"8002",2020-03-21,0,0,"b.1.1",0,0.00340715502555366
"9392",2020-03-21,0,0,"b.1.2",0,0.00170357751277683
"25450",2020-03-21,109,13,"other",0.119266055045872,0.13458262350937
"6679",2020-03-22,119,1,"b",0.00840336134453781,0.00302571860816944
"7353",2020-03-22,119,105,"b.1",0.882352941176471,0.86232980332829
"8003",2020-03-22,0,0,"b.1.1",0,0.00302571860816944
"9393",2020-03-22,0,0,"b.1.2",0,0.00151285930408472
"25451",2020-03-22,119,13,"other",0.109243697478992,0.130105900151286
"6680",2020-03-23,0,0,"b",0,0.00263157894736842
"7354",2020-03-23,148,128,"b.1",0.864864864864865,0.857894736842105
"8004",2020-03-23,148,3,"b.1.1",0.0202702702702703,0.00657894736842105
"9394",2020-03-23,0,0,"b.1.2",0,0.00131578947368421
"25452",2020-03-23,148,17,"other",0.114864864864865,0.131578947368421
"6681",2020-03-24,0,0,"b",0,0.00246305418719212
"7355",2020-03-24,157,142,"b.1",0.904458598726115,0.869458128078818
"8005",2020-03-24,0,0,"b.1.1",0,0.0061576354679803
"9395",2020-03-24,0,0,"b.1.2",0,0.00123152709359606
"25453",2020-03-24,157,15,"other",0.0955414012738854,0.120689655172414
"6682",2020-03-25,0,0,"b",0,0.00243013365735115
"7356",2020-03-25,101,89,"b.1",0.881188118811881,0.876063183475091
"8006",2020-03-25,0,0,"b.1.1",0,0.00607533414337789
"9396",2020-03-25,0,0,"b.1.2",0,0.00121506682867558
"25454",2020-03-25,101,12,"other",0.118811881188119,0.114216281895504
"6683",2020-03-26,0,0,"b",0,0.00119904076738609
"7357",2020-03-26,114,96,"b.1",0.842105263157895,0.881294964028777
"8007",2020-03-26,0,0,"b.1.1",0,0.00479616306954436
