"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"34890",2020-03-05,2,2,"other",1,1
"34891",2020-03-06,0,0,"other",0,1
"34892",2020-03-07,2,2,"other",1,1
"34893",2020-03-08,0,0,"other",0,1
"13522",2020-03-09,4,1,"b.1",0.25,0.416666666666667
"34894",2020-03-09,4,3,"other",0.75,0.583333333333333
"13523",2020-03-10,0,0,"b.1",0,0.0967741935483871
"14181",2020-03-10,6,3,"b.1.1",0.5,0.580645161290323
"34895",2020-03-10,6,3,"other",0.5,0.32258064516129
"13524",2020-03-11,4,1,"b.1",0.25,0.14070351758794
"14182",2020-03-11,4,2,"b.1.1",0.5,0.527638190954774
"34896",2020-03-11,4,1,"other",0.25,0.331658291457286
"13525",2020-03-12,18,10,"b.1",0.555555555555556,0.377245508982036
"14183",2020-03-12,0,0,"b.1.1",0,0.209580838323353
"18765",2020-03-12,18,1,"b.1.369",0.0555555555555556,0.125748502994012
"34897",2020-03-12,18,7,"other",0.388888888888889,0.287425149700599
"13526",2020-03-13,39,26,"b.1",0.666666666666667,0.382871536523929
"14184",2020-03-13,0,0,"b.1.1",0,0.0629722921914358
"18766",2020-03-13,39,1,"b.1.369",0.0256410256410256,0.0503778337531486
"21246",2020-03-13,39,7,"b.1.595",0.179487179487179,0.35264483627204
"34898",2020-03-13,39,5,"other",0.128205128205128,0.151133501259446
"13527",2020-03-14,77,48,"b.1",0.623376623376623,0.44219186131923
"14185",2020-03-14,77,6,"b.1.1",0.0779220779220779,0.0678713089466725
"18767",2020-03-14,0,0,"b.1.369",0,0.0205670633171735
"21247",2020-03-14,77,16,"b.1.595",0.207792207792208,0.354781842221243
"34899",2020-03-14,77,7,"other",0.0909090909090909,0.114587924195681
"12855",2020-03-15,83,2,"b",0.0240963855421687,0.0452099031216362
"13528",2020-03-15,83,40,"b.1",0.481927710843373,0.406889128094726
"14186",2020-03-15,83,4,"b.1.1",0.0481927710843374,0.0565123789020452
"18768",2020-03-15,0,0,"b.1.369",0,0.011302475780409
"21248",2020-03-15,83,24,"b.1.595",0.289156626506024,0.354144241119483
"34900",2020-03-15,83,13,"other",0.156626506024096,0.125941872981701
"12856",2020-03-16,95,1,"b",0.0105263157894737,0.0274294670846395
"13529",2020-03-16,95,57,"b.1",0.6,0.475444096133751
"14187",2020-03-16,95,1,"b.1.1",0.0105263157894737,0.0417972831765935
"18769",2020-03-16,0,0,"b.1.369",0,0.00731452455590387
"21249",2020-03-16,95,23,"b.1.595",0.242105263157895,0.320010449320794
"34901",2020-03-16,95,13,"other",0.136842105263158,0.128004179728318
"12857",2020-03-17,0,0,"b",0,0.0184339887640449
"13530",2020-03-17,31,25,"b.1",0.806451612903226,0.545119382022472
"14188",2020-03-17,31,1,"b.1.1",0.032258064516129,0.0368679775280899
"18770",2020-03-17,0,0,"b.1.369",0,0.00614466292134831
"21250",2020-03-17,31,1,"b.1.595",0.032258064516129,0.261762640449438
"34902",2020-03-17,31,4,"other",0.129032258064516,0.131671348314607
"12858",2020-03-18,10,1,"b",0.1,0.019030357951971
"13531",2020-03-18,10,4,"b.1",0.4,0.57091073855913
"14189",2020-03-18,0,0,"b.1.1",0,0.0326234707748074
"18771",2020-03-18,0,0,"b.1.369",0,0.00543724512913457
"21251",2020-03-18,0,0,"b.1.595",0,0.225192569098324
"34903",2020-03-18,10,5,"other",0.5,0.146805618486633
"12859",2020-03-19,0,0,"b",0,0.016250725478816
"13532",2020-03-19,8,4,"b.1",0.5,0.591990713871155
"14190",2020-03-19,0,0,"b.1.1",0,0.0348229831688915
"18772",2020-03-19,0,0,"b.1.369",0,0.00290191526407429
"21252",2020-03-19,0,0,"b.1.595",0,0.206035983749275
"34904",2020-03-19,8,4,"other",0.5,0.147997678467789
"12860",2020-03-20,0,0,"b",0,0.0148305084745763
"13533",2020-03-20,10,7,"b.1",0.7,0.587923728813559
"14191",2020-03-20,0,0,"b.1.1",0,0.038135593220339
"18773",2020-03-20,0,0,"b.1.369",0,0
"21253",2020-03-20,0,0,"b.1.595",0,0.203389830508475
"34905",2020-03-20,10,3,"other",0.3,0.155720338983051
"12861",2020-03-21,0,0,"b",0,0.016
"13534",2020-03-21,13,9,"b.1",0.692307692307692,0.584
"14192",2020-03-21,0,0,"b.1.1",0,0.024
"18774",2020-03-21,0,0,"b.1.369",0,0
"21254",2020-03-21,0,0,"b.1.595",0,0.192
"34906",2020-03-21,13,4,"other",0.307692307692308,0.184
"12862",2020-03-22,0,0,"b",0,0.0112359550561798
"13535",2020-03-22,11,8,"b.1",0.727272727272727,0.640449438202247
"14193",2020-03-22,11,1,"b.1.1",0.0909090909090909,0.0168539325842697
"18775",2020-03-22,0,0,"b.1.369",0,0
"21255",2020-03-22,0,0,"b.1.595",0,0.134831460674157
"34907",2020-03-22,11,2,"other",0.181818181818182,0.196629213483146
"12863",2020-03-23,0,0,"b",0,0.00943396226415094
"13536",2020-03-23,23,10,"b.1",0.434782608695652,0.632075471698113
"14194",2020-03-23,23,3,"b.1.1",0.130434782608696,0.0471698113207547
"18776",2020-03-23,0,0,"b.1.369",0,0
"21256",2020-03-23,0,0,"b.1.595",0,0.00943396226415094
"34908",2020-03-23,23,10,"other",0.434782608695652,0.30188679245283
"12864",2020-03-24,0,0,"b",0,0.0104166666666667
"13537",2020-03-24,21,7,"b.1",0.333333333333333,0.510416666666667
"14195",2020-03-24,0,0,"b.1.1",0,0.0416666666666667
"18777",2020-03-24,0,0,"b.1.369",0,0
"21257",2020-03-24,0,0,"b.1.595",0,0
"34909",2020-03-24,21,14,"other",0.666666666666667,0.4375
"12865",2020-03-25,0,0,"b",0,0
"13538",2020-03-25,29,20,"b.1",0.689655172413793,0.565217391304348
"14196",2020-03-25,29,2,"b.1.1",0.0689655172413793,0.0521739130434783
"18778",2020-03-25,0,0,"b.1.369",0,0
"21258",2020-03-25,0,0,"b.1.595",0,0
"34910",2020-03-25,29,7,"other",0.241379310344828,0.382608695652174
"12866",2020-03-26,0,0,"b",0,0
"13539",2020-03-26,27,18,"b.1",0.666666666666667,0.58955223880597
"14197",2020-03-26,0,0,"b.1.1",0,0.0447761194029851
"18779",2020-03-26,0,0,"b.1.369",0,0
"21259",2020-03-26,0,0,"b.1.595",0,0
"34911",2020-03-26,27,9,"other",0.333333333333333,0.365671641791045
"12867",2020-03-27,0,0,"b",0,0
"13540",2020-03-27,15,6,"b.1",0.4,0.561151079136691
"14198",2020-03-27,15,1,"b.1.1",0.0666666666666667,0.0503597122302158
"18780",2020-03-27,0,0,"b.1.369",0,0
"21260",2020-03-27,0,0,"b.1.595",0,0
"34912",2020-03-27,15,8,"other",0.533333333333333,0.388489208633093
"12868",2020-03-28,0,0,"b",0,0
"13541",2020-03-28,4,3,"b.1",0.75,0.553846153846154
"14199",2020-03-28,0,0,"b.1.1",0,0.0538461538461538
"18781",2020-03-28,0,0,"b.1.369",0,0
"21261",2020-03-28,0,0,"b.1.595",0,0
"34913",2020-03-28,4,1,"other",0.25,0.392307692307692
"12869",2020-03-29,0,0,"b",0,0
"13542",2020-03-29,11,5,"b.1",0.454545454545455,0.530769230769231
"14200",2020-03-29,0,0,"b.1.1",0,0.0461538461538461
"18782",2020-03-29,0,0,"b.1.369",0,0
"21262",2020-03-29,0,0,"b.1.595",0,0
"34914",2020-03-29,11,6,"other",0.545454545454545,0.423076923076923
"12870",2020-03-30,0,0,"b",0,0
"13543",2020-03-30,26,13,"b.1",0.5,0.541353383458647
"14201",2020-03-30,26,1,"b.1.1",0.0384615384615385,0.0300751879699248
"18783",2020-03-30,0,0,"b.1.369",0,0
"21263",2020-03-30,0,0,"b.1.595",0,0
"34915",2020-03-30,26,12,"other",0.461538461538462,0.428571428571429
"12871",2020-03-31,13,1,"b",0.0769230769230769,0.008
"13544",2020-03-31,13,4,"b.1",0.307692307692308,0.552
"14202",2020-03-31,0,0,"b.1.1",0,0.032
"18784",2020-03-31,0,0,"b.1.369",0,0
"21264",2020-03-31,0,0,"b.1.595",0,0
"34916",2020-03-31,13,8,"other",0.615384615384615,0.408
"12872",2020-04-01,0,0,"b",0,0.0099009900990099
"13545",2020-04-01,5,3,"b.1",0.6,0.514851485148515
"14203",2020-04-01,0,0,"b.1.1",0,0.0198019801980198
"18785",2020-04-01,0,0,"b.1.369",0,0
"21265",2020-04-01,0,0,"b.1.595",0,0
"34917",2020-04-01,5,2,"other",0.4,0.455445544554455
"12873",2020-04-02,0,0,"b",0,0.0117647058823529
"13546",2020-04-02,11,3,"b.1",0.272727272727273,0.435294117647059
"14204",2020-04-02,11,1,"b.1.1",0.0909090909090909,0.0352941176470588
"18786",2020-04-02,0,0,"b.1.369",0,0
"21266",2020-04-02,0,0,"b.1.595",0,0
"34918",2020-04-02,11,7,"other",0.636363636363636,0.517647058823529
"12874",2020-04-03,0,0,"b",0,0.012987012987013
"13547",2020-04-03,7,3,"b.1",0.428571428571429,0.441558441558442
"14205",2020-04-03,0,0,"b.1.1",0,0.025974025974026
"18787",2020-04-03,0,0,"b.1.369",0,0
"21267",2020-04-03,0,0,"b.1.595",0,0
"34919",2020-04-03,7,4,"other",0.571428571428571,0.51948051948052
"12875",2020-04-04,0,0,"b",0,0.0121951219512195
"13548",2020-04-04,9,4,"b.1",0.444444444444444,0.426829268292683
"14206",2020-04-04,0,0,"b.1.1",0,0.024390243902439
"18788",2020-04-04,0,0,"b.1.369",0,0
"21268",2020-04-04,0,0,"b.1.595",0,0
"34920",2020-04-04,9,5,"other",0.555555555555556,0.536585365853658
"12876",2020-04-05,0,0,"b",0,0.0125
"13549",2020-04-05,9,6,"b.1",0.666666666666667,0.45
"14207",2020-04-05,9,1,"b.1.1",0.111111111111111,0.0375
"18789",2020-04-05,0,0,"b.1.369",0,0
"21269",2020-04-05,0,0,"b.1.595",0,0
"34921",2020-04-05,9,2,"other",0.222222222222222,0.5
"12877",2020-04-06,0,0,"b",0,0.0153846153846154
"13550",2020-04-06,11,3,"b.1",0.272727272727273,0.4
"14208",2020-04-06,0,0,"b.1.1",0,0.0307692307692308
"18790",2020-04-06,0,0,"b.1.369",0,0
"21270",2020-04-06,0,0,"b.1.595",0,0
"34922",2020-04-06,11,8,"other",0.727272727272727,0.553846153846154
"12878",2020-04-07,0,0,"b",0,0
"13551",2020-04-07,11,8,"b.1",0.727272727272727,0.476190476190476
"14209",2020-04-07,0,0,"b.1.1",0,0.0317460317460317
"18791",2020-04-07,0,0,"b.1.369",0,0
"21271",2020-04-07,11,1,"b.1.595",0.0909090909090909,0.0158730158730159
"34923",2020-04-07,11,2,"other",0.181818181818182,0.476190476190476
"12879",2020-04-08,0,0,"b",0,0
"13552",2020-04-08,23,20,"b.1",0.869565217391304,0.580246913580247
"14210",2020-04-08,0,0,"b.1.1",0,0.0246913580246914
"18792",2020-04-08,0,0,"b.1.369",0,0
"21272",2020-04-08,0,0,"b.1.595",0,0.0123456790123457
"34924",2020-04-08,23,3,"other",0.130434782608696,0.382716049382716
"12880",2020-04-09,0,0,"b",0,0
"13553",2020-04-09,12,6,"b.1",0.5,0.609756097560976
"14211",2020-04-09,0,0,"b.1.1",0,0.0121951219512195
"18793",2020-04-09,0,0,"b.1.369",0,0
"21273",2020-04-09,0,0,"b.1.595",0,0.0121951219512195
"34925",2020-04-09,12,6,"other",0.5,0.365853658536585
"12881",2020-04-10,0,0,"b",0,0
"13554",2020-04-10,21,14,"b.1",0.666666666666667,0.635416666666667
"14212",2020-04-10,0,0,"b.1.1",0,0.0104166666666667
"18794",2020-04-10,0,0,"b.1.369",0,0
"21274",2020-04-10,0,0,"b.1.595",0,0.0104166666666667
"34926",2020-04-10,21,7,"other",0.333333333333333,0.34375
"12882",2020-04-11,0,0,"b",0,0
"13555",2020-04-11,14,9,"b.1",0.642857142857143,0.653465346534654
"14213",2020-04-11,0,0,"b.1.1",0,0.0099009900990099
"18795",2020-04-11,0,0,"b.1.369",0,0
"21275",2020-04-11,0,0,"b.1.595",0,0.0099009900990099
"34927",2020-04-11,14,5,"other",0.357142857142857,0.326732673267327
"12883",2020-04-12,0,0,"b",0,0
"13556",2020-04-12,6,4,"b.1",0.666666666666667,0.653061224489796
"14214",2020-04-12,0,0,"b.1.1",0,0
"18796",2020-04-12,0,0,"b.1.369",0,0
"21276",2020-04-12,0,0,"b.1.595",0,0.0102040816326531
"34928",2020-04-12,6,2,"other",0.333333333333333,0.336734693877551
"12884",2020-04-13,0,0,"b",0,0
"13557",2020-04-13,18,10,"b.1",0.555555555555556,0.676190476190476
"14215",2020-04-13,0,0,"b.1.1",0,0
"18797",2020-04-13,0,0,"b.1.369",0,0
"21277",2020-04-13,0,0,"b.1.595",0,0.00952380952380952
"34929",2020-04-13,18,8,"other",0.444444444444444,0.314285714285714
"12885",2020-04-14,0,0,"b",0,0
"13558",2020-04-14,42,36,"b.1",0.857142857142857,0.727941176470588
"14216",2020-04-14,0,0,"b.1.1",0,0
"18798",2020-04-14,0,0,"b.1.369",0,0
"21278",2020-04-14,0,0,"b.1.595",0,0
"34930",2020-04-14,42,6,"other",0.142857142857143,0.272058823529412
"12886",2020-04-15,0,0,"b",0,0
"13559",2020-04-15,8,3,"b.1",0.375,0.677685950413223
"14217",2020-04-15,0,0,"b.1.1",0,0
"18799",2020-04-15,0,0,"b.1.369",0,0
"21279",2020-04-15,0,0,"b.1.595",0,0
"34931",2020-04-15,8,5,"other",0.625,0.322314049586777
"12887",2020-04-16,0,0,"b",0,0
"13560",2020-04-16,5,3,"b.1",0.6,0.692982456140351
"14218",2020-04-16,0,0,"b.1.1",0,0
