"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"7502",2020-03-03,1,1,"b.1",1,1
"7503",2020-03-04,2,2,"b.1",1,1
"7504",2020-03-05,0,0,"b.1",0,1
"7505",2020-03-06,0,0,"b.1",0,1
"7506",2020-03-07,0,0,"b.1",0,1
"7507",2020-03-08,0,0,"b.1",0,1
"7508",2020-03-09,0,0,"b.1",0,1
"7509",2020-03-10,1,1,"b.1",1,1
"7510",2020-03-11,0,0,"b.1",0,1
"7511",2020-03-12,0,0,"b.1",0,1
"7512",2020-03-13,6,6,"b.1",1,1
"6842",2020-03-14,20,1,"b",0.05,0.155555555555556
"7513",2020-03-14,20,17,"b.1",0.85,0.533333333333333
"28739",2020-03-14,20,2,"other",0.1,0.311111111111111
"6843",2020-03-15,9,1,"b",0.111111111111111,0.152173913043478
"7514",2020-03-15,9,8,"b.1",0.888888888888889,0.695652173913043
"28740",2020-03-15,0,0,"other",0,0.152173913043478
"6844",2020-03-16,0,0,"b",0,0.0693069306930693
"7515",2020-03-16,22,19,"b.1",0.863636363636364,0.757425742574257
"28741",2020-03-16,22,3,"other",0.136363636363636,0.173267326732673
"6845",2020-03-17,0,0,"b",0,0.053639846743295
"7516",2020-03-17,3,3,"b.1",1,0.812260536398467
"28742",2020-03-17,0,0,"other",0,0.134099616858238
"6846",2020-03-18,0,0,"b",0,0.0410557184750733
"7517",2020-03-18,5,4,"b.1",0.8,0.835777126099707
"28743",2020-03-18,5,1,"other",0.2,0.12316715542522
"6847",2020-03-19,0,0,"b",0,0.0341463414634146
"7518",2020-03-19,2,2,"b.1",1,0.863414634146341
"28744",2020-03-19,0,0,"other",0,0.102439024390244
"6848",2020-03-20,0,0,"b",0,0.0317460317460317
"7519",2020-03-20,2,2,"b.1",1,0.873015873015873
"28745",2020-03-20,0,0,"other",0,0.0952380952380952
"6849",2020-03-21,0,0,"b",0,0.0227272727272727
"7520",2020-03-21,1,1,"b.1",1,0.886363636363636
