"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"20389",2020-01-28,1,1,"b.1.526",1,1
"20390",2020-01-29,0,0,"b.1.526",0,1
"20391",2020-01-30,0,0,"b.1.526",0,1
"20392",2020-01-31,0,0,"b.1.526",0,1
"20393",2020-02-01,0,0,"b.1.526",0,1
"20394",2020-02-02,0,0,"b.1.526",0,1
"20395",2020-02-03,0,0,"b.1.526",0,1
"20396",2020-02-04,0,0,"b.1.526",0,0
"20397",2020-02-05,0,0,"b.1.526",0,0
"20398",2020-02-06,0,0,"b.1.526",0,0
"20399",2020-02-07,0,0,"b.1.526",0,0
"20400",2020-02-08,0,0,"b.1.526",0,0
"20401",2020-02-09,0,0,"b.1.526",0,0
"20402",2020-02-10,0,0,"b.1.526",0,0
"20403",2020-02-11,0,0,"b.1.526",0,0
"20404",2020-02-12,0,0,"b.1.526",0,0
"20405",2020-02-13,0,0,"b.1.526",0,0
"20406",2020-02-14,0,0,"b.1.526",0,0
"20407",2020-02-15,0,0,"b.1.526",0,0
"20408",2020-02-16,0,0,"b.1.526",0,0
"20409",2020-02-17,0,0,"b.1.526",0,0
"20410",2020-02-18,0,0,"b.1.526",0,0
"20411",2020-02-19,0,0,"b.1.526",0,0
"20412",2020-02-20,0,0,"b.1.526",0,0
"20413",2020-02-21,0,0,"b.1.526",0,0
"20414",2020-02-22,0,0,"b.1.526",0,0
"20415",2020-02-23,0,0,"b.1.526",0,0
"20416",2020-02-24,0,0,"b.1.526",0,0
"20417",2020-02-25,0,0,"b.1.526",0,0
"20418",2020-02-26,0,0,"b.1.526",0,0
"20419",2020-02-27,0,0,"b.1.526",0,0
"20420",2020-02-28,0,0,"b.1.526",0,0
"20421",2020-02-29,0,0,"b.1.526",0,0
"57301",2020-02-29,2,2,"other",1,1
"20422",2020-03-01,0,0,"b.1.526",0,0
"57302",2020-03-01,0,0,"other",0,1
"11029",2020-03-02,4,3,"b.1",0.75,0.75
"20423",2020-03-02,0,0,"b.1.526",0,0
"57303",2020-03-02,4,1,"other",0.25,0.25
"11030",2020-03-03,5,5,"b.1",1,0.842105263157895
"20424",2020-03-03,0,0,"b.1.526",0,0
"57304",2020-03-03,0,0,"other",0,0.157894736842105
"11031",2020-03-04,18,13,"b.1",0.722222222222222,0.813953488372093
"20425",2020-03-04,0,0,"b.1.526",0,0
"57305",2020-03-04,18,5,"other",0.277777777777778,0.186046511627907
"11032",2020-03-05,12,11,"b.1",0.916666666666667,0.842105263157895
"20426",2020-03-05,0,0,"b.1.526",0,0
"57306",2020-03-05,12,1,"other",0.0833333333333333,0.157894736842105
"11033",2020-03-06,21,20,"b.1",0.952380952380952,0.879227053140097
"20427",2020-03-06,0,0,"b.1.526",0,0
"57307",2020-03-06,21,1,"other",0.0476190476190476,0.120772946859903
"11034",2020-03-07,10,9,"b.1",0.9,0.887733887733888
"20428",2020-03-07,0,0,"b.1.526",0,0
"57308",2020-03-07,10,1,"other",0.1,0.112266112266112
"11035",2020-03-08,22,19,"b.1",0.863636363636364,0.869565217391304
"20429",2020-03-08,0,0,"b.1.526",0,0
"57309",2020-03-08,22,3,"other",0.136363636363636,0.130434782608696
"11036",2020-03-09,47,31,"b.1",0.659574468085106,0.8
"20430",2020-03-09,0,0,"b.1.526",0,0
"57310",2020-03-09,47,16,"other",0.340425531914894,0.2
"11037",2020-03-10,46,39,"b.1",0.847826086956522,0.75531914893617
"12172",2020-03-10,46,2,"b.1.1",0.0434782608695652,0.074468085106383
"20431",2020-03-10,0,0,"b.1.526",0,0
"57311",2020-03-10,46,5,"other",0.108695652173913,0.170212765957447
"11038",2020-03-11,38,26,"b.1",0.684210526315789,0.761670761670762
"12173",2020-03-11,38,1,"b.1.1",0.0263157894736842,0.0515970515970516
"20432",2020-03-11,0,0,"b.1.526",0,0
"57312",2020-03-11,38,11,"other",0.289473684210526,0.186732186732187
"11039",2020-03-12,72,52,"b.1",0.722222222222222,0.742424242424242
"12174",2020-03-12,72,3,"b.1.1",0.0416666666666667,0.053030303030303
"20433",2020-03-12,0,0,"b.1.526",0,0
"57313",2020-03-12,72,17,"other",0.236111111111111,0.204545454545455
"11040",2020-03-13,52,35,"b.1",0.673076923076923,0.678456591639871
"12175",2020-03-13,52,2,"b.1.1",0.0384615384615385,0.045016077170418
"13163",2020-03-13,52,1,"b.1.1.231",0.0192307692307692,0.022508038585209
"18816",2020-03-13,52,2,"b.1.369",0.0384615384615385,0.045016077170418
"20434",2020-03-13,0,0,"b.1.526",0,0
"57314",2020-03-13,52,12,"other",0.230769230769231,0.209003215434084
"11041",2020-03-14,61,40,"b.1",0.655737704918033,0.687695368002273
"12176",2020-03-14,61,8,"b.1.1",0.131147540983607,0.0636544472861608
"13164",2020-03-14,0,0,"b.1.1.231",0,0.00994600738846263
"18817",2020-03-14,0,0,"b.1.369",0,0.0198920147769253
"20435",2020-03-14,0,0,"b.1.526",0,0
"57315",2020-03-14,61,13,"other",0.213114754098361,0.218812162546178
"11042",2020-03-15,300,232,"b.1",0.773333333333333,0.719557195571956
"12177",2020-03-15,300,2,"b.1.1",0.00666666666666667,0.033210332103321
"13165",2020-03-15,300,2,"b.1.1.231",0.00666666666666667,0.011070110701107
"18818",2020-03-15,300,5,"b.1.369",0.0166666666666667,0.025830258302583
"20436",2020-03-15,0,0,"b.1.526",0,0
"57316",2020-03-15,300,59,"other",0.196666666666667,0.210332103321033
"11043",2020-03-16,189,132,"b.1",0.698412698412698,0.72490221642764
"12178",2020-03-16,189,5,"b.1.1",0.0264550264550265,0.029986962190352
"13166",2020-03-16,189,1,"b.1.1.231",0.00529100529100529,0.0091264667535854
"18819",2020-03-16,189,1,"b.1.369",0.00529100529100529,0.0182529335071708
"20437",2020-03-16,0,0,"b.1.526",0,0
"57317",2020-03-16,189,50,"other",0.264550264550265,0.217731421121252
"11044",2020-03-17,134,93,"b.1",0.694029850746269,0.716298731798967
"12179",2020-03-17,134,3,"b.1.1",0.0223880597014925,0.0281822451855331
"13167",2020-03-17,0,0,"b.1.1.231",0,0.00657585720995773
"18820",2020-03-17,134,2,"b.1.369",0.0149253731343284,0.0164396430248943
"20438",2020-03-17,0,0,"b.1.526",0,0
"57318",2020-03-17,134,36,"other",0.26865671641791,0.232503522780648
"11045",2020-03-18,217,158,"b.1",0.728110599078341,0.721438988818668
"12180",2020-03-18,217,7,"b.1.1",0.032258064516129,0.0291686922702965
"13168",2020-03-18,217,1,"b.1.1.231",0.00460829493087558,0.00567169016366877
"18821",2020-03-18,217,6,"b.1.369",0.0276497695852535,0.0181494085237401
"20439",2020-03-18,0,0,"b.1.526",0,0
"57319",2020-03-18,217,45,"other",0.207373271889401,0.225571220223627
"11046",2020-03-19,187,143,"b.1",0.764705882352941,0.726876090750436
"12181",2020-03-19,187,3,"b.1.1",0.0160427807486631,0.0261780104712042
"13169",2020-03-19,0,0,"b.1.1.231",0,0.0043630017452007
"14841",2020-03-19,187,1,"b.1.1.7",0.0053475935828877,0.00610820244328098
"18822",2020-03-19,187,5,"b.1.369",0.0267379679144385,0.0183246073298429
"20440",2020-03-19,0,0,"b.1.526",0,0
"57320",2020-03-19,187,35,"other",0.18716577540107,0.218150087260035
"11047",2020-03-20,170,116,"b.1",0.682352941176471,0.725109083696946
"12182",2020-03-20,170,5,"b.1.1",0.0294117647058824,0.0261800872669576
