"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"7851",2020-03-16,1,1,"other",1,1
"7852",2020-03-17,7,7,"other",1,1
"7853",2020-03-18,3,3,"other",1,1
"7854",2020-03-19,2,2,"other",1,1
"7855",2020-03-20,0,0,"other",0,1
"7856",2020-03-21,0,0,"other",0,1
"7857",2020-03-22,1,1,"other",1,1
"7858",2020-03-23,6,6,"other",1,1
"7859",2020-03-24,16,16,"other",1,1
"7860",2020-03-25,5,5,"other",1,1
"7861",2020-03-26,0,0,"other",0,1
"7862",2020-03-27,0,0,"other",0,1
"7863",2020-03-28,0,0,"other",0,1
"7864",2020-03-29,0,0,"other",0,1
"7865",2020-03-30,0,0,"other",0,1
"7866",2020-03-31,0,0,"other",0,1
"7867",2020-04-01,0,0,"other",0,0
"7868",2020-04-02,0,0,"other",0,0
"7869",2020-04-03,0,0,"other",0,0
"7870",2020-04-04,0,0,"other",0,0
"7871",2020-04-05,0,0,"other",0,0
"7872",2020-04-06,0,0,"other",0,0
"7873",2020-04-07,0,0,"other",0,0
"7874",2020-04-08,0,0,"other",0,0
"7875",2020-04-09,0,0,"other",0,0
"7876",2020-04-10,0,0,"other",0,0
"7877",2020-04-11,0,0,"other",0,0
"7878",2020-04-12,0,0,"other",0,0
"7879",2020-04-13,0,0,"other",0,0
"7880",2020-04-14,0,0,"other",0,0
"7881",2020-04-15,0,0,"other",0,0
"7882",2020-04-16,0,0,"other",0,0
"7883",2020-04-17,0,0,"other",0,0
"7884",2020-04-18,0,0,"other",0,0
"7885",2020-04-19,0,0,"other",0,0
"7886",2020-04-20,0,0,"other",0,0
"7887",2020-04-21,0,0,"other",0,0
"7888",2020-04-22,0,0,"other",0,0
"7889",2020-04-23,0,0,"other",0,0
"7890",2020-04-24,0,0,"other",0,0
"7891",2020-04-25,1,1,"other",1,1
"7892",2020-04-26,0,0,"other",0,1
"7893",2020-04-27,0,0,"other",0,1
"7894",2020-04-28,0,0,"other",0,1
