"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"8690",2020-03-13,1,1,"other",1,1
"8691",2020-03-14,0,0,"other",0,1
"8692",2020-03-15,0,0,"other",0,1
"8693",2020-03-16,1,1,"other",1,1
"8694",2020-03-17,1,1,"other",1,1
"8695",2020-03-18,5,5,"other",1,1
"8696",2020-03-19,1,1,"other",1,1
"8697",2020-03-20,0,0,"other",0,1
"8698",2020-03-21,0,0,"other",0,1
"8699",2020-03-22,0,0,"other",0,1
"8700",2020-03-23,0,0,"other",0,1
"8701",2020-03-24,0,0,"other",0,1
"8702",2020-03-25,0,0,"other",0,1
"8703",2020-03-26,0,0,"other",0,0
"8704",2020-03-27,0,0,"other",0,0
"8705",2020-03-28,0,0,"other",0,0
"8706",2020-03-29,0,0,"other",0,0
"8707",2020-03-30,0,0,"other",0,0
"8708",2020-03-31,0,0,"other",0,0
"8709",2020-04-01,0,0,"other",0,0
"8710",2020-04-02,0,0,"other",0,0
"8711",2020-04-03,0,0,"other",0,0
"8712",2020-04-04,0,0,"other",0,0
"8713",2020-04-05,0,0,"other",0,0
"8714",2020-04-06,0,0,"other",0,0
"8715",2020-04-07,0,0,"other",0,0
"8716",2020-04-08,0,0,"other",0,0
"8717",2020-04-09,0,0,"other",0,0
"8718",2020-04-10,1,1,"other",1,1
"8719",2020-04-11,0,0,"other",0,1
"8720",2020-04-12,0,0,"other",0,1
"8721",2020-04-13,0,0,"other",0,1
"8722",2020-04-14,0,0,"other",0,1
"8723",2020-04-15,0,0,"other",0,1
"8724",2020-04-16,0,0,"other",0,1
"8725",2020-04-17,0,0,"other",0,0
"8726",2020-04-18,0,0,"other",0,0
"8727",2020-04-19,0,0,"other",0,0
"8728",2020-04-20,0,0,"other",0,0
"8729",2020-04-21,0,0,"other",0,0
"8730",2020-04-22,0,0,"other",0,0
"8731",2020-04-23,0,0,"other",0,0
"8732",2020-04-24,0,0,"other",0,0
"8733",2020-04-25,0,0,"other",0,0
"8734",2020-04-26,0,0,"other",0,0
"8735",2020-04-27,0,0,"other",0,0
"8736",2020-04-28,0,0,"other",0,0
"8737",2020-04-29,0,0,"other",0,0
"8738",2020-04-30,0,0,"other",0,0
"8739",2020-05-01,0,0,"other",0,0
"8740",2020-05-02,0,0,"other",0,0
"8741",2020-05-03,0,0,"other",0,0
"8742",2020-05-04,0,0,"other",0,0
"8743",2020-05-05,0,0,"other",0,0
"8744",2020-05-06,0,0,"other",0,0
"8745",2020-05-07,0,0,"other",0,0
"8746",2020-05-08,0,0,"other",0,0
"8747",2020-05-09,0,0,"other",0,0
"8748",2020-05-10,0,0,"other",0,0
"8749",2020-05-11,0,0,"other",0,0
"8750",2020-05-12,0,0,"other",0,0
"8751",2020-05-13,0,0,"other",0,0
"8752",2020-05-14,0,0,"other",0,0
"8753",2020-05-15,0,0,"other",0,0
"8754",2020-05-16,0,0,"other",0,0
"8755",2020-05-17,0,0,"other",0,0
"8756",2020-05-18,0,0,"other",0,0
"8757",2020-05-19,0,0,"other",0,0
"8758",2020-05-20,0,0,"other",0,0
"8759",2020-05-21,0,0,"other",0,0
"8760",2020-05-22,0,0,"other",0,0
"8761",2020-05-23,0,0,"other",0,0
"8762",2020-05-24,0,0,"other",0,0
"8763",2020-05-25,0,0,"other",0,0
"8764",2020-05-26,0,0,"other",0,0
"8765",2020-05-27,3,3,"other",1,1
"8766",2020-05-28,0,0,"other",0,1
"8767",2020-05-29,0,0,"other",0,1
"8768",2020-05-30,0,0,"other",0,1
"8769",2020-05-31,0,0,"other",0,1
"8770",2020-06-01,0,0,"other",0,1
"8771",2020-06-02,0,0,"other",0,1
"8772",2020-06-03,0,0,"other",0,0
"8773",2020-06-04,0,0,"other",0,0
