"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"6412",2020-03-03,1,1,"b.1",1,1
"6413",2020-03-04,0,0,"b.1",0,1
"6414",2020-03-05,2,2,"b.1",1,1
"6415",2020-03-06,1,1,"b.1",1,1
"6416",2020-03-07,3,3,"b.1",1,1
"6417",2020-03-08,3,3,"b.1",1,1
"6418",2020-03-09,1,1,"b.1",1,1
"6419",2020-03-10,0,0,"b.1",0,1
"6420",2020-03-11,1,1,"b.1",1,1
"6421",2020-03-12,2,1,"b.1",0.5,0.588235294117647
"21718",2020-03-12,2,1,"other",0.5,0.411764705882353
"6422",2020-03-13,3,2,"b.1",0.666666666666667,0.611111111111111
"21719",2020-03-13,3,1,"other",0.333333333333333,0.388888888888889
"6423",2020-03-14,4,2,"b.1",0.5,0.517241379310345
"21720",2020-03-14,4,2,"other",0.5,0.482758620689655
"6424",2020-03-15,43,37,"b.1",0.86046511627907,0.56957928802589
"7043",2020-03-15,43,3,"b.1.1",0.0697674418604651,0.271844660194175
"21721",2020-03-15,43,3,"other",0.0697674418604651,0.158576051779935
"6425",2020-03-16,3,2,"b.1",0.666666666666667,0.65406976744186
"7044",2020-03-16,3,1,"b.1.1",0.333333333333333,0.203488372093023
"21722",2020-03-16,0,0,"other",0,0.142441860465116
"6426",2020-03-17,1,1,"b.1",1,0.724409448818898
"7045",2020-03-17,0,0,"b.1.1",0,0.146981627296588
"21723",2020-03-17,0,0,"other",0,0.128608923884514
"6427",2020-03-18,4,2,"b.1",0.5,0.728682170542636
"7046",2020-03-18,4,2,"b.1.1",0.5,0.162790697674419
"21724",2020-03-18,0,0,"other",0,0.108527131782946
"6428",2020-03-19,2,1,"b.1",0.5,0.748407643312102
"7047",2020-03-19,2,1,"b.1.1",0.5,0.156050955414013
"21725",2020-03-19,0,0,"other",0,0.0955414012738853
"6429",2020-03-20,0,0,"b.1",0,0.773638968481375
"7048",2020-03-20,0,0,"b.1.1",0,0.140401146131805
"21726",2020-03-20,0,0,"other",0,0.0859598853868195
"6430",2020-03-21,0,0,"b.1",0,0.811320754716981
"7049",2020-03-21,0,0,"b.1.1",0,0.132075471698113
"21727",2020-03-21,0,0,"other",0,0.0566037735849057
"6431",2020-03-22,0,0,"b.1",0,0.6
"7050",2020-03-22,0,0,"b.1.1",0,0.4
"21728",2020-03-22,0,0,"other",0,0
"6432",2020-03-23,9,6,"b.1",0.666666666666667,0.625
"7051",2020-03-23,0,0,"b.1.1",0,0.1875
"21729",2020-03-23,9,3,"other",0.333333333333333,0.1875
"6433",2020-03-24,5,5,"b.1",1,0.7
"7052",2020-03-24,0,0,"b.1.1",0,0.15
"21730",2020-03-24,0,0,"other",0,0.15
"6434",2020-03-25,11,9,"b.1",0.818181818181818,0.777777777777778
"7053",2020-03-25,11,1,"b.1.1",0.0909090909090909,0.0740740740740741
"21731",2020-03-25,11,1,"other",0.0909090909090909,0.148148148148148
"6435",2020-03-26,15,12,"b.1",0.8,0.8
"7054",2020-03-26,15,2,"b.1.1",0.133333333333333,0.075
"21732",2020-03-26,15,1,"other",0.0666666666666667,0.125
"6436",2020-03-27,9,5,"b.1",0.555555555555556,0.755102040816326
"7055",2020-03-27,9,1,"b.1.1",0.111111111111111,0.0816326530612245
"21733",2020-03-27,9,3,"other",0.333333333333333,0.163265306122449
"6437",2020-03-28,4,4,"b.1",1,0.773584905660377
"7056",2020-03-28,0,0,"b.1.1",0,0.0754716981132075
"21734",2020-03-28,0,0,"other",0,0.150943396226415
"6438",2020-03-29,0,0,"b.1",0,0.745454545454545
"7057",2020-03-29,0,0,"b.1.1",0,0.0727272727272727
"21735",2020-03-29,2,2,"other",1,0.181818181818182
"6439",2020-03-30,16,12,"b.1",0.75,0.758064516129032
"7058",2020-03-30,0,0,"b.1.1",0,0.0645161290322581
"21736",2020-03-30,16,4,"other",0.25,0.17741935483871
"6440",2020-03-31,19,6,"b.1",0.315789473684211,0.631578947368421
"7059",2020-03-31,19,4,"b.1.1",0.210526315789474,0.105263157894737
"21737",2020-03-31,19,9,"other",0.473684210526316,0.263157894736842
"6441",2020-04-01,8,6,"b.1",0.75,0.616438356164384
"7060",2020-04-01,8,2,"b.1.1",0.25,0.123287671232877
"21738",2020-04-01,0,0,"other",0,0.26027397260274
"6442",2020-04-02,8,5,"b.1",0.625,0.575757575757576
"7061",2020-04-02,0,0,"b.1.1",0,0.106060606060606
"21739",2020-04-02,8,3,"other",0.375,0.318181818181818
"6443",2020-04-03,0,0,"b.1",0,0.578947368421053
"7062",2020-04-03,0,0,"b.1.1",0,0.105263157894737
"21740",2020-04-03,0,0,"other",0,0.315789473684211
"6444",2020-04-04,3,1,"b.1",0.333333333333333,0.535714285714286
"7063",2020-04-04,0,0,"b.1.1",0,0.107142857142857
"21741",2020-04-04,3,2,"other",0.666666666666667,0.357142857142857
"6445",2020-04-05,4,2,"b.1",0.5,0.551724137931034
"7064",2020-04-05,0,0,"b.1.1",0,0.103448275862069
"21742",2020-04-05,4,2,"other",0.5,0.344827586206897
"6446",2020-04-06,2,2,"b.1",1,0.5
"7065",2020-04-06,0,0,"b.1.1",0,0.136363636363636
"21743",2020-04-06,0,0,"other",0,0.363636363636364
"6447",2020-04-07,8,5,"b.1",0.625,0.636363636363636
"7066",2020-04-07,0,0,"b.1.1",0,0.0606060606060606
"21744",2020-04-07,8,3,"other",0.375,0.303030303030303
"6448",2020-04-08,14,11,"b.1",0.785714285714286,0.666666666666667
"7067",2020-04-08,0,0,"b.1.1",0,0
"21745",2020-04-08,14,3,"other",0.214285714285714,0.333333333333333
"6449",2020-04-09,2,2,"b.1",1,0.696969696969697
"7068",2020-04-09,0,0,"b.1.1",0,0
"21746",2020-04-09,0,0,"other",0,0.303030303030303
"6450",2020-04-10,3,3,"b.1",1,0.722222222222222
"7069",2020-04-10,0,0,"b.1.1",0,0
"21747",2020-04-10,0,0,"other",0,0.277777777777778
"6451",2020-04-11,5,5,"b.1",1,0.789473684210526
"7070",2020-04-11,0,0,"b.1.1",0,0
"21748",2020-04-11,0,0,"other",0,0.210526315789474
"6452",2020-04-12,6,3,"b.1",0.5,0.775
"7071",2020-04-12,0,0,"b.1.1",0,0
"21749",2020-04-12,6,3,"other",0.5,0.225
"6453",2020-04-13,13,10,"b.1",0.769230769230769,0.764705882352941
"7072",2020-04-13,0,0,"b.1.1",0,0
"21750",2020-04-13,13,3,"other",0.230769230769231,0.235294117647059
"6454",2020-04-14,3,3,"b.1",1,0.804347826086957
"7073",2020-04-14,0,0,"b.1.1",0,0
"21751",2020-04-14,0,0,"other",0,0.195652173913043
"6455",2020-04-15,7,2,"b.1",0.285714285714286,0.717948717948718
"7074",2020-04-15,0,0,"b.1.1",0,0
"21752",2020-04-15,7,5,"other",0.714285714285714,0.282051282051282
"6456",2020-04-16,5,3,"b.1",0.6,0.690476190476191
"7075",2020-04-16,0,0,"b.1.1",0,0
"21753",2020-04-16,5,2,"other",0.4,0.30952380952381
"6457",2020-04-17,9,6,"b.1",0.666666666666667,0.666666666666667
"7076",2020-04-17,0,0,"b.1.1",0,0
"21754",2020-04-17,9,3,"other",0.333333333333333,0.333333333333333
"6458",2020-04-18,4,4,"b.1",1,0.659574468085106
"7077",2020-04-18,0,0,"b.1.1",0,0
