"date","total_count","lineage_count","lineage","prevalence","prevalence_rolling","term"
"2020-03-02",1,1,"b.1.104",1,1,NA
"2020-03-03",0,0,"b.1.104",0,1,NA
"2020-03-04",0,0,"b.1.104",0,1,NA
"2020-03-05",0,0,"b.1.104",0,1,NA
"2020-03-06",1,1,"b",1,0.833333333333333,NA
"2020-03-06",0,0,"b.1.104",0,0.166666666666667,NA
"2020-03-07",0,0,"b",0,0.75,NA
"2020-03-07",0,0,"b.1.104",0,0.25,NA
"2020-03-08",2,2,"a.1",1,0.807692307692308,NA
"2020-03-08",0,0,"b",0,0.134615384615385,NA
"2020-03-08",0,0,"b.1.104",0,0.0576923076923077,NA
"2020-03-09",1,1,"a",1,0.444444444444444,NA
"2020-03-09",0,0,"a.1",0,0.444444444444444,NA
"2020-03-09",0,0,"b",0,0.111111111111111,NA
"2020-03-09",0,0,"b.1.104",0,0,NA
"2020-03-10",0,0,"a",0,0.294117647058824,NA
"2020-03-10",1,1,"a.1",1,0.588235294117647,NA
"2020-03-10",0,0,"b",0,0.117647058823529,NA
"2020-03-10",0,0,"b.1.104",0,0,NA
"2020-03-11",0,0,"a",0,0.102564102564103,NA
"2020-03-11",0,0,"a.1",0,0.230769230769231,NA
"2020-03-11",0,0,"b",0,0.0512820512820513,NA
"2020-03-11",2,2,"b.1",1,0.615384615384615,NA
"2020-03-11",0,0,"b.1.104",0,0,NA
"2020-03-12",0,0,"a",0,0.0365726227795193,NA
"2020-03-12",7,1,"a.1",0.142857142857143,0.117032392894462,NA
"2020-03-12",0,0,"b",0,0.0208986415882968,NA
"2020-03-12",7,1,"b.1",0.142857142857143,0.219435736677116,NA
"2020-03-12",7,4,"b.1.1",0.571428571428571,0.585161964472309,NA
"2020-03-12",7,1,"b.1.104",0.142857142857143,0.0208986415882968,NA
"2020-03-13",24,1,"a",0.0416666666666667,0.0272373540856031,NA
"2020-03-13",24,2,"a.1",0.0833333333333333,0.0680933852140078,NA
"2020-03-13",0,0,"b",0,0,NA
"2020-03-13",24,9,"b.1",0.375,0.272373540856031,NA
"2020-03-13",24,8,"b.1.1",0.333333333333333,0.408560311284047,NA
"2020-03-13",24,1,"b.1.104",0.0416666666666667,0.0194552529182879,NA
"2020-03-13",24,1,"b.1.314",0.0416666666666667,0.0680933852140078,NA
"2020-03-13",24,1,"b.1.371",0.0416666666666667,0.0680933852140078,NA
"2020-03-13",24,1,"b.1.446",0.0416666666666667,0.0680933852140078,NA
"2020-03-14",13,2,"a",0.153846153846154,0.049645390070922,NA
"2020-03-14",13,2,"a.1",0.153846153846154,0.0851063829787234,NA
"2020-03-14",0,0,"b",0,0,NA
"2020-03-14",13,6,"b.1",0.461538461538462,0.335106382978723,NA
"2020-03-14",13,1,"b.1.1",0.0769230769230769,0.322695035460993,NA
"2020-03-14",0,0,"b.1.104",0,0.0212765957446809,NA
"2020-03-14",13,1,"b.1.108",0.0769230769230769,0.074468085106383,NA
"2020-03-14",13,1,"b.1.314",0.0769230769230769,0.074468085106383,NA
"2020-03-14",0,0,"b.1.371",0,0.0372340425531915,NA
"2020-03-15",0,0,"a",0,0.0549073438572409,NA
"2020-03-15",2,1,"a.1",0.5,0.0960878517501716,NA
"2020-03-15",0,0,"b",0,0,NA
"2020-03-15",2,1,"b.1",0.5,0.365133836650652,NA
"2020-03-15",0,0,"b.1.1",0,0.312285518188058,NA
"2020-03-15",0,0,"b.1.104",0,0.0274536719286205,NA
"2020-03-15",0,0,"b.1.108",0,0.0480439258750858,NA
"2020-03-15",0,0,"b.1.314",0,0.0640585678334477,NA
"2020-03-15",0,0,"b.1.371",0,0.0320292839167239,NA
"2020-03-16",0,0,"a",0,0.032924821657216,NA
"2020-03-16",12,2,"a.1",0.166666666666667,0.0987744649716481,NA
"2020-03-16",0,0,"b",0,0,NA
"2020-03-16",12,7,"b.1",0.583333333333333,0.332906530089629,NA
"2020-03-16",0,0,"b.1.1",0,0.199743918053777,NA
"2020-03-16",0,0,"b.1.104",0,0.0219498811048107,NA
"2020-03-16",0,0,"b.1.108",0,0.0256081946222791,NA
"2020-03-16",0,0,"b.1.314",0,0.0384122919334187,NA
"2020-03-16",12,2,"b.1.369",0.166666666666667,0.153649167733675,NA
"2020-03-16",0,0,"b.1.371",0,0.0192061459667093,NA
"2020-03-16",12,1,"b.1.450",0.0833333333333333,0.0768245838668374,NA
"2020-03-17",15,3,"a",0.2,0.0679629979233528,NA
"2020-03-17",15,1,"a.1",0.0666666666666667,0.101944496885029,NA
"2020-03-17",0,0,"b",0,0,NA
"2020-03-17",15,9,"b.1",0.6,0.396450821219558,NA
"2020-03-17",15,1,"b.1.1",0.0666666666666667,0.185010383235794,NA
"2020-03-17",0,0,"b.1.104",0,0.0226543326411176,NA
"2020-03-17",0,0,"b.1.108",0,0.0198225410609779,NA
"2020-03-17",0,0,"b.1.314",0,0.0317160656975647,NA
"2020-03-17",15,1,"b.1.332",0.0666666666666667,0.0792901642439117,NA
"2020-03-17",0,0,"b.1.369",0,0.0792901642439117,NA
"2020-03-17",0,0,"b.1.371",0,0.0158580328487823,NA
"2020-03-18",0,0,"a",0,0.0631136044880786,NA
"2020-03-18",18,3,"a.1",0.166666666666667,0.126227208976157,NA
"2020-03-18",18,1,"b",0.0555555555555556,0.0105189340813464,NA
"2020-03-18",18,12,"b.1",0.666666666666667,0.473352033660589,NA
"2020-03-18",18,2,"b.1.1",0.111111111111111,0.168302945301543,NA
"2020-03-18",0,0,"b.1.104",0,0.0210378681626929,NA
"2020-03-18",0,0,"b.1.108",0,0.014726507713885,NA
"2020-03-18",0,0,"b.1.314",0,0.0245441795231417,NA
"2020-03-18",0,0,"b.1.332",0,0.0368162692847125,NA
"2020-03-18",0,0,"b.1.369",0,0.0490883590462833,NA
"2020-03-18",0,0,"b.1.371",0,0.0122720897615708,NA
"2020-03-19",0,0,"a",0,0.0580645161290323,NA
"2020-03-19",12,2,"a.1",0.166666666666667,0.125806451612903,NA
"2020-03-19",0,0,"b",0,0.00967741935483871,NA
"2020-03-19",12,5,"b.1",0.416666666666667,0.474193548387097,NA
"2020-03-19",12,1,"b.1.1",0.0833333333333333,0.125806451612903,NA
"2020-03-19",12,1,"b.1.104",0.0833333333333333,0.0193548387096774,NA
"2020-03-19",12,2,"b.1.108",0.166666666666667,0.0338709677419355,NA
"2020-03-19",0,0,"b.1.314",0,0.0193548387096774,NA
"2020-03-19",0,0,"b.1.332",0,0.0225806451612903,NA
"2020-03-19",0,0,"b.1.369",0,0.0338709677419355,NA
"2020-03-19",0,0,"b.1.371",0,0.00967741935483871,NA
"2020-03-19",12,1,"b.1.383",0.0833333333333333,0.067741935483871,NA
"2020-03-20",0,0,"a",0,0.0698812019566737,NA
"2020-03-20",0,0,"a.1",0,0.153738644304682,NA
"2020-03-20",0,0,"b",0,0.0139762403913347,NA
"2020-03-20",0,0,"b.1",0,0.559049615653389,NA
"2020-03-20",0,0,"b.1.1",0,0.0698812019566737,NA
"2020-03-20",0,0,"b.1.104",0,0.0139762403913347,NA
"2020-03-20",0,0,"b.1.108",0,0.0419287211740042,NA
"2020-03-20",0,0,"b.1.314",0,0.0139762403913347,NA
"2020-03-20",0,0,"b.1.332",0,0.0244584206848358,NA
"2020-03-20",0,0,"b.1.369",0,0.0391334730957372,NA
"2020-03-20",0,0,"b.1.371",0,0,NA
"2020-03-21",0,0,"a",0,0.0463439752832132,NA
"2020-03-21",7,1,"a.1",0.142857142857143,0.154479917610711,NA
"2020-03-21",0,0,"b",0,0.0154479917610711,NA
"2020-03-21",7,5,"b.1",0.714285714285714,0.602471678681771,NA
"2020-03-21",7,1,"b.1.1",0.142857142857143,0.0772399588053553,NA
"2020-03-21",0,0,"b.1.104",0,0.0154479917610711,NA
"2020-03-21",0,0,"b.1.108",0,0.0308959835221421,NA
"2020-03-21",0,0,"b.1.314",0,0,NA
"2020-03-21",0,0,"b.1.332",0,0.0216271884654995,NA
"2020-03-21",0,0,"b.1.369",0,0.0360453141091658,NA
"2020-03-21",0,0,"b.1.371",0,0,NA
"2020-03-22",0,0,"a",0,0.0482573726541555,NA
"2020-03-22",0,0,"a.1",0,0.144772117962467,NA
"2020-03-22",0,0,"b",0,0.0160857908847185,NA
"2020-03-22",0,0,"b.1",0,0.611260053619303,NA
"2020-03-22",0,0,"b.1.1",0,0.0804289544235925,NA
"2020-03-22",0,0,"b.1.104",0,0.0160857908847185,NA
"2020-03-22",0,0,"b.1.108",0,0.032171581769437,NA
"2020-03-22",0,0,"b.1.314",0,0,NA
"2020-03-22",0,0,"b.1.332",0,0.0187667560321716,NA
"2020-03-22",0,0,"b.1.369",0,0.032171581769437,NA
