"date","total_count","lineage_count","lineage","prevalence","prevalence_rolling","term"
"2020-03-13",1,1,"b",1,1,NA
"2020-03-14",0,0,"b",0,1,NA
"2020-03-15",0,0,"b",0,1,NA
"2020-03-16",0,0,"b",0,0.2,NA
"2020-03-16",1,1,"b.1",1,0.8,NA
"2020-03-17",0,0,"b",0,0.166666666666667,NA
"2020-03-17",1,1,"b.1",1,0.833333333333333,NA
"2020-03-18",0,0,"b",0,0.0526315789473684,NA
"2020-03-18",5,4,"b.1",0.8,0.631578947368421,NA
"2020-03-18",5,1,"b.1.1",0.2,0.315789473684211,NA
"2020-03-19",0,0,"b",0,0.0597014925373134,NA
"2020-03-19",1,1,"b.1",1,0.73134328358209,NA
"2020-03-19",0,0,"b.1.1",0,0.208955223880597,NA
"2020-03-20",0,0,"b",0,0,NA
"2020-03-20",0,0,"b.1",0,0.807692307692308,NA
"2020-03-20",0,0,"b.1.1",0,0.192307692307692,NA
"2020-03-21",0,0,"b",0,0,NA
"2020-03-21",0,0,"b.1",0,0.823529411764706,NA
"2020-03-21",0,0,"b.1.1",0,0.176470588235294,NA
"2020-03-22",0,0,"b",0,0,NA
"2020-03-22",0,0,"b.1",0,0.833333333333333,NA
"2020-03-22",0,0,"b.1.1",0,0.166666666666667,NA
"2020-03-23",0,0,"b",0,0,NA
"2020-03-23",0,0,"b.1",0,0.837209302325581,NA
"2020-03-23",0,0,"b.1.1",0,0.162790697674419,NA
"2020-03-24",0,0,"b",0,0,NA
"2020-03-24",0,0,"b.1",0,0.833333333333333,NA
"2020-03-24",0,0,"b.1.1",0,0.166666666666667,NA
"2020-03-25",0,0,"b",0,0,NA
"2020-03-25",0,0,"b.1",0,1,NA
"2020-03-25",0,0,"b.1.1",0,0,NA
"2020-03-26",0,0,"b",0,0,NA
"2020-03-26",0,0,"b.1",0,0,NA
"2020-03-26",0,0,"b.1.1",0,0,NA
"2020-03-27",0,0,"b",0,0,NA
"2020-03-27",0,0,"b.1",0,0,NA
"2020-03-27",0,0,"b.1.1",0,0,NA
"2020-03-28",0,0,"b",0,0,NA
"2020-03-28",0,0,"b.1",0,0,NA
"2020-03-28",0,0,"b.1.1",0,0,NA
"2020-03-29",0,0,"b",0,0,NA
"2020-03-29",0,0,"b.1",0,0,NA
"2020-03-29",0,0,"b.1.1",0,0,NA
"2020-03-30",0,0,"b",0,0,NA
"2020-03-30",0,0,"b.1",0,0,NA
"2020-03-30",0,0,"b.1.1",0,0,NA
"2020-03-31",0,0,"b",0,0,NA
"2020-03-31",0,0,"b.1",0,0,NA
"2020-03-31",0,0,"b.1.1",0,0,NA
"2020-04-01",0,0,"b",0,0,NA
"2020-04-01",0,0,"b.1",0,0,NA
"2020-04-01",0,0,"b.1.1",0,0,NA
"2020-04-02",0,0,"b",0,0,NA
"2020-04-02",0,0,"b.1",0,0,NA
"2020-04-02",0,0,"b.1.1",0,0,NA
"2020-04-03",0,0,"b",0,0,NA
"2020-04-03",0,0,"b.1",0,0,NA
"2020-04-03",0,0,"b.1.1",0,0,NA
"2020-04-04",0,0,"b",0,0,NA
"2020-04-04",0,0,"b.1",0,0,NA
"2020-04-04",0,0,"b.1.1",0,0,NA
"2020-04-05",0,0,"b",0,0,NA
"2020-04-05",0,0,"b.1",0,0,NA
"2020-04-05",0,0,"b.1.1",0,0,NA
"2020-04-06",0,0,"b",0,0,NA
"2020-04-06",0,0,"b.1",0,0,NA
"2020-04-06",0,0,"b.1.1",0,0,NA
"2020-04-07",0,0,"b",0,0,NA
"2020-04-07",0,0,"b.1",0,0,NA
"2020-04-07",0,0,"b.1.1",0,0,NA
"2020-04-08",0,0,"b",0,0,NA
"2020-04-08",0,0,"b.1",0,0,NA
"2020-04-08",0,0,"b.1.1",0,0,NA
"2020-04-09",0,0,"b",0,0,NA
"2020-04-09",0,0,"b.1",0,0,NA
"2020-04-09",0,0,"b.1.1",0,0,NA
"2020-04-10",0,0,"b",0,0,NA
"2020-04-10",0,0,"b.1",0,0,NA
"2020-04-10",0,0,"b.1.1",0,0,NA
"2020-04-10",1,1,"b.1.243",1,1,NA
"2020-04-11",0,0,"b",0,0,NA
"2020-04-11",0,0,"b.1",0,0,NA
"2020-04-11",0,0,"b.1.1",0,0,NA
"2020-04-11",0,0,"b.1.243",0,1,NA
"2020-04-12",0,0,"b",0,0,NA
"2020-04-12",0,0,"b.1",0,0,NA
"2020-04-12",0,0,"b.1.1",0,0,NA
"2020-04-12",0,0,"b.1.243",0,1,NA
"2020-04-13",0,0,"b",0,0,NA
"2020-04-13",0,0,"b.1",0,0,NA
"2020-04-13",0,0,"b.1.1",0,0,NA
"2020-04-13",0,0,"b.1.243",0,1,NA
"2020-04-14",0,0,"b",0,0,NA
"2020-04-14",0,0,"b.1",0,0,NA
"2020-04-14",0,0,"b.1.1",0,0,NA
"2020-04-14",0,0,"b.1.243",0,1,NA
"2020-04-15",0,0,"b",0,0,NA
"2020-04-15",0,0,"b.1",0,0,NA
"2020-04-15",0,0,"b.1.1",0,0,NA
"2020-04-15",0,0,"b.1.243",0,1,NA
"2020-04-16",0,0,"b",0,0,NA
"2020-04-16",0,0,"b.1",0,0,NA
"2020-04-16",0,0,"b.1.1",0,0,NA
"2020-04-16",0,0,"b.1.243",0,1,NA
"2020-04-17",0,0,"b",0,0,NA
"2020-04-17",0,0,"b.1",0,0,NA
"2020-04-17",0,0,"b.1.1",0,0,NA
"2020-04-17",0,0,"b.1.243",0,0,NA
"2020-04-18",0,0,"b",0,0,NA
"2020-04-18",0,0,"b.1",0,0,NA
"2020-04-18",0,0,"b.1.1",0,0,NA
"2020-04-18",0,0,"b.1.243",0,0,NA
"2020-04-19",0,0,"b",0,0,NA
"2020-04-19",0,0,"b.1",0,0,NA
"2020-04-19",0,0,"b.1.1",0,0,NA
"2020-04-19",0,0,"b.1.243",0,0,NA
"2020-04-20",0,0,"b",0,0,NA
"2020-04-20",0,0,"b.1",0,0,NA
"2020-04-20",0,0,"b.1.1",0,0,NA
"2020-04-20",0,0,"b.1.243",0,0,NA
"2020-04-21",0,0,"b",0,0,NA
"2020-04-21",0,0,"b.1",0,0,NA
"2020-04-21",0,0,"b.1.1",0,0,NA
"2020-04-21",0,0,"b.1.243",0,0,NA
"2020-04-22",0,0,"b",0,0,NA
"2020-04-22",0,0,"b.1",0,0,NA
"2020-04-22",0,0,"b.1.1",0,0,NA
"2020-04-22",0,0,"b.1.243",0,0,NA
"2020-04-23",0,0,"b",0,0,NA
"2020-04-23",0,0,"b.1",0,0,NA
"2020-04-23",0,0,"b.1.1",0,0,NA
"2020-04-23",0,0,"b.1.243",0,0,NA
"2020-04-24",0,0,"b",0,0,NA
"2020-04-24",0,0,"b.1",0,0,NA
"2020-04-24",0,0,"b.1.1",0,0,NA
"2020-04-24",0,0,"b.1.243",0,0,NA
"2020-04-25",0,0,"b",0,0,NA
"2020-04-25",0,0,"b.1",0,0,NA
"2020-04-25",0,0,"b.1.1",0,0,NA
"2020-04-25",0,0,"b.1.243",0,0,NA
"2020-04-26",0,0,"b",0,0,NA
"2020-04-26",0,0,"b.1",0,0,NA
"2020-04-26",0,0,"b.1.1",0,0,NA
"2020-04-26",0,0,"b.1.243",0,0,NA
"2020-04-27",0,0,"b",0,0,NA
"2020-04-27",0,0,"b.1",0,0,NA
"2020-04-27",0,0,"b.1.1",0,0,NA
"2020-04-27",0,0,"b.1.243",0,0,NA
"2020-04-28",0,0,"b",0,0,NA
"2020-04-28",0,0,"b.1",0,0,NA
"2020-04-28",0,0,"b.1.1",0,0,NA
"2020-04-28",0,0,"b.1.243",0,0,NA
"2020-04-29",0,0,"b",0,0,NA
"2020-04-29",0,0,"b.1",0,0,NA
"2020-04-29",0,0,"b.1.1",0,0,NA
"2020-04-29",0,0,"b.1.243",0,0,NA
"2020-04-30",0,0,"b",0,0,NA
"2020-04-30",0,0,"b.1",0,0,NA
"2020-04-30",0,0,"b.1.1",0,0,NA
"2020-04-30",0,0,"b.1.243",0,0,NA
"2020-05-01",0,0,"b",0,0,NA
"2020-05-01",0,0,"b.1",0,0,NA
"2020-05-01",0,0,"b.1.1",0,0,NA
"2020-05-01",0,0,"b.1.243",0,0,NA
"2020-05-02",0,0,"b",0,0,NA
"2020-05-02",0,0,"b.1",0,0,NA
"2020-05-02",0,0,"b.1.1",0,0,NA
"2020-05-02",0,0,"b.1.243",0,0,NA
"2020-05-03",0,0,"b",0,0,NA
"2020-05-03",0,0,"b.1",0,0,NA
"2020-05-03",0,0,"b.1.1",0,0,NA
"2020-05-03",0,0,"b.1.243",0,0,NA
"2020-05-04",0,0,"b",0,0,NA
"2020-05-04",0,0,"b.1",0,0,NA
"2020-05-04",0,0,"b.1.1",0,0,NA
"2020-05-04",0,0,"b.1.243",0,0,NA
"2020-05-05",0,0,"b",0,0,NA
"2020-05-05",0,0,"b.1",0,0,NA
"2020-05-05",0,0,"b.1.1",0,0,NA
"2020-05-05",0,0,"b.1.243",0,0,NA
"2020-05-06",0,0,"b",0,0,NA
"2020-05-06",0,0,"b.1",0,0,NA
"2020-05-06",0,0,"b.1.1",0,0,NA
"2020-05-06",0,0,"b.1.243",0,0,NA
"2020-05-07",0,0,"b",0,0,NA
"2020-05-07",0,0,"b.1",0,0,NA
"2020-05-07",0,0,"b.1.1",0,0,NA
"2020-05-07",0,0,"b.1.243",0,0,NA
"2020-05-08",0,0,"b",0,0,NA
"2020-05-08",0,0,"b.1",0,0,NA
"2020-05-08",0,0,"b.1.1",0,0,NA
"2020-05-08",0,0,"b.1.243",0,0,NA
"2020-05-09",0,0,"b",0,0,NA
"2020-05-09",0,0,"b.1",0,0,NA
"2020-05-09",0,0,"b.1.1",0,0,NA
"2020-05-09",0,0,"b.1.243",0,0,NA
"2020-05-10",0,0,"b",0,0,NA
"2020-05-10",0,0,"b.1",0,0,NA
"2020-05-10",0,0,"b.1.1",0,0,NA
"2020-05-10",0,0,"b.1.243",0,0,NA
"2020-05-11",0,0,"b",0,0,NA
"2020-05-11",0,0,"b.1",0,0,NA
"2020-05-11",0,0,"b.1.1",0,0,NA
"2020-05-11",0,0,"b.1.243",0,0,NA
"2020-05-12",0,0,"b",0,0,NA
"2020-05-12",0,0,"b.1",0,0,NA
"2020-05-12",0,0,"b.1.1",0,0,NA
"2020-05-12",0,0,"b.1.243",0,0,NA
"2020-05-13",0,0,"b",0,0,NA
"2020-05-13",0,0,"b.1",0,0,NA
"2020-05-13",0,0,"b.1.1",0,0,NA
"2020-05-13",0,0,"b.1.243",0,0,NA
"2020-05-14",0,0,"b",0,0,NA
"2020-05-14",0,0,"b.1",0,0,NA
"2020-05-14",0,0,"b.1.1",0,0,NA
"2020-05-14",0,0,"b.1.243",0,0,NA
"2020-05-15",0,0,"b",0,0,NA
"2020-05-15",0,0,"b.1",0,0,NA
"2020-05-15",0,0,"b.1.1",0,0,NA
"2020-05-15",0,0,"b.1.243",0,0,NA
"2020-05-16",0,0,"b",0,0,NA
"2020-05-16",0,0,"b.1",0,0,NA
"2020-05-16",0,0,"b.1.1",0,0,NA
"2020-05-16",0,0,"b.1.243",0,0,NA
"2020-05-17",0,0,"b",0,0,NA
"2020-05-17",0,0,"b.1",0,0,NA
"2020-05-17",0,0,"b.1.1",0,0,NA
"2020-05-17",0,0,"b.1.243",0,0,NA
"2020-05-18",0,0,"b",0,0,NA
"2020-05-18",0,0,"b.1",0,0,NA
"2020-05-18",0,0,"b.1.1",0,0,NA
"2020-05-18",0,0,"b.1.243",0,0,NA
"2020-05-19",0,0,"b",0,0,NA
"2020-05-19",0,0,"b.1",0,0,NA
"2020-05-19",0,0,"b.1.1",0,0,NA
"2020-05-19",0,0,"b.1.243",0,0,NA
"2020-05-20",0,0,"b",0,0,NA
"2020-05-20",0,0,"b.1",0,0,NA
"2020-05-20",0,0,"b.1.1",0,0,NA
"2020-05-20",0,0,"b.1.243",0,0,NA
"2020-05-21",0,0,"b",0,0,NA
"2020-05-21",0,0,"b.1",0,0,NA
"2020-05-21",0,0,"b.1.1",0,0,NA
"2020-05-21",0,0,"b.1.243",0,0,NA
"2020-05-22",0,0,"b",0,0,NA
"2020-05-22",0,0,"b.1",0,0,NA
"2020-05-22",0,0,"b.1.1",0,0,NA
"2020-05-22",0,0,"b.1.243",0,0,NA
"2020-05-23",0,0,"b",0,0,NA
"2020-05-23",0,0,"b.1",0,0,NA
"2020-05-23",0,0,"b.1.1",0,0,NA
"2020-05-23",0,0,"b.1.243",0,0,NA
"2020-05-24",0,0,"b",0,0,NA
"2020-05-24",0,0,"b.1",0,0,NA
"2020-05-24",0,0,"b.1.1",0,0,NA
"2020-05-24",0,0,"b.1.243",0,0,NA
"2020-05-25",0,0,"b",0,0,NA
"2020-05-25",0,0,"b.1",0,0,NA
"2020-05-25",0,0,"b.1.1",0,0,NA
"2020-05-25",0,0,"b.1.243",0,0,NA
"2020-05-26",0,0,"b",0,0,NA
"2020-05-26",0,0,"b.1",0,0,NA
"2020-05-26",0,0,"b.1.1",0,0,NA
"2020-05-26",0,0,"b.1.243",0,0,NA
"2020-05-27",0,0,"b",0,0,NA
"2020-05-27",3,1,"b.1",0.333333333333333,0.0666666666666667,NA
"2020-05-27",0,0,"b.1.1",0,0,NA
"2020-05-27",3,2,"b.1.1.230",0.666666666666667,0.933333333333333,NA
"2020-05-27",0,0,"b.1.243",0,0,NA
