"date","total_count","lineage_count","lineage","prevalence","prevalence_rolling","term"
"2020-03-03",1,1,"b.1",1,1,NA
"2020-03-04",0,0,"b.1",0,1,NA
"2020-03-05",2,2,"b.1",1,1,NA
"2020-03-06",1,1,"b.1",1,1,NA
"2020-03-07",3,3,"b.1",1,1,NA
"2020-03-08",3,3,"b.1",1,1,NA
"2020-03-09",1,1,"b.1",1,1,NA
"2020-03-10",0,0,"b.1",0,1,NA
"2020-03-11",1,1,"b.1",1,1,NA
"2020-03-12",2,1,"a",0.5,0.411764705882353,NA
"2020-03-12",2,1,"b.1",0.5,0.588235294117647,NA
"2020-03-13",0,0,"a",0,0.162790697674419,NA
"2020-03-13",3,1,"a.1",0.333333333333333,0.325581395348837,NA
"2020-03-13",3,2,"b.1",0.666666666666667,0.511627906976744,NA
"2020-03-14",0,0,"a",0,0.102189781021898,NA
"2020-03-14",4,2,"a.1",0.5,0.45985401459854,NA
"2020-03-14",4,2,"b.1",0.5,0.437956204379562,NA
"2020-03-15",0,0,"a",0,0.0204878048780488,NA
"2020-03-15",43,2,"a.1",0.0465116279069767,0.136585365853659,NA
"2020-03-15",43,37,"b.1",0.86046511627907,0.515121951219512,NA
"2020-03-15",43,3,"b.1.1",0.0697674418604651,0.245853658536585,NA
"2020-03-15",43,1,"b.1.413",0.0232558139534884,0.0819512195121951,NA
"2020-03-16",0,0,"a",0,0.0192704748795595,NA
"2020-03-16",0,0,"a.1",0,0.120440467997247,NA
"2020-03-16",3,2,"b.1",0.666666666666667,0.619408121128699,NA
"2020-03-16",3,1,"b.1.1",0.333333333333333,0.192704748795595,NA
"2020-03-16",0,0,"b.1.413",0,0.0481761871988988,NA
"2020-03-17",0,0,"a",0,0.0177215189873418,NA
"2020-03-17",0,0,"a.1",0,0.106329113924051,NA
"2020-03-17",1,1,"b.1",1,0.69873417721519,NA
"2020-03-17",0,0,"b.1.1",0,0.141772151898734,NA
"2020-03-17",0,0,"b.1.413",0,0.0354430379746835,NA
"2020-03-18",0,0,"a",0,0.0151324085750315,NA
"2020-03-18",0,0,"a.1",0,0.0882723833543506,NA
"2020-03-18",4,2,"b.1",0.5,0.711223203026482,NA
"2020-03-18",4,2,"b.1.1",0.5,0.158890290037831,NA
"2020-03-18",0,0,"b.1.413",0,0.0264817150063052,NA
"2020-03-19",0,0,"a",0,0,NA
"2020-03-19",0,0,"a.1",0,0.0791139240506329,NA
"2020-03-19",2,1,"b.1",0.5,0.743670886075949,NA
"2020-03-19",2,1,"b.1.1",0.5,0.15506329113924,NA
"2020-03-19",0,0,"b.1.413",0,0.0221518987341772,NA
"2020-03-20",0,0,"a",0,0,NA
"2020-03-20",0,0,"a.1",0,0.0685714285714286,NA
"2020-03-20",0,0,"b.1",0,0.771428571428572,NA
"2020-03-20",0,0,"b.1.1",0,0.14,NA
