"date","total_count","lineage_count","lineage","prevalence","prevalence_rolling","term"
"2020-02-28",1,1,"b.1",1,1,NA
"2020-02-29",0,0,"b.1",0,1,NA
"2020-03-01",1,1,"b.1",1,1,NA
"2020-03-02",0,0,"b.1",0,1,NA
"2020-03-03",0,0,"b.1",0,1,NA
"2020-03-04",0,0,"b.1",0,1,NA
"2020-03-05",1,1,"b.1",1,1,NA
"2020-03-06",0,0,"b.1",0,1,NA
"2020-03-07",0,0,"b.1",0,1,NA
"2020-03-08",0,0,"b.1",0,1,NA
"2020-03-09",3,3,"b.1",1,1,NA
"2020-03-10",0,0,"b.1",0,1,NA
"2020-03-11",0,0,"b.1",0,1,NA
"2020-03-12",0,0,"b.1",0,1,NA
"2020-03-13",0,0,"b.1",0,1,NA
"2020-03-14",0,0,"b.1",0,1,NA
"2020-03-15",0,0,"b.1",0,1,NA
"2020-03-16",0,0,"b.1",0,0,NA
"2020-03-17",0,0,"b.1",0,0,NA
"2020-03-18",0,0,"b.1",0,0,NA
"2020-03-19",0,0,"b.1",0,0,NA
"2020-03-20",0,0,"b.1",0,0,NA
"2020-03-21",0,0,"b.1",0,0,NA
"2020-03-22",0,0,"b.1",0,0,NA
"2020-03-23",0,0,"b.1",0,0,NA
"2020-03-24",0,0,"b.1",0,0,NA
"2020-03-25",0,0,"b.1",0,0,NA
"2020-03-26",0,0,"b.1",0,0,NA
"2020-03-27",1,1,"b.1",1,1,NA
"2020-03-28",3,3,"b.1",1,1,NA
"2020-03-29",29,29,"b.1",1,1,NA
"2020-03-30",27,27,"b.1",1,1,NA
"2020-03-31",16,3,"a.1",0.1875,0.223404255319149,NA
"2020-03-31",16,13,"b.1",0.8125,0.776595744680851,NA
"2020-04-01",7,1,"a.1",0.142857142857143,0.150537634408602,NA
"2020-04-01",7,6,"b.1",0.857142857142857,0.849462365591398,NA
"2020-04-02",12,1,"a.1",0.0833333333333333,0.114754098360656,NA
"2020-04-02",12,11,"b.1",0.916666666666667,0.885245901639344,NA
"2020-04-03",15,1,"a.1",0.0666666666666667,0.0798479087452472,NA
"2020-04-03",15,11,"b.1",0.733333333333333,0.760456273764259,NA
"2020-04-03",15,2,"b.1.108",0.133333333333333,0.106463878326996,NA
"2020-04-03",15,1,"b.1.413",0.0666666666666667,0.0532319391634981,NA
"2020-04-04",2,1,"a.1",0.5,0.0909090909090909,NA
"2020-04-04",2,1,"b.1",0.5,0.909090909090909,NA
"2020-04-05",0,0,"a.1",0,0.105831533477322,NA
"2020-04-05",0,0,"b.1",0,0.894168466522678,NA
"2020-04-06",0,0,"a.1",0,0.142857142857143,NA
"2020-04-06",0,0,"b.1",0,0.857142857142857,NA
"2020-04-07",0,0,"a.1",0,0.08,NA
"2020-04-07",5,3,"b.1",0.6,0.64,NA
"2020-04-07",5,2,"b.1.319",0.4,0.28,NA
"2020-04-08",0,0,"a.1",0,0.0789473684210526,NA
"2020-04-08",2,2,"b.1",1,0.736842105263158,NA
"2020-04-08",0,0,"b.1.319",0,0.184210526315789,NA
"2020-04-09",0,0,"a.1",0,0.0652173913043478,NA
"2020-04-09",7,7,"b.1",1,0.782608695652174,NA
"2020-04-09",0,0,"b.1.319",0,0.152173913043478,NA
"2020-04-10",0,0,"a.1",0,0.0253164556962025,NA
"2020-04-10",22,22,"b.1",1,0.886075949367089,NA
"2020-04-10",0,0,"b.1.319",0,0.0886075949367089,NA
"2020-04-11",0,0,"a.1",0,0,NA
"2020-04-11",8,8,"b.1",1,0.9375,NA
"2020-04-11",0,0,"b.1.319",0,0.0625,NA
"2020-04-12",0,0,"a.1",0,0,NA
"2020-04-12",5,5,"b.1",1,0.952702702702703,NA
"2020-04-12",0,0,"b.1.319",0,0.0472972972972973,NA
"2020-04-13",17,1,"a.1",0.0588235294117647,0.0138888888888889,NA
"2020-04-13",17,15,"b.1",0.882352941176471,0.861111111111111,NA
"2020-04-13",17,1,"b.1.1",0.0588235294117647,0.0972222222222222,NA
"2020-04-13",0,0,"b.1.319",0,0.0277777777777778,NA
"2020-04-14",0,0,"a.1",0,0.0116959064327485,NA
"2020-04-14",22,22,"b.1",1,0.947368421052632,NA
"2020-04-14",0,0,"b.1.1",0,0.0409356725146199,NA
"2020-04-14",0,0,"b.1.319",0,0,NA
"2020-04-15",0,0,"a.1",0,0.01171875,NA
"2020-04-15",3,3,"b.1",1,0.9609375,NA
"2020-04-15",0,0,"b.1.1",0,0.02734375,NA
"2020-04-15",0,0,"b.1.319",0,0,NA
"2020-04-16",0,0,"a.1",0,0.0128617363344051,NA
"2020-04-16",0,0,"b.1",0,0.964630225080386,NA
"2020-04-16",0,0,"b.1.1",0,0.022508038585209,NA
"2020-04-16",0,0,"b.1.319",0,0,NA
"2020-04-17",0,0,"a.1",0,0.0113122171945701,NA
"2020-04-17",33,32,"b.1",0.96969696969697,0.961538461538462,NA
"2020-04-17",0,0,"b.1.1",0,0.0158371040723982,NA
"2020-04-17",33,1,"b.1.319",0.0303030303030303,0.0113122171945701,NA
"2020-04-18",0,0,"a.1",0,0.00950871632329636,NA
"2020-04-18",26,26,"b.1",1,0.979397781299525,NA
"2020-04-18",0,0,"b.1.1",0,0.0110935023771791,NA
"2020-04-19",0,0,"a.1",0,0.00769230769230769,NA
"2020-04-19",30,30,"b.1",1,0.984615384615385,NA
"2020-04-19",0,0,"b.1.1",0,0.00769230769230769,NA
"2020-04-20",0,0,"a.1",0,0,NA
"2020-04-20",40,39,"b.1",0.975,0.955974842767296,NA
"2020-04-20",0,0,"b.1.1",0,0,NA
"2020-04-20",40,1,"b.1.356",0.025,0.0440251572327044,NA
"2020-04-21",0,0,"a.1",0,0,NA
"2020-04-21",4,4,"b.1",1,1,NA
"2020-04-21",0,0,"b.1.1",0,0,NA
"2020-04-22",0,0,"a.1",0,0,NA
"2020-04-22",4,4,"b.1",1,1,NA
"2020-04-22",0,0,"b.1.1",0,0,NA
"2020-04-23",0,0,"a.1",0,0,NA
"2020-04-23",1,1,"b.1",1,1,NA
"2020-04-23",0,0,"b.1.1",0,0,NA
"2020-04-24",48,1,"a.1",0.0208333333333333,0.00657894736842105,NA
"2020-04-24",48,47,"b.1",0.979166666666667,0.993421052631579,NA
"2020-04-24",0,0,"b.1.1",0,0,NA
"2020-04-25",20,20,"b.1",1,1,NA
"2020-04-25",0,0,"b.1.1",0,0,NA
"2020-04-26",10,9,"b.1",0.9,0.946564885496183,NA
"2020-04-26",0,0,"b.1.1",0,0,NA
"2020-04-26",10,1,"n.1",0.1,0.0534351145038168,NA
"2020-04-27",56,41,"b.1",0.732142857142857,0.679245283018868,NA
"2020-04-27",0,0,"b.1.1",0,0,NA
"2020-04-27",56,1,"b.1.1.33",0.0178571428571429,0.0377358490566038,NA
"2020-04-27",56,14,"n.1",0.25,0.283018867924528,NA
"2020-04-28",1,1,"b.1",1,0.778481012658228,NA
"2020-04-28",0,0,"b.1.1",0,0,NA
"2020-04-28",0,0,"n.1",0,0.221518987341772,NA
"2020-04-29",0,0,"b.1",0,0.819277108433735,NA
"2020-04-29",0,0,"b.1.1",0,0,NA
"2020-04-29",0,0,"n.1",0,0.180722891566265,NA
"2020-04-30",0,0,"b.1",0,0.848920863309353,NA
"2020-04-30",0,0,"b.1.1",0,0,NA
"2020-04-30",0,0,"n.1",0,0.151079136690647,NA
"2020-05-01",1,1,"b.1",1,0.804469273743017,NA
"2020-05-01",0,0,"b.1.1",0,0,NA
"2020-05-01",0,0,"n.1",0,0.195530726256983,NA
"2020-05-02",0,0,"b.1",0,0.776119402985075,NA
"2020-05-02",0,0,"b.1.1",0,0,NA
"2020-05-02",0,0,"n.1",0,0.223880597014925,NA
"2020-05-03",0,0,"b.1",0,0.754385964912281,NA
"2020-05-03",0,0,"b.1.1",0,0,NA
"2020-05-03",0,0,"n.1",0,0.245614035087719,NA
"2020-05-04",0,0,"b.1",0,1,NA
"2020-05-04",0,0,"b.1.1",0,0,NA
"2020-05-04",0,0,"n.1",0,0,NA
"2020-05-05",0,0,"b.1",0,1,NA
"2020-05-05",0,0,"b.1.1",0,0,NA
"2020-05-05",0,0,"n.1",0,0,NA
"2020-05-06",0,0,"b.1",0,1,NA
"2020-05-06",0,0,"b.1.1",0,0,NA
"2020-05-06",0,0,"n.1",0,0,NA
"2020-05-07",0,0,"b.1",0,0.0666666666666667,NA
"2020-05-07",0,0,"b.1.1",0,0,NA
"2020-05-07",2,2,"b.1.390",1,0.933333333333333,NA
"2020-05-07",0,0,"n.1",0,0,NA
"2020-05-08",0,0,"b.1",0,0,NA
"2020-05-08",0,0,"b.1.1",0,0,NA
"2020-05-08",0,0,"b.1.390",0,1,NA
"2020-05-08",0,0,"n.1",0,0,NA
"2020-05-09",1,1,"b.1",1,0.176470588235294,NA
"2020-05-09",0,0,"b.1.1",0,0,NA
"2020-05-09",0,0,"b.1.390",0,0.823529411764706,NA
"2020-05-09",0,0,"n.1",0,0,NA
"2020-05-10",0,0,"b.1",0,0.222222222222222,NA
"2020-05-10",0,0,"b.1.1",0,0,NA
"2020-05-10",0,0,"b.1.390",0,0.777777777777778,NA
"2020-05-10",0,0,"n.1",0,0,NA
"2020-05-11",9,9,"b.1",1,0.78125,NA
"2020-05-11",0,0,"b.1.1",0,0,NA
"2020-05-11",0,0,"b.1.390",0,0.21875,NA
"2020-05-11",0,0,"n.1",0,0,NA
"2020-05-12",3,3,"b.1",1,0.847826086956522,NA
"2020-05-12",0,0,"b.1.1",0,0,NA
"2020-05-12",0,0,"b.1.390",0,0.152173913043478,NA
"2020-05-12",0,0,"n.1",0,0,NA
"2020-05-13",6,6,"b.1",1,0.904761904761905,NA
"2020-05-13",0,0,"b.1.1",0,0,NA
"2020-05-13",0,0,"b.1.390",0,0.0952380952380952,NA
"2020-05-13",0,0,"n.1",0,0,NA
"2020-05-14",9,9,"b.1",1,1,NA
"2020-05-14",0,0,"b.1.1",0,0,NA
"2020-05-14",0,0,"b.1.390",0,0,NA
"2020-05-14",0,0,"n.1",0,0,NA
"2020-05-15",1,1,"b.1",1,1,NA
