"date","total_count","lineage_count","lineage","prevalence","prevalence_rolling","term"
"2020-01-31",1,1,"b",1,1,NA
"2020-02-01",0,0,"b",0,1,NA
"2020-02-02",0,0,"b",0,1,NA
"2020-02-03",0,0,"b",0,1,NA
"2020-02-04",0,0,"b",0,1,NA
"2020-02-05",0,0,"b",0,1,NA
"2020-02-06",0,0,"b",0,1,NA
"2020-02-07",0,0,"b",0,0,NA
"2020-02-08",0,0,"b",0,0,NA
"2020-02-09",0,0,"b",0,0,NA
"2020-02-10",0,0,"b",0,0,NA
"2020-02-11",0,0,"b",0,0,NA
"2020-02-12",0,0,"b",0,0,NA
"2020-02-13",0,0,"b",0,0,NA
"2020-02-14",0,0,"b",0,0,NA
"2020-02-15",0,0,"b",0,0,NA
"2020-02-16",0,0,"b",0,0,NA
"2020-02-17",0,0,"b",0,0,NA
"2020-02-18",0,0,"b",0,0,NA
"2020-02-19",0,0,"b",0,0,NA
"2020-02-20",0,0,"b",0,0,NA
"2020-02-21",0,0,"b",0,0,NA
"2020-02-22",0,0,"b",0,0,NA
"2020-02-23",0,0,"b",0,0,NA
"2020-02-24",0,0,"b",0,0,NA
"2020-02-25",0,0,"b",0,0,NA
"2020-02-26",0,0,"b",0,0,NA
"2020-02-27",0,0,"b",0,0,NA
"2020-02-28",0,0,"b",0,0,NA
"2020-02-29",0,0,"b",0,0,NA
"2020-03-01",0,0,"b",0,0,NA
"2020-03-02",0,0,"b",0,0,NA
"2020-03-03",0,0,"b",0,0,NA
"2020-03-04",0,0,"b",0,0,NA
"2020-03-05",0,0,"b",0,0,NA
"2020-03-06",0,0,"b",0,0,NA
"2020-03-07",0,0,"b",0,0,NA
"2020-03-08",0,0,"b",0,0,NA
"2020-03-09",1,1,"b",1,1,NA
"2020-03-10",0,0,"b",0,1,NA
"2020-03-11",0,0,"b",0,0.125,NA
"2020-03-11",1,1,"b.1",1,0.875,NA
"2020-03-12",7,1,"b",0.142857142857143,0.0754716981132075,NA
"2020-03-12",7,6,"b.1",0.857142857142857,0.924528301886792,NA
"2020-03-13",9,1,"a.1",0.111111111111111,0.13125,NA
"2020-03-13",9,1,"a.4",0.111111111111111,0.13125,NA
"2020-03-13",0,0,"b",0,0.0375,NA
"2020-03-13",9,6,"b.1",0.666666666666667,0.56875,NA
"2020-03-13",9,1,"b.1.37",0.111111111111111,0.13125,NA
"2020-03-14",0,0,"a.1",0,0.0721649484536082,NA
"2020-03-14",0,0,"a.4",0,0.0721649484536082,NA
"2020-03-14",5,1,"b",0.2,0.0618556701030928,NA
"2020-03-14",5,3,"b.1",0.6,0.577319587628866,NA
"2020-03-14",5,1,"b.1.1",0.2,0.144329896907216,NA
"2020-03-14",0,0,"b.1.37",0,0.0721649484536082,NA
"2020-03-15",0,0,"a.1",0,0.0261291526689063,NA
"2020-03-15",0,0,"a.4",0,0.0261291526689063,NA
"2020-03-15",16,3,"b",0.1875,0.0671892497200448,NA
"2020-03-15",16,6,"b.1",0.375,0.344904815229563,NA
"2020-03-15",16,2,"b.1.1",0.125,0.117581187010078,NA
"2020-03-15",0,0,"b.1.37",0,0.0261291526689063,NA
"2020-03-15",16,1,"b.1.413",0.0625,0.0783874580067189,NA
"2020-03-15",16,3,"b.1.483",0.1875,0.235162374020157,NA
"2020-03-15",16,1,"b.12",0.0625,0.0783874580067189,NA
"2020-03-16",22,2,"a.1",0.0909090909090909,0.0528080469404862,NA
"2020-03-16",0,0,"a.4",0,0.0176026823134954,NA
"2020-03-16",22,4,"b",0.181818181818182,0.0905280804694049,NA
"2020-03-16",22,11,"b.1",0.5,0.387259010896899,NA
"2020-03-16",22,2,"b.1.1",0.0909090909090909,0.117351215423303,NA
"2020-03-16",22,1,"b.1.320",0.0454545454545455,0.0704107292539816,NA
"2020-03-16",0,0,"b.1.37",0,0.0176026823134954,NA
"2020-03-16",0,0,"b.1.413",0,0.0352053646269908,NA
"2020-03-16",22,1,"b.1.483",0.0454545454545455,0.140821458507963,NA
"2020-03-16",22,1,"b.4",0.0454545454545455,0.0704107292539816,NA
"2020-03-17",14,1,"a",0.0714285714285714,0.069398545935228,NA
