"date","total_count","lineage_count","lineage","prevalence","prevalence_rolling","term"
"2020-01-22",1,1,"other",1,1,NA
"2020-01-23",0,0,"other",0,1,NA
"2020-01-24",0,0,"other",0,1,NA
"2020-01-25",0,0,"other",0,1,NA
"2020-01-26",0,0,"other",0,1,NA
"2020-01-27",0,0,"other",0,1,NA
"2020-01-28",0,0,"other",0,1,NA
"2020-01-29",0,0,"other",0,0,NA
"2020-01-30",0,0,"other",0,0,NA
"2020-01-31",0,0,"other",0,0,NA
"2020-02-01",0,0,"other",0,0,NA
"2020-02-02",0,0,"other",0,0,NA
"2020-02-03",0,0,"other",0,0,NA
"2020-02-04",0,0,"other",0,0,NA
"2020-02-05",0,0,"other",0,0,NA
"2020-02-06",0,0,"other",0,0,NA
"2020-02-07",0,0,"other",0,0,NA
"2020-02-08",0,0,"other",0,0,NA
"2020-02-09",0,0,"other",0,0,NA
"2020-02-10",0,0,"other",0,0,NA
"2020-02-11",0,0,"other",0,0,NA
"2020-02-12",0,0,"other",0,0,NA
"2020-02-13",0,0,"other",0,0,NA
"2020-02-14",0,0,"other",0,0,NA
"2020-02-15",0,0,"other",0,0,NA
"2020-02-16",0,0,"other",0,0,NA
"2020-02-17",0,0,"other",0,0,NA
"2020-02-18",0,0,"other",0,0,NA
"2020-02-19",0,0,"other",0,0,NA
"2020-02-20",0,0,"other",0,0,NA
"2020-02-21",0,0,"other",0,0,NA
"2020-02-22",0,0,"other",0,0,NA
"2020-02-23",0,0,"other",0,0,NA
"2020-02-24",0,0,"other",0,0,NA
"2020-02-25",0,0,"other",0,0,NA
"2020-02-26",0,0,"other",0,0,NA
"2020-02-27",0,0,"other",0,0,NA
"2020-02-28",0,0,"other",0,0,NA
"2020-02-29",0,0,"other",0,0,NA
"2020-03-01",0,0,"other",0,0,NA
"2020-03-02",2,2,"b.1.1",1,1,NA
"2020-03-02",0,0,"other",0,0,NA
"2020-03-03",0,0,"b.1.1",0,1,NA
"2020-03-03",0,0,"other",0,0,NA
"2020-03-04",0,0,"b.1.1",0,1,NA
"2020-03-04",0,0,"other",0,0,NA
"2020-03-05",0,0,"b.1.1",0,0.636363636363636,NA
"2020-03-05",2,2,"other",1,0.363636363636364,NA
"2020-03-06",0,0,"b.1.1",0,0.583333333333333,NA
"2020-03-06",0,0,"other",0,0.416666666666667,NA
"2020-03-07",0,0,"b.1.1",0,0.538461538461538,NA
"2020-03-07",0,0,"other",0,0.461538461538462,NA
"2020-03-08",0,0,"b.1.1",0,0.5,NA
"2020-03-08",0,0,"other",0,0.5,NA
"2020-03-09",0,0,"b.1.1",0,0,NA
"2020-03-09",3,3,"other",1,1,NA
"2020-03-10",0,0,"b.1.1",0,0,NA
"2020-03-10",0,0,"other",0,1,NA
"2020-03-11",0,0,"b.1.1",0,0,NA
"2020-03-11",4,4,"other",1,1,NA
"2020-03-12",6,1,"b",0.166666666666667,0.142857142857143,NA
"2020-03-12",6,5,"b.1",0.833333333333333,0.714285714285714,NA
"2020-03-12",0,0,"b.1.1",0,0,NA
"2020-03-12",0,0,"other",0,0.142857142857143,NA
"2020-03-13",0,0,"b",0,0.0795454545454545,NA
"2020-03-13",6,4,"b.1",0.666666666666667,0.715909090909091,NA
"2020-03-13",0,0,"b.1.1",0,0,NA
"2020-03-13",6,2,"other",0.333333333333333,0.204545454545455,NA
"2020-03-14",0,0,"b",0,0.0507246376811594,NA
"2020-03-14",7,5,"b.1",0.714285714285714,0.710144927536232,NA
"2020-03-14",0,0,"b.1.1",0,0,NA
"2020-03-14",7,2,"other",0.285714285714286,0.239130434782609,NA
"2020-03-15",0,0,"b",0,0.0376344086021505,NA
"2020-03-15",7,3,"b.1",0.428571428571429,0.639784946236559,NA
"2020-03-15",7,1,"b.1.1",0.142857142857143,0.021505376344086,NA
"2020-03-15",7,3,"other",0.428571428571429,0.301075268817204,NA
"2020-03-16",0,0,"b",0,0.0269230769230769,NA
"2020-03-16",12,7,"b.1",0.583333333333333,0.646153846153846,NA
"2020-03-16",12,1,"b.1.1",0.0833333333333333,0.0384615384615385,NA
"2020-03-16",12,4,"other",0.333333333333333,0.288461538461538,NA
"2020-03-17",45,2,"b",0.0444444444444444,0.0365853658536585,NA
"2020-03-17",45,25,"b.1",0.555555555555556,0.597560975609756,NA
"2020-03-17",45,3,"b.1.1",0.0666666666666667,0.0522648083623693,NA
"2020-03-17",45,15,"other",0.333333333333333,0.313588850174216,NA
"2020-03-18",0,0,"b",0,0.029126213592233,NA
"2020-03-18",20,15,"b.1",0.75,0.621359223300971,NA
"2020-03-18",20,2,"b.1.1",0.1,0.0679611650485437,NA
"2020-03-18",20,3,"other",0.15,0.281553398058252,NA
"2020-03-19",0,0,"b",0,0.0181818181818182,NA
"2020-03-19",13,7,"b.1",0.538461538461538,0.6,NA
"2020-03-19",13,2,"b.1.1",0.153846153846154,0.0818181818181818,NA
"2020-03-19",13,4,"other",0.307692307692308,0.3,NA
"2020-03-20",0,0,"b",0,0.0158730158730159,NA
"2020-03-20",22,19,"b.1",0.863636363636364,0.642857142857143,NA
"2020-03-20",0,0,"b.1.1",0,0.0714285714285714,NA
"2020-03-20",22,3,"other",0.136363636363636,0.26984126984127,NA
"2020-03-21",0,0,"b",0,0.0168067226890756,NA
"2020-03-21",0,0,"b.1",0,0.638655462184874,NA
"2020-03-21",0,0,"b.1.1",0,0.0756302521008403,NA
"2020-03-21",0,0,"other",0,0.26890756302521,NA
"2020-03-22",0,0,"b",0,0.0175438596491228,NA
"2020-03-22",0,0,"b.1",0,0.640350877192983,NA
"2020-03-22",0,0,"b.1.1",0,0.0701754385964912,NA
"2020-03-22",2,2,"other",1,0.271929824561404,NA
"2020-03-23",0,0,"b",0,0.0173913043478261,NA
"2020-03-23",13,6,"b.1",0.461538461538462,0.626086956521739,NA
"2020-03-23",13,4,"b.1.1",0.307692307692308,0.0956521739130435,NA
"2020-03-23",13,3,"other",0.230769230769231,0.260869565217391,NA
"2020-03-24",0,0,"b",0,0,NA
"2020-03-24",12,12,"b.1",1,0.719512195121951,NA
"2020-03-24",0,0,"b.1.1",0,0.0975609756097561,NA
"2020-03-24",0,0,"other",0,0.182926829268293,NA
"2020-03-25",0,0,"b",0,0,NA
"2020-03-25",26,16,"b.1",0.615384615384615,0.681818181818182,NA
"2020-03-25",26,3,"b.1.1",0.115384615384615,0.102272727272727,NA
"2020-03-25",26,7,"other",0.269230769230769,0.215909090909091,NA
"2020-03-26",0,0,"b",0,0,NA
