"date","total_count","lineage_count","lineage","prevalence","prevalence_rolling","term"
"2020-03-02",1,1,"b.1",1,1,NA
"2020-03-03",0,0,"b.1",0,1,NA
"2020-03-04",0,0,"b.1",0,1,NA
"2020-03-05",0,0,"b.1",0,1,NA
"2020-03-06",0,0,"b.1",0,1,NA
"2020-03-07",0,0,"b.1",0,1,NA
"2020-03-08",0,0,"b.1",0,1,NA
"2020-03-09",5,3,"b.1",0.6,0.176470588235294,NA
"2020-03-09",5,1,"b.1.2",0.2,0.411764705882353,NA
"2020-03-09",5,1,"other",0.2,0.411764705882353,NA
"2020-03-10",10,4,"b.1",0.4,0.181818181818182,NA
"2020-03-10",10,1,"b.1.1",0.1,0.181818181818182,NA
"2020-03-10",0,0,"b.1.2",0,0.0909090909090909,NA
"2020-03-10",10,5,"other",0.5,0.545454545454545,NA
"2020-03-11",9,6,"b.1",0.666666666666667,0.326359832635983,NA
"2020-03-11",0,0,"b.1.1",0,0.0878661087866109,NA
"2020-03-11",0,0,"b.1.2",0,0.0585774058577406,NA
"2020-03-11",9,3,"other",0.333333333333333,0.527196652719665,NA
"2020-03-12",18,2,"b",0.111111111111111,0.220183486238532,NA
"2020-03-12",18,15,"b.1",0.833333333333333,0.440366972477064,NA
"2020-03-12",0,0,"b.1.1",0,0.036697247706422,NA
"2020-03-12",0,0,"b.1.2",0,0.0275229357798165,NA
"2020-03-12",18,1,"other",0.0555555555555556,0.275229357798165,NA
"2020-03-13",0,0,"b",0,0.0783435926133184,NA
"2020-03-13",34,26,"b.1",0.764705882352941,0.604364857302742,NA
"2020-03-13",0,0,"b.1.1",0,0.0195858981533296,NA
"2020-03-13",34,1,"b.1.2",0.0294117647058824,0.0313374370453274,NA
"2020-03-13",34,7,"other",0.205882352941176,0.266368214885283,NA
"2020-03-14",42,3,"b",0.0714285714285714,0.0899511693652018,NA
"2020-03-14",42,33,"b.1",0.785714285714286,0.670778720123362,NA
"2020-03-14",42,2,"b.1.1",0.0476190476190476,0.0323824209714726,NA
"2020-03-14",0,0,"b.1.2",0,0.0179902338730403,NA
"2020-03-14",42,4,"other",0.0952380952380952,0.188897455666924,NA
"2020-03-15",0,0,"b",0,0.0523168908819133,NA
"2020-03-15",45,39,"b.1",0.866666666666667,0.753363228699552,NA
"2020-03-15",0,0,"b.1.1",0,0.0209267563527653,NA
"2020-03-15",0,0,"b.1.2",0,0.0119581464872945,NA
"2020-03-15",45,6,"other",0.133333333333333,0.161434977578475,NA
"2020-03-16",0,0,"b",0,0.0334928229665072,NA
"2020-03-16",49,46,"b.1",0.938775510204082,0.808612440191388,NA
"2020-03-16",0,0,"b.1.1",0,0.0143540669856459,NA
"2020-03-16",0,0,"b.1.2",0,0.00478468899521531,NA
"2020-03-16",49,3,"other",0.0612244897959184,0.138755980861244,NA
"2020-03-17",0,0,"b",0,0.019262520638415,NA
"2020-03-17",105,88,"b.1",0.838095238095238,0.835443037974684,NA
"2020-03-17",0,0,"b.1.1",0,0.0066042927903137,NA
"2020-03-17",0,0,"b.1.2",0,0.00330214639515685,NA
"2020-03-17",105,17,"other",0.161904761904762,0.135388002201431,NA
"2020-03-18",0,0,"b",0,0.0130548302872063,NA
"2020-03-18",90,74,"b.1",0.822222222222222,0.838120104438642,NA
"2020-03-18",0,0,"b.1.1",0,0.00522193211488251,NA
"2020-03-18",0,0,"b.1.2",0,0.00261096605744125,NA
"2020-03-18",90,16,"other",0.177777777777778,0.140992167101828,NA
"2020-03-19",103,1,"b",0.00970873786407767,0.00854700854700855,NA
"2020-03-19",103,82,"b.1",0.796116504854369,0.829059829059829,NA
"2020-03-19",103,1,"b.1.1",0.00970873786407767,0.00641025641025641,NA
"2020-03-19",0,0,"b.1.2",0,0.00213675213675214,NA
"2020-03-19",103,19,"other",0.184466019417476,0.153846153846154,NA
"2020-03-20",0,0,"b",0,0.00769230769230769,NA
"2020-03-20",86,79,"b.1",0.918604651162791,0.848076923076923,NA
"2020-03-20",86,1,"b.1.1",0.0116279069767442,0.00769230769230769,NA
"2020-03-20",86,1,"b.1.2",0.0116279069767442,0.00192307692307692,NA
"2020-03-20",86,5,"other",0.0581395348837209,0.134615384615385,NA
"2020-03-21",0,0,"b",0,0.00170357751277683,NA
"2020-03-21",109,96,"b.1",0.880733944954128,0.858603066439523,NA
"2020-03-21",0,0,"b.1.1",0,0.00340715502555366,NA
"2020-03-21",0,0,"b.1.2",0,0.00170357751277683,NA
"2020-03-21",109,13,"other",0.119266055045872,0.13458262350937,NA
"2020-03-22",119,1,"b",0.00840336134453781,0.00302571860816944,NA
"2020-03-22",119,105,"b.1",0.882352941176471,0.86232980332829,NA
"2020-03-22",0,0,"b.1.1",0,0.00302571860816944,NA
"2020-03-22",0,0,"b.1.2",0,0.00151285930408472,NA
"2020-03-22",119,13,"other",0.109243697478992,0.130105900151286,NA
"2020-03-23",0,0,"b",0,0.00263157894736842,NA
