"date","total_count","lineage_count","lineage","prevalence","prevalence_rolling","term"
"2020-03-05",2,2,"other",1,1,NA
"2020-03-06",0,0,"other",0,1,NA
"2020-03-07",2,2,"other",1,1,NA
"2020-03-08",0,0,"other",0,1,NA
"2020-03-09",4,1,"b.1",0.25,0.416666666666667,NA
"2020-03-09",4,3,"other",0.75,0.583333333333333,NA
"2020-03-10",0,0,"b.1",0,0.0967741935483871,NA
"2020-03-10",6,3,"b.1.1",0.5,0.580645161290323,NA
"2020-03-10",6,3,"other",0.5,0.32258064516129,NA
"2020-03-11",4,1,"b.1",0.25,0.14070351758794,NA
"2020-03-11",4,2,"b.1.1",0.5,0.527638190954774,NA
"2020-03-11",4,1,"other",0.25,0.331658291457286,NA
"2020-03-12",18,10,"b.1",0.555555555555556,0.377245508982036,NA
"2020-03-12",0,0,"b.1.1",0,0.209580838323353,NA
"2020-03-12",18,1,"b.1.369",0.0555555555555556,0.125748502994012,NA
"2020-03-12",18,7,"other",0.388888888888889,0.287425149700599,NA
"2020-03-13",39,26,"b.1",0.666666666666667,0.382871536523929,NA
"2020-03-13",0,0,"b.1.1",0,0.0629722921914358,NA
"2020-03-13",39,1,"b.1.369",0.0256410256410256,0.0503778337531486,NA
"2020-03-13",39,7,"b.1.595",0.179487179487179,0.35264483627204,NA
"2020-03-13",39,5,"other",0.128205128205128,0.151133501259446,NA
"2020-03-14",77,48,"b.1",0.623376623376623,0.44219186131923,NA
"2020-03-14",77,6,"b.1.1",0.0779220779220779,0.0678713089466725,NA
"2020-03-14",0,0,"b.1.369",0,0.0205670633171735,NA
"2020-03-14",77,16,"b.1.595",0.207792207792208,0.354781842221243,NA
"2020-03-14",77,7,"other",0.0909090909090909,0.114587924195681,NA
"2020-03-15",83,2,"b",0.0240963855421687,0.0452099031216362,NA
"2020-03-15",83,40,"b.1",0.481927710843373,0.406889128094726,NA
"2020-03-15",83,4,"b.1.1",0.0481927710843374,0.0565123789020452,NA
"2020-03-15",0,0,"b.1.369",0,0.011302475780409,NA
"2020-03-15",83,24,"b.1.595",0.289156626506024,0.354144241119483,NA
"2020-03-15",83,13,"other",0.156626506024096,0.125941872981701,NA
"2020-03-16",95,1,"b",0.0105263157894737,0.0274294670846395,NA
"2020-03-16",95,57,"b.1",0.6,0.475444096133751,NA
"2020-03-16",95,1,"b.1.1",0.0105263157894737,0.0417972831765935,NA
"2020-03-16",0,0,"b.1.369",0,0.00731452455590387,NA
"2020-03-16",95,23,"b.1.595",0.242105263157895,0.320010449320794,NA
"2020-03-16",95,13,"other",0.136842105263158,0.128004179728318,NA
"2020-03-17",0,0,"b",0,0.0184339887640449,NA
"2020-03-17",31,25,"b.1",0.806451612903226,0.545119382022472,NA
"2020-03-17",31,1,"b.1.1",0.032258064516129,0.0368679775280899,NA
"2020-03-17",0,0,"b.1.369",0,0.00614466292134831,NA
"2020-03-17",31,1,"b.1.595",0.032258064516129,0.261762640449438,NA
"2020-03-17",31,4,"other",0.129032258064516,0.131671348314607,NA
"2020-03-18",10,1,"b",0.1,0.019030357951971,NA
"2020-03-18",10,4,"b.1",0.4,0.57091073855913,NA
"2020-03-18",0,0,"b.1.1",0,0.0326234707748074,NA
"2020-03-18",0,0,"b.1.369",0,0.00543724512913457,NA
"2020-03-18",0,0,"b.1.595",0,0.225192569098324,NA
"2020-03-18",10,5,"other",0.5,0.146805618486633,NA
"2020-03-19",0,0,"b",0,0.016250725478816,NA
"2020-03-19",8,4,"b.1",0.5,0.591990713871155,NA
"2020-03-19",0,0,"b.1.1",0,0.0348229831688915,NA
"2020-03-19",0,0,"b.1.369",0,0.00290191526407429,NA
"2020-03-19",0,0,"b.1.595",0,0.206035983749275,NA
"2020-03-19",8,4,"other",0.5,0.147997678467789,NA
"2020-03-20",0,0,"b",0,0.0148305084745763,NA
"2020-03-20",10,7,"b.1",0.7,0.587923728813559,NA
"2020-03-20",0,0,"b.1.1",0,0.038135593220339,NA
"2020-03-20",0,0,"b.1.369",0,0,NA
"2020-03-20",0,0,"b.1.595",0,0.203389830508475,NA
"2020-03-20",10,3,"other",0.3,0.155720338983051,NA
"2020-03-21",0,0,"b",0,0.016,NA
"2020-03-21",13,9,"b.1",0.692307692307692,0.584,NA
"2020-03-21",0,0,"b.1.1",0,0.024,NA
"2020-03-21",0,0,"b.1.369",0,0,NA
"2020-03-21",0,0,"b.1.595",0,0.192,NA
"2020-03-21",13,4,"other",0.307692307692308,0.184,NA
"2020-03-22",0,0,"b",0,0.0112359550561798,NA
"2020-03-22",11,8,"b.1",0.727272727272727,0.640449438202247,NA
"2020-03-22",11,1,"b.1.1",0.0909090909090909,0.0168539325842697,NA
"2020-03-22",0,0,"b.1.369",0,0,NA
"2020-03-22",0,0,"b.1.595",0,0.134831460674157,NA
"2020-03-22",11,2,"other",0.181818181818182,0.196629213483146,NA
"2020-03-23",0,0,"b",0,0.00943396226415094,NA
"2020-03-23",23,10,"b.1",0.434782608695652,0.632075471698113,NA
"2020-03-23",23,3,"b.1.1",0.130434782608696,0.0471698113207547,NA
"2020-03-23",0,0,"b.1.369",0,0,NA
"2020-03-23",0,0,"b.1.595",0,0.00943396226415094,NA
"2020-03-23",23,10,"other",0.434782608695652,0.30188679245283,NA
"2020-03-24",0,0,"b",0,0.0104166666666667,NA
"2020-03-24",21,7,"b.1",0.333333333333333,0.510416666666667,NA
"2020-03-24",0,0,"b.1.1",0,0.0416666666666667,NA
"2020-03-24",0,0,"b.1.369",0,0,NA
"2020-03-24",0,0,"b.1.595",0,0,NA
"2020-03-24",21,14,"other",0.666666666666667,0.4375,NA
"2020-03-25",0,0,"b",0,0,NA
"2020-03-25",29,20,"b.1",0.689655172413793,0.565217391304348,NA
"2020-03-25",29,2,"b.1.1",0.0689655172413793,0.0521739130434783,NA
"2020-03-25",0,0,"b.1.369",0,0,NA
"2020-03-25",0,0,"b.1.595",0,0,NA
"2020-03-25",29,7,"other",0.241379310344828,0.382608695652174,NA
"2020-03-26",0,0,"b",0,0,NA
"2020-03-26",27,18,"b.1",0.666666666666667,0.58955223880597,NA
"2020-03-26",0,0,"b.1.1",0,0.0447761194029851,NA
"2020-03-26",0,0,"b.1.369",0,0,NA
"2020-03-26",0,0,"b.1.595",0,0,NA
"2020-03-26",27,9,"other",0.333333333333333,0.365671641791045,NA
"2020-03-27",0,0,"b",0,0,NA
"2020-03-27",15,6,"b.1",0.4,0.561151079136691,NA
"2020-03-27",15,1,"b.1.1",0.0666666666666667,0.0503597122302158,NA
"2020-03-27",0,0,"b.1.369",0,0,NA
"2020-03-27",0,0,"b.1.595",0,0,NA
"2020-03-27",15,8,"other",0.533333333333333,0.388489208633093,NA
"2020-03-28",0,0,"b",0,0,NA
"2020-03-28",4,3,"b.1",0.75,0.553846153846154,NA
"2020-03-28",0,0,"b.1.1",0,0.0538461538461538,NA
"2020-03-28",0,0,"b.1.369",0,0,NA
"2020-03-28",0,0,"b.1.595",0,0,NA
"2020-03-28",4,1,"other",0.25,0.392307692307692,NA
"2020-03-29",0,0,"b",0,0,NA
"2020-03-29",11,5,"b.1",0.454545454545455,0.530769230769231,NA
"2020-03-29",0,0,"b.1.1",0,0.0461538461538461,NA
