"date","total_count","lineage_count","lineage","prevalence","prevalence_rolling","term"
"2020-03-03",1,1,"b.1",1,1,NA
"2020-03-04",0,0,"b.1",0,1,NA
"2020-03-05",2,2,"b.1",1,1,NA
"2020-03-06",1,1,"b.1",1,1,NA
"2020-03-07",3,3,"b.1",1,1,NA
"2020-03-08",3,3,"b.1",1,1,NA
"2020-03-09",1,1,"b.1",1,1,NA
"2020-03-10",0,0,"b.1",0,1,NA
"2020-03-11",1,1,"b.1",1,1,NA
"2020-03-12",2,1,"b.1",0.5,0.588235294117647,NA
"2020-03-12",2,1,"other",0.5,0.411764705882353,NA
"2020-03-13",3,2,"b.1",0.666666666666667,0.611111111111111,NA
"2020-03-13",3,1,"other",0.333333333333333,0.388888888888889,NA
"2020-03-14",4,2,"b.1",0.5,0.517241379310345,NA
"2020-03-14",4,2,"other",0.5,0.482758620689655,NA
"2020-03-15",43,37,"b.1",0.86046511627907,0.56957928802589,NA
"2020-03-15",43,3,"b.1.1",0.0697674418604651,0.271844660194175,NA
"2020-03-15",43,3,"other",0.0697674418604651,0.158576051779935,NA
"2020-03-16",3,2,"b.1",0.666666666666667,0.65406976744186,NA
"2020-03-16",3,1,"b.1.1",0.333333333333333,0.203488372093023,NA
"2020-03-16",0,0,"other",0,0.142441860465116,NA
"2020-03-17",1,1,"b.1",1,0.724409448818898,NA
"2020-03-17",0,0,"b.1.1",0,0.146981627296588,NA
"2020-03-17",0,0,"other",0,0.128608923884514,NA
"2020-03-18",4,2,"b.1",0.5,0.728682170542636,NA
"2020-03-18",4,2,"b.1.1",0.5,0.162790697674419,NA
"2020-03-18",0,0,"other",0,0.108527131782946,NA
"2020-03-19",2,1,"b.1",0.5,0.748407643312102,NA
"2020-03-19",2,1,"b.1.1",0.5,0.156050955414013,NA
"2020-03-19",0,0,"other",0,0.0955414012738853,NA
"2020-03-20",0,0,"b.1",0,0.773638968481375,NA
"2020-03-20",0,0,"b.1.1",0,0.140401146131805,NA
"2020-03-20",0,0,"other",0,0.0859598853868195,NA
"2020-03-21",0,0,"b.1",0,0.811320754716981,NA
"2020-03-21",0,0,"b.1.1",0,0.132075471698113,NA
"2020-03-21",0,0,"other",0,0.0566037735849057,NA
"2020-03-22",0,0,"b.1",0,0.6,NA
"2020-03-22",0,0,"b.1.1",0,0.4,NA
"2020-03-22",0,0,"other",0,0,NA
"2020-03-23",9,6,"b.1",0.666666666666667,0.625,NA
"2020-03-23",0,0,"b.1.1",0,0.1875,NA
"2020-03-23",9,3,"other",0.333333333333333,0.1875,NA
"2020-03-24",5,5,"b.1",1,0.7,NA
"2020-03-24",0,0,"b.1.1",0,0.15,NA
"2020-03-24",0,0,"other",0,0.15,NA
"2020-03-25",11,9,"b.1",0.818181818181818,0.777777777777778,NA
