"date","total_count","lineage_count","lineage","prevalence","prevalence_rolling","term"
"2020-02-28",1,1,"other",1,1,NA
"2020-02-29",0,0,"other",0,1,NA
"2020-03-01",1,1,"other",1,1,NA
"2020-03-02",0,0,"other",0,1,NA
"2020-03-03",0,0,"other",0,1,NA
"2020-03-04",0,0,"other",0,1,NA
"2020-03-05",1,1,"other",1,1,NA
"2020-03-06",0,0,"other",0,1,NA
"2020-03-07",0,0,"other",0,1,NA
"2020-03-08",0,0,"other",0,1,NA
"2020-03-09",3,3,"other",1,1,NA
"2020-03-10",0,0,"other",0,1,NA
"2020-03-11",0,0,"other",0,1,NA
"2020-03-12",0,0,"other",0,1,NA
"2020-03-13",0,0,"other",0,1,NA
"2020-03-14",0,0,"other",0,1,NA
"2020-03-15",0,0,"other",0,1,NA
"2020-03-16",0,0,"other",0,0,NA
"2020-03-17",0,0,"other",0,0,NA
"2020-03-18",0,0,"other",0,0,NA
"2020-03-19",0,0,"other",0,0,NA
"2020-03-20",0,0,"other",0,0,NA
"2020-03-21",0,0,"other",0,0,NA
"2020-03-22",0,0,"other",0,0,NA
"2020-03-23",0,0,"other",0,0,NA
"2020-03-24",0,0,"other",0,0,NA
"2020-03-25",0,0,"other",0,0,NA
"2020-03-26",0,0,"other",0,0,NA
"2020-03-27",1,1,"other",1,1,NA
"2020-03-28",3,3,"other",1,1,NA
"2020-03-29",29,29,"other",1,1,NA
"2020-03-30",27,27,"other",1,1,NA
"2020-03-31",16,16,"other",1,1,NA
"2020-04-01",7,7,"other",1,1,NA
"2020-04-02",12,12,"other",1,1,NA
"2020-04-03",15,15,"other",1,1,NA
"2020-04-04",2,2,"other",1,1,NA
"2020-04-05",0,0,"other",0,1,NA
"2020-04-06",0,0,"other",0,1,NA
"2020-04-07",5,5,"other",1,1,NA
"2020-04-08",2,2,"other",1,1,NA
"2020-04-09",7,7,"other",1,1,NA
"2020-04-10",22,22,"other",1,1,NA
"2020-04-11",8,8,"other",1,1,NA
"2020-04-12",5,5,"other",1,1,NA
"2020-04-13",17,17,"other",1,1,NA
"2020-04-14",22,22,"other",1,1,NA
"2020-04-15",3,3,"other",1,1,NA
"2020-04-16",0,0,"other",0,1,NA
"2020-04-17",33,33,"other",1,1,NA
"2020-04-18",26,26,"other",1,1,NA
"2020-04-19",30,30,"other",1,1,NA
"2020-04-20",40,40,"other",1,1,NA
"2020-04-21",4,4,"other",1,1,NA
"2020-04-22",4,4,"other",1,1,NA
"2020-04-23",1,1,"other",1,1,NA
"2020-04-24",48,48,"other",1,1,NA
"2020-04-25",20,20,"other",1,1,NA
"2020-04-26",10,10,"other",1,1,NA
"2020-04-27",56,56,"other",1,1,NA
"2020-04-28",1,1,"other",1,1,NA
"2020-04-29",0,0,"other",0,1,NA
"2020-04-30",0,0,"other",0,1,NA
"2020-05-01",1,1,"other",1,1,NA
"2020-05-02",0,0,"other",0,1,NA
"2020-05-03",0,0,"other",0,1,NA
"2020-05-04",0,0,"other",0,1,NA
"2020-05-05",0,0,"other",0,1,NA
"2020-05-06",0,0,"other",0,1,NA
"2020-05-07",2,2,"other",1,1,NA
"2020-05-08",0,0,"other",0,1,NA
"2020-05-09",1,1,"other",1,1,NA
"2020-05-10",0,0,"other",0,1,NA
"2020-05-11",9,9,"other",1,1,NA
"2020-05-12",3,3,"other",1,1,NA
"2020-05-13",6,6,"other",1,1,NA
"2020-05-14",9,9,"other",1,1,NA
"2020-05-15",1,1,"other",1,1,NA
"2020-05-16",0,0,"other",0,1,NA
"2020-05-17",1,1,"other",1,1,NA
"2020-05-18",13,13,"other",1,1,NA
"2020-05-19",5,5,"other",1,1,NA
"2020-05-20",5,5,"other",1,1,NA
"2020-05-21",1,1,"other",1,1,NA
"2020-05-22",2,2,"other",1,1,NA
"2020-05-23",1,1,"other",1,1,NA
"2020-05-24",1,1,"other",1,1,NA
"2020-05-25",3,3,"other",1,1,NA
"2020-05-26",17,17,"other",1,1,NA
"2020-05-27",4,4,"other",1,1,NA
"2020-05-28",1,1,"other",1,1,NA
"2020-05-29",2,2,"other",1,1,NA
"2020-05-30",2,2,"other",1,1,NA
"2020-05-31",0,0,"other",0,1,NA
"2020-06-01",1,1,"other",1,1,NA
"2020-06-02",0,0,"other",0,1,NA
"2020-06-03",2,2,"other",1,1,NA
"2020-06-04",0,0,"other",0,1,NA
"2020-06-05",0,0,"other",0,1,NA
"2020-06-06",0,0,"other",0,1,NA
"2020-06-07",0,0,"other",0,1,NA
"2020-06-08",1,1,"other",1,1,NA
"2020-06-09",2,2,"other",1,1,NA
"2020-06-10",0,0,"other",0,1,NA
"2020-06-11",0,0,"other",0,1,NA
"2020-06-12",0,0,"other",0,1,NA
"2020-06-13",0,0,"other",0,1,NA
"2020-06-14",0,0,"other",0,1,NA
"2020-06-15",4,4,"other",1,1,NA
"2020-06-16",0,0,"other",0,1,NA
"2020-06-17",0,0,"other",0,1,NA
"2020-06-18",1,1,"other",1,1,NA
"2020-06-19",0,0,"other",0,1,NA
"2020-06-20",0,0,"other",0,1,NA
"2020-06-21",0,0,"other",0,1,NA
"2020-06-22",0,0,"other",0,1,NA
"2020-06-23",0,0,"other",0,1,NA
"2020-06-24",1,1,"other",1,1,NA
"2020-06-25",0,0,"other",0,1,NA
"2020-06-26",0,0,"other",0,1,NA
"2020-06-27",0,0,"other",0,1,NA
"2020-06-28",0,0,"other",0,1,NA
"2020-06-29",0,0,"other",0,1,NA
"2020-06-30",0,0,"other",0,1,NA
"2020-07-01",0,0,"other",0,0,NA
"2020-07-02",0,0,"other",0,0,NA
"2020-07-03",0,0,"other",0,0,NA
"2020-07-04",0,0,"other",0,0,NA
"2020-07-05",0,0,"other",0,0,NA
"2020-07-06",0,0,"other",0,0,NA
"2020-07-07",0,0,"other",0,0,NA
"2020-07-08",0,0,"other",0,0,NA
"2020-07-09",1,1,"other",1,1,NA
"2020-07-10",0,0,"other",0,1,NA
"2020-07-11",0,0,"other",0,1,NA
"2020-07-12",0,0,"other",0,1,NA
"2020-07-13",0,0,"other",0,1,NA
"2020-07-14",0,0,"other",0,1,NA
"2020-07-15",0,0,"other",0,1,NA
"2020-07-16",0,0,"other",0,0,NA
"2020-07-17",1,1,"other",1,1,NA
"2020-07-18",0,0,"other",0,1,NA
"2020-07-19",0,0,"other",0,1,NA
"2020-07-20",0,0,"other",0,1,NA
"2020-07-21",2,2,"other",1,1,NA
"2020-07-22",0,0,"other",0,1,NA
"2020-07-23",1,1,"other",1,1,NA
"2020-07-24",0,0,"other",0,1,NA
"2020-07-25",0,0,"other",0,1,NA
"2020-07-26",0,0,"other",0,1,NA
"2020-07-27",0,0,"other",0,1,NA
"2020-07-28",0,0,"other",0,1,NA
"2020-07-29",0,0,"other",0,1,NA
"2020-07-30",2,2,"other",1,1,NA
"2020-07-31",0,0,"other",0,1,NA
"2020-08-01",0,0,"other",0,1,NA
"2020-08-02",0,0,"other",0,1,NA
"2020-08-03",0,0,"other",0,1,NA
"2020-08-04",0,0,"other",0,1,NA
"2020-08-05",0,0,"other",0,1,NA
"2020-08-06",0,0,"other",0,0,NA
"2020-08-07",0,0,"other",0,0,NA
"2020-08-08",0,0,"other",0,0,NA
"2020-08-09",0,0,"other",0,0,NA
"2020-08-10",0,0,"other",0,0,NA
"2020-08-11",0,0,"other",0,0,NA
"2020-08-12",0,0,"other",0,0,NA
"2020-08-13",0,0,"other",0,0,NA
"2020-08-14",0,0,"other",0,0,NA
"2020-08-15",0,0,"other",0,0,NA
"2020-08-16",0,0,"other",0,0,NA
"2020-08-17",0,0,"other",0,0,NA
