"date","total_count","lineage_count","lineage","prevalence","prevalence_rolling","term"
"2020-01-31",1,1,"b",1,1,NA
"2020-02-01",0,0,"b",0,1,NA
"2020-02-02",0,0,"b",0,1,NA
"2020-02-03",0,0,"b",0,1,NA
"2020-02-04",0,0,"b",0,1,NA
"2020-02-05",0,0,"b",0,1,NA
"2020-02-06",0,0,"b",0,1,NA
"2020-02-07",0,0,"b",0,0,NA
"2020-02-08",0,0,"b",0,0,NA
"2020-02-09",0,0,"b",0,0,NA
"2020-02-10",0,0,"b",0,0,NA
"2020-02-11",0,0,"b",0,0,NA
"2020-02-12",0,0,"b",0,0,NA
"2020-02-13",0,0,"b",0,0,NA
"2020-02-14",0,0,"b",0,0,NA
"2020-02-15",0,0,"b",0,0,NA
"2020-02-16",0,0,"b",0,0,NA
"2020-02-17",0,0,"b",0,0,NA
"2020-02-18",0,0,"b",0,0,NA
"2020-02-19",0,0,"b",0,0,NA
"2020-02-20",0,0,"b",0,0,NA
"2020-02-21",0,0,"b",0,0,NA
"2020-02-22",0,0,"b",0,0,NA
"2020-02-23",0,0,"b",0,0,NA
"2020-02-24",0,0,"b",0,0,NA
"2020-02-25",0,0,"b",0,0,NA
"2020-02-26",0,0,"b",0,0,NA
"2020-02-27",0,0,"b",0,0,NA
"2020-02-28",0,0,"b",0,0,NA
"2020-02-29",0,0,"b",0,0,NA
"2020-03-01",0,0,"b",0,0,NA
"2020-03-02",0,0,"b",0,0,NA
"2020-03-03",0,0,"b",0,0,NA
"2020-03-04",0,0,"b",0,0,NA
"2020-03-05",0,0,"b",0,0,NA
"2020-03-06",0,0,"b",0,0,NA
"2020-03-07",0,0,"b",0,0,NA
"2020-03-08",0,0,"b",0,0,NA
"2020-03-09",1,1,"b",1,1,NA
"2020-03-10",0,0,"b",0,1,NA
"2020-03-11",0,0,"b",0,0.125,NA
"2020-03-11",1,1,"b.1",1,0.875,NA
"2020-03-12",7,1,"b",0.142857142857143,0.0754716981132075,NA
"2020-03-12",7,6,"b.1",0.857142857142857,0.924528301886792,NA
"2020-03-13",0,0,"b",0,0.0375,NA
"2020-03-13",9,6,"b.1",0.666666666666667,0.56875,NA
"2020-03-13",9,3,"other",0.333333333333333,0.39375,NA
"2020-03-14",5,1,"b",0.2,0.0618556701030928,NA
"2020-03-14",5,3,"b.1",0.6,0.577319587628866,NA
"2020-03-14",5,1,"b.1.1",0.2,0.144329896907216,NA
"2020-03-14",0,0,"other",0,0.216494845360825,NA
"2020-03-15",16,3,"b",0.1875,0.090955027791814,NA
"2020-03-15",16,6,"b.1",0.375,0.466902475997979,NA
"2020-03-15",16,2,"b.1.1",0.125,0.159171298635675,NA
"2020-03-15",16,5,"other",0.3125,0.282971197574533,NA
"2020-03-16",22,4,"b",0.181818181818182,0.109867751780265,NA
"2020-03-16",22,11,"b.1",0.5,0.46998982706002,NA
"2020-03-16",22,2,"b.1.1",0.0909090909090909,0.142421159715158,NA
"2020-03-16",22,5,"other",0.227272727272727,0.277721261444557,NA
"2020-03-17",14,3,"b",0.214285714285714,0.14002333722287,NA
"2020-03-17",14,5,"b.1",0.357142857142857,0.44340723453909,NA
"2020-03-17",14,1,"b.1.1",0.0714285714285714,0.122520420070012,NA
"2020-03-17",14,5,"other",0.357142857142857,0.294049008168028,NA
"2020-03-18",21,3,"b",0.142857142857143,0.148662041625372,NA
"2020-03-18",21,9,"b.1",0.428571428571429,0.45589692765114,NA
"2020-03-18",0,0,"b.1.1",0,0.0832507433102081,NA
"2020-03-18",21,9,"other",0.428571428571429,0.312190287413281,NA
"2020-03-19",32,9,"b",0.28125,0.191400832177531,NA
"2020-03-19",32,8,"b.1",0.25,0.399445214979196,NA
"2020-03-19",32,1,"b.1.1",0.03125,0.0679611650485437,NA
"2020-03-19",32,14,"other",0.4375,0.34119278779473,NA
"2020-03-20",16,6,"b",0.375,0.23015873015873,NA
"2020-03-20",16,5,"b.1",0.3125,0.373015873015873,NA
"2020-03-20",0,0,"b.1.1",0,0.0555555555555556,NA
"2020-03-20",16,5,"other",0.3125,0.341269841269841,NA
