"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"13583",2020-03-02,1,1,"b.1.104",1,1
"13584",2020-03-03,0,0,"b.1.104",0,1
"13585",2020-03-04,0,0,"b.1.104",0,1
"13586",2020-03-05,0,0,"b.1.104",0,1
"9940",2020-03-06,1,1,"b",1,0.833333333333333
"13587",2020-03-06,0,0,"b.1.104",0,0.166666666666667
"9941",2020-03-07,0,0,"b",0,0.75
"13588",2020-03-07,0,0,"b.1.104",0,0.25
"389",2020-03-08,2,2,"a.1",1,0.807692307692308
"9942",2020-03-08,0,0,"b",0,0.134615384615385
"13589",2020-03-08,0,0,"b.1.104",0,0.0576923076923077
"360",2020-03-09,1,1,"a",1,0.444444444444444
"390",2020-03-09,0,0,"a.1",0,0.444444444444444
"9943",2020-03-09,0,0,"b",0,0.111111111111111
"13590",2020-03-09,0,0,"b.1.104",0,0
"361",2020-03-10,0,0,"a",0,0.294117647058824
"391",2020-03-10,1,1,"a.1",1,0.588235294117647
"9944",2020-03-10,0,0,"b",0,0.117647058823529
"13591",2020-03-10,0,0,"b.1.104",0,0
"362",2020-03-11,0,0,"a",0,0.102564102564103
"392",2020-03-11,0,0,"a.1",0,0.230769230769231
"9945",2020-03-11,0,0,"b",0,0.0512820512820513
"10604",2020-03-11,2,2,"b.1",1,0.615384615384615
"13592",2020-03-11,0,0,"b.1.104",0,0
"363",2020-03-12,0,0,"a",0,0.0365726227795193
"393",2020-03-12,7,1,"a.1",0.142857142857143,0.117032392894462
"9946",2020-03-12,0,0,"b",0,0.0208986415882968
"10605",2020-03-12,7,1,"b.1",0.142857142857143,0.219435736677116
"11226",2020-03-12,7,4,"b.1.1",0.571428571428571,0.585161964472309
"13593",2020-03-12,7,1,"b.1.104",0.142857142857143,0.0208986415882968
"364",2020-03-13,24,1,"a",0.0416666666666667,0.0272373540856031
"394",2020-03-13,24,2,"a.1",0.0833333333333333,0.0680933852140078
"9947",2020-03-13,0,0,"b",0,0
"10606",2020-03-13,24,9,"b.1",0.375,0.272373540856031
