"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"6760",2020-03-16,1,1,"b.1",1,1
"6761",2020-03-17,7,7,"b.1",1,1
"6762",2020-03-18,3,3,"b.1",1,1
"6763",2020-03-19,2,2,"b.1",1,1
"6764",2020-03-20,0,0,"b.1",0,1
"6765",2020-03-21,0,0,"b.1",0,1
"6766",2020-03-22,1,1,"b.1",1,1
"153",2020-03-23,6,2,"a.1",0.333333333333333,0.451612903225806
"6767",2020-03-23,6,4,"b.1",0.666666666666667,0.548387096774194
"154",2020-03-24,16,1,"a.1",0.0625,0.221052631578947
"6768",2020-03-24,16,13,"b.1",0.8125,0.484210526315789
"7227",2020-03-24,16,1,"b.1.1",0.0625,0.147368421052632
"12966",2020-03-24,16,1,"b.4.4",0.0625,0.147368421052632
"6769",2020-03-25,5,4,"b.1",0.8,0.695652173913043
"7228",2020-03-25,0,0,"b.1.1",0,0.101449275362319
"11674",2020-03-25,5,1,"b.1.595",0.2,0.202898550724638
"6770",2020-03-26,0,0,"b.1",0,0.790419161676647
"7229",2020-03-26,0,0,"b.1.1",0,0.0838323353293413
"11675",2020-03-26,0,0,"b.1.595",0,0.125748502994012
"6771",2020-03-27,0,0,"b.1",0,0.843450479233227
"7230",2020-03-27,0,0,"b.1.1",0,0.0670926517571885
"11676",2020-03-27,0,0,"b.1.595",0,0.0894568690095847
"6772",2020-03-28,0,0,"b.1",0,0.874751491053678
"7231",2020-03-28,0,0,"b.1.1",0,0.0556660039761431
"11677",2020-03-28,0,0,"b.1.595",0,0.0695825049701789
"6773",2020-03-29,0,0,"b.1",0,0.891089108910891
"7232",2020-03-29,0,0,"b.1.1",0,0.0495049504950495
"11678",2020-03-29,0,0,"b.1.595",0,0.0594059405940594
"6774",2020-03-30,0,0,"b.1",0,0.886956521739131
"7233",2020-03-30,0,0,"b.1.1",0,0.0521739130434783
"11679",2020-03-30,0,0,"b.1.595",0,0.0608695652173913
"6775",2020-03-31,0,0,"b.1",0,0.8
"7234",2020-03-31,0,0,"b.1.1",0,0
"11680",2020-03-31,0,0,"b.1.595",0,0.2
"6776",2020-04-01,0,0,"b.1",0,0
"7235",2020-04-01,0,0,"b.1.1",0,0
"11681",2020-04-01,0,0,"b.1.595",0,0
"6777",2020-04-02,0,0,"b.1",0,0
"7236",2020-04-02,0,0,"b.1.1",0,0
"11682",2020-04-02,0,0,"b.1.595",0,0
"6778",2020-04-03,0,0,"b.1",0,0
"7237",2020-04-03,0,0,"b.1.1",0,0
"11683",2020-04-03,0,0,"b.1.595",0,0
"6779",2020-04-04,0,0,"b.1",0,0
"7238",2020-04-04,0,0,"b.1.1",0,0
"11684",2020-04-04,0,0,"b.1.595",0,0
"6780",2020-04-05,0,0,"b.1",0,0
"7239",2020-04-05,0,0,"b.1.1",0,0
"11685",2020-04-05,0,0,"b.1.595",0,0
"6781",2020-04-06,0,0,"b.1",0,0
"7240",2020-04-06,0,0,"b.1.1",0,0
"11686",2020-04-06,0,0,"b.1.595",0,0
"6782",2020-04-07,0,0,"b.1",0,0
"7241",2020-04-07,0,0,"b.1.1",0,0
"11687",2020-04-07,0,0,"b.1.595",0,0
"6783",2020-04-08,0,0,"b.1",0,0
"7242",2020-04-08,0,0,"b.1.1",0,0
"11688",2020-04-08,0,0,"b.1.595",0,0
"6784",2020-04-09,0,0,"b.1",0,0
"7243",2020-04-09,0,0,"b.1.1",0,0
"11689",2020-04-09,0,0,"b.1.595",0,0
"6785",2020-04-10,0,0,"b.1",0,0
"7244",2020-04-10,0,0,"b.1.1",0,0
"11690",2020-04-10,0,0,"b.1.595",0,0
"6786",2020-04-11,0,0,"b.1",0,0
