"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"7370",2020-03-13,1,1,"b",1,1
"7371",2020-03-14,0,0,"b",0,1
"7372",2020-03-15,0,0,"b",0,1
"7373",2020-03-16,0,0,"b",0,0.2
"8024",2020-03-16,1,1,"b.1",1,0.8
"7374",2020-03-17,0,0,"b",0,0.166666666666667
"8025",2020-03-17,1,1,"b.1",1,0.833333333333333
"7375",2020-03-18,0,0,"b",0,0.0526315789473684
"8026",2020-03-18,5,4,"b.1",0.8,0.631578947368421
"8529",2020-03-18,5,1,"b.1.1",0.2,0.315789473684211
"7376",2020-03-19,0,0,"b",0,0.0597014925373134
"8027",2020-03-19,1,1,"b.1",1,0.73134328358209
"8530",2020-03-19,0,0,"b.1.1",0,0.208955223880597
"7377",2020-03-20,0,0,"b",0,0
"8028",2020-03-20,0,0,"b.1",0,0.807692307692308
"8531",2020-03-20,0,0,"b.1.1",0,0.192307692307692
"7378",2020-03-21,0,0,"b",0,0
"8029",2020-03-21,0,0,"b.1",0,0.823529411764706
"8532",2020-03-21,0,0,"b.1.1",0,0.176470588235294
"7379",2020-03-22,0,0,"b",0,0
"8030",2020-03-22,0,0,"b.1",0,0.833333333333333
"8533",2020-03-22,0,0,"b.1.1",0,0.166666666666667
"7380",2020-03-23,0,0,"b",0,0
"8031",2020-03-23,0,0,"b.1",0,0.837209302325581
"8534",2020-03-23,0,0,"b.1.1",0,0.162790697674419
"7381",2020-03-24,0,0,"b",0,0
"8032",2020-03-24,0,0,"b.1",0,0.833333333333333
"8535",2020-03-24,0,0,"b.1.1",0,0.166666666666667
"7382",2020-03-25,0,0,"b",0,0
"8033",2020-03-25,0,0,"b.1",0,1
"8536",2020-03-25,0,0,"b.1.1",0,0
"7383",2020-03-26,0,0,"b",0,0
"8034",2020-03-26,0,0,"b.1",0,0
"8537",2020-03-26,0,0,"b.1.1",0,0
"7384",2020-03-27,0,0,"b",0,0
"8035",2020-03-27,0,0,"b.1",0,0
"8538",2020-03-27,0,0,"b.1.1",0,0
"7385",2020-03-28,0,0,"b",0,0
"8036",2020-03-28,0,0,"b.1",0,0
"8539",2020-03-28,0,0,"b.1.1",0,0
"7386",2020-03-29,0,0,"b",0,0
"8037",2020-03-29,0,0,"b.1",0,0
"8540",2020-03-29,0,0,"b.1.1",0,0
"7387",2020-03-30,0,0,"b",0,0
"8038",2020-03-30,0,0,"b.1",0,0
"8541",2020-03-30,0,0,"b.1.1",0,0
"7388",2020-03-31,0,0,"b",0,0
"8039",2020-03-31,0,0,"b.1",0,0
"8542",2020-03-31,0,0,"b.1.1",0,0
"7389",2020-04-01,0,0,"b",0,0
"8040",2020-04-01,0,0,"b.1",0,0
"8543",2020-04-01,0,0,"b.1.1",0,0
"7390",2020-04-02,0,0,"b",0,0
"8041",2020-04-02,0,0,"b.1",0,0
"8544",2020-04-02,0,0,"b.1.1",0,0
"7391",2020-04-03,0,0,"b",0,0
"8042",2020-04-03,0,0,"b.1",0,0
"8545",2020-04-03,0,0,"b.1.1",0,0
"7392",2020-04-04,0,0,"b",0,0
"8043",2020-04-04,0,0,"b.1",0,0
