"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"12599",2020-03-03,1,1,"b.1",1,1
"12600",2020-03-04,0,0,"b.1",0,1
"12601",2020-03-05,2,2,"b.1",1,1
"12602",2020-03-06,1,1,"b.1",1,1
"12603",2020-03-07,3,3,"b.1",1,1
"12604",2020-03-08,3,3,"b.1",1,1
"12605",2020-03-09,1,1,"b.1",1,1
"12606",2020-03-10,0,0,"b.1",0,1
"12607",2020-03-11,1,1,"b.1",1,1
"383",2020-03-12,2,1,"a",0.5,0.411764705882353
"12608",2020-03-12,2,1,"b.1",0.5,0.588235294117647
"384",2020-03-13,0,0,"a",0,0.162790697674419
"1006",2020-03-13,3,1,"a.1",0.333333333333333,0.325581395348837
"12609",2020-03-13,3,2,"b.1",0.666666666666667,0.511627906976744
"385",2020-03-14,0,0,"a",0,0.102189781021898
"1007",2020-03-14,4,2,"a.1",0.5,0.45985401459854
"12610",2020-03-14,4,2,"b.1",0.5,0.437956204379562
"386",2020-03-15,0,0,"a",0,0.0204878048780488
"1008",2020-03-15,43,2,"a.1",0.0465116279069767,0.136585365853659
"12611",2020-03-15,43,37,"b.1",0.86046511627907,0.515121951219512
"13230",2020-03-15,43,3,"b.1.1",0.0697674418604651,0.245853658536585
"20790",2020-03-15,43,1,"b.1.413",0.0232558139534884,0.0819512195121951
"387",2020-03-16,0,0,"a",0,0.0192704748795595
"1009",2020-03-16,0,0,"a.1",0,0.120440467997247
"12612",2020-03-16,3,2,"b.1",0.666666666666667,0.619408121128699
"13231",2020-03-16,3,1,"b.1.1",0.333333333333333,0.192704748795595
"20791",2020-03-16,0,0,"b.1.413",0,0.0481761871988988
"388",2020-03-17,0,0,"a",0,0.0177215189873418
"1010",2020-03-17,0,0,"a.1",0,0.106329113924051
"12613",2020-03-17,1,1,"b.1",1,0.69873417721519
"13232",2020-03-17,0,0,"b.1.1",0,0.141772151898734
"20792",2020-03-17,0,0,"b.1.413",0,0.0354430379746835
"389",2020-03-18,0,0,"a",0,0.0151324085750315
"1011",2020-03-18,0,0,"a.1",0,0.0882723833543506
"12614",2020-03-18,4,2,"b.1",0.5,0.711223203026482
"13233",2020-03-18,4,2,"b.1.1",0.5,0.158890290037831
"20793",2020-03-18,0,0,"b.1.413",0,0.0264817150063052
"390",2020-03-19,0,0,"a",0,0
"1012",2020-03-19,0,0,"a.1",0,0.0791139240506329
"12615",2020-03-19,2,1,"b.1",0.5,0.743670886075949
"13234",2020-03-19,2,1,"b.1.1",0.5,0.15506329113924
"20794",2020-03-19,0,0,"b.1.413",0,0.0221518987341772
"391",2020-03-20,0,0,"a",0,0
"1013",2020-03-20,0,0,"a.1",0,0.0685714285714286
"12616",2020-03-20,0,0,"b.1",0,0.771428571428572
"13235",2020-03-20,0,0,"b.1.1",0,0.14
"20795",2020-03-20,0,0,"b.1.413",0,0.02
"392",2020-03-21,0,0,"a",0,0
"1014",2020-03-21,0,0,"a.1",0,0.0377358490566038
"12617",2020-03-21,0,0,"b.1",0,0.811320754716981
"13236",2020-03-21,0,0,"b.1.1",0,0.132075471698113
"20796",2020-03-21,0,0,"b.1.413",0,0.0188679245283019
"393",2020-03-22,0,0,"a",0,0
"1015",2020-03-22,0,0,"a.1",0,0
"12618",2020-03-22,0,0,"b.1",0,0.6
"13237",2020-03-22,0,0,"b.1.1",0,0.4
"20797",2020-03-22,0,0,"b.1.413",0,0
"394",2020-03-23,0,0,"a",0,0
"1016",2020-03-23,0,0,"a.1",0,0
"1023",2020-03-23,9,2,"a.17",0.222222222222222,0.5
"12619",2020-03-23,9,6,"b.1",0.666666666666667,0.357142857142857
"13238",2020-03-23,0,0,"b.1.1",0,0.107142857142857
"20798",2020-03-23,9,1,"b.1.413",0.111111111111111,0.0357142857142857
"395",2020-03-24,0,0,"a",0,0
"1017",2020-03-24,0,0,"a.1",0,0
"12620",2020-03-24,5,5,"b.1",1,0.777777777777778
"13239",2020-03-24,0,0,"b.1.1",0,0.166666666666667
"20799",2020-03-24,0,0,"b.1.413",0,0.0555555555555556
"396",2020-03-25,0,0,"a",0,0
"1018",2020-03-25,11,1,"a.1",0.0909090909090909,0.04
"12621",2020-03-25,11,9,"b.1",0.818181818181818,0.84
"13240",2020-03-25,11,1,"b.1.1",0.0909090909090909,0.08
"20800",2020-03-25,0,0,"b.1.413",0,0.04
"397",2020-03-26,0,0,"a",0,0
"1019",2020-03-26,0,0,"a.1",0,0.0263157894736842
"12622",2020-03-26,15,12,"b.1",0.8,0.842105263157895
"13241",2020-03-26,15,2,"b.1.1",0.133333333333333,0.0789473684210526
"20801",2020-03-26,15,1,"b.1.413",0.0666666666666667,0.0526315789473684
"398",2020-03-27,0,0,"a",0,0
"1020",2020-03-27,9,1,"a.1",0.111111111111111,0.0338983050847458
"12623",2020-03-27,9,5,"b.1",0.555555555555556,0.627118644067797
"13242",2020-03-27,9,1,"b.1.1",0.111111111111111,0.0677966101694915
"20802",2020-03-27,0,0,"b.1.413",0,0.0338983050847458
"20808",2020-03-27,9,2,"b.1.422",0.222222222222222,0.23728813559322
"399",2020-03-28,0,0,"a",0,0
"1021",2020-03-28,0,0,"a.1",0,0.0408163265306122
"12624",2020-03-28,4,4,"b.1",1,0.836734693877551
"13243",2020-03-28,0,0,"b.1.1",0,0.0816326530612245
"20803",2020-03-28,0,0,"b.1.413",0,0.0408163265306122
"400",2020-03-29,0,0,"a",0,0
"1022",2020-03-29,2,2,"a.1",1,0.0784313725490196
"12625",2020-03-29,0,0,"b.1",0,0.803921568627451
"13244",2020-03-29,0,0,"b.1.1",0,0.0784313725490196
"20804",2020-03-29,0,0,"b.1.413",0,0.0392156862745098
"401",2020-03-30,0,0,"a",0,0
"12626",2020-03-30,16,12,"b.1",0.75,0.5875
"13245",2020-03-30,0,0,"b.1.1",0,0.05
"18547",2020-03-30,16,2,"b.1.276",0.125,0.175
"20805",2020-03-30,0,0,"b.1.413",0,0.0125
"21116",2020-03-30,16,2,"b.1.439",0.125,0.175
"402",2020-03-31,0,0,"a",0,0
"1039",2020-03-31,19,3,"a.3",0.157894736842105,0.203883495145631
"12627",2020-03-31,19,6,"b.1",0.315789473684211,0.466019417475728
"13246",2020-03-31,19,4,"b.1.1",0.210526315789474,0.0776699029126214
"15584",2020-03-31,19,2,"b.1.1.33",0.105263157894737,0.135922330097087
"20806",2020-03-31,19,4,"b.1.413",0.210526315789474,0.0485436893203884
"21117",2020-03-31,0,0,"b.1.439",0,0.0679611650485437
"403",2020-04-01,0,0,"a",0,0
"12628",2020-04-01,8,6,"b.1",0.75,0.767045454545455
"13247",2020-04-01,8,2,"b.1.1",0.25,0.153409090909091
"21118",2020-04-01,0,0,"b.1.439",0,0.0795454545454545
"404",2020-04-02,0,0,"a",0,0
"12629",2020-04-02,8,5,"b.1",0.625,0.591439688715953
"13248",2020-04-02,0,0,"b.1.1",0,0.108949416342412
"21119",2020-04-02,8,1,"b.1.439",0.125,0.0817120622568093
"21207",2020-04-02,8,2,"b.1.507",0.25,0.217898832684825
"405",2020-04-03,0,0,"a",0,0
"12630",2020-04-03,0,0,"b.1",0,0.657370517928287
"13249",2020-04-03,0,0,"b.1.1",0,0.119521912350598
"21120",2020-04-03,0,0,"b.1.439",0,0.0836653386454183
"21208",2020-04-03,0,0,"b.1.507",0,0.139442231075697
"406",2020-04-04,3,2,"a",0.666666666666667,0.0433212996389892
"12631",2020-04-04,3,1,"b.1",0.333333333333333,0.649819494584838
"13250",2020-04-04,0,0,"b.1.1",0,0.129963898916967
"21121",2020-04-04,0,0,"b.1.439",0,0.0758122743682311
"21209",2020-04-04,0,0,"b.1.507",0,0.101083032490975
"407",2020-04-05,0,0,"a",0,0.0412371134020619
"12632",2020-04-05,4,2,"b.1",0.5,0.65979381443299
"13251",2020-04-05,0,0,"b.1.1",0,0.123711340206186
"21122",2020-04-05,4,2,"b.1.439",0.5,0.103092783505155
"21210",2020-04-05,0,0,"b.1.507",0,0.0721649484536083
"408",2020-04-06,0,0,"a",0,0.0558659217877095
"12633",2020-04-06,2,2,"b.1",1,0.614525139664804
"13252",2020-04-06,0,0,"b.1.1",0,0.167597765363128
"21123",2020-04-06,0,0,"b.1.439",0,0.0837988826815642
"21211",2020-04-06,0,0,"b.1.507",0,0.0782122905027933
"409",2020-04-07,0,0,"a",0,0.06
"12634",2020-04-07,8,5,"b.1",0.625,0.63
"13253",2020-04-07,0,0,"b.1.1",0,0.06
"21124",2020-04-07,8,3,"b.1.439",0.375,0.18
"21212",2020-04-07,0,0,"b.1.507",0,0.07
"410",2020-04-08,0,0,"a",0,0.0350877192982456
"12635",2020-04-08,14,11,"b.1",0.785714285714286,0.456140350877193
"13254",2020-04-08,0,0,"b.1.1",0,0
"19348",2020-04-08,14,2,"b.1.332",0.142857142857143,0.245614035087719
"21125",2020-04-08,0,0,"b.1.439",0,0.105263157894737
"21213",2020-04-08,0,0,"b.1.507",0,0.0350877192982456
"25253",2020-04-08,14,1,"b.4.4",0.0714285714285714,0.12280701754386
"411",2020-04-09,0,0,"a",0,0.0493827160493827
"12636",2020-04-09,2,2,"b.1",1,0.567901234567901
"13255",2020-04-09,0,0,"b.1.1",0,0
"19349",2020-04-09,0,0,"b.1.332",0,0.172839506172839
"21126",2020-04-09,0,0,"b.1.439",0,0.123456790123457
"21214",2020-04-09,0,0,"b.1.507",0,0
"25254",2020-04-09,0,0,"b.4.4",0,0.0864197530864197
"412",2020-04-10,0,0,"a",0,0.05
"12637",2020-04-10,3,3,"b.1",1,0.65
"13256",2020-04-10,0,0,"b.1.1",0,0
"19350",2020-04-10,0,0,"b.1.332",0,0.116666666666667
"21127",2020-04-10,0,0,"b.1.439",0,0.125
"21215",2020-04-10,0,0,"b.1.507",0,0
"25255",2020-04-10,0,0,"b.4.4",0,0.0583333333333333
"413",2020-04-11,0,0,"a",0,0
"12638",2020-04-11,5,5,"b.1",1,0.745341614906832
"13257",2020-04-11,0,0,"b.1.1",0,0
"19351",2020-04-11,0,0,"b.1.332",0,0.0869565217391304
"21128",2020-04-11,0,0,"b.1.439",0,0.124223602484472
"21216",2020-04-11,0,0,"b.1.507",0,0
"25256",2020-04-11,0,0,"b.4.4",0,0.0434782608695652
"414",2020-04-12,0,0,"a",0,0
"12639",2020-04-12,6,3,"b.1",0.5,0.752427184466019
"13258",2020-04-12,0,0,"b.1.1",0,0
"19352",2020-04-12,0,0,"b.1.332",0,0.0679611650485437
"21129",2020-04-12,6,3,"b.1.439",0.5,0.145631067961165
"21217",2020-04-12,0,0,"b.1.507",0,0
"25257",2020-04-12,0,0,"b.4.4",0,0.0339805825242718
"415",2020-04-13,0,0,"a",0,0
"12640",2020-04-13,13,10,"b.1",0.769230769230769,0.757281553398058
"13259",2020-04-13,0,0,"b.1.1",0,0
"19353",2020-04-13,0,0,"b.1.332",0,0.0453074433656958
"21130",2020-04-13,13,2,"b.1.439",0.153846153846154,0.155339805825243
"21218",2020-04-13,13,1,"b.1.507",0.0769230769230769,0.0194174757281553
"25258",2020-04-13,0,0,"b.4.4",0,0.0226537216828479
"416",2020-04-14,0,0,"a",0,0
"12641",2020-04-14,3,3,"b.1",1,0.822222222222222
"13260",2020-04-14,0,0,"b.1.1",0,0
"19354",2020-04-14,0,0,"b.1.332",0,0.0444444444444444
"21131",2020-04-14,0,0,"b.1.439",0,0.111111111111111
"25259",2020-04-14,0,0,"b.4.4",0,0.0222222222222222
"417",2020-04-15,7,1,"a",0.142857142857143,0.0227272727272727
"12642",2020-04-15,7,2,"b.1",0.285714285714286,0.636363636363636
"13261",2020-04-15,0,0,"b.1.1",0,0
"19355",2020-04-15,0,0,"b.1.332",0,0
"19923",2020-04-15,7,1,"b.1.369",0.142857142857143,0.159090909090909
"21132",2020-04-15,7,2,"b.1.439",0.285714285714286,0.159090909090909
"25260",2020-04-15,7,1,"b.4.4",0.142857142857143,0.0227272727272727
