"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"6596",2020-02-28,1,1,"b.1",1,1
"6597",2020-02-29,0,0,"b.1",0,1
"6598",2020-03-01,1,1,"b.1",1,1
"6599",2020-03-02,0,0,"b.1",0,1
"6600",2020-03-03,0,0,"b.1",0,1
"6601",2020-03-04,0,0,"b.1",0,1
"6602",2020-03-05,1,1,"b.1",1,1
"6603",2020-03-06,0,0,"b.1",0,1
"6604",2020-03-07,0,0,"b.1",0,1
"6605",2020-03-08,0,0,"b.1",0,1
"6606",2020-03-09,3,3,"b.1",1,1
"6607",2020-03-10,0,0,"b.1",0,1
"6608",2020-03-11,0,0,"b.1",0,1
"6609",2020-03-12,0,0,"b.1",0,1
"6610",2020-03-13,0,0,"b.1",0,1
"6611",2020-03-14,0,0,"b.1",0,1
"6612",2020-03-15,0,0,"b.1",0,1
"6613",2020-03-16,0,0,"b.1",0,0
"6614",2020-03-17,0,0,"b.1",0,0
"6615",2020-03-18,0,0,"b.1",0,0
"6616",2020-03-19,0,0,"b.1",0,0
"6617",2020-03-20,0,0,"b.1",0,0
"6618",2020-03-21,0,0,"b.1",0,0
"6619",2020-03-22,0,0,"b.1",0,0
"6620",2020-03-23,0,0,"b.1",0,0
"6621",2020-03-24,0,0,"b.1",0,0
"6622",2020-03-25,0,0,"b.1",0,0
"6623",2020-03-26,0,0,"b.1",0,0
"6624",2020-03-27,1,1,"b.1",1,1
"6625",2020-03-28,3,3,"b.1",1,1
"6626",2020-03-29,29,29,"b.1",1,1
"6627",2020-03-30,27,27,"b.1",1,1
"109",2020-03-31,16,3,"a.1",0.1875,0.223404255319149
"6628",2020-03-31,16,13,"b.1",0.8125,0.776595744680851
"110",2020-04-01,7,1,"a.1",0.142857142857143,0.150537634408602
"6629",2020-04-01,7,6,"b.1",0.857142857142857,0.849462365591398
"111",2020-04-02,12,1,"a.1",0.0833333333333333,0.114754098360656
"6630",2020-04-02,12,11,"b.1",0.916666666666667,0.885245901639344
"112",2020-04-03,15,1,"a.1",0.0666666666666667,0.0798479087452472
"6631",2020-04-03,15,11,"b.1",0.733333333333333,0.760456273764259
"8559",2020-04-03,15,2,"b.1.108",0.133333333333333,0.106463878326996
"9835",2020-04-03,15,1,"b.1.413",0.0666666666666667,0.0532319391634981
"113",2020-04-04,2,1,"a.1",0.5,0.0909090909090909
"6632",2020-04-04,2,1,"b.1",0.5,0.909090909090909
"114",2020-04-05,0,0,"a.1",0,0.105831533477322
"6633",2020-04-05,0,0,"b.1",0,0.894168466522678
"115",2020-04-06,0,0,"a.1",0,0.142857142857143
"6634",2020-04-06,0,0,"b.1",0,0.857142857142857
"116",2020-04-07,0,0,"a.1",0,0.08
"6635",2020-04-07,5,3,"b.1",0.6,0.64
"9313",2020-04-07,5,2,"b.1.319",0.4,0.28
"117",2020-04-08,0,0,"a.1",0,0.0789473684210526
"6636",2020-04-08,2,2,"b.1",1,0.736842105263158
"9314",2020-04-08,0,0,"b.1.319",0,0.184210526315789
"118",2020-04-09,0,0,"a.1",0,0.0652173913043478
"6637",2020-04-09,7,7,"b.1",1,0.782608695652174
"9315",2020-04-09,0,0,"b.1.319",0,0.152173913043478
"119",2020-04-10,0,0,"a.1",0,0.0253164556962025
"6638",2020-04-10,22,22,"b.1",1,0.886075949367089
"9316",2020-04-10,0,0,"b.1.319",0,0.0886075949367089
"120",2020-04-11,0,0,"a.1",0,0
"6639",2020-04-11,8,8,"b.1",1,0.9375
"9317",2020-04-11,0,0,"b.1.319",0,0.0625
"121",2020-04-12,0,0,"a.1",0,0
"6640",2020-04-12,5,5,"b.1",1,0.952702702702703
"9318",2020-04-12,0,0,"b.1.319",0,0.0472972972972973
"122",2020-04-13,17,1,"a.1",0.0588235294117647,0.0138888888888889
"6641",2020-04-13,17,15,"b.1",0.882352941176471,0.861111111111111
