"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"8568",2020-01-05,1,1,"ba.1",1,1
"8569",2020-01-06,0,0,"ba.1",0,1
"8570",2020-01-07,0,0,"ba.1",0,1
"8571",2020-01-08,0,0,"ba.1",0,1
"8572",2020-01-09,0,0,"ba.1",0,1
"8573",2020-01-10,0,0,"ba.1",0,1
"8574",2020-01-11,0,0,"ba.1",0,1
"8575",2020-01-12,0,0,"ba.1",0,0
"8576",2020-01-13,0,0,"ba.1",0,0
"8577",2020-01-14,0,0,"ba.1",0,0
"8578",2020-01-15,0,0,"ba.1",0,0
"8579",2020-01-16,0,0,"ba.1",0,0
"8580",2020-01-17,0,0,"ba.1",0,0
"8581",2020-01-18,0,0,"ba.1",0,0
"8582",2020-01-19,0,0,"ba.1",0,0
"8583",2020-01-20,0,0,"ba.1",0,0
"8584",2020-01-21,0,0,"ba.1",0,0
"8585",2020-01-22,0,0,"ba.1",0,0
"8586",2020-01-23,0,0,"ba.1",0,0
"8587",2020-01-24,0,0,"ba.1",0,0
"8588",2020-01-25,0,0,"ba.1",0,0
"8589",2020-01-26,0,0,"ba.1",0,0
"8590",2020-01-27,0,0,"ba.1",0,0
"8591",2020-01-28,0,0,"ba.1",0,0
"8592",2020-01-29,0,0,"ba.1",0,0
"8593",2020-01-30,0,0,"ba.1",0,0
"8594",2020-01-31,0,0,"ba.1",0,0
"8595",2020-02-01,0,0,"ba.1",0,0
"8596",2020-02-02,0,0,"ba.1",0,0
"8597",2020-02-03,0,0,"ba.1",0,0
"8598",2020-02-04,0,0,"ba.1",0,0
"8599",2020-02-05,0,0,"ba.1",0,0
"8600",2020-02-06,0,0,"ba.1",0,0
"8601",2020-02-07,0,0,"ba.1",0,0
"8602",2020-02-08,0,0,"ba.1",0,0
"8603",2020-02-09,0,0,"ba.1",0,0
"8604",2020-02-10,0,0,"ba.1",0,0
"8605",2020-02-11,0,0,"ba.1",0,0
"8606",2020-02-12,0,0,"ba.1",0,0
"8607",2020-02-13,0,0,"ba.1",0,0
"8608",2020-02-14,0,0,"ba.1",0,0
"8609",2020-02-15,0,0,"ba.1",0,0
"8610",2020-02-16,0,0,"ba.1",0,0
"8611",2020-02-17,0,0,"ba.1",0,0
"8612",2020-02-18,0,0,"ba.1",0,0
"8613",2020-02-19,0,0,"ba.1",0,0
"8614",2020-02-20,0,0,"ba.1",0,0
"8615",2020-02-21,0,0,"ba.1",0,0
"8616",2020-02-22,0,0,"ba.1",0,0
"8617",2020-02-23,0,0,"ba.1",0,0
"8618",2020-02-24,0,0,"ba.1",0,0
"8619",2020-02-25,0,0,"ba.1",0,0
"8620",2020-02-26,0,0,"ba.1",0,0
"8621",2020-02-27,0,0,"ba.1",0,0
"8622",2020-02-28,0,0,"ba.1",0,0
"8623",2020-02-29,0,0,"ba.1",0,0
"8624",2020-03-01,0,0,"ba.1",0,0
"8625",2020-03-02,0,0,"ba.1",0,0
"8626",2020-03-03,0,0,"ba.1",0,0
"8627",2020-03-04,0,0,"ba.1",0,0
"8628",2020-03-05,0,0,"ba.1",0,0
"8629",2020-03-06,0,0,"ba.1",0,0
"8630",2020-03-07,0,0,"ba.1",0,0
"8631",2020-03-08,0,0,"ba.1",0,0
"8632",2020-03-09,0,0,"ba.1",0,0
"8633",2020-03-10,0,0,"ba.1",0,0
"8634",2020-03-11,0,0,"ba.1",0,0
"8635",2020-03-12,0,0,"ba.1",0,0
"4719",2020-03-13,1,1,"b.1",1,1
"8636",2020-03-13,0,0,"ba.1",0,0
"4720",2020-03-14,0,0,"b.1",0,1
"8637",2020-03-14,0,0,"ba.1",0,0
"4721",2020-03-15,0,0,"b.1",0,1
"8638",2020-03-15,0,0,"ba.1",0,0
"4722",2020-03-16,0,0,"b.1",0,1
"8639",2020-03-16,0,0,"ba.1",0,0
"4723",2020-03-17,0,0,"b.1",0,1
"8640",2020-03-17,0,0,"ba.1",0,0
"4724",2020-03-18,0,0,"b.1",0,1
"8641",2020-03-18,0,0,"ba.1",0,0
"4725",2020-03-19,0,0,"b.1",0,1
"8642",2020-03-19,0,0,"ba.1",0,0
"4726",2020-03-20,0,0,"b.1",0,0
"8643",2020-03-20,0,0,"ba.1",0,0
"4727",2020-03-21,0,0,"b.1",0,0
"8644",2020-03-21,0,0,"ba.1",0,0
"4728",2020-03-22,0,0,"b.1",0,0
"8645",2020-03-22,0,0,"ba.1",0,0
"4729",2020-03-23,0,0,"b.1",0,0
"8646",2020-03-23,0,0,"ba.1",0,0
"4730",2020-03-24,0,0,"b.1",0,0
"8647",2020-03-24,0,0,"ba.1",0,0
"4731",2020-03-25,0,0,"b.1",0,0
"8648",2020-03-25,0,0,"ba.1",0,0
"4732",2020-03-26,0,0,"b.1",0,0
"8649",2020-03-26,0,0,"ba.1",0,0
"4733",2020-03-27,0,0,"b.1",0,0
"8650",2020-03-27,0,0,"ba.1",0,0
"4734",2020-03-28,0,0,"b.1",0,0
"8651",2020-03-28,0,0,"ba.1",0,0
"4735",2020-03-29,0,0,"b.1",0,0
"8652",2020-03-29,0,0,"ba.1",0,0
"4736",2020-03-30,0,0,"b.1",0,0
"8653",2020-03-30,0,0,"ba.1",0,0
"4737",2020-03-31,0,0,"b.1",0,0
"8654",2020-03-31,0,0,"ba.1",0,0
"4738",2020-04-01,0,0,"b.1",0,0
"8655",2020-04-01,0,0,"ba.1",0,0
"4739",2020-04-02,0,0,"b.1",0,0
"7290",2020-04-02,1,1,"b.1.413",1,1
"8656",2020-04-02,0,0,"ba.1",0,0
"4740",2020-04-03,1,1,"b.1",1,0.222222222222222
"7291",2020-04-03,0,0,"b.1.413",0,0.777777777777778
"8657",2020-04-03,0,0,"ba.1",0,0
"4741",2020-04-04,0,0,"b.1",0,0.3
"7292",2020-04-04,0,0,"b.1.413",0,0.7
"8658",2020-04-04,0,0,"ba.1",0,0
"4742",2020-04-05,0,0,"b.1",0,0.363636363636364
"7293",2020-04-05,0,0,"b.1.413",0,0.636363636363636
"8659",2020-04-05,0,0,"ba.1",0,0
"4743",2020-04-06,0,0,"b.1",0,0.416666666666667
"7294",2020-04-06,0,0,"b.1.413",0,0.583333333333333
"8660",2020-04-06,0,0,"ba.1",0,0
"4744",2020-04-07,0,0,"b.1",0,0.461538461538462
"7295",2020-04-07,0,0,"b.1.413",0,0.538461538461538
"8661",2020-04-07,0,0,"ba.1",0,0
"4745",2020-04-08,0,0,"b.1",0,0.5
"7296",2020-04-08,0,0,"b.1.413",0,0.5
"8662",2020-04-08,0,0,"ba.1",0,0
"4746",2020-04-09,0,0,"b.1",0,1
"7297",2020-04-09,0,0,"b.1.413",0,0
"8663",2020-04-09,0,0,"ba.1",0,0
"4747",2020-04-10,0,0,"b.1",0,0
"7298",2020-04-10,0,0,"b.1.413",0,0
"8664",2020-04-10,0,0,"ba.1",0,0
