"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"17334",2020-03-02,1,1,"other",1,1
"17335",2020-03-03,0,0,"other",0,1
"17336",2020-03-04,0,0,"other",0,1
"17337",2020-03-05,0,0,"other",0,1
"17338",2020-03-06,1,1,"other",1,1
"17339",2020-03-07,0,0,"other",0,1
"17340",2020-03-08,2,2,"other",1,1
"17341",2020-03-09,1,1,"other",1,1
"17342",2020-03-10,1,1,"other",1,1
"4815",2020-03-11,2,2,"b.1",1,0.736842105263158
"17343",2020-03-11,0,0,"other",0,0.263157894736842
"4816",2020-03-12,7,1,"b.1",0.142857142857143,0.230769230769231
"5437",2020-03-12,7,4,"b.1.1",0.571428571428571,0.615384615384615
"17344",2020-03-12,7,2,"other",0.285714285714286,0.153846153846154
"4817",2020-03-13,24,9,"b.1",0.375,0.337349397590361
"5438",2020-03-13,24,8,"b.1.1",0.333333333333333,0.506024096385542
"17345",2020-03-13,24,7,"other",0.291666666666667,0.156626506024096
"4818",2020-03-14,13,6,"b.1",0.461538461538462,0.389690721649485
"5439",2020-03-14,13,1,"b.1.1",0.0769230769230769,0.375257731958763
"17346",2020-03-14,13,6,"other",0.461538461538462,0.235051546391753
"4819",2020-03-15,2,1,"b.1",0.5,0.394951744617669
"5440",2020-03-15,0,0,"b.1.1",0,0.337787676317743
"17347",2020-03-15,2,1,"other",0.5,0.267260579064588
"4820",2020-03-16,12,7,"b.1",0.583333333333333,0.430056710775047
"5441",2020-03-16,0,0,"b.1.1",0,0.258034026465028
"17348",2020-03-16,12,5,"other",0.416666666666667,0.311909262759924
"4821",2020-03-17,15,9,"b.1",0.6,0.452586206896552
"5442",2020-03-17,15,1,"b.1.1",0.0666666666666667,0.211206896551724
"17349",2020-03-17,15,5,"other",0.333333333333333,0.336206896551724
"4822",2020-03-18,18,12,"b.1",0.666666666666667,0.494505494505495
"5443",2020-03-18,18,2,"b.1.1",0.111111111111111,0.175824175824176
"17350",2020-03-18,18,4,"other",0.222222222222222,0.32967032967033
"4823",2020-03-19,12,5,"b.1",0.416666666666667,0.510416666666667
"5444",2020-03-19,12,1,"b.1.1",0.0833333333333333,0.135416666666667
"17351",2020-03-19,12,6,"other",0.5,0.354166666666667
"4824",2020-03-20,0,0,"b.1",0,0.555555555555556
"5445",2020-03-20,0,0,"b.1.1",0,0.0694444444444444
"17352",2020-03-20,0,0,"other",0,0.375
"4825",2020-03-21,7,5,"b.1",0.714285714285714,0.590909090909091
"5446",2020-03-21,7,1,"b.1.1",0.142857142857143,0.0757575757575758
"17353",2020-03-21,7,1,"other",0.142857142857143,0.333333333333333
"4826",2020-03-22,0,0,"b.1",0,0.59375
"5447",2020-03-22,0,0,"b.1.1",0,0.078125
"17354",2020-03-22,0,0,"other",0,0.328125
"4827",2020-03-23,0,0,"b.1",0,0.574074074074074
"5448",2020-03-23,0,0,"b.1.1",0,0.0925925925925926
"17355",2020-03-23,2,2,"other",1,0.333333333333333
"4828",2020-03-24,0,0,"b.1",0,0.536585365853658
"5449",2020-03-24,0,0,"b.1.1",0,0.0975609756097561
"17356",2020-03-24,2,2,"other",1,0.365853658536585
"4829",2020-03-25,8,2,"b.1",0.25,0.387096774193548
"5450",2020-03-25,0,0,"b.1.1",0,0.0645161290322581
"17357",2020-03-25,8,6,"other",0.75,0.548387096774194
"4830",2020-03-26,13,8,"b.1",0.615384615384615,0.46875
"5451",2020-03-26,13,1,"b.1.1",0.0769230769230769,0.0625
"17358",2020-03-26,13,4,"other",0.307692307692308,0.46875
"4831",2020-03-27,24,19,"b.1",0.791666666666667,0.607142857142857
"5452",2020-03-27,0,0,"b.1.1",0,0.0357142857142857
"17359",2020-03-27,24,5,"other",0.208333333333333,0.357142857142857
"4832",2020-03-28,23,17,"b.1",0.739130434782609,0.638888888888889
"5453",2020-03-28,0,0,"b.1.1",0,0.0138888888888889
"17360",2020-03-28,23,6,"other",0.260869565217391,0.347222222222222
"4833",2020-03-29,6,6,"b.1",1,0.666666666666667
"5454",2020-03-29,0,0,"b.1.1",0,0.0128205128205128
"17361",2020-03-29,0,0,"other",0,0.32051282051282
"4834",2020-03-30,40,25,"b.1",0.625,0.663793103448276
"5455",2020-03-30,40,5,"b.1.1",0.125,0.0517241379310345
"17362",2020-03-30,40,10,"other",0.25,0.28448275862069
"4835",2020-03-31,34,26,"b.1",0.764705882352941,0.695945945945946
"5456",2020-03-31,34,3,"b.1.1",0.0882352941176471,0.0608108108108108
"17363",2020-03-31,34,5,"other",0.147058823529412,0.243243243243243
"4836",2020-04-01,54,35,"b.1",0.648148148148148,0.701030927835052
"5457",2020-04-01,54,1,"b.1.1",0.0185185185185185,0.0515463917525773
"17364",2020-04-01,54,18,"other",0.333333333333333,0.247422680412371
"4837",2020-04-02,36,28,"b.1",0.777777777777778,0.71889400921659
"5458",2020-04-02,36,1,"b.1.1",0.0277777777777778,0.0460829493087558
"17365",2020-04-02,36,7,"other",0.194444444444444,0.235023041474654
"4838",2020-04-03,10,8,"b.1",0.8,0.714285714285714
"5459",2020-04-03,0,0,"b.1.1",0,0.0492610837438424
"17366",2020-04-03,10,2,"other",0.2,0.236453201970443
"4839",2020-04-04,12,9,"b.1",0.75,0.713541666666667
"5460",2020-04-04,0,0,"b.1.1",0,0.0520833333333333
"17367",2020-04-04,12,3,"other",0.25,0.234375
"4840",2020-04-05,7,6,"b.1",0.857142857142857,0.709844559585492
"5461",2020-04-05,0,0,"b.1.1",0,0.0518134715025907
"17368",2020-04-05,7,1,"other",0.142857142857143,0.238341968911917
"4841",2020-04-06,15,11,"b.1",0.733333333333333,0.732142857142857
"5462",2020-04-06,0,0,"b.1.1",0,0.0297619047619048
"17369",2020-04-06,15,4,"other",0.266666666666667,0.238095238095238
"4842",2020-04-07,21,15,"b.1",0.714285714285714,0.72258064516129
"5463",2020-04-07,21,1,"b.1.1",0.0476190476190476,0.0193548387096774
"17370",2020-04-07,21,5,"other",0.238095238095238,0.258064516129032
"4843",2020-04-08,3,2,"b.1",0.666666666666667,0.759615384615385
"5464",2020-04-08,0,0,"b.1.1",0,0.0192307692307692
"17371",2020-04-08,3,1,"other",0.333333333333333,0.221153846153846
"4844",2020-04-09,9,6,"b.1",0.666666666666667,0.74025974025974
"5465",2020-04-09,0,0,"b.1.1",0,0.012987012987013
"17372",2020-04-09,9,3,"other",0.333333333333333,0.246753246753247
"4845",2020-04-10,6,4,"b.1",0.666666666666667,0.726027397260274
"5466",2020-04-10,0,0,"b.1.1",0,0.0136986301369863
"17373",2020-04-10,6,2,"other",0.333333333333333,0.26027397260274
"4846",2020-04-11,5,5,"b.1",1,0.742424242424242
"5467",2020-04-11,0,0,"b.1.1",0,0.0151515151515152
"17374",2020-04-11,0,0,"other",0,0.242424242424242
"4847",2020-04-12,1,1,"b.1",1,0.733333333333333
"5468",2020-04-12,0,0,"b.1.1",0,0.0166666666666667
"17375",2020-04-12,0,0,"other",0,0.25
"4848",2020-04-13,4,2,"b.1",0.5,0.714285714285714
"5469",2020-04-13,0,0,"b.1.1",0,0.0204081632653061
"17376",2020-04-13,4,2,"other",0.5,0.26530612244898
"4849",2020-04-14,0,0,"b.1",0,0.571428571428571
"5470",2020-04-14,0,0,"b.1.1",0,0
"6117",2020-04-14,1,1,"b.1.1.7",1,0.2
"17377",2020-04-14,0,0,"other",0,0.228571428571429
"4850",2020-04-15,2,2,"b.1",1,0.655737704918033
"5471",2020-04-15,0,0,"b.1.1",0,0
"6118",2020-04-15,0,0,"b.1.1.7",0,0.114754098360656
"17378",2020-04-15,0,0,"other",0,0.229508196721311
"4851",2020-04-16,7,7,"b.1",1,0.768292682926829
"5472",2020-04-16,0,0,"b.1.1",0,0
"6119",2020-04-16,0,0,"b.1.1.7",0,0.0853658536585366
"17379",2020-04-16,0,0,"other",0,0.146341463414634
"4852",2020-04-17,1,1,"b.1",1,0.827586206896552
"5473",2020-04-17,0,0,"b.1.1",0,0
"6120",2020-04-17,0,0,"b.1.1.7",0,0.0804597701149425
"17380",2020-04-17,0,0,"other",0,0.0919540229885057
"4853",2020-04-18,0,0,"b.1",0,0.792682926829268
"5474",2020-04-18,0,0,"b.1.1",0,0
"6121",2020-04-18,0,0,"b.1.1.7",0,0.0853658536585366
"17381",2020-04-18,0,0,"other",0,0.121951219512195
"4854",2020-04-19,0,0,"b.1",0,0.791208791208791
"5475",2020-04-19,0,0,"b.1.1",0,0
"6122",2020-04-19,0,0,"b.1.1.7",0,0.0769230769230769
"17382",2020-04-19,0,0,"other",0,0.131868131868132
"4855",2020-04-20,0,0,"b.1",0,0.909090909090909
"5476",2020-04-20,0,0,"b.1.1",0,0
"6123",2020-04-20,0,0,"b.1.1.7",0,0.0909090909090909
"17383",2020-04-20,0,0,"other",0,0
"4856",2020-04-21,1,1,"b.1",1,1
"5477",2020-04-21,0,0,"b.1.1",0,0
"6124",2020-04-21,0,0,"b.1.1.7",0,0
"17384",2020-04-21,0,0,"other",0,0
"4857",2020-04-22,0,0,"b.1",0,1
"5478",2020-04-22,0,0,"b.1.1",0,0
"6125",2020-04-22,0,0,"b.1.1.7",0,0
"17385",2020-04-22,0,0,"other",0,0
"4858",2020-04-23,2,2,"b.1",1,1
"5479",2020-04-23,0,0,"b.1.1",0,0
"6126",2020-04-23,0,0,"b.1.1.7",0,0
"17386",2020-04-23,0,0,"other",0,0
"4859",2020-04-24,0,0,"b.1",0,1
"5480",2020-04-24,0,0,"b.1.1",0,0
"6127",2020-04-24,0,0,"b.1.1.7",0,0
"17387",2020-04-24,0,0,"other",0,0
"4860",2020-04-25,0,0,"b.1",0,1
"5481",2020-04-25,0,0,"b.1.1",0,0
"6128",2020-04-25,0,0,"b.1.1.7",0,0
"17388",2020-04-25,0,0,"other",0,0
"4861",2020-04-26,0,0,"b.1",0,1
"5482",2020-04-26,0,0,"b.1.1",0,0
"6129",2020-04-26,0,0,"b.1.1.7",0,0
"17389",2020-04-26,0,0,"other",0,0
"4862",2020-04-27,2,2,"b.1",1,1
"5483",2020-04-27,0,0,"b.1.1",0,0
"6130",2020-04-27,0,0,"b.1.1.7",0,0
"17390",2020-04-27,0,0,"other",0,0
"4863",2020-04-28,2,2,"b.1",1,1
"5484",2020-04-28,0,0,"b.1.1",0,0
"6131",2020-04-28,0,0,"b.1.1.7",0,0
"17391",2020-04-28,0,0,"other",0,0
"4864",2020-04-29,3,3,"b.1",1,1
"5485",2020-04-29,0,0,"b.1.1",0,0
"6132",2020-04-29,0,0,"b.1.1.7",0,0
"17392",2020-04-29,0,0,"other",0,0
"4865",2020-04-30,1,1,"b.1",1,1
"5486",2020-04-30,0,0,"b.1.1",0,0
"6133",2020-04-30,0,0,"b.1.1.7",0,0
"17393",2020-04-30,0,0,"other",0,0
"4866",2020-05-01,4,3,"b.1",0.75,0.916666666666667
"5487",2020-05-01,4,1,"b.1.1",0.25,0.0833333333333333
"6134",2020-05-01,0,0,"b.1.1.7",0,0
"17394",2020-05-01,0,0,"other",0,0
"4867",2020-05-02,1,1,"b.1",1,0.923076923076923
"5488",2020-05-02,0,0,"b.1.1",0,0.0769230769230769
"6135",2020-05-02,0,0,"b.1.1.7",0,0
