"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"20052",2020-01-28,1,1,"b.1.526",1,1
"20053",2020-01-29,0,0,"b.1.526",0,1
"20054",2020-01-30,0,0,"b.1.526",0,1
"20055",2020-01-31,0,0,"b.1.526",0,1
"20056",2020-02-01,0,0,"b.1.526",0,1
"20057",2020-02-02,0,0,"b.1.526",0,1
"20058",2020-02-03,0,0,"b.1.526",0,1
"20059",2020-02-04,0,0,"b.1.526",0,0
"20060",2020-02-05,0,0,"b.1.526",0,0
"20061",2020-02-06,0,0,"b.1.526",0,0
"20062",2020-02-07,0,0,"b.1.526",0,0
"20063",2020-02-08,0,0,"b.1.526",0,0
"20064",2020-02-09,0,0,"b.1.526",0,0
"20065",2020-02-10,0,0,"b.1.526",0,0
"20066",2020-02-11,0,0,"b.1.526",0,0
"20067",2020-02-12,0,0,"b.1.526",0,0
"20068",2020-02-13,0,0,"b.1.526",0,0
"20069",2020-02-14,0,0,"b.1.526",0,0
"20070",2020-02-15,0,0,"b.1.526",0,0
"20071",2020-02-16,0,0,"b.1.526",0,0
"20072",2020-02-17,0,0,"b.1.526",0,0
"20073",2020-02-18,0,0,"b.1.526",0,0
"20074",2020-02-19,0,0,"b.1.526",0,0
"20075",2020-02-20,0,0,"b.1.526",0,0
"20076",2020-02-21,0,0,"b.1.526",0,0
"20077",2020-02-22,0,0,"b.1.526",0,0
"20078",2020-02-23,0,0,"b.1.526",0,0
"20079",2020-02-24,0,0,"b.1.526",0,0
"20080",2020-02-25,0,0,"b.1.526",0,0
"20081",2020-02-26,0,0,"b.1.526",0,0
"20082",2020-02-27,0,0,"b.1.526",0,0
"20083",2020-02-28,0,0,"b.1.526",0,0
"20084",2020-02-29,0,0,"b.1.526",0,0
"58531",2020-02-29,2,2,"other",1,1
"20085",2020-03-01,0,0,"b.1.526",0,0
"58532",2020-03-01,0,0,"other",0,1
"11029",2020-03-02,4,3,"b.1",0.75,0.75
"20086",2020-03-02,0,0,"b.1.526",0,0
"58533",2020-03-02,4,1,"other",0.25,0.25
"11030",2020-03-03,5,5,"b.1",1,0.842105263157895
"20087",2020-03-03,0,0,"b.1.526",0,0
"58534",2020-03-03,0,0,"other",0,0.157894736842105
"11031",2020-03-04,18,13,"b.1",0.722222222222222,0.813953488372093
"20088",2020-03-04,0,0,"b.1.526",0,0
"58535",2020-03-04,18,5,"other",0.277777777777778,0.186046511627907
"11032",2020-03-05,12,11,"b.1",0.916666666666667,0.842105263157895
"20089",2020-03-05,0,0,"b.1.526",0,0
"58536",2020-03-05,12,1,"other",0.0833333333333333,0.157894736842105
"11033",2020-03-06,21,20,"b.1",0.952380952380952,0.879227053140097
"20090",2020-03-06,0,0,"b.1.526",0,0
"58537",2020-03-06,21,1,"other",0.0476190476190476,0.120772946859903
"11034",2020-03-07,10,9,"b.1",0.9,0.887733887733888
"20091",2020-03-07,0,0,"b.1.526",0,0
"58538",2020-03-07,10,1,"other",0.1,0.112266112266112
"11035",2020-03-08,22,19,"b.1",0.863636363636364,0.869565217391304
"20092",2020-03-08,0,0,"b.1.526",0,0
"58539",2020-03-08,22,3,"other",0.136363636363636,0.130434782608696
"11036",2020-03-09,47,31,"b.1",0.659574468085106,0.8
"20093",2020-03-09,0,0,"b.1.526",0,0
"58540",2020-03-09,47,16,"other",0.340425531914894,0.2
"11037",2020-03-10,46,39,"b.1",0.847826086956522,0.75531914893617
"12172",2020-03-10,46,2,"b.1.1",0.0434782608695652,0.074468085106383
"20094",2020-03-10,0,0,"b.1.526",0,0
"58541",2020-03-10,46,5,"other",0.108695652173913,0.170212765957447
"11038",2020-03-11,38,26,"b.1",0.684210526315789,0.761670761670762
"12173",2020-03-11,38,1,"b.1.1",0.0263157894736842,0.0515970515970516
"20095",2020-03-11,0,0,"b.1.526",0,0
"58542",2020-03-11,38,11,"other",0.289473684210526,0.186732186732187
"11039",2020-03-12,72,52,"b.1",0.722222222222222,0.742424242424242
"12174",2020-03-12,72,3,"b.1.1",0.0416666666666667,0.053030303030303
"20096",2020-03-12,0,0,"b.1.526",0,0
"58543",2020-03-12,72,17,"other",0.236111111111111,0.204545454545455
"11040",2020-03-13,52,35,"b.1",0.673076923076923,0.691803278688525
"12175",2020-03-13,52,2,"b.1.1",0.0384615384615385,0.0459016393442623
"18479",2020-03-13,52,2,"b.1.369",0.0384615384615385,0.0459016393442623
"20097",2020-03-13,0,0,"b.1.526",0,0
"58544",2020-03-13,52,13,"other",0.25,0.216393442622951
"11041",2020-03-14,61,40,"b.1",0.655737704918033,0.692615912993704
"12176",2020-03-14,61,8,"b.1.1",0.131147540983607,0.0641099026903263
"18480",2020-03-14,0,0,"b.1.369",0,0.020034344590727
"20098",2020-03-14,0,0,"b.1.526",0,0
"58545",2020-03-14,61,13,"other",0.213114754098361,0.223239839725243
"11042",2020-03-15,300,232,"b.1",0.773333333333333,0.724137931034483
"12177",2020-03-15,300,2,"b.1.1",0.00666666666666667,0.03342175066313
"18481",2020-03-15,300,5,"b.1.369",0.0166666666666667,0.0259946949602122
"20099",2020-03-15,0,0,"b.1.526",0,0
"58546",2020-03-15,300,61,"other",0.203333333333333,0.216445623342175
"11043",2020-03-16,189,132,"b.1",0.698412698412698,0.727748691099476
"12178",2020-03-16,189,5,"b.1.1",0.0264550264550265,0.0301047120418848
"18482",2020-03-16,189,1,"b.1.369",0.00529100529100529,0.0183246073298429
"20100",2020-03-16,0,0,"b.1.526",0,0
"58547",2020-03-16,189,51,"other",0.26984126984127,0.223821989528796
"11044",2020-03-17,134,93,"b.1",0.694029850746269,0.717647058823529
"12179",2020-03-17,134,3,"b.1.1",0.0223880597014925,0.0282352941176471
"18483",2020-03-17,134,2,"b.1.369",0.0149253731343284,0.0164705882352941
"20101",2020-03-17,0,0,"b.1.526",0,0
"58548",2020-03-17,134,36,"other",0.26865671641791,0.237647058823529
"11045",2020-03-18,217,158,"b.1",0.728110599078341,0.722024002594875
"12180",2020-03-18,217,7,"b.1.1",0.032258064516129,0.0291923451183912
"18484",2020-03-18,217,6,"b.1.369",0.0276497695852535,0.0181641258514434
"20102",2020-03-18,0,0,"b.1.526",0,0
"58549",2020-03-18,217,46,"other",0.211981566820276,0.23061952643529
"11046",2020-03-19,187,143,"b.1",0.764705882352941,0.726876090750436
"12181",2020-03-19,187,3,"b.1.1",0.0160427807486631,0.0261780104712042
"14504",2020-03-19,187,1,"b.1.1.7",0.0053475935828877,0.00610820244328098
"18485",2020-03-19,187,5,"b.1.369",0.0267379679144385,0.0183246073298429
"20103",2020-03-19,0,0,"b.1.526",0,0
"58550",2020-03-19,187,35,"other",0.18716577540107,0.222513089005236
"11047",2020-03-20,170,116,"b.1",0.682352941176471,0.725109083696946
"12182",2020-03-20,170,5,"b.1.1",0.0294117647058824,0.0261800872669576
"14505",2020-03-20,0,0,"b.1.1.7",0,0.00277667592225307
"18486",2020-03-20,170,4,"b.1.369",0.0235294117647059,0.0182467274890916
"20104",2020-03-20,0,0,"b.1.526",0,0
"58551",2020-03-20,170,45,"other",0.264705882352941,0.227687425624752
"11048",2020-03-21,85,63,"b.1",0.741176470588235,0.73012987012987
"12183",2020-03-21,85,2,"b.1.1",0.0235294117647059,0.021038961038961
"14506",2020-03-21,0,0,"b.1.1.7",0,0.00181818181818182
"18487",2020-03-21,0,0,"b.1.369",0,0.0179220779220779
"20105",2020-03-21,0,0,"b.1.526",0,0
"58552",2020-03-21,85,20,"other",0.235294117647059,0.229090909090909
"11049",2020-03-22,43,34,"b.1",0.790697674418605,0.716258783620063
