"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"2069",2020-01-05,1,1,"ba.1",1,1
"2070",2020-01-06,0,0,"ba.1",0,1
"2071",2020-01-07,0,0,"ba.1",0,1
"2072",2020-01-08,0,0,"ba.1",0,1
"2073",2020-01-09,0,0,"ba.1",0,1
"2074",2020-01-10,0,0,"ba.1",0,1
"2075",2020-01-11,0,0,"ba.1",0,1
"2076",2020-01-12,0,0,"ba.1",0,0
"2077",2020-01-13,0,0,"ba.1",0,0
"2078",2020-01-14,0,0,"ba.1",0,0
"2079",2020-01-15,0,0,"ba.1",0,0
"2080",2020-01-16,0,0,"ba.1",0,0
"2081",2020-01-17,0,0,"ba.1",0,0
"2082",2020-01-18,0,0,"ba.1",0,0
"2083",2020-01-19,0,0,"ba.1",0,0
"2084",2020-01-20,0,0,"ba.1",0,0
"2085",2020-01-21,0,0,"ba.1",0,0
"2086",2020-01-22,0,0,"ba.1",0,0
"2087",2020-01-23,0,0,"ba.1",0,0
"2088",2020-01-24,0,0,"ba.1",0,0
"2089",2020-01-25,0,0,"ba.1",0,0
"2090",2020-01-26,0,0,"ba.1",0,0
"2091",2020-01-27,0,0,"ba.1",0,0
"2092",2020-01-28,0,0,"ba.1",0,0
"2093",2020-01-29,0,0,"ba.1",0,0
"2094",2020-01-30,0,0,"ba.1",0,0
"2095",2020-01-31,0,0,"ba.1",0,0
"2096",2020-02-01,0,0,"ba.1",0,0
"2097",2020-02-02,0,0,"ba.1",0,0
"2098",2020-02-03,0,0,"ba.1",0,0
"2099",2020-02-04,0,0,"ba.1",0,0
"2100",2020-02-05,0,0,"ba.1",0,0
"2101",2020-02-06,0,0,"ba.1",0,0
"2102",2020-02-07,0,0,"ba.1",0,0
"2103",2020-02-08,0,0,"ba.1",0,0
"2104",2020-02-09,0,0,"ba.1",0,0
"2105",2020-02-10,0,0,"ba.1",0,0
"2106",2020-02-11,0,0,"ba.1",0,0
"2107",2020-02-12,0,0,"ba.1",0,0
"2108",2020-02-13,0,0,"ba.1",0,0
"2109",2020-02-14,0,0,"ba.1",0,0
"2110",2020-02-15,0,0,"ba.1",0,0
"2111",2020-02-16,0,0,"ba.1",0,0
"2112",2020-02-17,0,0,"ba.1",0,0
"2113",2020-02-18,0,0,"ba.1",0,0
"2114",2020-02-19,0,0,"ba.1",0,0
"2115",2020-02-20,0,0,"ba.1",0,0
"2116",2020-02-21,0,0,"ba.1",0,0
"2117",2020-02-22,0,0,"ba.1",0,0
"2118",2020-02-23,0,0,"ba.1",0,0
"2119",2020-02-24,0,0,"ba.1",0,0
"2120",2020-02-25,0,0,"ba.1",0,0
"2121",2020-02-26,0,0,"ba.1",0,0
"2122",2020-02-27,0,0,"ba.1",0,0
"2123",2020-02-28,0,0,"ba.1",0,0
"2124",2020-02-29,0,0,"ba.1",0,0
"2125",2020-03-01,0,0,"ba.1",0,0
"2126",2020-03-02,0,0,"ba.1",0,0
"2127",2020-03-03,0,0,"ba.1",0,0
"2128",2020-03-04,0,0,"ba.1",0,0
"2129",2020-03-05,0,0,"ba.1",0,0
"2130",2020-03-06,0,0,"ba.1",0,0
"2131",2020-03-07,0,0,"ba.1",0,0
"2132",2020-03-08,0,0,"ba.1",0,0
"2133",2020-03-09,0,0,"ba.1",0,0
"2134",2020-03-10,0,0,"ba.1",0,0
"2135",2020-03-11,0,0,"ba.1",0,0
