"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"53599",2020-01-22,1,1,"other",1,1
"53600",2020-01-23,0,0,"other",0,1
"53601",2020-01-24,0,0,"other",0,1
"53602",2020-01-25,0,0,"other",0,1
"53603",2020-01-26,0,0,"other",0,1
"53604",2020-01-27,0,0,"other",0,1
"53605",2020-01-28,0,0,"other",0,1
"53606",2020-01-29,0,0,"other",0,0
"53607",2020-01-30,0,0,"other",0,0
"53608",2020-01-31,0,0,"other",0,0
"53609",2020-02-01,0,0,"other",0,0
"53610",2020-02-02,0,0,"other",0,0
"53611",2020-02-03,0,0,"other",0,0
"53612",2020-02-04,0,0,"other",0,0
"53613",2020-02-05,0,0,"other",0,0
"53614",2020-02-06,0,0,"other",0,0
"53615",2020-02-07,0,0,"other",0,0
"53616",2020-02-08,0,0,"other",0,0
"53617",2020-02-09,0,0,"other",0,0
"53618",2020-02-10,0,0,"other",0,0
"53619",2020-02-11,0,0,"other",0,0
"53620",2020-02-12,0,0,"other",0,0
"53621",2020-02-13,0,0,"other",0,0
"53622",2020-02-14,0,0,"other",0,0
"53623",2020-02-15,0,0,"other",0,0
"53624",2020-02-16,0,0,"other",0,0
"53625",2020-02-17,0,0,"other",0,0
"53626",2020-02-18,0,0,"other",0,0
"53627",2020-02-19,0,0,"other",0,0
"53628",2020-02-20,0,0,"other",0,0
"53629",2020-02-21,0,0,"other",0,0
"53630",2020-02-22,0,0,"other",0,0
"53631",2020-02-23,0,0,"other",0,0
"53632",2020-02-24,0,0,"other",0,0
"53633",2020-02-25,0,0,"other",0,0
"53634",2020-02-26,0,0,"other",0,0
"53635",2020-02-27,0,0,"other",0,0
"53636",2020-02-28,0,0,"other",0,0
"53637",2020-02-29,0,0,"other",0,0
"53638",2020-03-01,0,0,"other",0,0
"13466",2020-03-02,2,2,"b.1.1",1,1
"53639",2020-03-02,0,0,"other",0,0
"13467",2020-03-03,0,0,"b.1.1",0,1
"53640",2020-03-03,0,0,"other",0,0
"13468",2020-03-04,0,0,"b.1.1",0,1
"53641",2020-03-04,0,0,"other",0,0
"13469",2020-03-05,0,0,"b.1.1",0,0.636363636363636
