"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"36724",2020-03-02,1,1,"other",1,1
"36725",2020-03-03,0,0,"other",0,1
"36726",2020-03-04,0,0,"other",0,1
"36727",2020-03-05,0,0,"other",0,1
"8144",2020-03-06,1,1,"b",1,0.833333333333333
"36728",2020-03-06,0,0,"other",0,0.166666666666667
"8145",2020-03-07,0,0,"b",0,0.75
"36729",2020-03-07,0,0,"other",0,0.25
"8146",2020-03-08,0,0,"b",0,0.4375
"36730",2020-03-08,2,2,"other",1,0.5625
"8147",2020-03-09,0,0,"b",0,0.368421052631579
"36731",2020-03-09,1,1,"other",1,0.631578947368421
"8148",2020-03-10,0,0,"b",0,0.259259259259259
"36732",2020-03-10,1,1,"other",1,0.740740740740741
"8149",2020-03-11,0,0,"b",0,0.0608695652173913
"8808",2020-03-11,2,2,"b.1",1,0.730434782608696
"36733",2020-03-11,0,0,"other",0,0.208695652173913
"8150",2020-03-12,0,0,"b",0,0.021978021978022
"8809",2020-03-12,7,1,"b.1",0.142857142857143,0.230769230769231
"9430",2020-03-12,7,4,"b.1.1",0.571428571428571,0.615384615384615
"36734",2020-03-12,7,2,"other",0.285714285714286,0.131868131868132
"8151",2020-03-13,0,0,"b",0,0
"8810",2020-03-13,24,9,"b.1",0.375,0.337349397590361
"9431",2020-03-13,24,8,"b.1.1",0.333333333333333,0.506024096385542
"36735",2020-03-13,24,7,"other",0.291666666666667,0.156626506024096
"8152",2020-03-14,0,0,"b",0,0
"8811",2020-03-14,13,6,"b.1",0.461538461538462,0.389690721649485
"9432",2020-03-14,13,1,"b.1.1",0.0769230769230769,0.375257731958763
"36736",2020-03-14,13,6,"other",0.461538461538462,0.235051546391753
"8153",2020-03-15,0,0,"b",0,0
"8812",2020-03-15,2,1,"b.1",0.5,0.394951744617669
"9433",2020-03-15,0,0,"b.1.1",0,0.337787676317743
"36737",2020-03-15,2,1,"other",0.5,0.267260579064588
"8154",2020-03-16,0,0,"b",0,0
"8813",2020-03-16,12,7,"b.1",0.583333333333333,0.430056710775047
"9434",2020-03-16,0,0,"b.1.1",0,0.258034026465028
"36738",2020-03-16,12,5,"other",0.416666666666667,0.311909262759924
"8155",2020-03-17,0,0,"b",0,0
"8814",2020-03-17,15,9,"b.1",0.6,0.452586206896552
"9435",2020-03-17,15,1,"b.1.1",0.0666666666666667,0.211206896551724
"36739",2020-03-17,15,5,"other",0.333333333333333,0.336206896551724
"8156",2020-03-18,18,1,"b",0.0555555555555556,0.010989010989011
"8815",2020-03-18,18,12,"b.1",0.666666666666667,0.494505494505495
"9436",2020-03-18,18,2,"b.1.1",0.111111111111111,0.175824175824176
"36740",2020-03-18,18,3,"other",0.166666666666667,0.318681318681319
"8157",2020-03-19,0,0,"b",0,0.0104166666666667
"8816",2020-03-19,12,5,"b.1",0.416666666666667,0.510416666666667
"9437",2020-03-19,12,1,"b.1.1",0.0833333333333333,0.135416666666667
"36741",2020-03-19,12,6,"other",0.5,0.34375
"8158",2020-03-20,0,0,"b",0,0.0138888888888889
"8817",2020-03-20,0,0,"b.1",0,0.555555555555556
"9438",2020-03-20,0,0,"b.1.1",0,0.0694444444444444
"36742",2020-03-20,0,0,"other",0,0.361111111111111
"8159",2020-03-21,0,0,"b",0,0.0151515151515152
"8818",2020-03-21,7,5,"b.1",0.714285714285714,0.590909090909091
"9439",2020-03-21,7,1,"b.1.1",0.142857142857143,0.0757575757575758
"36743",2020-03-21,7,1,"other",0.142857142857143,0.318181818181818
"8160",2020-03-22,0,0,"b",0,0.015625
"8819",2020-03-22,0,0,"b.1",0,0.59375
"9440",2020-03-22,0,0,"b.1.1",0,0.078125
"36744",2020-03-22,0,0,"other",0,0.3125
"8161",2020-03-23,0,0,"b",0,0.0185185185185185
"8820",2020-03-23,0,0,"b.1",0,0.574074074074074
"9441",2020-03-23,0,0,"b.1.1",0,0.0925925925925926
"36745",2020-03-23,2,2,"other",1,0.314814814814815
"8162",2020-03-24,0,0,"b",0,0.024390243902439
"8821",2020-03-24,0,0,"b.1",0,0.536585365853659
"9442",2020-03-24,0,0,"b.1.1",0,0.0975609756097561
"36746",2020-03-24,2,2,"other",1,0.341463414634146
"8163",2020-03-25,8,2,"b",0.25,0.0645161290322581
"8822",2020-03-25,8,2,"b.1",0.25,0.387096774193548
"9443",2020-03-25,0,0,"b.1.1",0,0.0645161290322581
"36747",2020-03-25,8,4,"other",0.5,0.483870967741935
"8164",2020-03-26,0,0,"b",0,0.0625
"8823",2020-03-26,13,8,"b.1",0.615384615384615,0.46875
"9444",2020-03-26,13,1,"b.1.1",0.0769230769230769,0.0625
"36748",2020-03-26,13,4,"other",0.307692307692308,0.40625
"8165",2020-03-27,24,1,"b",0.0416666666666667,0.0535714285714286
"8824",2020-03-27,24,19,"b.1",0.791666666666667,0.607142857142857
"9445",2020-03-27,0,0,"b.1.1",0,0.0357142857142857
"36749",2020-03-27,24,4,"other",0.166666666666667,0.303571428571429
"8166",2020-03-28,0,0,"b",0,0.0416666666666667
"8825",2020-03-28,23,17,"b.1",0.739130434782609,0.638888888888889
"9446",2020-03-28,0,0,"b.1.1",0,0.0138888888888889
"36750",2020-03-28,23,6,"other",0.260869565217391,0.305555555555556
"8167",2020-03-29,0,0,"b",0,0.0384615384615385
"8826",2020-03-29,6,6,"b.1",1,0.666666666666667
"9447",2020-03-29,0,0,"b.1.1",0,0.0128205128205128
"36751",2020-03-29,0,0,"other",0,0.282051282051282
"8168",2020-03-30,0,0,"b",0,0.0258620689655172
"8827",2020-03-30,40,25,"b.1",0.625,0.663793103448276
"9448",2020-03-30,40,5,"b.1.1",0.125,0.0517241379310345
"36752",2020-03-30,40,10,"other",0.25,0.258620689655172
"8169",2020-03-31,0,0,"b",0,0.0202702702702703
"8828",2020-03-31,34,26,"b.1",0.764705882352941,0.695945945945946
"9449",2020-03-31,34,3,"b.1.1",0.0882352941176471,0.0608108108108108
"36753",2020-03-31,34,5,"other",0.147058823529412,0.222972972972973
"8170",2020-04-01,0,0,"b",0,0.00515463917525773
"8829",2020-04-01,54,35,"b.1",0.648148148148148,0.701030927835052
"9450",2020-04-01,54,1,"b.1.1",0.0185185185185185,0.0515463917525773
"36754",2020-04-01,54,18,"other",0.333333333333333,0.242268041237113
"8171",2020-04-02,0,0,"b",0,0.00460829493087558
"8830",2020-04-02,36,28,"b.1",0.777777777777778,0.71889400921659
"9451",2020-04-02,36,1,"b.1.1",0.0277777777777778,0.0460829493087558
"36755",2020-04-02,36,7,"other",0.194444444444444,0.230414746543779
"8172",2020-04-03,0,0,"b",0,0
"8831",2020-04-03,10,8,"b.1",0.8,0.714285714285714
"9452",2020-04-03,0,0,"b.1.1",0,0.0492610837438424
"36756",2020-04-03,10,2,"other",0.2,0.236453201970443
"8173",2020-04-04,0,0,"b",0,0
"8832",2020-04-04,12,9,"b.1",0.75,0.713541666666667
"9453",2020-04-04,0,0,"b.1.1",0,0.0520833333333333
"36757",2020-04-04,12,3,"other",0.25,0.234375
"8174",2020-04-05,0,0,"b",0,0
"8833",2020-04-05,7,6,"b.1",0.857142857142857,0.709844559585492
"9454",2020-04-05,0,0,"b.1.1",0,0.0518134715025907
"36758",2020-04-05,7,1,"other",0.142857142857143,0.238341968911917
"8175",2020-04-06,0,0,"b",0,0
"8834",2020-04-06,15,11,"b.1",0.733333333333333,0.732142857142857
"9455",2020-04-06,0,0,"b.1.1",0,0.0297619047619048
"36759",2020-04-06,15,4,"other",0.266666666666667,0.238095238095238
"8176",2020-04-07,0,0,"b",0,0
"8835",2020-04-07,21,15,"b.1",0.714285714285714,0.72258064516129
"9456",2020-04-07,21,1,"b.1.1",0.0476190476190476,0.0193548387096774
"36760",2020-04-07,21,5,"other",0.238095238095238,0.258064516129032
"8177",2020-04-08,0,0,"b",0,0
"8836",2020-04-08,3,2,"b.1",0.666666666666667,0.759615384615385
"9457",2020-04-08,0,0,"b.1.1",0,0.0192307692307692
"36761",2020-04-08,3,1,"other",0.333333333333333,0.221153846153846
"8178",2020-04-09,0,0,"b",0,0
"8837",2020-04-09,9,6,"b.1",0.666666666666667,0.74025974025974
"9458",2020-04-09,0,0,"b.1.1",0,0.012987012987013
"36762",2020-04-09,9,3,"other",0.333333333333333,0.246753246753247
"8179",2020-04-10,0,0,"b",0,0
"8838",2020-04-10,6,4,"b.1",0.666666666666667,0.726027397260274
"9459",2020-04-10,0,0,"b.1.1",0,0.0136986301369863
"36763",2020-04-10,6,2,"other",0.333333333333333,0.26027397260274
"8180",2020-04-11,0,0,"b",0,0
"8839",2020-04-11,5,5,"b.1",1,0.742424242424242
"9460",2020-04-11,0,0,"b.1.1",0,0.0151515151515152
