"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"6281",2020-03-07,6,6,"b.1",1,1
"6282",2020-03-08,11,11,"b.1",1,1
"6283",2020-03-09,8,8,"b.1",1,1
"6284",2020-03-10,1,1,"b.1",1,1
"6285",2020-03-11,1,1,"b.1",1,1
"6286",2020-03-12,0,0,"b.1",0,1
"6287",2020-03-13,3,2,"b.1",0.666666666666667,0.805555555555556
"22996",2020-03-13,3,1,"other",0.333333333333333,0.194444444444444
"6288",2020-03-14,0,0,"b.1",0,0.766666666666667
"22997",2020-03-14,1,1,"other",1,0.233333333333333
"6289",2020-03-15,0,0,"b.1",0,0.631578947368421
"22998",2020-03-15,1,1,"other",1,0.368421052631579
"6290",2020-03-16,8,2,"b.1",0.25,0.222222222222222
"6945",2020-03-16,8,1,"b.1.1",0.125,0.259259259259259
"22999",2020-03-16,8,5,"other",0.625,0.518518518518518
"6291",2020-03-17,10,9,"b.1",0.9,0.434782608695652
"6946",2020-03-17,10,1,"b.1.1",0.1,0.217391304347826
"23000",2020-03-17,0,0,"other",0,0.347826086956522
"6292",2020-03-18,4,3,"b.1",0.75,0.513368983957219
"6947",2020-03-18,0,0,"b.1.1",0,0.149732620320856
"23001",2020-03-18,4,1,"other",0.25,0.336898395721925
"6293",2020-03-19,13,8,"b.1",0.615384615384615,0.578313253012048
"6948",2020-03-19,0,0,"b.1.1",0,0.0843373493975904
"23002",2020-03-19,13,5,"other",0.384615384615385,0.337349397590361
"6294",2020-03-20,10,3,"b.1",0.3,0.523012552301255
"6949",2020-03-20,0,0,"b.1.1",0,0.0585774058577406
"23003",2020-03-20,10,7,"other",0.7,0.418410041841004
"6295",2020-03-21,5,3,"b.1",0.6,0.545454545454546
"6950",2020-03-21,0,0,"b.1.1",0,0.0454545454545455
"23004",2020-03-21,5,2,"other",0.4,0.409090909090909
"6296",2020-03-22,5,4,"b.1",0.8,0.581818181818182
"6951",2020-03-22,0,0,"b.1.1",0,0.0363636363636364
"23005",2020-03-22,5,1,"other",0.2,0.381818181818182
"6297",2020-03-23,15,11,"b.1",0.733333333333333,0.661290322580645
"6952",2020-03-23,0,0,"b.1.1",0,0.0161290322580645
"23006",2020-03-23,15,4,"other",0.266666666666667,0.32258064516129
"6298",2020-03-24,15,9,"b.1",0.6,0.611940298507463
"6953",2020-03-24,0,0,"b.1.1",0,0
"23007",2020-03-24,15,6,"other",0.4,0.388059701492537
"6299",2020-03-25,21,14,"b.1",0.666666666666667,0.619047619047619
"6954",2020-03-25,0,0,"b.1.1",0,0
"23008",2020-03-25,21,7,"other",0.333333333333333,0.380952380952381
"5639",2020-03-26,33,1,"b",0.0303030303030303,0.0636363636363636
"6300",2020-03-26,33,19,"b.1",0.575757575757576,0.572727272727273
