"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"9830",2020-03-02,1,1,"b.1",1,1
"9831",2020-03-03,0,0,"b.1",0,1
"9832",2020-03-04,0,0,"b.1",0,1
"9833",2020-03-05,0,0,"b.1",0,1
"9834",2020-03-06,0,0,"b.1",0,1
"9835",2020-03-07,0,0,"b.1",0,1
"9836",2020-03-08,0,0,"b.1",0,1
"9837",2020-03-09,5,3,"b.1",0.6,0.176470588235294
"12731",2020-03-09,5,1,"b.1.2",0.2,0.411764705882353
"50514",2020-03-09,5,1,"other",0.2,0.411764705882353
"9838",2020-03-10,10,4,"b.1",0.4,0.181818181818182
"10488",2020-03-10,10,1,"b.1.1",0.1,0.181818181818182
"12732",2020-03-10,0,0,"b.1.2",0,0.0909090909090909
"50515",2020-03-10,10,5,"other",0.5,0.545454545454545
"9839",2020-03-11,9,6,"b.1",0.666666666666667,0.326359832635983
"10489",2020-03-11,0,0,"b.1.1",0,0.0878661087866109
"12733",2020-03-11,0,0,"b.1.2",0,0.0585774058577406
"50516",2020-03-11,9,3,"other",0.333333333333333,0.527196652719665
"9166",2020-03-12,18,2,"b",0.111111111111111,0.220183486238532
"9840",2020-03-12,18,15,"b.1",0.833333333333333,0.440366972477064
"10490",2020-03-12,0,0,"b.1.1",0,0.036697247706422
"12734",2020-03-12,0,0,"b.1.2",0,0.0275229357798165
"50517",2020-03-12,18,1,"other",0.0555555555555556,0.275229357798165
"9167",2020-03-13,0,0,"b",0,0.0783435926133184
"9841",2020-03-13,34,26,"b.1",0.764705882352941,0.604364857302742
"10491",2020-03-13,0,0,"b.1.1",0,0.0195858981533296
"12735",2020-03-13,34,1,"b.1.2",0.0294117647058824,0.0313374370453274
"50518",2020-03-13,34,7,"other",0.205882352941176,0.266368214885283
"9168",2020-03-14,42,3,"b",0.0714285714285714,0.0899511693652018
"9842",2020-03-14,42,33,"b.1",0.785714285714286,0.670778720123362
"10492",2020-03-14,42,2,"b.1.1",0.0476190476190476,0.0323824209714726
"12736",2020-03-14,0,0,"b.1.2",0,0.0179902338730403
"50519",2020-03-14,42,4,"other",0.0952380952380952,0.188897455666924
"9169",2020-03-15,0,0,"b",0,0.0523168908819133
"9843",2020-03-15,45,39,"b.1",0.866666666666667,0.753363228699552
"10493",2020-03-15,0,0,"b.1.1",0,0.0209267563527653
"12737",2020-03-15,0,0,"b.1.2",0,0.0119581464872945
"50520",2020-03-15,45,6,"other",0.133333333333333,0.161434977578475
"9170",2020-03-16,0,0,"b",0,0.0325581395348837
"9844",2020-03-16,49,46,"b.1",0.938775510204082,0.786046511627907
"10494",2020-03-16,0,0,"b.1.1",0,0.013953488372093
"12738",2020-03-16,0,0,"b.1.2",0,0.00465116279069767
"18181",2020-03-16,49,1,"b.1.595",0.0204081632653061,0.0325581395348837
"50521",2020-03-16,49,2,"other",0.0408163265306122,0.130232558139535
"9171",2020-03-17,0,0,"b",0,0.0191048034934498
"9845",2020-03-17,105,88,"b.1",0.838095238095238,0.828602620087336
"10495",2020-03-17,0,0,"b.1.1",0,0.00655021834061135
"12739",2020-03-17,0,0,"b.1.2",0,0.00327510917030568
"18182",2020-03-17,0,0,"b.1.595",0,0.0114628820960699
"50522",2020-03-17,105,17,"other",0.161904761904762,0.131004366812227
"9172",2020-03-18,0,0,"b",0,0.013009540329575
"9846",2020-03-18,90,74,"b.1",0.822222222222222,0.835212489158716
"10496",2020-03-18,0,0,"b.1.1",0,0.00520381613183001
"12740",2020-03-18,0,0,"b.1.2",0,0.002601908065915
"18183",2020-03-18,0,0,"b.1.595",0,0.00607111882046834
"50523",2020-03-18,90,16,"other",0.177777777777778,0.137901127493495
"9173",2020-03-19,103,1,"b",0.00970873786407767,0.00851970181043663
"9847",2020-03-19,103,82,"b.1",0.796116504854369,0.826411075612353
"10497",2020-03-19,103,1,"b.1.1",0.00970873786407767,0.00638977635782747
"12741",2020-03-19,0,0,"b.1.2",0,0.00212992545260916
"18184",2020-03-19,103,1,"b.1.595",0.00970873786407767,0.00745473908413205
"50524",2020-03-19,103,18,"other",0.174757281553398,0.149094781682641
"9174",2020-03-20,0,0,"b",0,0.00768049155145929
"9848",2020-03-20,86,79,"b.1",0.918604651162791,0.846774193548387
"10498",2020-03-20,86,1,"b.1.1",0.0116279069767442,0.00768049155145929
"12742",2020-03-20,86,1,"b.1.2",0.0116279069767442,0.00192012288786482
"18185",2020-03-20,0,0,"b.1.595",0,0.00537634408602151
"50525",2020-03-20,86,5,"other",0.0581395348837209,0.130568356374808
"9175",2020-03-21,0,0,"b",0,0.00170261066969353
"9849",2020-03-21,109,96,"b.1",0.880733944954128,0.858115777525539
"10499",2020-03-21,0,0,"b.1.1",0,0.00340522133938706
"12743",2020-03-21,0,0,"b.1.2",0,0.00170261066969353
"18186",2020-03-21,0,0,"b.1.595",0,0.0039727582292849
"50526",2020-03-21,109,13,"other",0.119266055045872,0.131101021566402
"9176",2020-03-22,119,1,"b",0.00840336134453781,0.00302571860816944
"9850",2020-03-22,119,105,"b.1",0.882352941176471,0.86232980332829
"10500",2020-03-22,0,0,"b.1.1",0,0.00302571860816944
"12744",2020-03-22,0,0,"b.1.2",0,0.00151285930408472
"18187",2020-03-22,0,0,"b.1.595",0,0.00302571860816944
"50527",2020-03-22,119,13,"other",0.109243697478992,0.127080181543116
"9177",2020-03-23,0,0,"b",0,0.00263157894736842
"9851",2020-03-23,148,128,"b.1",0.864864864864865,0.857894736842105
"10501",2020-03-23,148,3,"b.1.1",0.0202702702702703,0.00657894736842105
"12745",2020-03-23,0,0,"b.1.2",0,0.00131578947368421
"18188",2020-03-23,0,0,"b.1.595",0,0.00131578947368421
"50528",2020-03-23,148,17,"other",0.114864864864865,0.130263157894737
"9178",2020-03-24,0,0,"b",0,0.00246305418719212
"9852",2020-03-24,157,142,"b.1",0.904458598726115,0.869458128078818
"10502",2020-03-24,0,0,"b.1.1",0,0.0061576354679803
"12746",2020-03-24,0,0,"b.1.2",0,0.00123152709359606
"18189",2020-03-24,0,0,"b.1.595",0,0.00123152709359606
"50529",2020-03-24,157,15,"other",0.0955414012738854,0.119458128078818
"9179",2020-03-25,0,0,"b",0,0.00243013365735115
"9853",2020-03-25,101,89,"b.1",0.881188118811881,0.876063183475091
"10503",2020-03-25,0,0,"b.1.1",0,0.00607533414337789
"12747",2020-03-25,0,0,"b.1.2",0,0.00121506682867558
"18190",2020-03-25,0,0,"b.1.595",0,0.00121506682867558
"50530",2020-03-25,101,12,"other",0.118811881188119,0.113001215066829
"9180",2020-03-26,0,0,"b",0,0.00119904076738609
"9854",2020-03-26,114,96,"b.1",0.842105263157895,0.881294964028777
"10504",2020-03-26,0,0,"b.1.1",0,0.00479616306954436
"12748",2020-03-26,0,0,"b.1.2",0,0.00119904076738609
"18191",2020-03-26,0,0,"b.1.595",0,0
"50531",2020-03-26,114,18,"other",0.157894736842105,0.111510791366906
"9181",2020-03-27,0,0,"b",0,0.00116414435389988
"9855",2020-03-27,111,107,"b.1",0.963963963963964,0.888242142025611
"10505",2020-03-27,0,0,"b.1.1",0,0.00349243306169965
"12749",2020-03-27,0,0,"b.1.2",0,0
"18192",2020-03-27,0,0,"b.1.595",0,0
"50532",2020-03-27,111,4,"other",0.036036036036036,0.107101280558789
"9182",2020-03-28,0,0,"b",0,0.00121951219512195
"9856",2020-03-28,70,62,"b.1",0.885714285714286,0.889024390243902
"10506",2020-03-28,0,0,"b.1.1",0,0.00365853658536585
"12750",2020-03-28,0,0,"b.1.2",0,0
"18193",2020-03-28,0,0,"b.1.595",0,0
"50533",2020-03-28,70,8,"other",0.114285714285714,0.10609756097561
"9183",2020-03-29,0,0,"b",0,0
"9857",2020-03-29,61,58,"b.1",0.950819672131147,0.89501312335958
"10507",2020-03-29,0,0,"b.1.1",0,0.00393700787401575
"12751",2020-03-29,0,0,"b.1.2",0,0
"18194",2020-03-29,0,0,"b.1.595",0,0
"50534",2020-03-29,61,3,"other",0.0491803278688525,0.101049868766404
"9184",2020-03-30,0,0,"b",0,0
"9858",2020-03-30,115,102,"b.1",0.88695652173913,0.899862825788752
"10508",2020-03-30,0,0,"b.1.1",0,0
"12752",2020-03-30,115,2,"b.1.2",0.0173913043478261,0.00274348422496571
"18195",2020-03-30,0,0,"b.1.595",0,0
"50535",2020-03-30,115,11,"other",0.0956521739130435,0.0973936899862826
"9185",2020-03-31,0,0,"b",0,0
"9859",2020-03-31,89,82,"b.1",0.921348314606742,0.893553223388306
"10509",2020-03-31,0,0,"b.1.1",0,0
"12753",2020-03-31,0,0,"b.1.2",0,0.00299850074962519
"14374",2020-03-31,89,1,"b.1.311",0.0112359550561798,0.0104947526236882
"18196",2020-03-31,0,0,"b.1.595",0,0
"50536",2020-03-31,89,6,"other",0.0674157303370786,0.0929535232383808
"9186",2020-04-01,0,0,"b",0,0
"9860",2020-04-01,71,66,"b.1",0.929577464788732,0.904498816101026
"10510",2020-04-01,0,0,"b.1.1",0,0
"12754",2020-04-01,0,0,"b.1.2",0,0.00315706393054459
"14375",2020-04-01,0,0,"b.1.311",0,0.00552486187845304
"18197",2020-04-01,0,0,"b.1.595",0,0
"50537",2020-04-01,71,5,"other",0.0704225352112676,0.0868192580899763
"9187",2020-04-02,0,0,"b",0,0
"9861",2020-04-02,60,56,"b.1",0.933333333333333,0.921613832853026
"10511",2020-04-02,0,0,"b.1.1",0,0
"12755",2020-04-02,0,0,"b.1.2",0,0.00345821325648415
"14376",2020-04-02,0,0,"b.1.311",0,0.00403458213256484
"18198",2020-04-02,0,0,"b.1.595",0,0
"50538",2020-04-02,60,4,"other",0.0666666666666667,0.0708933717579251
"9188",2020-04-03,0,0,"b",0,0
"9862",2020-04-03,82,72,"b.1",0.878048780487805,0.90751708428246
"10512",2020-04-03,0,0,"b.1.1",0,0
"12756",2020-04-03,82,2,"b.1.2",0.024390243902439,0.00728929384965831
"14377",2020-04-03,0,0,"b.1.311",0,0.00318906605922551
"18199",2020-04-03,0,0,"b.1.595",0,0
"50539",2020-04-03,82,8,"other",0.0975609756097561,0.082004555808656
"9189",2020-04-04,0,0,"b",0,0
"9863",2020-04-04,51,43,"b.1",0.843137254901961,0.903432666918144
"10513",2020-04-04,0,0,"b.1.1",0,0
"12757",2020-04-04,0,0,"b.1.2",0,0.00754432289701999
"14378",2020-04-04,51,2,"b.1.311",0.0392156862745098,0.00792153904187099
"18200",2020-04-04,0,0,"b.1.595",0,0
"50540",2020-04-04,51,6,"other",0.117647058823529,0.0811014711429649
"9190",2020-04-05,0,0,"b",0,0
"9864",2020-04-05,10,10,"b.1",1,0.90073145245559
"10514",2020-04-05,0,0,"b.1.1",0,0
"12758",2020-04-05,0,0,"b.1.2",0,0.00835945663531871
"14379",2020-04-05,0,0,"b.1.311",0,0.00731452455590387
"18201",2020-04-05,0,0,"b.1.595",0,0
"50541",2020-04-05,0,0,"other",0,0.0835945663531871
"9191",2020-04-06,0,0,"b",0,0
"9865",2020-04-06,52,49,"b.1",0.942307692307692,0.910843373493976
"10515",2020-04-06,0,0,"b.1.1",0,0
"12759",2020-04-06,0,0,"b.1.2",0,0.00481927710843373
"14380",2020-04-06,0,0,"b.1.311",0,0.0072289156626506
"18202",2020-04-06,0,0,"b.1.595",0,0
"50542",2020-04-06,52,3,"other",0.0576923076923077,0.0771084337349398
"9192",2020-04-07,0,0,"b",0,0
"9866",2020-04-07,34,32,"b.1",0.941176470588235,0.896174863387978
"10516",2020-04-07,0,0,"b.1.1",0,0
"12039",2020-04-07,34,1,"b.1.1.7",0.0294117647058824,0.0191256830601093
"12760",2020-04-07,0,0,"b.1.2",0,0.00546448087431694
"14381",2020-04-07,0,0,"b.1.311",0,0.00546448087431694
"18203",2020-04-07,0,0,"b.1.595",0,0
