"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"58339",2020-03-05,2,2,"other",1,1
"58340",2020-03-06,0,0,"other",0,1
"58341",2020-03-07,2,2,"other",1,1
"58342",2020-03-08,0,0,"other",0,1
"16036",2020-03-09,4,1,"b.1",0.25,0.416666666666667
"58343",2020-03-09,4,3,"other",0.75,0.583333333333333
"16037",2020-03-10,0,0,"b.1",0,0.0967741935483871
"16695",2020-03-10,6,3,"b.1.1",0.5,0.580645161290323
"58344",2020-03-10,6,3,"other",0.5,0.32258064516129
"16038",2020-03-11,4,1,"b.1",0.25,0.14070351758794
"16696",2020-03-11,4,2,"b.1.1",0.5,0.527638190954774
"58345",2020-03-11,4,1,"other",0.25,0.331658291457286
"16039",2020-03-12,18,10,"b.1",0.555555555555556,0.377245508982036
"16697",2020-03-12,0,0,"b.1.1",0,0.209580838323353
"22854",2020-03-12,18,1,"b.1.369",0.0555555555555556,0.125748502994012
"58346",2020-03-12,18,7,"other",0.388888888888889,0.287425149700599
"16040",2020-03-13,39,26,"b.1",0.666666666666667,0.382871536523929
"16698",2020-03-13,0,0,"b.1.1",0,0.0629722921914358
"22855",2020-03-13,39,1,"b.1.369",0.0256410256410256,0.0503778337531486
"26593",2020-03-13,39,7,"b.1.595",0.179487179487179,0.35264483627204
"58347",2020-03-13,39,5,"other",0.128205128205128,0.151133501259446
"16041",2020-03-14,77,48,"b.1",0.623376623376623,0.44219186131923
"16699",2020-03-14,77,6,"b.1.1",0.0779220779220779,0.0678713089466725
"22856",2020-03-14,0,0,"b.1.369",0,0.0205670633171735
"26594",2020-03-14,77,16,"b.1.595",0.207792207792208,0.354781842221243
"58348",2020-03-14,77,7,"other",0.0909090909090909,0.114587924195681
"15369",2020-03-15,83,2,"b",0.0240963855421687,0.044350580781415
"16042",2020-03-15,83,40,"b.1",0.481927710843373,0.399155227032735
"16700",2020-03-15,83,4,"b.1.1",0.0481927710843374,0.0554382259767687
"19264",2020-03-15,83,1,"b.1.110.3",0.0120481927710843,0.0221752903907075
"22857",2020-03-15,0,0,"b.1.369",0,0.0110876451953537
"26595",2020-03-15,83,24,"b.1.595",0.289156626506024,0.347412882787751
"58349",2020-03-15,83,12,"other",0.144578313253012,0.120380147835269
"15370",2020-03-16,95,1,"b",0.0105263157894737,0.0272514923436283
"16043",2020-03-16,95,57,"b.1",0.6,0.472359200622891
"16701",2020-03-16,95,1,"b.1.1",0.0105263157894737,0.0415260835712432
"19265",2020-03-16,0,0,"b.1.110.3",0,0.00908383078120945
"22858",2020-03-16,0,0,"b.1.369",0,0.00726706462496756
"26596",2020-03-16,95,23,"b.1.595",0.242105263157895,0.317934077342331
"58350",2020-03-16,95,13,"other",0.136842105263158,0.12457825071373
"15371",2020-03-17,0,0,"b",0,0.018369489153254
"16044",2020-03-17,31,25,"b.1",0.806451612903226,0.543212036389083
"16702",2020-03-17,31,1,"b.1.1",0.032258064516129,0.036738978306508
"19266",2020-03-17,0,0,"b.1.110.3",0,0.00612316305108467
"22859",2020-03-17,0,0,"b.1.369",0,0.00612316305108467
"26597",2020-03-17,31,1,"b.1.595",0.032258064516129,0.260846745976207
"58351",2020-03-17,31,4,"other",0.129032258064516,0.128586424072778
"15372",2020-03-18,10,1,"b",0.1,0.0189916346371241
"16045",2020-03-18,10,4,"b.1",0.4,0.569749039113724
"16703",2020-03-18,0,0,"b.1.1",0,0.0325570879493556
"19267",2020-03-18,0,0,"b.1.110.3",0,0.00474790865928103
"22860",2020-03-18,0,0,"b.1.369",0,0.00542618132489261
"26598",2020-03-18,0,0,"b.1.595",0,0.224734343205969
"58352",2020-03-18,10,5,"other",0.5,0.143793805109654
"15373",2020-03-19,0,0,"b",0,0.016231884057971
"16046",2020-03-19,8,4,"b.1",0.5,0.591304347826087
"16704",2020-03-19,0,0,"b.1.1",0,0.0347826086956522
"19268",2020-03-19,0,0,"b.1.110.3",0,0.00405797101449275
"22861",2020-03-19,0,0,"b.1.369",0,0.00289855072463768
"26599",2020-03-19,0,0,"b.1.595",0,0.205797101449275
"58353",2020-03-19,8,4,"other",0.5,0.144927536231884
"15374",2020-03-20,0,0,"b",0,0.0148226574907358
"16047",2020-03-20,10,7,"b.1",0.7,0.587612493382742
"16705",2020-03-20,0,0,"b.1.1",0,0.0381154049761779
"19269",2020-03-20,0,0,"b.1.110.3",0,0.00370566437268396
"22862",2020-03-20,0,0,"b.1.369",0,0
"26600",2020-03-20,0,0,"b.1.595",0,0.203282159872949
"58354",2020-03-20,10,3,"other",0.3,0.152461619904711
"15375",2020-03-21,0,0,"b",0,0.016
"16048",2020-03-21,13,9,"b.1",0.692307692307692,0.584
"16706",2020-03-21,0,0,"b.1.1",0,0.024
"19270",2020-03-21,0,0,"b.1.110.3",0,0.004
"22863",2020-03-21,0,0,"b.1.369",0,0
"26601",2020-03-21,0,0,"b.1.595",0,0.192
"58355",2020-03-21,13,4,"other",0.307692307692308,0.18
"15376",2020-03-22,0,0,"b",0,0.0112359550561798
"16049",2020-03-22,11,8,"b.1",0.727272727272727,0.640449438202247
"16707",2020-03-22,11,1,"b.1.1",0.0909090909090909,0.0168539325842697
"19271",2020-03-22,0,0,"b.1.110.3",0,0
"22864",2020-03-22,0,0,"b.1.369",0,0
"26602",2020-03-22,0,0,"b.1.595",0,0.134831460674157
"58356",2020-03-22,11,2,"other",0.181818181818182,0.196629213483146
"15377",2020-03-23,0,0,"b",0,0.00943396226415094
"16050",2020-03-23,23,10,"b.1",0.434782608695652,0.632075471698113
"16708",2020-03-23,23,3,"b.1.1",0.130434782608696,0.0471698113207547
"19272",2020-03-23,0,0,"b.1.110.3",0,0
"22865",2020-03-23,0,0,"b.1.369",0,0
"26603",2020-03-23,0,0,"b.1.595",0,0.00943396226415094
"58357",2020-03-23,23,10,"other",0.434782608695652,0.30188679245283
"15378",2020-03-24,0,0,"b",0,0.0104166666666667
"16051",2020-03-24,21,7,"b.1",0.333333333333333,0.510416666666667
"16709",2020-03-24,0,0,"b.1.1",0,0.0416666666666667
"19273",2020-03-24,0,0,"b.1.110.3",0,0
"22866",2020-03-24,0,0,"b.1.369",0,0
"26604",2020-03-24,0,0,"b.1.595",0,0
"58358",2020-03-24,21,14,"other",0.666666666666667,0.4375
"15379",2020-03-25,0,0,"b",0,0
"16052",2020-03-25,29,20,"b.1",0.689655172413793,0.565217391304348
"16710",2020-03-25,29,2,"b.1.1",0.0689655172413793,0.0521739130434783
"19274",2020-03-25,0,0,"b.1.110.3",0,0
"22867",2020-03-25,0,0,"b.1.369",0,0
"26605",2020-03-25,0,0,"b.1.595",0,0
"58359",2020-03-25,29,7,"other",0.241379310344828,0.382608695652174
"15380",2020-03-26,0,0,"b",0,0
"16053",2020-03-26,27,18,"b.1",0.666666666666667,0.58955223880597
"16711",2020-03-26,0,0,"b.1.1",0,0.0447761194029851
"19275",2020-03-26,0,0,"b.1.110.3",0,0
"22868",2020-03-26,0,0,"b.1.369",0,0
"26606",2020-03-26,0,0,"b.1.595",0,0
"58360",2020-03-26,27,9,"other",0.333333333333333,0.365671641791045
"15381",2020-03-27,0,0,"b",0,0
"16054",2020-03-27,15,6,"b.1",0.4,0.561151079136691
"16712",2020-03-27,15,1,"b.1.1",0.0666666666666667,0.0503597122302158
"19276",2020-03-27,0,0,"b.1.110.3",0,0
"22869",2020-03-27,0,0,"b.1.369",0,0
"26607",2020-03-27,0,0,"b.1.595",0,0
"58361",2020-03-27,15,8,"other",0.533333333333333,0.388489208633093
"15382",2020-03-28,0,0,"b",0,0
"16055",2020-03-28,4,3,"b.1",0.75,0.553846153846154
"16713",2020-03-28,0,0,"b.1.1",0,0.0538461538461538
"19277",2020-03-28,0,0,"b.1.110.3",0,0
"22870",2020-03-28,0,0,"b.1.369",0,0
"26608",2020-03-28,0,0,"b.1.595",0,0
"58362",2020-03-28,4,1,"other",0.25,0.392307692307692
"15383",2020-03-29,0,0,"b",0,0
"16056",2020-03-29,11,5,"b.1",0.454545454545455,0.530769230769231
"16714",2020-03-29,0,0,"b.1.1",0,0.0461538461538461
"19278",2020-03-29,0,0,"b.1.110.3",0,0
"22871",2020-03-29,0,0,"b.1.369",0,0
"26609",2020-03-29,0,0,"b.1.595",0,0
"58363",2020-03-29,11,6,"other",0.545454545454545,0.423076923076923
"15384",2020-03-30,0,0,"b",0,0
"16057",2020-03-30,26,13,"b.1",0.5,0.541353383458647
"16715",2020-03-30,26,1,"b.1.1",0.0384615384615385,0.0300751879699248
"19279",2020-03-30,0,0,"b.1.110.3",0,0
"22872",2020-03-30,0,0,"b.1.369",0,0
"26610",2020-03-30,0,0,"b.1.595",0,0
"58364",2020-03-30,26,12,"other",0.461538461538462,0.428571428571429
"15385",2020-03-31,13,1,"b",0.0769230769230769,0.008
"16058",2020-03-31,13,4,"b.1",0.307692307692308,0.552
"16716",2020-03-31,0,0,"b.1.1",0,0.032
"19280",2020-03-31,0,0,"b.1.110.3",0,0
"22873",2020-03-31,0,0,"b.1.369",0,0
"26611",2020-03-31,0,0,"b.1.595",0,0
"58365",2020-03-31,13,8,"other",0.615384615384615,0.408
"15386",2020-04-01,0,0,"b",0,0.0099009900990099
"16059",2020-04-01,5,3,"b.1",0.6,0.514851485148515
"16717",2020-04-01,0,0,"b.1.1",0,0.0198019801980198
"19281",2020-04-01,0,0,"b.1.110.3",0,0
"22874",2020-04-01,0,0,"b.1.369",0,0
"26612",2020-04-01,0,0,"b.1.595",0,0
"58366",2020-04-01,5,2,"other",0.4,0.455445544554455
"15387",2020-04-02,0,0,"b",0,0.0117647058823529
"16060",2020-04-02,11,3,"b.1",0.272727272727273,0.435294117647059
"16718",2020-04-02,11,1,"b.1.1",0.0909090909090909,0.0352941176470588
"19282",2020-04-02,0,0,"b.1.110.3",0,0
"22875",2020-04-02,0,0,"b.1.369",0,0
"26613",2020-04-02,0,0,"b.1.595",0,0
"58367",2020-04-02,11,7,"other",0.636363636363636,0.517647058823529
"15388",2020-04-03,0,0,"b",0,0.012987012987013
"16061",2020-04-03,7,3,"b.1",0.428571428571429,0.441558441558442
"16719",2020-04-03,0,0,"b.1.1",0,0.025974025974026
"19283",2020-04-03,0,0,"b.1.110.3",0,0
"22876",2020-04-03,0,0,"b.1.369",0,0
"26614",2020-04-03,0,0,"b.1.595",0,0
"58368",2020-04-03,7,4,"other",0.571428571428571,0.51948051948052
"15389",2020-04-04,0,0,"b",0,0.0121951219512195
"16062",2020-04-04,9,4,"b.1",0.444444444444444,0.426829268292683
