"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"12211",2020-03-03,1,1,"b.1",1,1
"12212",2020-03-04,2,2,"b.1",1,1
"12213",2020-03-05,0,0,"b.1",0,1
"12214",2020-03-06,0,0,"b.1",0,1
"12215",2020-03-07,0,0,"b.1",0,1
"12216",2020-03-08,0,0,"b.1",0,1
"12217",2020-03-09,0,0,"b.1",0,1
"12218",2020-03-10,1,1,"b.1",1,1
"12219",2020-03-11,0,0,"b.1",0,1
"12220",2020-03-12,0,0,"b.1",0,1
"12221",2020-03-13,6,6,"b.1",1,1
"11551",2020-03-14,20,1,"b",0.05,0.155555555555556
"12222",2020-03-14,20,17,"b.1",0.85,0.533333333333333
"56102",2020-03-14,20,2,"other",0.1,0.311111111111111
"11552",2020-03-15,9,1,"b",0.111111111111111,0.152173913043478
"12223",2020-03-15,9,8,"b.1",0.888888888888889,0.695652173913043
"56103",2020-03-15,0,0,"other",0,0.152173913043478
"11553",2020-03-16,0,0,"b",0,0.0693069306930693
"12224",2020-03-16,22,19,"b.1",0.863636363636364,0.757425742574257
"56104",2020-03-16,22,3,"other",0.136363636363636,0.173267326732673
"11554",2020-03-17,0,0,"b",0,0.053639846743295
"12225",2020-03-17,3,3,"b.1",1,0.812260536398467
"56105",2020-03-17,0,0,"other",0,0.134099616858238
"11555",2020-03-18,0,0,"b",0,0.0410557184750733
"12226",2020-03-18,5,4,"b.1",0.8,0.835777126099707
"56106",2020-03-18,5,1,"other",0.2,0.12316715542522
"11556",2020-03-19,0,0,"b",0,0.0341463414634146
"12227",2020-03-19,2,2,"b.1",1,0.863414634146341
"56107",2020-03-19,0,0,"other",0,0.102439024390244
"11557",2020-03-20,0,0,"b",0,0.0317460317460317
"12228",2020-03-20,2,2,"b.1",1,0.873015873015873
"56108",2020-03-20,0,0,"other",0,0.0952380952380952
"11558",2020-03-21,0,0,"b",0,0.0227272727272727
"12229",2020-03-21,1,1,"b.1",1,0.886363636363636
"56109",2020-03-21,0,0,"other",0,0.0909090909090909
"11559",2020-03-22,0,0,"b",0,0
"12230",2020-03-22,0,0,"b.1",0,0.885714285714286
"56110",2020-03-22,0,0,"other",0,0.114285714285714
"11560",2020-03-23,0,0,"b",0,0
"12231",2020-03-23,0,0,"b.1",0,0.923076923076923
"56111",2020-03-23,0,0,"other",0,0.0769230769230769
"11561",2020-03-24,0,0,"b",0,0
"12232",2020-03-24,0,0,"b.1",0,0.9
"56112",2020-03-24,0,0,"other",0,0.1
"11562",2020-03-25,0,0,"b",0,0
"12233",2020-03-25,0,0,"b.1",0,1
"56113",2020-03-25,0,0,"other",0,0
"11563",2020-03-26,0,0,"b",0,0
"12234",2020-03-26,2,2,"b.1",1,1
"56114",2020-03-26,0,0,"other",0,0
"11564",2020-03-27,0,0,"b",0,0
"12235",2020-03-27,0,0,"b.1",0,1
"56115",2020-03-27,0,0,"other",0,0
"11565",2020-03-28,0,0,"b",0,0
"12236",2020-03-28,0,0,"b.1",0,1
"56116",2020-03-28,0,0,"other",0,0
"11566",2020-03-29,0,0,"b",0,0
"12237",2020-03-29,0,0,"b.1",0,1
"56117",2020-03-29,0,0,"other",0,0
"11567",2020-03-30,4,1,"b",0.25,0.166666666666667
"12238",2020-03-30,0,0,"b.1",0,0.333333333333333
"56118",2020-03-30,4,3,"other",0.75,0.5
"11568",2020-03-31,0,0,"b",0,0.166666666666667
"12239",2020-03-31,0,0,"b.1",0,0.333333333333333
"56119",2020-03-31,0,0,"other",0,0.5
"11569",2020-04-01,0,0,"b",0,0.166666666666667
"12240",2020-04-01,0,0,"b.1",0,0.333333333333333
"56120",2020-04-01,0,0,"other",0,0.5
"11570",2020-04-02,0,0,"b",0,0.125
"12241",2020-04-02,4,4,"b.1",1,0.5
"56121",2020-04-02,0,0,"other",0,0.375
"11571",2020-04-03,0,0,"b",0,0.0666666666666667
"12242",2020-04-03,0,0,"b.1",0,0.266666666666667
"23077",2020-04-03,1,1,"ba.2.10",1,0.466666666666667
"56122",2020-04-03,0,0,"other",0,0.2
