"","X","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling","term"
"1",16272,"2020-03-16",1,1,"other",1,1,NA
"2",16273,"2020-03-17",7,7,"other",1,1,NA
"3",16274,"2020-03-18",3,3,"other",1,1,NA
"4",16275,"2020-03-19",2,2,"other",1,1,NA
"5",16276,"2020-03-20",0,0,"other",0,1,NA
"6",16277,"2020-03-21",0,0,"other",0,1,NA
"7",16278,"2020-03-22",1,1,"other",1,1,NA
"8",16279,"2020-03-23",6,6,"other",1,1,NA
"9",16280,"2020-03-24",16,16,"other",1,1,NA
"10",16281,"2020-03-25",5,5,"other",1,1,NA
"11",16282,"2020-03-26",0,0,"other",0,1,NA
"12",16283,"2020-03-27",0,0,"other",0,1,NA
"13",16284,"2020-03-28",0,0,"other",0,1,NA
"14",16285,"2020-03-29",0,0,"other",0,1,NA
"15",16286,"2020-03-30",0,0,"other",0,1,NA
"16",16287,"2020-03-31",0,0,"other",0,1,NA
"17",16288,"2020-04-01",0,0,"other",0,0,NA
"18",16289,"2020-04-02",0,0,"other",0,0,NA
"19",16290,"2020-04-03",0,0,"other",0,0,NA
"20",16291,"2020-04-04",0,0,"other",0,0,NA
"21",16292,"2020-04-05",0,0,"other",0,0,NA
"22",16293,"2020-04-06",0,0,"other",0,0,NA
"23",16294,"2020-04-07",0,0,"other",0,0,NA
"24",16295,"2020-04-08",0,0,"other",0,0,NA
"25",16296,"2020-04-09",0,0,"other",0,0,NA
"26",16297,"2020-04-10",0,0,"other",0,0,NA
"27",16298,"2020-04-11",0,0,"other",0,0,NA
"28",16299,"2020-04-12",0,0,"other",0,0,NA
"29",16300,"2020-04-13",0,0,"other",0,0,NA
"30",16301,"2020-04-14",0,0,"other",0,0,NA
"31",16302,"2020-04-15",0,0,"other",0,0,NA
"32",16303,"2020-04-16",0,0,"other",0,0,NA
"33",16304,"2020-04-17",0,0,"other",0,0,NA
"34",16305,"2020-04-18",0,0,"other",0,0,NA
"35",16306,"2020-04-19",0,0,"other",0,0,NA
"36",16307,"2020-04-20",0,0,"other",0,0,NA
"37",16308,"2020-04-21",0,0,"other",0,0,NA
"38",16309,"2020-04-22",0,0,"other",0,0,NA
"39",16310,"2020-04-23",0,0,"other",0,0,NA
"40",16311,"2020-04-24",0,0,"other",0,0,NA
"41",16312,"2020-04-25",1,1,"other",1,1,NA
"42",16313,"2020-04-26",0,0,"other",0,1,NA
"43",16314,"2020-04-27",0,0,"other",0,1,NA
"44",16315,"2020-04-28",0,0,"other",0,1,NA
"45",16316,"2020-04-29",0,0,"other",0,1,NA
"46",16317,"2020-04-30",0,0,"other",0,1,NA
"47",16318,"2020-05-01",1,1,"other",1,1,NA
"48",16319,"2020-05-02",1,1,"other",1,1,NA
"49",16320,"2020-05-03",0,0,"other",0,1,NA
"50",16321,"2020-05-04",0,0,"other",0,1,NA
"51",16322,"2020-05-05",0,0,"other",0,1,NA
"52",16323,"2020-05-06",0,0,"other",0,1,NA
"53",16324,"2020-05-07",0,0,"other",0,1,NA
"54",16325,"2020-05-08",1,1,"other",1,1,NA
"55",16326,"2020-05-09",0,0,"other",0,1,NA
"56",16327,"2020-05-10",0,0,"other",0,1,NA
"57",16328,"2020-05-11",0,0,"other",0,1,NA
"58",16329,"2020-05-12",0,0,"other",0,1,NA
"59",16330,"2020-05-13",0,0,"other",0,1,NA
"60",16331,"2020-05-14",0,0,"other",0,1,NA
"61",16332,"2020-05-15",0,0,"other",0,0,NA
"62",16333,"2020-05-16",0,0,"other",0,0,NA
"63",16334,"2020-05-17",0,0,"other",0,0,NA
"64",16335,"2020-05-18",0,0,"other",0,0,NA
"65",16336,"2020-05-19",0,0,"other",0,0,NA
"66",16337,"2020-05-20",0,0,"other",0,0,NA
"67",16338,"2020-05-21",0,0,"other",0,0,NA
