"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"5395",2020-03-16,1,1,"b.1",1,1
"5396",2020-03-17,7,7,"b.1",1,1
"5397",2020-03-18,3,3,"b.1",1,1
"5398",2020-03-19,2,2,"b.1",1,1
"5399",2020-03-20,0,0,"b.1",0,1
"5400",2020-03-21,0,0,"b.1",0,1
"5401",2020-03-22,1,1,"b.1",1,1
"5402",2020-03-23,6,4,"b.1",0.666666666666667,0.548387096774194
"17511",2020-03-23,6,2,"other",0.333333333333333,0.451612903225806
"5403",2020-03-24,16,13,"b.1",0.8125,0.522727272727273
"5862",2020-03-24,16,1,"b.1.1",0.0625,0.159090909090909
"17512",2020-03-24,16,2,"other",0.125,0.318181818181818
"5404",2020-03-25,5,4,"b.1",0.8,0.612765957446809
"5863",2020-03-25,0,0,"b.1.1",0,0.0893617021276596
"17513",2020-03-25,5,1,"other",0.2,0.297872340425532
"5405",2020-03-26,0,0,"b.1",0,0.664987405541562
"5864",2020-03-26,0,0,"b.1.1",0,0.0705289672544081
"17514",2020-03-26,0,0,"other",0,0.26448362720403
"5406",2020-03-27,0,0,"b.1",0,0.715447154471545
"5865",2020-03-27,0,0,"b.1.1",0,0.0569105691056911
"17515",2020-03-27,0,0,"other",0,0.227642276422764
"5407",2020-03-28,0,0,"b.1",0,0.752565564424173
"5866",2020-03-28,0,0,"b.1.1",0,0.0478905359179019
"17516",2020-03-28,0,0,"other",0,0.199543899657925
"5408",2020-03-29,0,0,"b.1",0,0.773006134969325
"5867",2020-03-29,0,0,"b.1.1",0,0.0429447852760736
"17517",2020-03-29,0,0,"other",0,0.184049079754601
"5409",2020-03-30,0,0,"b.1",0,0.80952380952381
"5868",2020-03-30,0,0,"b.1.1",0,0.0476190476190476
"17518",2020-03-30,0,0,"other",0,0.142857142857143
"5410",2020-03-31,0,0,"b.1",0,0.8
"5869",2020-03-31,0,0,"b.1.1",0,0
"17519",2020-03-31,0,0,"other",0,0.2
"5411",2020-04-01,0,0,"b.1",0,0
"5870",2020-04-01,0,0,"b.1.1",0,0
"17520",2020-04-01,0,0,"other",0,0
"5412",2020-04-02,0,0,"b.1",0,0
"5871",2020-04-02,0,0,"b.1.1",0,0
"17521",2020-04-02,0,0,"other",0,0
"5413",2020-04-03,0,0,"b.1",0,0
"5872",2020-04-03,0,0,"b.1.1",0,0
"17522",2020-04-03,0,0,"other",0,0
"5414",2020-04-04,0,0,"b.1",0,0
"5873",2020-04-04,0,0,"b.1.1",0,0
"17523",2020-04-04,0,0,"other",0,0
"5415",2020-04-05,0,0,"b.1",0,0
"5874",2020-04-05,0,0,"b.1.1",0,0
"17524",2020-04-05,0,0,"other",0,0
"5416",2020-04-06,0,0,"b.1",0,0
"5875",2020-04-06,0,0,"b.1.1",0,0
"17525",2020-04-06,0,0,"other",0,0
"5417",2020-04-07,0,0,"b.1",0,0
"5876",2020-04-07,0,0,"b.1.1",0,0
"17526",2020-04-07,0,0,"other",0,0
"5418",2020-04-08,0,0,"b.1",0,0
"5877",2020-04-08,0,0,"b.1.1",0,0
"17527",2020-04-08,0,0,"other",0,0
"5419",2020-04-09,0,0,"b.1",0,0
"5878",2020-04-09,0,0,"b.1.1",0,0
"17528",2020-04-09,0,0,"other",0,0
"5420",2020-04-10,0,0,"b.1",0,0
"5879",2020-04-10,0,0,"b.1.1",0,0
"17529",2020-04-10,0,0,"other",0,0
"5421",2020-04-11,0,0,"b.1",0,0
"5880",2020-04-11,0,0,"b.1.1",0,0
"17530",2020-04-11,0,0,"other",0,0
"5422",2020-04-12,0,0,"b.1",0,0
"5881",2020-04-12,0,0,"b.1.1",0,0
"17531",2020-04-12,0,0,"other",0,0
"5423",2020-04-13,0,0,"b.1",0,0
"5882",2020-04-13,0,0,"b.1.1",0,0
"17532",2020-04-13,0,0,"other",0,0
"5424",2020-04-14,0,0,"b.1",0,0
"5883",2020-04-14,0,0,"b.1.1",0,0
"17533",2020-04-14,0,0,"other",0,0
"5425",2020-04-15,0,0,"b.1",0,0
"5884",2020-04-15,0,0,"b.1.1",0,0
"17534",2020-04-15,0,0,"other",0,0
"5426",2020-04-16,0,0,"b.1",0,0
"5885",2020-04-16,0,0,"b.1.1",0,0
"17535",2020-04-16,0,0,"other",0,0
"5427",2020-04-17,0,0,"b.1",0,0
"5886",2020-04-17,0,0,"b.1.1",0,0
"17536",2020-04-17,0,0,"other",0,0
"5428",2020-04-18,0,0,"b.1",0,0
"5887",2020-04-18,0,0,"b.1.1",0,0
"17537",2020-04-18,0,0,"other",0,0
"5429",2020-04-19,0,0,"b.1",0,0
"5888",2020-04-19,0,0,"b.1.1",0,0
"17538",2020-04-19,0,0,"other",0,0
"5430",2020-04-20,0,0,"b.1",0,0
"5889",2020-04-20,0,0,"b.1.1",0,0
"17539",2020-04-20,0,0,"other",0,0
"5431",2020-04-21,0,0,"b.1",0,0
"5890",2020-04-21,0,0,"b.1.1",0,0
"17540",2020-04-21,0,0,"other",0,0
"5432",2020-04-22,0,0,"b.1",0,0
"5891",2020-04-22,0,0,"b.1.1",0,0
"17541",2020-04-22,0,0,"other",0,0
"5433",2020-04-23,0,0,"b.1",0,0
"5892",2020-04-23,0,0,"b.1.1",0,0
"17542",2020-04-23,0,0,"other",0,0
"5434",2020-04-24,0,0,"b.1",0,0
"5893",2020-04-24,0,0,"b.1.1",0,0
"17543",2020-04-24,0,0,"other",0,0
