"","X","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling","term"
"1",5941,"2020-03-13",1,1,"b",1,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"2",5942,"2020-03-14",0,0,"b",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"3",5943,"2020-03-15",0,0,"b",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"4",5944,"2020-03-16",0,0,"b",0,0.2,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"5",6595,"2020-03-16",1,1,"b.1",1,0.8,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"6",5945,"2020-03-17",0,0,"b",0,0.166666666666667,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"7",6596,"2020-03-17",1,1,"b.1",1,0.833333333333333,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"8",5946,"2020-03-18",0,0,"b",0,0.0526315789473684,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"9",6597,"2020-03-18",5,4,"b.1",0.8,0.631578947368421,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"10",7100,"2020-03-18",5,1,"b.1.1",0.2,0.315789473684211,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"11",5947,"2020-03-19",0,0,"b",0,0.0597014925373134,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"12",6598,"2020-03-19",1,1,"b.1",1,0.73134328358209,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"13",7101,"2020-03-19",0,0,"b.1.1",0,0.208955223880597,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"14",5948,"2020-03-20",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"15",6599,"2020-03-20",0,0,"b.1",0,0.807692307692308,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"16",7102,"2020-03-20",0,0,"b.1.1",0,0.192307692307692,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"17",5949,"2020-03-21",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"18",6600,"2020-03-21",0,0,"b.1",0,0.823529411764706,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"19",7103,"2020-03-21",0,0,"b.1.1",0,0.176470588235294,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"20",5950,"2020-03-22",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"21",6601,"2020-03-22",0,0,"b.1",0,0.833333333333333,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"22",7104,"2020-03-22",0,0,"b.1.1",0,0.166666666666667,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"23",5951,"2020-03-23",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"24",6602,"2020-03-23",0,0,"b.1",0,0.837209302325581,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"25",7105,"2020-03-23",0,0,"b.1.1",0,0.162790697674419,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"26",5952,"2020-03-24",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"27",6603,"2020-03-24",0,0,"b.1",0,0.833333333333333,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"28",7106,"2020-03-24",0,0,"b.1.1",0,0.166666666666667,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"29",5953,"2020-03-25",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"30",6604,"2020-03-25",0,0,"b.1",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"31",7107,"2020-03-25",0,0,"b.1.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"32",5954,"2020-03-26",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"33",6605,"2020-03-26",0,0,"b.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"34",7108,"2020-03-26",0,0,"b.1.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
