"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"5941",2020-03-13,1,1,"b",1,1
"5942",2020-03-14,0,0,"b",0,1
"5943",2020-03-15,0,0,"b",0,1
"5944",2020-03-16,0,0,"b",0,0.2
"6595",2020-03-16,1,1,"b.1",1,0.8
"5945",2020-03-17,0,0,"b",0,0.166666666666667
"6596",2020-03-17,1,1,"b.1",1,0.833333333333333
"5946",2020-03-18,0,0,"b",0,0.0526315789473684
"6597",2020-03-18,5,4,"b.1",0.8,0.631578947368421
"7100",2020-03-18,5,1,"b.1.1",0.2,0.315789473684211
"5947",2020-03-19,0,0,"b",0,0.0597014925373134
"6598",2020-03-19,1,1,"b.1",1,0.73134328358209
"7101",2020-03-19,0,0,"b.1.1",0,0.208955223880597
"5948",2020-03-20,0,0,"b",0,0
"6599",2020-03-20,0,0,"b.1",0,0.807692307692308
"7102",2020-03-20,0,0,"b.1.1",0,0.192307692307692
"5949",2020-03-21,0,0,"b",0,0
"6600",2020-03-21,0,0,"b.1",0,0.823529411764706
"7103",2020-03-21,0,0,"b.1.1",0,0.176470588235294
"5950",2020-03-22,0,0,"b",0,0
"6601",2020-03-22,0,0,"b.1",0,0.833333333333333
"7104",2020-03-22,0,0,"b.1.1",0,0.166666666666667
"5951",2020-03-23,0,0,"b",0,0
"6602",2020-03-23,0,0,"b.1",0,0.837209302325581
"7105",2020-03-23,0,0,"b.1.1",0,0.162790697674419
"5952",2020-03-24,0,0,"b",0,0
"6603",2020-03-24,0,0,"b.1",0,0.833333333333333
"7106",2020-03-24,0,0,"b.1.1",0,0.166666666666667
"5953",2020-03-25,0,0,"b",0,0
"6604",2020-03-25,0,0,"b.1",0,1
"7107",2020-03-25,0,0,"b.1.1",0,0
"5954",2020-03-26,0,0,"b",0,0
"6605",2020-03-26,0,0,"b.1",0,0
"7108",2020-03-26,0,0,"b.1.1",0,0
"5955",2020-03-27,0,0,"b",0,0
"6606",2020-03-27,0,0,"b.1",0,0
"7109",2020-03-27,0,0,"b.1.1",0,0
"5956",2020-03-28,0,0,"b",0,0
"6607",2020-03-28,0,0,"b.1",0,0
"7110",2020-03-28,0,0,"b.1.1",0,0
"5957",2020-03-29,0,0,"b",0,0
"6608",2020-03-29,0,0,"b.1",0,0
"7111",2020-03-29,0,0,"b.1.1",0,0
"5958",2020-03-30,0,0,"b",0,0
"6609",2020-03-30,0,0,"b.1",0,0
"7112",2020-03-30,0,0,"b.1.1",0,0
"5959",2020-03-31,0,0,"b",0,0
"6610",2020-03-31,0,0,"b.1",0,0
"7113",2020-03-31,0,0,"b.1.1",0,0
"5960",2020-04-01,0,0,"b",0,0
"6611",2020-04-01,0,0,"b.1",0,0
"7114",2020-04-01,0,0,"b.1.1",0,0
"5961",2020-04-02,0,0,"b",0,0
"6612",2020-04-02,0,0,"b.1",0,0
"7115",2020-04-02,0,0,"b.1.1",0,0
"5962",2020-04-03,0,0,"b",0,0
"6613",2020-04-03,0,0,"b.1",0,0
"7116",2020-04-03,0,0,"b.1.1",0,0
"5963",2020-04-04,0,0,"b",0,0
"6614",2020-04-04,0,0,"b.1",0,0
"7117",2020-04-04,0,0,"b.1.1",0,0
"5964",2020-04-05,0,0,"b",0,0
"6615",2020-04-05,0,0,"b.1",0,0
"7118",2020-04-05,0,0,"b.1.1",0,0
"5965",2020-04-06,0,0,"b",0,0
"6616",2020-04-06,0,0,"b.1",0,0
"7119",2020-04-06,0,0,"b.1.1",0,0
"5966",2020-04-07,0,0,"b",0,0
"6617",2020-04-07,0,0,"b.1",0,0
"7120",2020-04-07,0,0,"b.1.1",0,0
"5967",2020-04-08,0,0,"b",0,0
"6618",2020-04-08,0,0,"b.1",0,0
"7121",2020-04-08,0,0,"b.1.1",0,0
"5968",2020-04-09,0,0,"b",0,0
"6619",2020-04-09,0,0,"b.1",0,0
"7122",2020-04-09,0,0,"b.1.1",0,0
"5969",2020-04-10,0,0,"b",0,0
"6620",2020-04-10,0,0,"b.1",0,0
"7123",2020-04-10,0,0,"b.1.1",0,0
"19491",2020-04-10,1,1,"other",1,1
"5970",2020-04-11,0,0,"b",0,0
"6621",2020-04-11,0,0,"b.1",0,0
"7124",2020-04-11,0,0,"b.1.1",0,0
"19492",2020-04-11,0,0,"other",0,1
"5971",2020-04-12,0,0,"b",0,0
"6622",2020-04-12,0,0,"b.1",0,0
"7125",2020-04-12,0,0,"b.1.1",0,0
"19493",2020-04-12,0,0,"other",0,1
"5972",2020-04-13,0,0,"b",0,0
"6623",2020-04-13,0,0,"b.1",0,0
"7126",2020-04-13,0,0,"b.1.1",0,0
"19494",2020-04-13,0,0,"other",0,1
"5973",2020-04-14,0,0,"b",0,0
"6624",2020-04-14,0,0,"b.1",0,0
"7127",2020-04-14,0,0,"b.1.1",0,0
"19495",2020-04-14,0,0,"other",0,1
"5974",2020-04-15,0,0,"b",0,0
"6625",2020-04-15,0,0,"b.1",0,0
"7128",2020-04-15,0,0,"b.1.1",0,0
"19496",2020-04-15,0,0,"other",0,1
"5975",2020-04-16,0,0,"b",0,0
"6626",2020-04-16,0,0,"b.1",0,0
"7129",2020-04-16,0,0,"b.1.1",0,0
"19497",2020-04-16,0,0,"other",0,1
"5976",2020-04-17,0,0,"b",0,0
"6627",2020-04-17,0,0,"b.1",0,0
"7130",2020-04-17,0,0,"b.1.1",0,0
"19498",2020-04-17,0,0,"other",0,0
"5977",2020-04-18,0,0,"b",0,0
"6628",2020-04-18,0,0,"b.1",0,0
"7131",2020-04-18,0,0,"b.1.1",0,0
"19499",2020-04-18,0,0,"other",0,0
"5978",2020-04-19,0,0,"b",0,0
"6629",2020-04-19,0,0,"b.1",0,0
"7132",2020-04-19,0,0,"b.1.1",0,0
"19500",2020-04-19,0,0,"other",0,0
"5979",2020-04-20,0,0,"b",0,0
"6630",2020-04-20,0,0,"b.1",0,0
"7133",2020-04-20,0,0,"b.1.1",0,0
"19501",2020-04-20,0,0,"other",0,0
"5980",2020-04-21,0,0,"b",0,0
"6631",2020-04-21,0,0,"b.1",0,0
"7134",2020-04-21,0,0,"b.1.1",0,0
"19502",2020-04-21,0,0,"other",0,0
"5981",2020-04-22,0,0,"b",0,0
"6632",2020-04-22,0,0,"b.1",0,0
"7135",2020-04-22,0,0,"b.1.1",0,0
"19503",2020-04-22,0,0,"other",0,0
"5982",2020-04-23,0,0,"b",0,0
"6633",2020-04-23,0,0,"b.1",0,0
"7136",2020-04-23,0,0,"b.1.1",0,0
"19504",2020-04-23,0,0,"other",0,0
"5983",2020-04-24,0,0,"b",0,0
"6634",2020-04-24,0,0,"b.1",0,0
"7137",2020-04-24,0,0,"b.1.1",0,0
"19505",2020-04-24,0,0,"other",0,0
"5984",2020-04-25,0,0,"b",0,0
"6635",2020-04-25,0,0,"b.1",0,0
"7138",2020-04-25,0,0,"b.1.1",0,0
"19506",2020-04-25,0,0,"other",0,0
"5985",2020-04-26,0,0,"b",0,0
"6636",2020-04-26,0,0,"b.1",0,0
"7139",2020-04-26,0,0,"b.1.1",0,0
"19507",2020-04-26,0,0,"other",0,0
"5986",2020-04-27,0,0,"b",0,0
"6637",2020-04-27,0,0,"b.1",0,0
"7140",2020-04-27,0,0,"b.1.1",0,0
"19508",2020-04-27,0,0,"other",0,0
"5987",2020-04-28,0,0,"b",0,0
"6638",2020-04-28,0,0,"b.1",0,0
"7141",2020-04-28,0,0,"b.1.1",0,0
"19509",2020-04-28,0,0,"other",0,0
"5988",2020-04-29,0,0,"b",0,0
"6639",2020-04-29,0,0,"b.1",0,0
"7142",2020-04-29,0,0,"b.1.1",0,0
"19510",2020-04-29,0,0,"other",0,0
"5989",2020-04-30,0,0,"b",0,0
"6640",2020-04-30,0,0,"b.1",0,0
"7143",2020-04-30,0,0,"b.1.1",0,0
"19511",2020-04-30,0,0,"other",0,0
"5990",2020-05-01,0,0,"b",0,0
"6641",2020-05-01,0,0,"b.1",0,0
"7144",2020-05-01,0,0,"b.1.1",0,0
"19512",2020-05-01,0,0,"other",0,0
"5991",2020-05-02,0,0,"b",0,0
"6642",2020-05-02,0,0,"b.1",0,0
"7145",2020-05-02,0,0,"b.1.1",0,0
"19513",2020-05-02,0,0,"other",0,0
"5992",2020-05-03,0,0,"b",0,0
"6643",2020-05-03,0,0,"b.1",0,0
"7146",2020-05-03,0,0,"b.1.1",0,0
"19514",2020-05-03,0,0,"other",0,0
"5993",2020-05-04,0,0,"b",0,0
"6644",2020-05-04,0,0,"b.1",0,0
"7147",2020-05-04,0,0,"b.1.1",0,0
"19515",2020-05-04,0,0,"other",0,0
"5994",2020-05-05,0,0,"b",0,0
"6645",2020-05-05,0,0,"b.1",0,0
"7148",2020-05-05,0,0,"b.1.1",0,0
"19516",2020-05-05,0,0,"other",0,0
"5995",2020-05-06,0,0,"b",0,0
"6646",2020-05-06,0,0,"b.1",0,0
"7149",2020-05-06,0,0,"b.1.1",0,0
"19517",2020-05-06,0,0,"other",0,0
"5996",2020-05-07,0,0,"b",0,0
"6647",2020-05-07,0,0,"b.1",0,0
"7150",2020-05-07,0,0,"b.1.1",0,0
"19518",2020-05-07,0,0,"other",0,0
"5997",2020-05-08,0,0,"b",0,0
"6648",2020-05-08,0,0,"b.1",0,0
"7151",2020-05-08,0,0,"b.1.1",0,0
"19519",2020-05-08,0,0,"other",0,0
"5998",2020-05-09,0,0,"b",0,0
"6649",2020-05-09,0,0,"b.1",0,0
"7152",2020-05-09,0,0,"b.1.1",0,0
"19520",2020-05-09,0,0,"other",0,0
"5999",2020-05-10,0,0,"b",0,0
"6650",2020-05-10,0,0,"b.1",0,0
"7153",2020-05-10,0,0,"b.1.1",0,0
"19521",2020-05-10,0,0,"other",0,0
"6000",2020-05-11,0,0,"b",0,0
"6651",2020-05-11,0,0,"b.1",0,0
"7154",2020-05-11,0,0,"b.1.1",0,0
"19522",2020-05-11,0,0,"other",0,0
"6001",2020-05-12,0,0,"b",0,0
"6652",2020-05-12,0,0,"b.1",0,0
"7155",2020-05-12,0,0,"b.1.1",0,0
"19523",2020-05-12,0,0,"other",0,0
"6002",2020-05-13,0,0,"b",0,0
"6653",2020-05-13,0,0,"b.1",0,0
"7156",2020-05-13,0,0,"b.1.1",0,0
"19524",2020-05-13,0,0,"other",0,0
"6003",2020-05-14,0,0,"b",0,0
"6654",2020-05-14,0,0,"b.1",0,0
"7157",2020-05-14,0,0,"b.1.1",0,0
"19525",2020-05-14,0,0,"other",0,0
"6004",2020-05-15,0,0,"b",0,0
"6655",2020-05-15,0,0,"b.1",0,0
"7158",2020-05-15,0,0,"b.1.1",0,0
"19526",2020-05-15,0,0,"other",0,0
"6005",2020-05-16,0,0,"b",0,0
"6656",2020-05-16,0,0,"b.1",0,0
"7159",2020-05-16,0,0,"b.1.1",0,0
"19527",2020-05-16,0,0,"other",0,0
"6006",2020-05-17,0,0,"b",0,0
"6657",2020-05-17,0,0,"b.1",0,0
"7160",2020-05-17,0,0,"b.1.1",0,0
"19528",2020-05-17,0,0,"other",0,0
"6007",2020-05-18,0,0,"b",0,0
"6658",2020-05-18,0,0,"b.1",0,0
"7161",2020-05-18,0,0,"b.1.1",0,0
"19529",2020-05-18,0,0,"other",0,0
"6008",2020-05-19,0,0,"b",0,0
"6659",2020-05-19,0,0,"b.1",0,0
"7162",2020-05-19,0,0,"b.1.1",0,0
"19530",2020-05-19,0,0,"other",0,0
"6009",2020-05-20,0,0,"b",0,0
"6660",2020-05-20,0,0,"b.1",0,0
"7163",2020-05-20,0,0,"b.1.1",0,0
"19531",2020-05-20,0,0,"other",0,0
"6010",2020-05-21,0,0,"b",0,0
"6661",2020-05-21,0,0,"b.1",0,0
"7164",2020-05-21,0,0,"b.1.1",0,0
"19532",2020-05-21,0,0,"other",0,0
"6011",2020-05-22,0,0,"b",0,0
"6662",2020-05-22,0,0,"b.1",0,0
"7165",2020-05-22,0,0,"b.1.1",0,0
"19533",2020-05-22,0,0,"other",0,0
"6012",2020-05-23,0,0,"b",0,0
"6663",2020-05-23,0,0,"b.1",0,0
"7166",2020-05-23,0,0,"b.1.1",0,0
"19534",2020-05-23,0,0,"other",0,0
"6013",2020-05-24,0,0,"b",0,0
"6664",2020-05-24,0,0,"b.1",0,0
"7167",2020-05-24,0,0,"b.1.1",0,0
"19535",2020-05-24,0,0,"other",0,0
"6014",2020-05-25,0,0,"b",0,0
"6665",2020-05-25,0,0,"b.1",0,0
"7168",2020-05-25,0,0,"b.1.1",0,0
"19536",2020-05-25,0,0,"other",0,0
"6015",2020-05-26,0,0,"b",0,0
"6666",2020-05-26,0,0,"b.1",0,0
"7169",2020-05-26,0,0,"b.1.1",0,0
"19537",2020-05-26,0,0,"other",0,0
"6016",2020-05-27,0,0,"b",0,0
"6667",2020-05-27,3,1,"b.1",0.333333333333333,0.333333333333333
"7170",2020-05-27,0,0,"b.1.1",0,0
"19538",2020-05-27,3,2,"other",0.666666666666667,0.666666666666667
"6017",2020-05-28,0,0,"b",0,0
"6668",2020-05-28,0,0,"b.1",0,0.333333333333333
"7171",2020-05-28,0,0,"b.1.1",0,0
"19539",2020-05-28,0,0,"other",0,0.666666666666667
"6018",2020-05-29,0,0,"b",0,0
"6669",2020-05-29,0,0,"b.1",0,0.333333333333333
"7172",2020-05-29,0,0,"b.1.1",0,0
"19540",2020-05-29,0,0,"other",0,0.666666666666667
"6019",2020-05-30,0,0,"b",0,0
"6670",2020-05-30,0,0,"b.1",0,0.333333333333333
"7173",2020-05-30,0,0,"b.1.1",0,0
"19541",2020-05-30,0,0,"other",0,0.666666666666667
"6020",2020-05-31,0,0,"b",0,0
"6671",2020-05-31,0,0,"b.1",0,0.333333333333333
"7174",2020-05-31,0,0,"b.1.1",0,0
"19542",2020-05-31,0,0,"other",0,0.666666666666667
"6021",2020-06-01,0,0,"b",0,0
"6672",2020-06-01,0,0,"b.1",0,0.333333333333333
"7175",2020-06-01,0,0,"b.1.1",0,0
"19543",2020-06-01,0,0,"other",0,0.666666666666667
"6022",2020-06-02,0,0,"b",0,0
"6673",2020-06-02,0,0,"b.1",0,0.333333333333333
"7176",2020-06-02,0,0,"b.1.1",0,0
"19544",2020-06-02,0,0,"other",0,0.666666666666667
"6023",2020-06-03,0,0,"b",0,0
"6674",2020-06-03,0,0,"b.1",0,0
"7177",2020-06-03,0,0,"b.1.1",0,0
"19545",2020-06-03,0,0,"other",0,0
"6024",2020-06-04,0,0,"b",0,0
"6675",2020-06-04,0,0,"b.1",0,0
"7178",2020-06-04,0,0,"b.1.1",0,0
"19546",2020-06-04,0,0,"other",0,0
"6025",2020-06-05,0,0,"b",0,0
"6676",2020-06-05,0,0,"b.1",0,0
"7179",2020-06-05,0,0,"b.1.1",0,0
"19547",2020-06-05,0,0,"other",0,0
"6026",2020-06-06,0,0,"b",0,0
"6677",2020-06-06,0,0,"b.1",0,0
"7180",2020-06-06,0,0,"b.1.1",0,0
"19548",2020-06-06,0,0,"other",0,0
"6027",2020-06-07,0,0,"b",0,0
"6678",2020-06-07,0,0,"b.1",0,0
"7181",2020-06-07,0,0,"b.1.1",0,0
"19549",2020-06-07,0,0,"other",0,0
"6028",2020-06-08,0,0,"b",0,0
"6679",2020-06-08,0,0,"b.1",0,0
"7182",2020-06-08,0,0,"b.1.1",0,0
"19550",2020-06-08,0,0,"other",0,0
"6029",2020-06-09,0,0,"b",0,0
"6680",2020-06-09,0,0,"b.1",0,0
"7183",2020-06-09,0,0,"b.1.1",0,0
"19551",2020-06-09,0,0,"other",0,0
"6030",2020-06-10,0,0,"b",0,0
"6681",2020-06-10,0,0,"b.1",0,0
"7184",2020-06-10,0,0,"b.1.1",0,0
"19552",2020-06-10,0,0,"other",0,0
"6031",2020-06-11,0,0,"b",0,0
"6682",2020-06-11,0,0,"b.1",0,0
"7185",2020-06-11,0,0,"b.1.1",0,0
"19553",2020-06-11,0,0,"other",0,0
"6032",2020-06-12,0,0,"b",0,0
"6683",2020-06-12,0,0,"b.1",0,0
"7186",2020-06-12,0,0,"b.1.1",0,0
"19554",2020-06-12,0,0,"other",0,0
"6033",2020-06-13,0,0,"b",0,0
"6684",2020-06-13,0,0,"b.1",0,0
"7187",2020-06-13,0,0,"b.1.1",0,0
"19555",2020-06-13,0,0,"other",0,0
"6034",2020-06-14,0,0,"b",0,0
"6685",2020-06-14,0,0,"b.1",0,0
"7188",2020-06-14,0,0,"b.1.1",0,0
"19556",2020-06-14,0,0,"other",0,0
"6035",2020-06-15,0,0,"b",0,0
"6686",2020-06-15,0,0,"b.1",0,0
"7189",2020-06-15,0,0,"b.1.1",0,0
"19557",2020-06-15,0,0,"other",0,0
"6036",2020-06-16,0,0,"b",0,0
"6687",2020-06-16,0,0,"b.1",0,0
"7190",2020-06-16,0,0,"b.1.1",0,0
"19558",2020-06-16,0,0,"other",0,0
"6037",2020-06-17,0,0,"b",0,0
"6688",2020-06-17,0,0,"b.1",0,0
"7191",2020-06-17,0,0,"b.1.1",0,0
"19559",2020-06-17,0,0,"other",0,0
"6038",2020-06-18,0,0,"b",0,0
"6689",2020-06-18,0,0,"b.1",0,0
"7192",2020-06-18,0,0,"b.1.1",0,0
"19560",2020-06-18,0,0,"other",0,0
"6039",2020-06-19,0,0,"b",0,0
"6690",2020-06-19,0,0,"b.1",0,0
"7193",2020-06-19,0,0,"b.1.1",0,0
"19561",2020-06-19,0,0,"other",0,0
"6040",2020-06-20,0,0,"b",0,0
"6691",2020-06-20,0,0,"b.1",0,0
"7194",2020-06-20,0,0,"b.1.1",0,0
"19562",2020-06-20,0,0,"other",0,0
"6041",2020-06-21,0,0,"b",0,0
"6692",2020-06-21,0,0,"b.1",0,0
"7195",2020-06-21,0,0,"b.1.1",0,0
"19563",2020-06-21,0,0,"other",0,0
"6042",2020-06-22,0,0,"b",0,0
"6693",2020-06-22,0,0,"b.1",0,0
"7196",2020-06-22,0,0,"b.1.1",0,0
"19564",2020-06-22,0,0,"other",0,0
"6043",2020-06-23,0,0,"b",0,0
"6694",2020-06-23,0,0,"b.1",0,0
"7197",2020-06-23,0,0,"b.1.1",0,0
"19565",2020-06-23,0,0,"other",0,0
"6044",2020-06-24,0,0,"b",0,0
"6695",2020-06-24,0,0,"b.1",0,0
"7198",2020-06-24,0,0,"b.1.1",0,0
"19566",2020-06-24,0,0,"other",0,0
"6045",2020-06-25,0,0,"b",0,0
"6696",2020-06-25,0,0,"b.1",0,0
"7199",2020-06-25,0,0,"b.1.1",0,0
"19567",2020-06-25,0,0,"other",0,0
"6046",2020-06-26,0,0,"b",0,0
"6697",2020-06-26,0,0,"b.1",0,0
"7200",2020-06-26,0,0,"b.1.1",0,0
"19568",2020-06-26,0,0,"other",0,0
"6047",2020-06-27,0,0,"b",0,0
"6698",2020-06-27,0,0,"b.1",0,0
"7201",2020-06-27,0,0,"b.1.1",0,0
"19569",2020-06-27,0,0,"other",0,0
"6048",2020-06-28,0,0,"b",0,0
"6699",2020-06-28,0,0,"b.1",0,0
"7202",2020-06-28,0,0,"b.1.1",0,0
"19570",2020-06-28,0,0,"other",0,0
"6049",2020-06-29,0,0,"b",0,0
"6700",2020-06-29,0,0,"b.1",0,0
"7203",2020-06-29,0,0,"b.1.1",0,0
"19571",2020-06-29,0,0,"other",0,0
"6050",2020-06-30,0,0,"b",0,0
"6701",2020-06-30,0,0,"b.1",0,0
"7204",2020-06-30,0,0,"b.1.1",0,0
"19572",2020-06-30,0,0,"other",0,0
"6051",2020-07-01,0,0,"b",0,0
"6702",2020-07-01,0,0,"b.1",0,0
"7205",2020-07-01,0,0,"b.1.1",0,0
"19573",2020-07-01,0,0,"other",0,0
"6052",2020-07-02,0,0,"b",0,0
"6703",2020-07-02,0,0,"b.1",0,0
"7206",2020-07-02,0,0,"b.1.1",0,0
"19574",2020-07-02,0,0,"other",0,0
"6053",2020-07-03,0,0,"b",0,0
"6704",2020-07-03,0,0,"b.1",0,0
"7207",2020-07-03,0,0,"b.1.1",0,0
"19575",2020-07-03,0,0,"other",0,0
"6054",2020-07-04,0,0,"b",0,0
"6705",2020-07-04,0,0,"b.1",0,0
"7208",2020-07-04,0,0,"b.1.1",0,0
"19576",2020-07-04,0,0,"other",0,0
"6055",2020-07-05,0,0,"b",0,0
"6706",2020-07-05,0,0,"b.1",0,0
"7209",2020-07-05,0,0,"b.1.1",0,0
"19577",2020-07-05,0,0,"other",0,0
"6056",2020-07-06,0,0,"b",0,0
"6707",2020-07-06,0,0,"b.1",0,0
"7210",2020-07-06,0,0,"b.1.1",0,0
"19578",2020-07-06,0,0,"other",0,0
"6057",2020-07-07,0,0,"b",0,0
"6708",2020-07-07,0,0,"b.1",0,0
"7211",2020-07-07,0,0,"b.1.1",0,0
"19579",2020-07-07,0,0,"other",0,0
"6058",2020-07-08,0,0,"b",0,0
"6709",2020-07-08,0,0,"b.1",0,0
"7212",2020-07-08,0,0,"b.1.1",0,0
"19580",2020-07-08,0,0,"other",0,0
"6059",2020-07-09,0,0,"b",0,0
"6710",2020-07-09,1,1,"b.1",1,1
"7213",2020-07-09,0,0,"b.1.1",0,0
"19581",2020-07-09,0,0,"other",0,0
"6060",2020-07-10,0,0,"b",0,0
"6711",2020-07-10,0,0,"b.1",0,1
"7214",2020-07-10,0,0,"b.1.1",0,0
"19582",2020-07-10,0,0,"other",0,0
"6061",2020-07-11,0,0,"b",0,0
"6712",2020-07-11,0,0,"b.1",0,1
"7215",2020-07-11,0,0,"b.1.1",0,0
"19583",2020-07-11,0,0,"other",0,0
"6062",2020-07-12,0,0,"b",0,0
"6713",2020-07-12,0,0,"b.1",0,1
"7216",2020-07-12,0,0,"b.1.1",0,0
"19584",2020-07-12,0,0,"other",0,0
"6063",2020-07-13,0,0,"b",0,0
"6714",2020-07-13,0,0,"b.1",0,1
"7217",2020-07-13,0,0,"b.1.1",0,0
"19585",2020-07-13,0,0,"other",0,0
"6064",2020-07-14,0,0,"b",0,0
"6715",2020-07-14,0,0,"b.1",0,1
"7218",2020-07-14,0,0,"b.1.1",0,0
"19586",2020-07-14,0,0,"other",0,0
"6065",2020-07-15,0,0,"b",0,0
"6716",2020-07-15,0,0,"b.1",0,1
"7219",2020-07-15,0,0,"b.1.1",0,0
"19587",2020-07-15,0,0,"other",0,0
"6066",2020-07-16,0,0,"b",0,0
"6717",2020-07-16,0,0,"b.1",0,0
"7220",2020-07-16,0,0,"b.1.1",0,0
"19588",2020-07-16,0,0,"other",0,0
"6067",2020-07-17,0,0,"b",0,0
"6718",2020-07-17,0,0,"b.1",0,0
"7221",2020-07-17,1,1,"b.1.1",1,1
"19589",2020-07-17,0,0,"other",0,0
"6068",2020-07-18,0,0,"b",0,0
"6719",2020-07-18,0,0,"b.1",0,0
"7222",2020-07-18,0,0,"b.1.1",0,1
"19590",2020-07-18,0,0,"other",0,0
"6069",2020-07-19,0,0,"b",0,0
"6720",2020-07-19,0,0,"b.1",0,0
"7223",2020-07-19,0,0,"b.1.1",0,1
"19591",2020-07-19,0,0,"other",0,0
"6070",2020-07-20,0,0,"b",0,0
"6721",2020-07-20,0,0,"b.1",0,0
"7224",2020-07-20,0,0,"b.1.1",0,1
"19592",2020-07-20,0,0,"other",0,0
"6071",2020-07-21,0,0,"b",0,0
"6722",2020-07-21,0,0,"b.1",0,0
"7225",2020-07-21,0,0,"b.1.1",0,1
"19593",2020-07-21,0,0,"other",0,0
"6072",2020-07-22,0,0,"b",0,0
"6723",2020-07-22,0,0,"b.1",0,0
"7226",2020-07-22,0,0,"b.1.1",0,0.5
"19594",2020-07-22,1,1,"other",1,0.5
"6073",2020-07-23,0,0,"b",0,0
"6724",2020-07-23,0,0,"b.1",0,0
"7227",2020-07-23,0,0,"b.1.1",0,0.5
"19595",2020-07-23,0,0,"other",0,0.5
"6074",2020-07-24,0,0,"b",0,0
"6725",2020-07-24,0,0,"b.1",0,0
"7228",2020-07-24,0,0,"b.1.1",0,0
"19596",2020-07-24,0,0,"other",0,1
"6075",2020-07-25,0,0,"b",0,0
"6726",2020-07-25,0,0,"b.1",0,0
"7229",2020-07-25,0,0,"b.1.1",0,0
"19597",2020-07-25,0,0,"other",0,1
"6076",2020-07-26,0,0,"b",0,0
"6727",2020-07-26,0,0,"b.1",0,0
"7230",2020-07-26,0,0,"b.1.1",0,0
"19598",2020-07-26,0,0,"other",0,1
"6077",2020-07-27,0,0,"b",0,0
"6728",2020-07-27,0,0,"b.1",0,0
"7231",2020-07-27,0,0,"b.1.1",0,0
"19599",2020-07-27,0,0,"other",0,1
"6078",2020-07-28,0,0,"b",0,0
"6729",2020-07-28,0,0,"b.1",0,0
