"","X","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling","term"
"1",5340,"2020-02-28",1,1,"b.1",1,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"2",5341,"2020-02-29",0,0,"b.1",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"3",5342,"2020-03-01",1,1,"b.1",1,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"4",5343,"2020-03-02",0,0,"b.1",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"5",5344,"2020-03-03",0,0,"b.1",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"6",5345,"2020-03-04",0,0,"b.1",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"7",5346,"2020-03-05",1,1,"b.1",1,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"8",5347,"2020-03-06",0,0,"b.1",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"9",5348,"2020-03-07",0,0,"b.1",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"10",5349,"2020-03-08",0,0,"b.1",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"11",5350,"2020-03-09",3,3,"b.1",1,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"12",5351,"2020-03-10",0,0,"b.1",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"13",5352,"2020-03-11",0,0,"b.1",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"14",5353,"2020-03-12",0,0,"b.1",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"15",5354,"2020-03-13",0,0,"b.1",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"16",5355,"2020-03-14",0,0,"b.1",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"17",5356,"2020-03-15",0,0,"b.1",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
