"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"5340",2020-02-28,1,1,"b.1",1,1
"5341",2020-02-29,0,0,"b.1",0,1
"5342",2020-03-01,1,1,"b.1",1,1
"5343",2020-03-02,0,0,"b.1",0,1
"5344",2020-03-03,0,0,"b.1",0,1
"5345",2020-03-04,0,0,"b.1",0,1
"5346",2020-03-05,1,1,"b.1",1,1
"5347",2020-03-06,0,0,"b.1",0,1
"5348",2020-03-07,0,0,"b.1",0,1
"5349",2020-03-08,0,0,"b.1",0,1
"5350",2020-03-09,3,3,"b.1",1,1
"5351",2020-03-10,0,0,"b.1",0,1
"5352",2020-03-11,0,0,"b.1",0,1
"5353",2020-03-12,0,0,"b.1",0,1
"5354",2020-03-13,0,0,"b.1",0,1
"5355",2020-03-14,0,0,"b.1",0,1
"5356",2020-03-15,0,0,"b.1",0,1
"5357",2020-03-16,0,0,"b.1",0,0
"5358",2020-03-17,0,0,"b.1",0,0
"5359",2020-03-18,0,0,"b.1",0,0
"5360",2020-03-19,0,0,"b.1",0,0
"5361",2020-03-20,0,0,"b.1",0,0
"5362",2020-03-21,0,0,"b.1",0,0
"5363",2020-03-22,0,0,"b.1",0,0
"5364",2020-03-23,0,0,"b.1",0,0
"5365",2020-03-24,0,0,"b.1",0,0
"5366",2020-03-25,0,0,"b.1",0,0
"5367",2020-03-26,0,0,"b.1",0,0
"5368",2020-03-27,1,1,"b.1",1,1
"5369",2020-03-28,3,3,"b.1",1,1
"5370",2020-03-29,29,29,"b.1",1,1
"5371",2020-03-30,27,27,"b.1",1,1
"5372",2020-03-31,16,13,"b.1",0.8125,0.776595744680851
"20815",2020-03-31,16,3,"other",0.1875,0.223404255319149
"5373",2020-04-01,7,6,"b.1",0.857142857142857,0.849462365591398
"20816",2020-04-01,7,1,"other",0.142857142857143,0.150537634408602
"5374",2020-04-02,12,11,"b.1",0.916666666666667,0.885245901639344
"20817",2020-04-02,12,1,"other",0.0833333333333333,0.114754098360656
"5375",2020-04-03,15,11,"b.1",0.733333333333333,0.863930885529158
"20818",2020-04-03,15,4,"other",0.266666666666667,0.136069114470842
"5376",2020-04-04,2,1,"b.1",0.5,0.875
"20819",2020-04-04,2,1,"other",0.5,0.125
"5377",2020-04-05,0,0,"b.1",0,0.855371900826446
"20820",2020-04-05,0,0,"other",0,0.144628099173554
"5378",2020-04-06,0,0,"b.1",0,0.807692307692308
"20821",2020-04-06,0,0,"other",0,0.192307692307692
"5379",2020-04-07,5,3,"b.1",0.6,0.780487804878049
"20822",2020-04-07,5,2,"other",0.4,0.219512195121951
"5380",2020-04-08,2,2,"b.1",1,0.777777777777778
"20823",2020-04-08,0,0,"other",0,0.222222222222222
"5381",2020-04-09,7,7,"b.1",1,0.774193548387097
"20824",2020-04-09,0,0,"other",0,0.225806451612903
"5382",2020-04-10,22,22,"b.1",1,0.921052631578947
"20825",2020-04-10,0,0,"other",0,0.0789473684210526
"5383",2020-04-11,8,8,"b.1",1,0.954545454545455
"20826",2020-04-11,0,0,"other",0,0.0454545454545455
"5384",2020-04-12,5,5,"b.1",1,0.959183673469388
"20827",2020-04-12,0,0,"other",0,0.0408163265306122
"5385",2020-04-13,17,15,"b.1",0.882352941176471,0.861111111111111
"5999",2020-04-13,17,1,"b.1.1",0.0588235294117647,0.0972222222222222
"20828",2020-04-13,17,1,"other",0.0588235294117647,0.0416666666666667
"5386",2020-04-14,22,22,"b.1",1,0.947368421052632
"6000",2020-04-14,0,0,"b.1.1",0,0.0409356725146199
"20829",2020-04-14,0,0,"other",0,0.0116959064327485
"5387",2020-04-15,3,3,"b.1",1,0.9609375
"6001",2020-04-15,0,0,"b.1.1",0,0.02734375
"20830",2020-04-15,0,0,"other",0,0.01171875
"5388",2020-04-16,0,0,"b.1",0,0.964630225080386
