"","X","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling","term"
"1",4994,"2020-01-05",1,1,"ba.1",1,1,"Omicron"
"2",4995,"2020-01-06",0,0,"ba.1",0,1,"Omicron"
"3",4996,"2020-01-07",0,0,"ba.1",0,1,"Omicron"
"4",4997,"2020-01-08",0,0,"ba.1",0,1,"Omicron"
"5",4998,"2020-01-09",0,0,"ba.1",0,1,"Omicron"
"6",4999,"2020-01-10",0,0,"ba.1",0,1,"Omicron"
"7",5000,"2020-01-11",0,0,"ba.1",0,1,"Omicron"
"8",5001,"2020-01-12",0,0,"ba.1",0,0,"Omicron"
"9",5002,"2020-01-13",0,0,"ba.1",0,0,"Omicron"
"10",5003,"2020-01-14",0,0,"ba.1",0,0,"Omicron"
"11",5004,"2020-01-15",0,0,"ba.1",0,0,"Omicron"
"12",5005,"2020-01-16",0,0,"ba.1",0,0,"Omicron"
"13",5006,"2020-01-17",0,0,"ba.1",0,0,"Omicron"
"14",5007,"2020-01-18",0,0,"ba.1",0,0,"Omicron"
"15",5008,"2020-01-19",0,0,"ba.1",0,0,"Omicron"
"16",5009,"2020-01-20",0,0,"ba.1",0,0,"Omicron"
"17",5010,"2020-01-21",0,0,"ba.1",0,0,"Omicron"
"18",5011,"2020-01-22",0,0,"ba.1",0,0,"Omicron"
"19",5012,"2020-01-23",0,0,"ba.1",0,0,"Omicron"
"20",5013,"2020-01-24",0,0,"ba.1",0,0,"Omicron"
"21",5014,"2020-01-25",0,0,"ba.1",0,0,"Omicron"
"22",5015,"2020-01-26",0,0,"ba.1",0,0,"Omicron"
"23",5016,"2020-01-27",0,0,"ba.1",0,0,"Omicron"
"24",5017,"2020-01-28",0,0,"ba.1",0,0,"Omicron"
"25",5018,"2020-01-29",0,0,"ba.1",0,0,"Omicron"
"26",5019,"2020-01-30",0,0,"ba.1",0,0,"Omicron"
"27",5020,"2020-01-31",0,0,"ba.1",0,0,"Omicron"
"28",5021,"2020-02-01",0,0,"ba.1",0,0,"Omicron"
"29",5022,"2020-02-02",0,0,"ba.1",0,0,"Omicron"
"30",5023,"2020-02-03",0,0,"ba.1",0,0,"Omicron"
"31",5024,"2020-02-04",0,0,"ba.1",0,0,"Omicron"
