"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"4994",2020-01-05,1,1,"ba.1",1,1
"4995",2020-01-06,0,0,"ba.1",0,1
"4996",2020-01-07,0,0,"ba.1",0,1
"4997",2020-01-08,0,0,"ba.1",0,1
"4998",2020-01-09,0,0,"ba.1",0,1
"4999",2020-01-10,0,0,"ba.1",0,1
"5000",2020-01-11,0,0,"ba.1",0,1
"5001",2020-01-12,0,0,"ba.1",0,0
"5002",2020-01-13,0,0,"ba.1",0,0
"5003",2020-01-14,0,0,"ba.1",0,0
"5004",2020-01-15,0,0,"ba.1",0,0
"5005",2020-01-16,0,0,"ba.1",0,0
"5006",2020-01-17,0,0,"ba.1",0,0
"5007",2020-01-18,0,0,"ba.1",0,0
"5008",2020-01-19,0,0,"ba.1",0,0
"5009",2020-01-20,0,0,"ba.1",0,0
"5010",2020-01-21,0,0,"ba.1",0,0
"5011",2020-01-22,0,0,"ba.1",0,0
"5012",2020-01-23,0,0,"ba.1",0,0
"5013",2020-01-24,0,0,"ba.1",0,0
"5014",2020-01-25,0,0,"ba.1",0,0
"5015",2020-01-26,0,0,"ba.1",0,0
"5016",2020-01-27,0,0,"ba.1",0,0
"5017",2020-01-28,0,0,"ba.1",0,0
"5018",2020-01-29,0,0,"ba.1",0,0
"5019",2020-01-30,0,0,"ba.1",0,0
"5020",2020-01-31,0,0,"ba.1",0,0
"5021",2020-02-01,0,0,"ba.1",0,0
"5022",2020-02-02,0,0,"ba.1",0,0
"5023",2020-02-03,0,0,"ba.1",0,0
"5024",2020-02-04,0,0,"ba.1",0,0
"5025",2020-02-05,0,0,"ba.1",0,0
"5026",2020-02-06,0,0,"ba.1",0,0
"5027",2020-02-07,0,0,"ba.1",0,0
"5028",2020-02-08,0,0,"ba.1",0,0
"5029",2020-02-09,0,0,"ba.1",0,0
"5030",2020-02-10,0,0,"ba.1",0,0
"5031",2020-02-11,0,0,"ba.1",0,0
"5032",2020-02-12,0,0,"ba.1",0,0
"5033",2020-02-13,0,0,"ba.1",0,0
"5034",2020-02-14,0,0,"ba.1",0,0
"5035",2020-02-15,0,0,"ba.1",0,0
"5036",2020-02-16,0,0,"ba.1",0,0
"5037",2020-02-17,0,0,"ba.1",0,0
"5038",2020-02-18,0,0,"ba.1",0,0
"5039",2020-02-19,0,0,"ba.1",0,0
"5040",2020-02-20,0,0,"ba.1",0,0
"5041",2020-02-21,0,0,"ba.1",0,0
"5042",2020-02-22,0,0,"ba.1",0,0
"5043",2020-02-23,0,0,"ba.1",0,0
"5044",2020-02-24,0,0,"ba.1",0,0
