"","X","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling","term"
"1",7175,"2020-01-31",1,1,"b",1,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"2",7176,"2020-02-01",0,0,"b",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"3",7177,"2020-02-02",0,0,"b",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"4",7178,"2020-02-03",0,0,"b",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"5",7179,"2020-02-04",0,0,"b",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"6",7180,"2020-02-05",0,0,"b",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"7",7181,"2020-02-06",0,0,"b",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"8",7182,"2020-02-07",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"9",7183,"2020-02-08",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"10",7184,"2020-02-09",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"11",7185,"2020-02-10",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"12",7186,"2020-02-11",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"13",7187,"2020-02-12",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"14",7188,"2020-02-13",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"15",7189,"2020-02-14",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"16",7190,"2020-02-15",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"17",7191,"2020-02-16",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"18",7192,"2020-02-17",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"19",7193,"2020-02-18",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"20",7194,"2020-02-19",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"21",7195,"2020-02-20",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"22",7196,"2020-02-21",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"23",7197,"2020-02-22",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"24",7198,"2020-02-23",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"25",7199,"2020-02-24",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"26",7200,"2020-02-25",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"27",7201,"2020-02-26",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"28",7202,"2020-02-27",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"29",7203,"2020-02-28",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"30",7204,"2020-02-29",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"31",7205,"2020-03-01",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"32",7206,"2020-03-02",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"33",7207,"2020-03-03",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"34",7208,"2020-03-04",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"35",7209,"2020-03-05",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"36",7210,"2020-03-06",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"37",7211,"2020-03-07",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"38",7212,"2020-03-08",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"39",7213,"2020-03-09",1,1,"b",1,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"40",7214,"2020-03-10",0,0,"b",0,1,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"41",7215,"2020-03-11",0,0,"b",0,0.125,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"42",8406,"2020-03-11",1,1,"b.1",1,0.875,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"43",7216,"2020-03-12",7,1,"b",0.142857142857143,0.0754716981132075,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"44",8407,"2020-03-12",7,6,"b.1",0.857142857142857,0.924528301886792,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"45",7217,"2020-03-13",0,0,"b",0,0.0375,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"46",8408,"2020-03-13",9,6,"b.1",0.666666666666667,0.56875,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"47",39129,"2020-03-13",9,3,"other",0.333333333333333,0.39375,NA
"48",7218,"2020-03-14",5,1,"b",0.2,0.0618556701030928,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"49",8409,"2020-03-14",5,3,"b.1",0.6,0.577319587628866,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"50",9333,"2020-03-14",5,1,"b.1.1",0.2,0.144329896907216,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"51",39130,"2020-03-14",0,0,"other",0,0.216494845360825,NA
"52",7219,"2020-03-15",16,3,"b",0.1875,0.090955027791814,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"53",8410,"2020-03-15",16,6,"b.1",0.375,0.466902475997979,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"54",9334,"2020-03-15",16,2,"b.1.1",0.125,0.159171298635675,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"55",39131,"2020-03-15",16,5,"other",0.3125,0.282971197574533,NA
"56",7220,"2020-03-16",22,4,"b",0.181818181818182,0.109867751780265,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"57",8411,"2020-03-16",22,11,"b.1",0.5,0.46998982706002,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"58",9335,"2020-03-16",22,2,"b.1.1",0.0909090909090909,0.142421159715158,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"59",39132,"2020-03-16",22,5,"other",0.227272727272727,0.277721261444557,NA
"60",7221,"2020-03-17",14,3,"b",0.214285714285714,0.14002333722287,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"61",8412,"2020-03-17",14,5,"b.1",0.357142857142857,0.44340723453909,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"62",9336,"2020-03-17",14,1,"b.1.1",0.0714285714285714,0.122520420070012,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"63",39133,"2020-03-17",14,5,"other",0.357142857142857,0.294049008168028,NA
"64",7222,"2020-03-18",21,3,"b",0.142857142857143,0.148662041625372,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"65",8413,"2020-03-18",21,9,"b.1",0.428571428571429,0.45589692765114,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"66",9337,"2020-03-18",0,0,"b.1.1",0,0.0832507433102081,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"67",39134,"2020-03-18",21,9,"other",0.428571428571429,0.312190287413281,NA
"68",7223,"2020-03-19",32,9,"b",0.28125,0.191400832177531,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"69",8414,"2020-03-19",32,8,"b.1",0.25,0.399445214979196,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"70",9338,"2020-03-19",32,1,"b.1.1",0.03125,0.0679611650485437,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"71",39135,"2020-03-19",32,14,"other",0.4375,0.34119278779473,NA
"72",7224,"2020-03-20",16,6,"b",0.375,0.23015873015873,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"73",8415,"2020-03-20",16,5,"b.1",0.3125,0.373015873015873,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"74",9339,"2020-03-20",0,0,"b.1.1",0,0.0555555555555556,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"75",39136,"2020-03-20",16,5,"other",0.3125,0.341269841269841,NA
"76",7225,"2020-03-21",13,3,"b",0.230769230769231,0.23134328358209,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"77",8416,"2020-03-21",13,3,"b.1",0.230769230769231,0.350746268656716,"XBB.1.16* [Omicron (XBB.1.16.X)]"
