"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"7175",2020-01-31,1,1,"b",1,1
"7176",2020-02-01,0,0,"b",0,1
"7177",2020-02-02,0,0,"b",0,1
"7178",2020-02-03,0,0,"b",0,1
"7179",2020-02-04,0,0,"b",0,1
"7180",2020-02-05,0,0,"b",0,1
"7181",2020-02-06,0,0,"b",0,1
"7182",2020-02-07,0,0,"b",0,0
"7183",2020-02-08,0,0,"b",0,0
"7184",2020-02-09,0,0,"b",0,0
"7185",2020-02-10,0,0,"b",0,0
"7186",2020-02-11,0,0,"b",0,0
"7187",2020-02-12,0,0,"b",0,0
"7188",2020-02-13,0,0,"b",0,0
"7189",2020-02-14,0,0,"b",0,0
"7190",2020-02-15,0,0,"b",0,0
"7191",2020-02-16,0,0,"b",0,0
"7192",2020-02-17,0,0,"b",0,0
"7193",2020-02-18,0,0,"b",0,0
"7194",2020-02-19,0,0,"b",0,0
"7195",2020-02-20,0,0,"b",0,0
"7196",2020-02-21,0,0,"b",0,0
"7197",2020-02-22,0,0,"b",0,0
"7198",2020-02-23,0,0,"b",0,0
"7199",2020-02-24,0,0,"b",0,0
"7200",2020-02-25,0,0,"b",0,0
"7201",2020-02-26,0,0,"b",0,0
"7202",2020-02-27,0,0,"b",0,0
"7203",2020-02-28,0,0,"b",0,0
"7204",2020-02-29,0,0,"b",0,0
"7205",2020-03-01,0,0,"b",0,0
"7206",2020-03-02,0,0,"b",0,0
"7207",2020-03-03,0,0,"b",0,0
"7208",2020-03-04,0,0,"b",0,0
"7209",2020-03-05,0,0,"b",0,0
"7210",2020-03-06,0,0,"b",0,0
"7211",2020-03-07,0,0,"b",0,0
"7212",2020-03-08,0,0,"b",0,0
"7213",2020-03-09,1,1,"b",1,1
"7214",2020-03-10,0,0,"b",0,1
"7215",2020-03-11,0,0,"b",0,0.125
"8406",2020-03-11,1,1,"b.1",1,0.875
"7216",2020-03-12,7,1,"b",0.142857142857143,0.0754716981132075
"8407",2020-03-12,7,6,"b.1",0.857142857142857,0.924528301886792
"7217",2020-03-13,0,0,"b",0,0.0375
"8408",2020-03-13,9,6,"b.1",0.666666666666667,0.56875
"41195",2020-03-13,9,3,"other",0.333333333333333,0.39375
"7218",2020-03-14,5,1,"b",0.2,0.0618556701030928
"8409",2020-03-14,5,3,"b.1",0.6,0.577319587628866
"9333",2020-03-14,5,1,"b.1.1",0.2,0.144329896907216
"41196",2020-03-14,0,0,"other",0,0.216494845360825
"7219",2020-03-15,16,3,"b",0.1875,0.090955027791814
"8410",2020-03-15,16,6,"b.1",0.375,0.466902475997979
"9334",2020-03-15,16,2,"b.1.1",0.125,0.159171298635675
"41197",2020-03-15,16,5,"other",0.3125,0.282971197574533
"7220",2020-03-16,22,4,"b",0.181818181818182,0.109867751780265
"8411",2020-03-16,22,11,"b.1",0.5,0.46998982706002
"9335",2020-03-16,22,2,"b.1.1",0.0909090909090909,0.142421159715158
"41198",2020-03-16,22,5,"other",0.227272727272727,0.277721261444557
"7221",2020-03-17,14,3,"b",0.214285714285714,0.14002333722287
"8412",2020-03-17,14,5,"b.1",0.357142857142857,0.44340723453909
"9336",2020-03-17,14,1,"b.1.1",0.0714285714285714,0.122520420070012
"41199",2020-03-17,14,5,"other",0.357142857142857,0.294049008168028
"7222",2020-03-18,21,3,"b",0.142857142857143,0.148662041625372
"8413",2020-03-18,21,9,"b.1",0.428571428571429,0.45589692765114
"9337",2020-03-18,0,0,"b.1.1",0,0.0832507433102081
"41200",2020-03-18,21,9,"other",0.428571428571429,0.312190287413281
"7223",2020-03-19,32,9,"b",0.28125,0.191400832177531
"8414",2020-03-19,32,8,"b.1",0.25,0.399445214979196
"9338",2020-03-19,32,1,"b.1.1",0.03125,0.0679611650485437
"41201",2020-03-19,32,14,"other",0.4375,0.34119278779473
"7224",2020-03-20,16,6,"b",0.375,0.23015873015873
"8415",2020-03-20,16,5,"b.1",0.3125,0.373015873015873
"9339",2020-03-20,0,0,"b.1.1",0,0.0555555555555556
"41202",2020-03-20,16,5,"other",0.3125,0.341269841269841
"7225",2020-03-21,13,3,"b",0.230769230769231,0.23134328358209
"8416",2020-03-21,13,3,"b.1",0.230769230769231,0.350746268656716
"9340",2020-03-21,13,1,"b.1.1",0.0769230769230769,0.0522388059701493
"41203",2020-03-21,13,6,"other",0.461538461538462,0.365671641791045
"7226",2020-03-22,20,4,"b",0.2,0.231884057971014
"8417",2020-03-22,20,9,"b.1",0.45,0.36231884057971
"9341",2020-03-22,0,0,"b.1.1",0,0.036231884057971
"41204",2020-03-22,20,7,"other",0.35,0.369565217391304
"7227",2020-03-23,31,8,"b",0.258064516129032,0.244897959183673
"8418",2020-03-23,31,8,"b.1",0.258064516129032,0.319727891156463
"9342",2020-03-23,0,0,"b.1.1",0,0.0204081632653061
"41205",2020-03-23,31,15,"other",0.483870967741935,0.414965986394558
"7228",2020-03-24,46,9,"b",0.195652173913043,0.23463687150838
"8419",2020-03-24,46,21,"b.1",0.456521739130435,0.35195530726257
