"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"10628",2020-03-03,1,1,"b.1",1,1
"10629",2020-03-04,0,0,"b.1",0,1
"10630",2020-03-05,2,2,"b.1",1,1
"10631",2020-03-06,1,1,"b.1",1,1
"10632",2020-03-07,3,3,"b.1",1,1
"10633",2020-03-08,3,3,"b.1",1,1
"10634",2020-03-09,1,1,"b.1",1,1
"10635",2020-03-10,0,0,"b.1",0,1
"10636",2020-03-11,1,1,"b.1",1,1
"10637",2020-03-12,2,1,"b.1",0.5,0.588235294117647
"44645",2020-03-12,2,1,"other",0.5,0.411764705882353
"10638",2020-03-13,3,2,"b.1",0.666666666666667,0.611111111111111
"44646",2020-03-13,3,1,"other",0.333333333333333,0.388888888888889
"10639",2020-03-14,4,2,"b.1",0.5,0.517241379310345
"44647",2020-03-14,4,2,"other",0.5,0.482758620689655
"10640",2020-03-15,43,37,"b.1",0.86046511627907,0.56957928802589
"11259",2020-03-15,43,3,"b.1.1",0.0697674418604651,0.271844660194175
"44648",2020-03-15,43,3,"other",0.0697674418604651,0.158576051779935
"10641",2020-03-16,3,2,"b.1",0.666666666666667,0.65406976744186
"11260",2020-03-16,3,1,"b.1.1",0.333333333333333,0.203488372093023
"44649",2020-03-16,0,0,"other",0,0.142441860465116
"10642",2020-03-17,1,1,"b.1",1,0.724409448818898
"11261",2020-03-17,0,0,"b.1.1",0,0.146981627296588
"44650",2020-03-17,0,0,"other",0,0.128608923884514
"10643",2020-03-18,4,2,"b.1",0.5,0.728682170542636
"11262",2020-03-18,4,2,"b.1.1",0.5,0.162790697674419
"44651",2020-03-18,0,0,"other",0,0.108527131782946
"10644",2020-03-19,2,1,"b.1",0.5,0.748407643312102
"11263",2020-03-19,2,1,"b.1.1",0.5,0.156050955414013
"44652",2020-03-19,0,0,"other",0,0.0955414012738853
"10645",2020-03-20,0,0,"b.1",0,0.773638968481375
"11264",2020-03-20,0,0,"b.1.1",0,0.140401146131805
"44653",2020-03-20,0,0,"other",0,0.0859598853868195
"10646",2020-03-21,0,0,"b.1",0,0.811320754716981
"11265",2020-03-21,0,0,"b.1.1",0,0.132075471698113
"44654",2020-03-21,0,0,"other",0,0.0566037735849057
"10647",2020-03-22,0,0,"b.1",0,0.6
"11266",2020-03-22,0,0,"b.1.1",0,0.4
"44655",2020-03-22,0,0,"other",0,0
"10648",2020-03-23,9,6,"b.1",0.666666666666667,0.625
"11267",2020-03-23,0,0,"b.1.1",0,0.1875
"44656",2020-03-23,9,3,"other",0.333333333333333,0.1875
"10649",2020-03-24,5,5,"b.1",1,0.7
"11268",2020-03-24,0,0,"b.1.1",0,0.15
"44657",2020-03-24,0,0,"other",0,0.15
"10650",2020-03-25,11,9,"b.1",0.818181818181818,0.777777777777778
"11269",2020-03-25,11,1,"b.1.1",0.0909090909090909,0.0740740740740741
"44658",2020-03-25,11,1,"other",0.0909090909090909,0.148148148148148
"10651",2020-03-26,15,12,"b.1",0.8,0.8
"11270",2020-03-26,15,2,"b.1.1",0.133333333333333,0.075
"44659",2020-03-26,15,1,"other",0.0666666666666667,0.125
"10652",2020-03-27,9,5,"b.1",0.555555555555556,0.755102040816326
"11271",2020-03-27,9,1,"b.1.1",0.111111111111111,0.0816326530612245
"44660",2020-03-27,9,3,"other",0.333333333333333,0.163265306122449
"10653",2020-03-28,4,4,"b.1",1,0.773584905660377
"11272",2020-03-28,0,0,"b.1.1",0,0.0754716981132075
"44661",2020-03-28,0,0,"other",0,0.150943396226415
"10654",2020-03-29,0,0,"b.1",0,0.745454545454545
"11273",2020-03-29,0,0,"b.1.1",0,0.0727272727272727
"44662",2020-03-29,2,2,"other",1,0.181818181818182
"10655",2020-03-30,16,12,"b.1",0.75,0.758064516129032
"11274",2020-03-30,0,0,"b.1.1",0,0.0645161290322581
"44663",2020-03-30,16,4,"other",0.25,0.17741935483871
"10656",2020-03-31,19,6,"b.1",0.315789473684211,0.631578947368421
"11275",2020-03-31,19,4,"b.1.1",0.210526315789474,0.105263157894737
"44664",2020-03-31,19,9,"other",0.473684210526316,0.263157894736842
"10657",2020-04-01,8,6,"b.1",0.75,0.616438356164384
"11276",2020-04-01,8,2,"b.1.1",0.25,0.123287671232877
"44665",2020-04-01,0,0,"other",0,0.26027397260274
"10658",2020-04-02,8,5,"b.1",0.625,0.575757575757576
"11277",2020-04-02,0,0,"b.1.1",0,0.106060606060606
"44666",2020-04-02,8,3,"other",0.375,0.318181818181818
"10659",2020-04-03,0,0,"b.1",0,0.578947368421053
"11278",2020-04-03,0,0,"b.1.1",0,0.105263157894737
"44667",2020-04-03,0,0,"other",0,0.315789473684211
"10660",2020-04-04,3,1,"b.1",0.333333333333333,0.535714285714286
"11279",2020-04-04,0,0,"b.1.1",0,0.107142857142857
"44668",2020-04-04,3,2,"other",0.666666666666667,0.357142857142857
"10661",2020-04-05,4,2,"b.1",0.5,0.551724137931034
"11280",2020-04-05,0,0,"b.1.1",0,0.103448275862069
"44669",2020-04-05,4,2,"other",0.5,0.344827586206897
"10662",2020-04-06,2,2,"b.1",1,0.5
"11281",2020-04-06,0,0,"b.1.1",0,0.136363636363636
"44670",2020-04-06,0,0,"other",0,0.363636363636364
"10663",2020-04-07,8,5,"b.1",0.625,0.636363636363636
"11282",2020-04-07,0,0,"b.1.1",0,0.0606060606060606
"44671",2020-04-07,8,3,"other",0.375,0.303030303030303
"10664",2020-04-08,14,11,"b.1",0.785714285714286,0.666666666666667
"11283",2020-04-08,0,0,"b.1.1",0,0
"44672",2020-04-08,14,3,"other",0.214285714285714,0.333333333333333
"10665",2020-04-09,2,2,"b.1",1,0.696969696969697
"11284",2020-04-09,0,0,"b.1.1",0,0
"44673",2020-04-09,0,0,"other",0,0.303030303030303
"10666",2020-04-10,3,3,"b.1",1,0.722222222222222
"11285",2020-04-10,0,0,"b.1.1",0,0
"44674",2020-04-10,0,0,"other",0,0.277777777777778
"10667",2020-04-11,5,5,"b.1",1,0.789473684210526
"11286",2020-04-11,0,0,"b.1.1",0,0
"44675",2020-04-11,0,0,"other",0,0.210526315789474
"10668",2020-04-12,6,3,"b.1",0.5,0.775
"11287",2020-04-12,0,0,"b.1.1",0,0
"44676",2020-04-12,6,3,"other",0.5,0.225
"10669",2020-04-13,13,10,"b.1",0.769230769230769,0.764705882352941
"11288",2020-04-13,0,0,"b.1.1",0,0
"44677",2020-04-13,13,3,"other",0.230769230769231,0.235294117647059
"10670",2020-04-14,3,3,"b.1",1,0.804347826086957
"11289",2020-04-14,0,0,"b.1.1",0,0
"44678",2020-04-14,0,0,"other",0,0.195652173913043
"10671",2020-04-15,7,2,"b.1",0.285714285714286,0.622222222222222
"11290",2020-04-15,0,0,"b.1.1",0,0
"15556",2020-04-15,7,1,"b.1.369",0.142857142857143,0.155555555555556
"44679",2020-04-15,7,4,"other",0.571428571428571,0.222222222222222
"10672",2020-04-16,5,3,"b.1",0.6,0.651685393258427
"11291",2020-04-16,0,0,"b.1.1",0,0
"15557",2020-04-16,0,0,"b.1.369",0,0.0786516853932584
"44680",2020-04-16,5,2,"other",0.4,0.269662921348315
"10673",2020-04-17,9,6,"b.1",0.666666666666667,0.648648648648649
"11292",2020-04-17,0,0,"b.1.1",0,0
"15558",2020-04-17,0,0,"b.1.369",0,0.0472972972972973
"44681",2020-04-17,9,3,"other",0.333333333333333,0.304054054054054
"10674",2020-04-18,4,4,"b.1",1,0.649214659685864
"11293",2020-04-18,0,0,"b.1.1",0,0
"15559",2020-04-18,0,0,"b.1.369",0,0.0366492146596859
"44682",2020-04-18,0,0,"other",0,0.31413612565445
"10675",2020-04-19,3,3,"b.1",1,0.698198198198198
"11294",2020-04-19,0,0,"b.1.1",0,0
"15560",2020-04-19,0,0,"b.1.369",0,0.0315315315315315
"44683",2020-04-19,0,0,"other",0,0.27027027027027
"10676",2020-04-20,2,2,"b.1",1,0.693467336683417
"11295",2020-04-20,0,0,"b.1.1",0,0
"15561",2020-04-20,0,0,"b.1.369",0,0.0351758793969849
"44684",2020-04-20,0,0,"other",0,0.271356783919598
"10677",2020-04-21,3,3,"b.1",1,0.696969696969697
"11296",2020-04-21,0,0,"b.1.1",0,0
"15562",2020-04-21,0,0,"b.1.369",0,0.0303030303030303
"44685",2020-04-21,0,0,"other",0,0.272727272727273
"10678",2020-04-22,7,6,"b.1",0.857142857142857,0.692307692307692
"11297",2020-04-22,0,0,"b.1.1",0,0
"14781",2020-04-22,7,1,"b.1.311",0.142857142857143,0.179487179487179
"15563",2020-04-22,0,0,"b.1.369",0,0
"44686",2020-04-22,0,0,"other",0,0.128205128205128
"10679",2020-04-23,5,3,"b.1",0.6,0.76056338028169
"11298",2020-04-23,0,0,"b.1.1",0,0
"14782",2020-04-23,0,0,"b.1.311",0,0.0985915492957746
