PMID,File Name,Description,File type
34368647,PMID34368647_mmc1.pdf,Supplementary data,Study Data
34368647,"PMID34368647_Longitudinal seroprevalence, Carreno et al.xlsx",ELISA assessment values,Assessment Results
34368647,PMID34368647_Carreno et. al_demographics & Experiment values.xlsx,Demographics and Experiment results,Assessment Results
34368647,PMID34368647_2022-1-12 Longitudinal seroprevalence data.pzfx,GraphPad Prism file,Study Data
34368647,PMID34368647_v1.2.4.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors. ,Study Summary Description
34368647,PMID34368647_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
35180044,PMID35180044_ICMJE Disclosure form.pdf,Disclosure,Study Data
35180044,PMID35180044_Biologic vaccine study.xlsx,Subject level data,Study Data
35180044,PMID35180044_v1.2.6.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,Study Summary Description
35180044,PMID35180044_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
35483404,PMID35483404_Reporting Summary.pdf,Reporting Summary,Study Summary Description
35483404,PMID35483404_Supplementary Table 1.xlsx,Supplementary Data Table 1,Study Data
35483404,PMID35483404_Supplementary Table 2.xlsx,Supplementary Data Table 2,Study Data
35483404,PMID35483404_Supplementary Table 3.xlsx,Supplementary Data Table 3,Study Data
35483404,PMID35483404_Supplementary Table 4.xlsx,Supplementary Data Table 4,Study Data
35483404,PMID35483404_Supplementary Table 5.pdf,Supplementary Data Table 5,Study Data
35483404,PMID35483404_41586_2022_4802_MOESM8_ESM.xlsx,Source data Fig. 1,Study Data
35483404,PMID35483404_41586_2022_4802_MOESM9_ESM.xlsx,Source data Fig. 2,Study Data
35483404,PMID35483404_41586_2022_4802_MOESM10_ESM.xlsx,Source data Fig. 3,Study Data
35483404,PMID35483404_41586_2022_4802_MOESM11_ESM.xlsx,Source data Fig. 4,Study Data
35483404,PMID35483404_41586_2022_4802_MOESM12_ESM.xlsx,Source Data Extended Data Fig. 1,Study Data
35483404,PMID35483404_41586_2022_4802_MOESM13_ESM.xlsx,Source Data Extended Data Fig. 2,Study Data
35483404,PMID35483404_41586_2022_4802_MOESM14_ESM.xlsx,Source Data Extended Data Fig. 3,Study Data
35483404,PMID35483404_41586_2022_4802_MOESM15_ESM.xlsx,Source Data Extended Data Fig. 4,Study Data
35483404,PMID35483404_41586_2022_4802_MOESM16_ESM.xlsx,Source Data Extended Data Fig. 5,Study Data
35483404,PMID35483404_41586_2022_4802_MOESM17_ESM.xlsx,Source Data Extended Data Fig. 6,Study Data
35483404,PMID35483404_41586_2022_4802_MOESM18_ESM.xlsx,Source Data Extended Data Fig. 8,Study Data
35483404,PMID35483404_41586_2022_4802_MOESM19_ESM.xlsx,Source Data Extended Data Fig. 9,Study Data
35483404,PMID35483404_41586_2022_4802_MOESM20_ESM.xlsx,Source Data Extended Data Fig. 10,Study Data
35483404,PMID35483404_41586_2022_4802_MOESM21_ESM.xlsx,Source Data Extended Data Fig. 11,Study Data
35483404,PMID35483404_41586_2022_4802_MOESM22_ESM.xlsx,Source Data Extended Data Fig. 12,Study Data
35483404,PMID35483404_41586_2022_4802_MOESM23_ESM.xlsx,Source Data Extended Data Fig. 13,Study Data
35483404,PMID35483404_41586_2022_4802_MOESM24_ESM.xlsx,Source Data Extended Data Fig. 14,Study Data
35483404,PMID35483404_41586_2022_4802_MOESM25_ESM.xlsx,Source Data Extended Data Fig. 15,Study Data
35081612,PMID35081612_web_material_kwac015.docx,Supplementary data,Study Data
35081612,PMID35081612_v1.2.6.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors. ,Study Summary Description
35081612,PMID35081612_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,JSON Summary Description
34383889,PMID34383889_suppl_supplementary_materials.pdf,Supplementary data,Study Data
34383889,PMID34383889_Index Cases_SeroNet.xls,"Subject demographics, assessment results for ELISA, Lateral Flow Assay and RT-PCR for Index cases",Assessment Results
34383889,PMID34383889_HouseholdContacts_SeroNet.xls,Demographics for Household contacts,Study Summary Description
