,User Defined ID,Brief Title,Official Title,Brief Description,Description,Intervention Agent,Endpoints,Sponsoring Organization,Age Unit,Actual Start Date,Hypothesis,Objectives,Target Enrollment,Minimum Age,Maximum Age
0,PMID35180044_study-01,Reduced COVID-19 Vaccine Response in Patients Treated with Biologic Therapies for Asthma,Reduced COVID-19 Vaccine Response in Patients Treated with Biologic Therapies for Asthma,To evaluate humoral responses to SARS-CoV-2 vaccine in adults who have severe asthma or atopic dermatitis and are on biological therapies as compared to healthy adults.,"It is unclear if patients with severe asthma and atopic dermatit is on biologic therapies have an adequate and durable humoral immune response after vaccination to SARS-CoV-2. To address these questions, we conducted a prospective observational trial from February 2021 to September 2021 with adults who had severe asthma or atopic dermatitis treated with benralizumab (IL-5 receptor antagonist), mepolizumab(IL-5 antagonist), or dupilumab (IL-4 receptor a antagonist).","Pfizer BioNTech COVID-19 vaccine, Moderna COVID-19 vaccine",Anti-Asthmatic Agents / therapeutic use | Asthma / drug therapy | Biological Therapy | COVID-19 Vaccines / therapeutic use | COVID-19 | Humans,Emory University,Years,01-Feb-2021,Not Applicable,Clinical Research,84,18,78
1,PMID35390296_study-01,Augmentation of humoral and cellular immune responses after third-dose SARS-CoV-2 vaccination and viral neutralization in myeloma patients,Augmentation of humoral and cellular immune responses after third-dose SARS-CoV-2 vaccination and viral neutralization in myeloma patients,To study the humoral and cellular immune responses after third-dose SARS-CoV-2 vaccination and viral neutralization in myeloma patients,"Despite the efficacy of COVID-19 vaccines in healthy individuals, multiple myeloma (MM) patients are immunocompromised and mount suboptimal humoral and cellular responses after two doses of mRNA vaccine (Addeo et al., 2021; Aleman et al., 2021; Van Oekelen et al., 2021). A broader observation of limited vaccine responses in cancer patients, particularly those with hematologic malignancies (Thakkar et al., 2021), has led to the implementation of additional (i.e., third dose) vaccine administration as a way to increase protection for patients with immune suppression. A third dose of BNT162b2 (Pfizer-BioNTech) COVID19 vaccine has shown to be effective in preventing severe COVID-19 caused by the SARS-CoV-2 B.1.617.2 (Delta) variant in the general population (Bar-On et al., 2021; Barda et al., 2021). Furthermore, third-dose administration of either the BNT162b2 (Pfizer-BioNTech) or mRNA1273 (Moderna) COVID-19 vaccine was associated with augmented immune responses in a diverse cohort of cancer patients (Shapiro et al., 2022). However, the real-world effectiveness of additional dosing in myeloma patients and viral neutralization have not been reported. Additionally, the impact of the currently dominant SARS-CoV-2 B.1.1.529 (Omicron) variant on efficacy of the third dose is largely unknown in patients with hematologic malignancies (Zeng et al., 2022).","Pfizer BioNTech COVID-19 vaccine, Moderna COVID-19 vaccine",COVID-19 Vaccines | COVID-19 prevention & control | Humans | Immunity Cellular | Multiple Myeloma therapy | SARS-CoV-2 | Vaccination,Icahn School of Medicine at Mount Sinai,Years,,Humoral and cellular immune responses after third-dose SARS-CoV-2 vaccination,Clinical Research,521,38,96
2,PMID34368647_study-01,Longitudinal analysis of severe acute respiratory syndrome coronavirus 2 seroprevalence using multiple serology platforms,Longitudinal analysis of severe acute respiratory syndrome coronavirus 2 seroprevalence using multiple serology platforms,"To compare seroprevalence using research-grade RBD and spike based ELISA, a commercial RBD and spike-based ELISA, and a commercial NP-based immunoassay in health care workers","Current severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) serological tests are based on the full-length spike (S), the receptor-binding domain (RBD), or the nucleoprotein (NP) as substrates. Here, we used samples from healthcare workers (HCWs) to perform a longitudinal analysis of the antibody responses using a research-grade RBD and spike-based enzyme-linked immunosorbent assay (ELISA), a commercial RBD and spike-based ELISA, and a commercial NP-based chemiluminescent microparticle immunoassay. Seroprevalence ranged around 28% early during the pandemic and a good correlation was observed between RBD and spike-based ELISAs. Modest correlations were observed between NP and both RBD and spike-based assays. The antibody levels in HCWs declined over time; however, the overall seroprevalence measured by RBD and spike-based assays remained unchanged, while the seroprevalence of NP-reactive antibodies significantly declined. Moreover, RBD and spike-based assays effectively detected seroconversion in vaccinees. Overall, our results consolidate the strength of different serological assays to assess the magnitude and duration of antibodies to SARS-CoV-2.",Pfizer BioNTech COVID-19 vaccine,Immunology | Virology | Chemiluminescent Microparticle Immuno Assay (CMIA),The Icahn School of Medicine at Mount Sinai,Years,01-May-2020,"Comparing seroprevalence using research-grade RBD and spike based ELISA, a commercial RBD and spike-based ELISA, and a commercial NP-based immunoassay",Serosurveillance ,501,0,89
3,PMID35284808_study-01,"Safety and immunogenicity of an inactivated recombinant Newcastle disease virus vaccine expressing SARS-CoV-2 spike: Interim results of a randomised, placebo-controlled, phase 1 trial","Safety and immunogenicity of an inactivated recombinant Newcastle disease virus vaccine expressing SARS-CoV-2 spike: Interim results of a randomised, placebo-controlled, phase 1 trial",To assess safety and immunogenicity of an affordable egg-based recombinant Newcastle disease virus vaccine (NDV-HXP-S) expressing the spike (S) protein of SARS-CoV-2 ,"Background: Production of affordable coronavirus disease 2019 (COVID-19) vaccines in low- and middle-income countries is needed. NDV-HXP-S is an inactivated egg-based recombinant Newcastle disease virus vaccine expressing the spike (S) protein of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It's being developed by public sector manufacturers in Thailand, Vietnam, and Brazil; herein are initial results from Thailand. Methods: This phase 1 stage of a randomised, dose-escalation, observer-blind, placebo-controlled, phase 1/2 trial was conducted at the Vaccine Trial Centre, Mahidol University (Bangkok). Healthy males and non-pregnant females, aged 18-59 years and negative for SARS-CoV-2 antibodies, were eligible. Participants were randomised to receive one of six treatments by intramuscular injection twice, 28 days apart: 1 µg, 1 µg+CpG1018 (a toll-like receptor 9 agonist), 3 µg, 3 µg+CpG1018, 10 µg, or placebo. Participants and personnel assessing outcomes were masked to treatment. The primary outcomes were solicited and spontaneously reported adverse events (AEs) during 7 and 28 days after each vaccination, respectively. Secondary outcomes were immunogenicity measures (anti-S IgG and pseudotyped virus neutralisation). An interim analysis assessed safety at day 57 in treatment-exposed individuals and immunogenicity through day 43 per protocol. ClinicalTrials.gov (NCT04764422). Findings: Between March 20 and April 23, 2021, 377 individuals were screened and 210 were enroled (35 per group); all received dose one; five missed dose two. The most common solicited AEs among vaccinees, all predominantly mild, were injection site pain (<63%), fatigue (<35%), headache (<32%), and myalgia (<32%). The proportion reporting a vaccine-related AE ranged from 5·7% to 17·1% among vaccine groups and was 2·9% in controls; there was no vaccine-related serious adverse event. The 10 µg formulation's immunogenicity ranked best, followed by 3 µg+CpG1018, 3 µg, 1 µg+CpG1018, and 1 µg formulations. On day 43, the geometric mean concentrations of 50% neutralising antibody ranged from 122·23 international units per mL (IU/mL; 1 µg, 95% confidence interval (CI) 86·40-172·91) to 474·35 IU/mL (10 µg, 95% CI 320·90-701·19), with 93·9% to 100% of vaccine groups attaining a ≥ 4-fold increase over baseline. Interpretation: NDV-HXP-S had an acceptable safety profile and potent immunogenicity. The 3 µg and 3 µg+CpG1018 formulations advanced to phase 2",other,COVID-19,Icahn School of Medicine at Mount Sinai,Years,22-Mar-2021,Safety and immunogenicity of an inactivated recombinant Newcastle disease virus vaccine (NDV-HXP-S) expressing spike protein of SARS-CoV-2 (primary and secondary),Clinical Research,210,18,59
4,PMID35483404_study-01,Inflammasome activation in infected macrophages drives COVID-19 pathology,Inflammasome activation in infected macrophages drives COVID-19 pathology,To study the effect of SARS-CoV-2 infection and replication on lung resident macrophages,"Severe COVID-19 is characterized by persistent lung inflammation, inflammatory cytokine production, viral RNA, and sustained interferon (IFN) response all of which are recapitulated and required for pathology in the SARS-CoV-2 infected MISTRG6-hACE2 humanized mouse model of COVID-19 with a human immune system. Blocking either viral replication with Remdesivir or the downstream IFN stimulated cascade with anti-IFNAR2 in vivo in the chronic stages of disease attenuated the overactive immune-inflammatory response, especially inflammatory macrophages. Here, we show SARS-CoV-2 infection and replication in lung-resident human macrophages is a critical driver of disease. In response to infection mediated by CD16 and ACE2 receptors, human macrophages activate inflammasomes, release IL-1 and IL-18 and undergo pyroptosis thereby contributing to the hyperinflammatory state of the lungs. Inflammasome activation and its accompanying inflammatory response is necessary for lung inflammation, as inhibition of the NLRP3 inflammasome pathway reverses chronic lung pathology. Remarkably, this same blockade of inflammasome activation leads to the release of infectious virus by the infected macrophages. Thus, inflammasomes oppose host infection by SARS-CoV-2 by production of inflammatory cytokines and suicide by pyroptosis to prevent a productive viral cycle.",,Chronic inflammation | Inflammasome | SARS-CoV-2 | Viral infection,Yale University,Years,,Not Applicable,Preclinical Study,7,37,77
5,PMID34546094_study-01,Prior infection with SARS-CoV-2 WA1/2020 partially protects rhesus macaques against reinfection with B.1.1.7 and B.1.351 variants,Prior infection with SARS-CoV-2 WA1/2020 partially protects rhesus macaques against reinfection with B.1.1.7 and B.1.351 variants,"To assess the protective efficacy of natural immunity after WA1/2020 infection on rechallenge with WA1/2020, B.1.1.7, or B.1.351 variants in rhesus macaques.","Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) variants that result in increased transmissibility and partial evasion of neutralizing antibodies have recently emerged. Whether natural immunity induced by the original SARS-CoV-2 WA1/2020 strain protects against rechallenge with these SARS-CoV-2 variants remains a critical unresolved question. In this study, we show that natural immunity induced by the WA1/2020 strain leads to partial but incomplete protection against the SARS-CoV-2 variants B.1.1.7 (alpha) and B.1.351 (beta) in rhesus macaques. We challenged rhesus macaques with B.1.1.7 and B.1.351 and showed that infection with these variants resulted in high viral replication in the upper and lower respiratory tract. We then infected rhesus macaques with the WA1/2020 strain and rechallenged them on day 35 with the WA1/2020, B.1.1.7, or B.1.351 variants. Natural immunity to WA1/2020 led to robust protection against rechallenge with WA1/2020 but only partial protection against rechallenge with B.1.351. An intermediate degree of protection was observed in rhesus macaques against rechallenge with B.1.1.7. These data demonstrate partial but incomplete protective efficacy of natural immunity induced by WA1/2020 against SARS-CoV-2 variants of concern. Our findings have important implications for both vaccination and public health strategies in the context of emerging SARS-CoV-2 variants of concern.",,Animals | Neutralizing Antibodies | Viral Antibodies | COVID-19 | Humans | Macaca mulatta | Reinfection | SARS-CoV-2,Harvard University,Years,,Not Applicable,Basic Research,,0,89
6,PMID34250518_study-01,Decreased infectivity following BNT162b2 vaccination: A prospective cohort study in Israel,Decreased infectivity following BNT162b2 vaccination: A prospective cohort study in Israel,"To assess effectiveness of the vaccine in reducing infectivity via two routes: through preventing infection, and through reducing viral shedding in those who become infected despite vaccination.","Background: BNT162b2 was shown to be 92% effective in preventing COVID-19. Prioritizing vaccine rollout, and achievement of herd immunity depend on SARS-CoV-2 transmission reduction. The vaccine's effect on infectivity is thus a critical priority. Methods: Among all 9650 HCW of a large tertiary medical center in Israel, we calculated the prevalence of positive SARS-CoV-2 qRT-PCR cases with asymptomatic presentation, tested following known or presumed exposure and the infectious subset (N-gene-Ct-value<30) of these. Additionally, infection incidence rates were calculated for symptomatic cases and infectious (Ct<30) cases. Vaccine effectiveness within three months of vaccine rollout was measured as one minus the relative risk or rate ratio, respectively. To further assess infectiousness, we compared the mean Ct-value and the proportion of infections with a positive SARS-CoV-2 antigen test of vaccinated vs. unvaccinated. The correlation between IgG levels within the week before detection and Ct level was assessed. Findings: Reduced prevalence among fully vaccinated HCW was observed for (i) infections detected due to exposure, with asymptomatic presentation (VE(i)=65.1%, 95%CI 45-79%), (ii) the presumed infectious (Ct<30) subset of these (VE(ii)=69.6%, 95%CI 43-84%) (iii) never-symptomatic infections (VE(iii)=72.3%, 95%CI 48-86%), and (iv) the presumed infectious (Ct<30) subset (VE(iv)=83.0%, 95%CI 51-94%).Incidence of (v) symptomatic and (vi) symptomatic-infectious cases was significantly lower among fully vaccinated vs. unvaccinated individuals (VE(v)= 89.7%, 95%CI 84-94%, VE(vi)=88.1%, 95%CI 80-95%).The mean Ct-value was significantly higher in vaccinated vs. unvaccinated (27.3±1.2 vs. 22.2±1.0, p<0.001) and the proportion of positive SARS-CoV-2 antigen tests was also significantly lower among vaccinated vs. unvaccinated PCR-positive HCW (80% vs. 31%, p<0.001). Lower infectivity was correlated with higher IgG concentrations (R=0.36, p=0.01). Interpretation: These results suggest that BNT162b2 is moderately to highly effective in reducing infectivity, via preventing infection and through reducing viral shedding.",Pfizer BioNTech COVID-19 vaccine,Not provided,Harvard University,Years,19-Dec-2020,Vaccine effectiveness in reducing infection in those who become infected despite vaccination.,Clinical Research,9347,18,65
7,PMID34320281_study-01,Covid-19 Breakthrough Infections in Vaccinated Health Care Workers,Covid-19 Breakthrough Infections in Vaccinated Health Care Workers,To assess the effectiveness of the BNT162b2 vaccine among health care workers and to examine possible correlates of protection and infectivity,"Background: Despite the high efficacy of the BNT162b2 messenger RNA vaccine against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), rare breakthrough infections have been reported, including infections among health care workers. Data are needed to characterize these infections and define correlates of breakthrough and infectivity. Methods: At the largest medical center in Israel, we identified breakthrough infections by performing extensive evaluations of health care workers who were symptomatic (including mild symptoms) or had known infection exposure. These evaluations included epidemiologic investigations, repeat reverse-transcriptase-polymerase-chain-reaction (RT-PCR) assays, antigen-detecting rapid diagnostic testing (Ag-RDT), serologic assays, and genomic sequencing. Correlates of breakthrough infection were assessed in a case-control analysis. We matched patients with breakthrough infection who had antibody titers obtained within a week before SARS-CoV-2 detection (peri-infection period) with four to five uninfected controls and used generalized estimating equations to predict the geometric mean titers among cases and controls and the ratio between the titers in the two groups. We also assessed the correlation between neutralizing antibody titers and N gene cycle threshold (Ct) values with respect to infectivity. Results: Among 1497 fully vaccinated health care workers for whom RT-PCR data were available, 39 SARS-CoV-2 breakthrough infections were documented. Neutralizing antibody titers in case patients during the peri-infection period were lower than those in matched uninfected controls (case-to-control ratio, 0.361; 95% confidence interval, 0.165 to 0.787). Higher peri-infection neutralizing antibody titers were associated with lower infectivity (higher Ct values). Most breakthrough cases were mild or asymptomatic, although 19% had persistent symptoms (>6 weeks). The B.1.1.7 (alpha) variant was found in 85% of samples tested. A total of 74% of case patients had a high viral load (Ct value, <30) at some point during their infection; however, of these patients, only 17 (59%) had a positive result on concurrent Ag-RDT. No secondary infections were documented. Conclusions: Among fully vaccinated health care workers, the occurrence of breakthrough infections with SARS-CoV-2 was correlated with neutralizing antibody titers during the peri-infection period. Most breakthrough infections were mild or asymptomatic, although persistent symptoms did occur.",Pfizer BioNTech COVID-19 vaccine,Adult | Asymptomatic Diseases | BNT162 Vaccine | COVID-19 diagnosis | COVID-19 epidemiology | COVID-19 prevention & control | COVID-19 Nucleic Acid Testing | COVID-19 Vaccines | Case-Control Studies | Female | Health Personnel statistics & numerical data | Human | Israel epidemiology | Male | Middle Aged | Reverse Transcriptase Polymerase Chain Reaction | Treatment Failure,Harvard University,Years,20-Jan-2021,Effectiveness of the BNT162b2 vaccine among the health care workers,Clinical Research,126,24,66
8,PMID35085183_study-01,Higher Proinflammatory Cytokines Are Associated With Increased Antibody Titer After a Third Dose of SARS-CoV-2 Vaccine in Solid Organ Transplant Recipients,Higher Proinflammatory Cytokines Are Associated With Increased Antibody Titer After a Third Dose of SARS-CoV-2 Vaccine in Solid Organ Transplant Recipients,To determine if prevaccination cytokine levels are associated with antibody response to SARS-CoV-2 vaccination,"Background: Solid organ transplant recipients (SOTRs) are at increased risk for severe COVID-19 and exhibit lower antibody responses to SARS-CoV-2 vaccines. This study aimed to determine if prevaccination cytokine levels are associated with antibody response to SARS-CoV-2 vaccination. Methods: A cross-sectional study was performed among 58 SOTRs before and after two-dose mRNA vaccine series, 35 additional SOTRs before and after a third vaccine dose, and comparison to 16 healthy controls (HCs). Antispike antibody was assessed using the IgG Euroimmun ELISA. Electrochemiluminescence detection-based multiplexed sandwich immunoassays (Meso Scale Diagnostics) were used to quantify plasma cytokine and chemokine concentrations (n = 20 analytes) and compare concentrations between SOTRs and HCs, stratified by ultimate antibody response to the vaccine using Wilcoxon-rank-sum test with false discovery rates computed to correct for multiple comparisons. Results: In the study population, 100% of HCs, 59% of SOTRs after 2 doses and 63% of SOTRs after 3 doses had a detectable antibody response. Multiple baseline cytokines were elevated in SOTRs versus HCs. There was no significant difference in baseline cytokine levels between SOTRs with high versus low-titer antibodies after 2 doses of vaccine. However, as compared with poor antibody responders, SOTRs who went on to develop a high-titer antibody response to a third dose of vaccine had significantly higher prethird dose levels of several innate immune cytokines including IL-17, IL-2Ra, IL-6, IP-10, MIP-1α, and TNF-α (false discovery rates < 0.05). Conclusions: A specific inflammatory profile may be associated with developing higher antibodies in response to a third dose of SARS-CoV-2 vaccine in SOTRs.","Pfizer BioNTech COVID-19 vaccine, Johnson & Johnson COVID-19 vaccine, Moderna COVID-19 vaccine",Antibodies | Viral | COVID-19 Vaccines-adverse effects | COVID-19-prevention & control | Cross-Sectional Studies | Cytokines | Humans | Organ Transplantation-adverse effects | SARS-CoV-2 | Transplant Recipients | Vaccines | Synthetic | mRNA Vaccines,Johns Hopkins University,Years,,Measurement of cytokines and chemokines concentrations and compare concentrations between SOTRs and HCs,Serosurveillance ,109,20,79
9,PMID35061630_study-01,CD4+ T cells from COVID-19 mRNA vaccine recipients recognize a conserved epitope present in diverse coronaviruses,CD4+ T cells from COVID-19 mRNA vaccine recipients recognize a conserved epitope present in diverse coronaviruses,To test the hypothesis that the current mRNA vaccines elicit T cell responses that can cross-recognize bat coronaviruses and thus might induce some protection against potential zoonotic outbreaks.,"Recent studies have shown that vaccinated individuals harbor T cells that can cross-recognize SARS-CoV-2 and endemic human common cold coronaviruses. However, it is still unknown whether CD4+ T cells from vaccinated individuals recognize peptides from bat coronaviruses that may have the potential of causing future pandemics. In this study, we identified a SARS-CoV-2 spike protein epitope (S815-827) that is conserved in coronaviruses from different genera and subgenera, including SARS-CoV, MERS-CoV, multiple bat coronaviruses, and a feline coronavirus. Our results showed that S815-827 was recognized by 42% of vaccinated participants in our study who received the Pfizer-BioNTech (BNT162b2) or Moderna (mRNA-1273) COVID-19 vaccines. Using T cell expansion and T cell receptor sequencing assays, we demonstrated that S815-827-reactive CD4+ T cells from the majority of responders cross-recognized homologous peptides from at least 6 other diverse coronaviruses. Our results support the hypothesis that the current mRNA vaccines elicit T cell responses that can cross-recognize bat coronaviruses and thus might induce some protection against potential zoonotic outbreaks. Furthermore, our data provide important insights that inform the development of T cell–based pan-coronavirus vaccine strategies.","Moderna COVID-19 vaccine, Pfizer BioNTech COVID-19 vaccine",COVID-19 | Adaptive immunity,Johns Hopkins University,Years,06-Jan-2021,The pecentage of vaccinated participants in the cohort that mounted T cell responses to the conserved spike epitope S815-827.,Clinical Research,38,21,60
