,Column Name,Subject ID,Arm Or Cohort ID,Gender,Min Subject Age,Max Subject Age,Age Unit,Age Event,Age Event Specify,Subject Phenotype,Subject Location,Species,Strain,Strain Characteristics,Result Separator Column,Exposure Process Reported,Exposure Material Reported,Exposure Material ID,Disease Reported,Disease Ontology ID,Disease Stage Reported
0,-,PMID35483404_organism_subject-01,PMID35483404_organism_subject-01,Other,37,77,Years,Not Specified,-,-,US: Connecticut,Mus musculus,Animal,MISTRG6-hACE2 humanized mouse,-,unknown,-,-,Covid-19 | Pneumonia,-,Unknown 
1,-,PMID35483404_organism_subject-02,PMID35483404_organism_subject-02,Other,37,77,Years,Not Specified,-,-,US: Connecticut,Mus musculus,Animal,MISTRG6-hACE2 humanized mouse,-,unknown,-,-,Covid-19 | Pneumonia,-,Unknown 
2,-,PMID35483404_organism_subject-03,PMID35483404_organism_subject-03,Other,37,77,Years,Not Specified,-,-,US: Connecticut,Mus musculus,Animal,MISTRG6-hACE2 humanized mouse,-,unknown,-,-,Covid-19 | Pneumonia,-,Unknown 
3,-,PMID34546094_organism_subject-01,PMID34546094_organism_subject-01,Other,0,89,Years,Age at Study Day 0,-,-,US: Massachusetts,Macaca mulatta,Animal,-,-,unknown,-,-,Covid-19 ,-,Unknown 
4,-,PMID34546094_organism_subject-02,PMID34546094_organism_subject-02,Other,0,89,Years,Age at Study Day 0,-,-,US: Massachusetts,Macaca mulatta,Animal,-,-,unknown,-,-,Covid-19 ,-,Unknown 
5,-,PMID34546094_organism_subject-03,PMID34546094_organism_subject-03,Other,0,89,Years,Age at Study Day 0,-,-,US: Massachusetts,Macaca mulatta,Animal,-,-,unknown,-,-,Covid-19 ,-,Unknown 
6,-,PMID34546094_organism_subject-04,PMID34546094_organism_subject-04,Other,0,89,Years,Age at Study Day 0,-,-,US: Massachusetts,Macaca mulatta,Animal,-,-,unknown,-,-,Covid-19 ,-,Unknown 
7,-,PMID33688034_organism_subject-01,PMID33688034_organism_subject-02,Other,0,89,Years,Age at enrollment,-,-,US: Ohio,Sigmodon hispidus,Animal,-,-,unknown,other,other,Covid-19 | SARS-CoV-2 Wuhan/2020,-,-
8,-,PMID33688034_organism_subject-02,PMID33688034_organism_subject-03,Other,0,89,Years,Age at enrollment,-,-,US: Ohio,Sigmodon hispidus,Animal,-,-,unknown,other,other,Covid-19 | SARS-CoV-2 Wuhan/2020,-,-
9,-,PMID33688034_organism_subject-03,PMID33688034_organism_subject-04,Other,0,89,Years,Age at enrollment,-,-,US: Ohio,Sigmodon hispidus,Animal,-,-,unknown,other,other,Covid-19 | SARS-CoV-2 Wuhan/2020,-,-
