,User Defined ID,Name,Description,Type Reported
0,PMID35180044_human_subject-01,Adults with severe asthma or atopic dermatitis,"Adults with severe asthma or atopic dermatitis treated with benralizumab, mepolizumab, or dupilumab",Observational
1,PMID35180044_human_subject-02,Healthy adults,Healthy Adults,Observational
2,PMID35390296_human_subject-01,Vaccinated Multiple Myeloma patients,"Multiple myeloma patients who received Pfizer-BioNTech or Moderna vaccination (N=476). Out of 476, 124 patients infected with Covid-19.",Vaccination | Treatment Arm
3,PMID35390296_human_subject-02,Vaccinated healthcare workers,"Age-matched vaccinated healthcare workers received Pfizer-BioNTech or Moderna vaccination (N=45). Out of 45, 20 health care workers infected with Covid-19.",Vaccination
4,PMID34368647_human_subject-01,Front line health care workers,"Serum samples collected from 501 health care workers in phase 1 and 178 of 501 participants provided a second serum sample in phase 2. Out of 501, 104 participants with pre Covid-19 infection",Observational
5,PMID35284808_human_subject-01,Subjects received NDV-HXP-S (1 mg),Subjects received 0.5 ml intramuscular injection of NDV-HXP-S (1 mg) on day 1 and 29 (N=35),Vaccination
6,PMID35284808_human_subject-02,Subjects received NDV-HXP-S (1 mg) + 1.5 mg CpG1018 adjuvant,Subjects received 0.5 ml intramuscular injection of NDV-HXP-S (1 mg) + 1.5 mg CpG1018 adjuvant on day 1 and 29 (N=35),Vaccination
7,PMID35284808_human_subject-03,Subjects received NDV-HXP-S (3 mg),Subjects received 0.5 ml intramuscular injection of NDV-HXP-S (3 mg) on day 1 and 29 (N=35),Vaccination
8,PMID35284808_human_subject-04,Subjects received NDV-HXP-S (3 mg) + 1.5 mg CpG1018 adjuvant,Subjects received 0.5 ml intramuscular injection of NDV-HXP-S (3 mg) + 1.5 mg CpG1018 adjuvant on day 1 and 29 (N=35),Vaccination
9,PMID35284808_human_subject-05,Subjects received NDV-HXP-S (10 mg),Subjects received 0.5 ml intramuscular injection of NDV-HXP-S (10 mg) on day 1 and 29 (N=35),Vaccination
10,PMID35284808_human_subject-06,Subjects received placebo,Subjects received saline placebo on day 1 and 29 (N=35),Placebo Comparator Arm
11,PMID35483404_human_subject-01,COVID-19 infected lungs,human autopsy lungs with SARS-CoV-2 pneumonia,Observational
12,PMID35483404_human_subject-02,control lungs,human autopsy lungs with non-SARS-CoV-2 pneumonia,Observational
13,PMID35483404_organism_subject-01,Uninfected MISTRG6-hACE2 mice,MISTRG6-hACE2 mice transplanted  with human CD34+ haematopoietic progenitor cells - uninfected,Negative Control
14,PMID35483404_organism_subject-02,COVID-19 infected MISTRG6-hACE2 mice,MISTRG6-hACE2 mice transplanted  with human CD34+ haematopoietic progenitor cells - infected with COVID-19,Experimental Arm
15,PMID35483404_organism_subject-03,COVID-19 mNG infected MISTRG6-hACE2 mice,MISTRG6-hACE2 mice transplanted  with human CD34+ haematopoietic progenitor cells -  infected with COVID-19-mNG reporter strain,Experimental Arm
16,PMID34546094_organism_subject-01,"Group 1, Animals Infected with WA1/2020 rechallenged with WA1/2020 (N=6)","Group 1, Animals Infected with WA1/2020 rechallenged with WA1/2020 on day 35, n=6",Experimental Arm
17,PMID34546094_organism_subject-02,"Group 2, Animals Infected with WA1/2020  rechallenged with B.1.1.7 (N=6)","Group 2, Animals Infected with WA1/2020 rechallenged with B.1.1.7 on day 35, n=6",Experimental Arm
18,PMID34546094_organism_subject-03,"Group 3, Animals Infected with WA1/2020  rechallenged with B.1.351 (N=6)","Group 3,  Animals Infected with WA1/2020  rechallenged with B.1.351  on day 35, n=6",Experimental Arm
19,PMID34546094_organism_subject-04,"Group 4, positive controls","Group 4, Naïve animals, challenged with B.1.351, n=3",Positive control
20,PMID34250518_human_subject-01,Unvaccinated health care workers,"Unvaccinated health care workers (N= 1441), 163 of 1441 are with COVID-19 infection",Observational
21,PMID34250518_human_subject-02,Early vaccinated health care workers,"Early vaccinated health care workers (N=490), 42 of 490 are with COVID-19 infection",Observational
22,PMID34250518_human_subject-03,Partially vaccinated health care workers,"Partially vaccinated health care workers (N= 1442), 50 of 1442 are with COVID-19 infection",Observational
23,PMID34250518_human_subject-04,Fully vaccinated health care workers,"Fully vaccinated health care workers (N=1300), 31 of 1300 are with COVID-19 infection",Observational
24,PMID34320281_human_subject-01,Breakthrough infection cases,"Health care workers with COVID-19 breakthrough infection, received 2 doses of BNT162b2 vaccination (N=22)",Vaccination
25,PMID34320281_human_subject-02,Matched controls,Matched controls received 2 doses of BNT162b2 vaccination (N=104),Healthy Control
26,PMID35085183_human_subject-01,SOTRs with 2-dose of mRNA vaccine,"Solid organ transplant recipients, who received two-doses of mRNA vaccine series (N=58)",Observational
27,PMID35085183_human_subject-02,SOTRs with 3-dose of mRNA vaccine,"Solid organ transplant recipients, who received three doses of vaccination (N=38)",Observational
28,PMID35085183_human_subject-03,Healthy controls,Healthy controls (N=16),Healthy Control
29,PMID35061630_human_subject-01,COVID-19 convalescent individuals,Vaccinated study participants who had tested positive for SARS-CoV-2 in the past,Observational
30,PMID35061630_human_subject-02,vaccine recipients,Vaccinated individuals that never tested positive for SARS-CoV-2,Observational
31,PMID35704428_human_subject-01,Health care workers 2 doses vaccin,Health care workers 2 doses vaccine,Active Comparator Arm
32,PMID35704428_human_subject-02,Health Care workers 3 doses vaccin,Health Care workers 3 doses vaccine,Active Comparator Arm
33,PMID35704428_human_subject-03,Patients in ICU during Delta wave,Patients in ICU during Delta wave,Active Comparator Arm
34,PMID35704428_human_subject-04,Hospitalized patients during Omicron wave,Hospitalized patients during Omicron wave,Active Comparator Arm
35,PMID33688034_human_subject-01,SARS-CoV-2 positive individuals,Serum sample collected from 6 COVID-19 positive patients,Observational
36,PMID33688034_organism_subject-02,"Group 1 Cotton rats inoculated with PBS, rMeV vaccine strain.","Cotton rats (4 weeks old) subcutaneously inoculated with PBS, 4*105 PFU of parental rMeV vaccine strain and after 4 weeks boosted with 2×106 PFU of rMeV (N=5).",Vaccination
