,Condition Reported,PMID
0,Covid-19 | Asthma | Atopic Dermatitis,35180044
1,Covid-19 | Multiple Myeloma | SARS-CoV-2,35390296
2,Covid-19 | SARS-CoV-2,34368647
3,Covid-19 ,35284808
4,Covid-19 | Pneumonia,35483404
5,Covid-19 ,34546094
6,Covid-19 | SARS-CoV-2,34250518
7,Covid-19 | SARS-CoV-2 Alpha | B.1.1.7 | SARS-CoV-2 Wuhan/2020,34320281
8,Covid-19 | Solid Organ Transplant Recipient,35085183
9,Covid-19 ,35061630
10,Covid-19 ,35704428
11,Covid-19 | SARS-CoV-2 Wuhan/2020,33688034
12,Covid-19 ,35756977
13,Covid-19 ,34150933
14,Covid-19 | SARS-CoV-2,35090596
15, Covid-19 | Pertussis,35932763
16,Covid-19 ,35081612
17,Covid-19 | SARS-CoV-2 WA1/2020 (D614G variant),34383889
18,Covid-19 ,36058184
19,Covid-19 | SARS-CoV-2,35576468
20,Covid-19 | SARS-CoV-2 Wuhan/2020 | SARS-CoV-2,34308390
21,Covid-19 ,35881010
22,Covid-19 | SARS-CoV-2 Wuhan/2020 | SARS-CoV-2,35881005
