,User Defined ID,Name,Order Number,Min Start Day,Max Start Day,Start Rule
0,PMID35180044_visit-01,1st Blood sample after second dose,1,25,49,
1,PMID35180044_visit-02,2nd Blood sample after second dose,2,50,74,
2,PMID35180044_visit-03,3rd Blood sample after second dose,3,75,99,
3,PMID35180044_assessment_recorded_pv,Visit where an assessment is recorded,4,0,,
4,PMID35390296_visit-01,Blood and saliva collected from the participants at multiple time points before or after SARS-CoV-2 mRNA vaccine,1,0,,
5,PMID35390296_assessment_recorded_pv,Visit where an assessment is recorded,2,0,,
6,PMID34368647_visit-01,Serum sample collected from health care workers,1,1,,
7,PMID34368647_assessment_recorded_pv,Visit where an assessment is recorded,2,0,,
8,PMID35284808_visit-01,Blood sample collected from all individuals on day 1 of vaccination,1,1,,
9,PMID35284808_visit-02,Blood sample collected from all individuals on day 8 after first dose of vaccination,2,8,,
10,PMID35284808_visit-03,Blood sample collected from all individuals on day 29 second dose of vaccination,3,29,,
11,PMID35284808_visit-04,Blood sample collected from all individuals on day 36 after two doses of vaccination,4,36,,
12,PMID35284808_visit-05,Blood sample collected from all individuals on day 43 after two doses of vaccination,5,43,,
13,PMID35284808_visit-06,Blood sample collected from all individuals on day 57 after two doses of vaccination,6,57,,
14,PMID35284808_assessment_recorded_pv,Visit where an assessment is recorded,7,0,,
15,PMID35483404_visit-01,Isolating lung macrophages from mice,1,0,,
16,PMID35483404_visit-02,Isolating lung macrophages from mice,2,7,,
17,PMID35483404_visit-03,Isolating lung macrophages from mice,3,14,,
18,PMID35483404_visit-04,Isolating lung macrophages from mice,4,28,,
19,PMID35483404_visit-05,Embedding and sectioning human lung tissue,5,1,,
20,PMID35483404_assessment_recorded_pv,Visit where an assessment is recorded,6,0,,
21,PMID34546094_visit-01,BAL collected,1,1,,
22,PMID34546094_visit-02,BAL collected,2,3,,
23,PMID34546094_visit-03,BAL collected,3,5,,
24,PMID34546094_visit-04,BAL collected,4,7,,
25,PMID34546094_visit-05,BAL collected,5,9,,
26,PMID34546094_visit-06,BAL collected,6,11,,
27,PMID34546094_visit-07,Nasal swab collected,7,1,,
28,PMID34546094_visit-08,Nasal swab collected,8,3,,
29,PMID34546094_visit-09,Nasal swab collected,9,5,,
30,PMID34546094_visit-10,Nasal swab collected,10,7,,
31,PMID34546094_visit-11,Nasal swab collected,11,9,,
32,PMID34546094_visit-12,Nasal swab collected,12,11,,
33,PMID34546094_visit-13,Blood collected,13,7,,
34,PMID34546094_visit-14,Blood collected,14,28,,
35,PMID34546094_visit-15,Blood collected,15,49,,
