,Column Name,User Defined ID,Name,Description,Manufacturer,Catalog Number,Weblink,Contact
0,,PMID33846272_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
1,,PMID33846272_reagentID-03,Nucleocapsid | Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
2,,PMID34230917_reagentID-01,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
3,,PMID34230917_reagentID-02,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
4,,PMID34230917_reagentID-03,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
5,,PMID34230917_reagentID-04,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
6,,PMID34230917_reagentID-05,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
7,,PMID34230917_reagentID-06,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
8,,PMID35025672_reagentID-01,Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
9,,PMID35025672_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
10,,PMID34107529_reagentID-03,Receptor Binding Domain (RBD),n/a,n/a,n/a,,
11,,PMID34107529_reagentID-04,Full Length Spike Trimer | Receptor Binding Domain (RBD),n/a,n/a,n/a,,
12,,PMID34107529_reagentID-05,Receptor Binding Domain (RBD),n/a,n/a,n/a,,
13,,PMID34107529_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
14,,PMID33622794_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
15,,PMID34151306_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
16,,PMID34151306_reagentID-02,Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
17,,PMID34151306_reagentID-03,S1 | S2 | Nucleocapsid | Receptor Binding Domain (RBD),n/a,components from multiple manufacturers,n/a,,
18,,PMID35455241_reagentID-01,Wild type Spike | Wild type RBD | Omicron RBD,n/a,n/a,n/a,,
19,,PMID35455241_reagentID-02,Wild type Spike | Wild type RBD | Omicron RBD,n/a,n/a,n/a,,
