,Column Name,User Defined ID,File Name,Name,Description,Type
0,-,PMID35915094_protocol-01,PMID35915094_protocol-01.txt,PMID35915094_protocol-01,Study Protocol,Study Protocol
1,-,PMID33915337_protocol-01,PMID33915337_protocol-01.txt,PMID33915337_protocol-01,Study Protocol,Study Protocol
2,-,PMID34047304_protocol-01,PMID34047304_protocol-01.txt,PMID34047304_protocol-01,Study Protocol,Study Protocol
3,-,PMID35877413_protocol-01,PMID35877413_protocol-01.txt,PMID35877413_protocol-01,Study Protocol,Study Protocol
4,-,PMID35632708_protocol-01,PMID35632708_protocol-01.txt,PMID35632708_protocol-01,Study Protocol,Study Protocol
5,-,PMID35092678_protocol-01,PMID35092678_protocol-01.txt,PMID35092678_protocol-01,Study Protocol,Study Protocol
6,-,PMID34706273_protocol-01,PMID34706273_protocol-01.txt,PMID34706273_protocol-01,Study Protocol,Study Protocol
7,-,PMID34253053_protocol-01,PMID34253053_protocol-01.txt,PMID34253053_protocol-01,Study Protocol,Study Protocol
8,-,PMID35289114_protocol-01,PMID35289114_protocol-01.txt,PMID35289114_protocol-01,Study Protocol,Study Protocol
9,-,PMID35795812_protocol-01,PMID35795812_protocol-01.txt,PMID35795812_protocol-01,Study Protocol,Study Protocol
