,User Defined ID,Name,Description,Type Reported
0,PMID33767426_organism_subject-01,"C57BL/6J mice (WT, 000664)",C57BL/6J female mice 7–10 weeks old,Experimental Arm
1,PMID33767426_organism_subject-02,STING-goldenticket (STINGgt/gt) mice (017537),STINGgt/gt female mice 7–10 weeks old,Experimental Arm
2,PMID33767426_organism_subject-03,Primary human cells,"HUVECs (Lonza), NHDF,  HEK293T, A549, HeLa and L929 cells",Experimental Arm
3,PMID33767426_organism_subject-04,Ifnar1-KO mice,Mice knockout for type I interferon (IFN) receptors (Ifnar-/-),Experimental Arm
4,PMID34133941_organism_subject-01,Rhesus macaques immunized with 1 × 1011 viral particles,Rhesus macaques immunized with 1 × 1011 viral particles Ad26.COV2.S (N=5).,Vaccination
5,PMID34133941_organism_subject-02,Rhesus macaques immunized with 5x1010 viral particles,Rhesus macaques immunized with 5x1010 viral particles Ad26.COV2.S (N=5).,Vaccination
6,PMID34133941_organism_subject-03,Rhesus macaques immunized with 1.125x1010 viral particles,Rhesus macaques immunized with 1.125x1010 viral particles Ad26.COV2.S (N=5).,Vaccination
7,PMID34133941_organism_subject-04,Rhesus macaques immunized with 2x109 viral particles,Rhesus macaques immunized with 2x109 viral particles Ad26.COV2.S (N=5).,Vaccination
8,PMID34133941_organism_subject-05,Rhesus macaques sham immunized,Rhesus macaques sham immunized (N=10).,Sham Comparator Arm
9,PMID34688034_human_subject-01,Participants in a longitudinal observational study,Participants in the longitudinal observational PARIS (Protection Associated with Rapid Immunity to SARS-CoV-2) study (n=30).,Observational
10,PMID35764089_human_subject-01,Moderna Vaccine recipients,Subjects received mRNA-1273 and donated blood at different times post-vaccination (n=30).,Observational
11,PMID35764089_human_subject-02,Pfizer/BioNTech Vaccine recipients,Subjects received BNT162b2 and donated blood at different times post-vaccination (n=30).,Observational
12,PMID35764089_human_subject-03,Janssen Vaccine recipients,Subjects received Ad26.COV2.S and donated blood at different times post-vaccination (n=30).,Observational
13,PMID35764089_human_subject-04,Novavax Vaccine recipients,Subjects received NVX-CoV2373 and donated blood at different times post-vaccination (n=12).,Observational
14,PMID35605428_human_subject-01,HCW prior SARS-CoV-2,"Health Care workers with prior infection confirmed by PCR, antigen test, and/or detectable antibody levels to spike, RBD, and Nucleocapsid",Active Comparator Arm
15,PMID35605428_human_subject-02,HCW SARS-CoV-2 naïve,Health Care Workers with no prior infection,Active Comparator Arm
16,PMID35605428_human_subject-03,NH residents prior SARS-CoV-2,"Nursing home residents with prior infection confirmed by PCR, antigen test, and/or detectable antibody levels to spike, RBD, and Nucleocapsid",Active Comparator Arm
17,PMID35605428_human_subject-04,NH residents SARS-CoV-2 naïve,Nursing home residents with no prior infection.,Active Comparator Arm
18,PMID34594341_human_subject-01,COVID-19 convalescent plasma (CCP) donors,COVID-19 convalescent plasma (CCP) donors from the San Francisco Bay Area in California (n=93),Observational
19,PMID34594341_human_subject-02,COVID-19 patients,COVID-19 patients admitted to Stanford Hospital (n=16),Observational
20,PMID34861167_human_subject-01,Vaccinated mongolian participants,"Mongolian participants who had been fully vaccinated with one of four COVID vaccines: Pfizer/BioNTech (BNT162b2), AstraZeneca (ChAdOx1-S), Sputnik V (Gam-COVID-Vac), and Sinopharm (BBIBP-CorV). (n=196)",Observational
21,PMID34861167_human_subject-02,Individuals with breakthrough infections,Participants who had a history of SARS-CoV-2 infection after vaccination (n=99),Observational
22,PMID32678685_human_subject-01,Volunteer blood donor,"A volunteer's blood donor, healthy on the day of donation, who had detectable SARS-CoV-2 RNA levels in their blood at least 40 days after resolution of coronavirus disease 2019 (COVID-19)–like symptoms (n=1).",Observational
