,Condition Reported,PMID
0,Cancer,33767426
1,COVID-19,34133941
2,COVID-19,34688034
3,COVID-19,35764089
4,COVID-19,35605428
5,COVID-19,34594341
6,COVID-19,34861167
7,COVID-19,32678685
8,COVID-19,32941787
9,COVID-19,35857529
10,COVID-19,33822097
11,COVID-19,36480499
12,COVID-19,33798476
13,COVID-19,34951746
14,COVID-19,37264688
15,Not Applicable,34862384
16,COVID-19 | Myocarditis,36597886
17,COVID-19,35102312
18,COVID-19,36208629
19,COVID-19 | Lung Cancer,37863065
20,COVID-19,36192374
21,COVID-19,37695910
