,File Name,Description,Study File Type
0,PMID33767426_MOESM4_ESM.xlsx,siRNA and shRNA screening data for Fig 1. DAPK3 regulation of DNA-stimulated STING signaling. ,Study Data
1,PMID33767426_MOESM5_ESM.xlsx,Tumor volume data of shRNA-transduced cells for Fig 2. Tumor-expressed DAPK3.,Study Data
2,PMID33767426_MOESM6_ESM.xlsx,Immunoblot data for Fig 4. DAPK3 in STING K48-linked poly-ubiquitination.,Study Data
3,PMID33767426_MOESM8_ESM.xlsx,Statistical source data for Fig 4. DAPK3 in STING K48-linked poly-ubiquitination.,Study Data
4,PMID33767426_MOESM9_ESM.pdf,Immunoblot images - DAPK3 in STING K48-linked poly-ubiquitination.,Study Data
5,PMID33767426_MOESM10_ESM.pdf,Immunoblot images - DAPK3 in STING K63-linked poly-ubiquitination.,Study Data
6,PMID33767426_MOESM11_ESM.xlsx,Statistical source data - Truncated STING proteins and STING phosphorylation mutants. Heatmap data for Figure 6D,Study Data
7,PMID33767426_MOESM12_ESM.pdf,Immunoblot images - Phospho-proteomic profiling of DAPK3 targets. qRT-PCR data for Figure 7H and i,Study Data
8,PMID33767426_MOESM13_ESM.xlsx,Statistical source data for Fig 7 - DAPK3 phosphorylation of LMO7 and STING K63-linked poly-ubiquitination.,Study Data
9,PMID33767426_MOESM14_ESM.pdf,Immunoblot images - DAPK3 phosphorylation of LMO7 and STING K63-linked poly-ubiquitination.,Study Data
10,PMID33767426_MOESM15_ESM.xlsx,Statistical source data - induction of IFNB1/Ifnb1 and Interferon-stimulated genes in mouse tumor cell lines (MCA205 and B16F10). qRT-PCR data fir Figure 1c through 1o,Study Data
11,PMID33767426_MOESM16_ESM.pdf,Immunoblot images - DAPK3 depletion in HUVEC and MCA205 and STING protein levels.,Study Data
12,PMID33767426_MOESM17_ESM.xlsx,"Statistical source data - B16F10 tumors apoptosis, and tumor size. Tumor volume data for shRNA-transduced cells in mice for Figure 3.",Study Data
13,PMID33767426_MOESM18_ESM.pdf,Immunoblot images - DAPK3 in STING K48-linked poly-ubiquitination.,Study Data
14,PMID33767426_MOESM19_ESM.xlsx,Statistical source data - DAPK3 in STING K48-linked poly-ubiquitination. Immunoblot data for Figure 5.,Study Data
15,PMID33767426_MOESM20_ESM.pdf,Immunoblot images - molecular mechanisms of DAPK3 regulation of STING.,Study Data
16,PMID33767426_MOESM22_ESM.pdf,Immunoblot images - Immunoprecipitation of lysates from HEK293T transfected with Flag-tagged human STING.,Study Data
17,PMID33767426_MOESM24_ESM.pdf,Immunoblot images - in vitro kinase assays of DAPK3 and TBK1.,Study Data
18,PMID33767426_MOESM25_ESM.xlsx,Statistical source data - LMO7 phosphorylation on S863 in STING ubiquitination. qRT-PCR data of IFNB1 and CXCL10 in THP1-Blue ISG and HUVEC for extended Figure (I and J).,Study Data
19,PMID33767426_MOESM26_ESM.pdf,Immunoblot images - TBK1 phosphorylation of LMO7 at other sites within amino acids 810–910 and amino acids 360–460 regions.,Study Data
20,PMID33767426_v1.3.4.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors.,Study Summary Description
21,PMID33767426_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template.,JSON Summary Description
22,PMID33767426_publication.pdf,Publication in PDF format. ,Study Data
23,PMID34133941_mmc1.pdf,"Lung pathology scores for the individual pathology parameters, average score per group.",Study Data
24,PMID34133941_Table S1.xlsx,"Lung pathology scores table for the individual pathology parameters, average score per group. Extracted from PMID34133941_mmc1.pdf.",Study Data
25,SeroNet Data Sets PMID 34133941.xlsx,"Subject level data for ELISA, ELISPOT, BAL and NS sgRNA data and Neutralizing Antibody titer assays.",Study Data
26,PMID34133941_v1.3.4.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors.,Study Summary Description
27,PMID34133941_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template.,JSON Summary Description
28,PMID34133941_publication.pdf,Publication in PDF format. ,Study Data
29,PMID34688034_Variants.xlsx,Absolute neutralization titers of sera from participants seronegative prior to vaccination and titers of sera from participants that received two doses of the Pfizer or the Moderna vaccine. Binding activity of post-mRNA vaccination sera against RBD and spike proteins of different Variants of Interest (VoIs) and Variants of Concern (VoCs). Demographics data of the participants.,Study Data
30,PMID34688034_mmc1.pdf,"Supplementary tables with Information on viral isolates used in neutralization assays,information about the spike and RBD proteins used for the binding assays, and participant demographics.",Study Data
31,PMID34688034_v1.3.6.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors.,Study Summary Description
32,PMID34688034_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template.,JSON Summary Description
33,PMID34688034_publication.pdf,Publication in PDF format. ,Study Data
34,PMID35764089_13_Results_CVS_JMT.xlsx,"Subject level demographics, Spike, RBD, and Nucleocapsid IgG responses, B cell responses, AIM, and ICS data.",Study Data
35,PMID35764089_mmc1.pdf,"Tables with reagents used for AIM, ICS, and B cell assays.",Study Data
36,PMID35764089_v1.3.4.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,Study Summary Description
37,PMID35764089_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template,JSON Summary Description
38,PMID35764089_publication.pdf,Publication in PDF format. ,Study Data
39,PMID35605428_1-s2.0-S235239642200247X-mmc1.docx,"Supplemental Figure 1. Presentation of female and male Anti-spike, Anti-Receptor binding domain (RBD) levels and Neutralisation titres over time.",Study Data
40,PMID35605428_deid_data_35605428.csv,"Subject level demographics and anti-spike, anti-Receptor binding domain and Neutralisation titre data, pre- and post-boost BNT162b2 mRNA vaccination in healthcare workers and nursing home residents.",Study Data
41,PMID35605428_v1.3.2.xlsm,Completed curation of the study into SeroNet Registry Template which includes SeroNet Study Descriptors,Study Summary Description
42,PMID35605428_JSON.json,JSON format of completed curation of the study into SeroNet Registry Template,JSON Summary Description
43,PMID35605428_publication.pdf,Publication in PDF format. ,Study Data
44,PMID34594341_Data_Figure1.xlsx,"Subject level demographics, clinical data, and ELISA results for COVID-convalescent plasma (CCP) donors",Demographics
45,PMID34594341_Data_Figure2_SupplementaryFigure2_4_5.xlsx,Subject level ELISA and PCR results for COVID-convalescent plasma (CCP) donors and recipients,Study Data
46,PMID34594341_Data_SupplementaryFigure3.xlsx,Subject level ELISA results for COVID-convalescent plasma (CCP) donors,Study Data
47,PMID34594341_demographics_CCP-treated.xlsx,Cohort level demographics and clinical characteristics of 16 CCP-treated COVID-19 patients.,Demographics
48,PMID34594341_demographics_CCP donor.xlsx,Cohort level non-hospitalized CCP donor demographics and clinical characteristics.,Demographics
49,PMID34594341_Image_5.pdf,"Viral N-antigenemia levels for all samples from COVID-19 patients correlated with RBD-specific IgG titers, RBD- specific IgG Absorbance OD450, N-specific IgG Absorbance OD450, and RBD- ACE2 blocking capacity. Levels of N-antigenemia in collected plasma from COVID-19 patients distinguished patients that received CCP before, during or after seroconversion.",Study Data
50,PMID34594341_Image_1.pdf,"Measurements in three additional COVID-19 patients. Titers of SARS-CoV-2 RBD-specific IgG, IgM, and IgA, RBD-specific IgG titers, RBD-ACE2 blocking activity (in %), as well as levels of N-antigenemia, and RNAemia are shown for three patients for whom available sample timepoints were not suitable to assess whether the patients had seroconverted before CCP transfusion. Timepoint(s) of CCP transfusion are indicated by black arrows.",Study Data
51,PMID34594341_Image_2.pdf,"Titers of SARS-CoV-2 RBD-specific, S1-specific and N-specific IgG, IgM, and IgA antibodies. Titers of SARS-CoV-2 RBD-specific, S1- specific and N-specific IgG, IgM, and IgA antibodies (Absorbance at OD450) plotted versus timepoint post symptom cessation.",Study Data
52,PMID34594341_Image_4.pdf,"SARS-CoV-2 S1/N-specific antibody titers in COVID- 19 patients who received convalescent plasma. Levels of SARS-CoV-2 S1/N- specific IgG, IgM, and IgA antibodies (Absorbance at OD450) are shown for patients who received COVID-convalescent plasma (CCP) before (A), during (B), or after seroconversion (C). (D) Shows three patients for whom available sample timepoints were not suitable to assess if patients already seroconverted before CCP transfusion. Timepoint(s) of CCP transfusion indicated by black arrow.",Study Data
