,Column Name,User Defined ID,Name,Description,Measurement Technique,Study ID,Protocol ID(s)
0,-,PMID33767426_experimentID-01,Flow cytometry,-,Flow Cytometry,PMID33767426_study-01,PMID33767426_protocol-01
1,-,PMID33767426_experimentID-02,Total RNA extraction and RT–qPCR,-,PCR,PMID33767426_study-01,PMID33767426_protocol-01
2,-,PMID33767426_experimentID-03,Immunoprecipitation and immunoblot,-,Western Blot,PMID33767426_study-01,PMID33767426_protocol-01
3,-,PMID33767426_experimentID-04,Microscopy,-,Microscopy,PMID33767426_study-01,PMID33767426_protocol-01
4,-,PMID33767426_experimentID-05,Phospho-proteomics,-,Mass Spectrometry,PMID33767426_study-01,PMID33767426_protocol-01
5,-,PMID33767426_experimentID-06,In vitro kinase assay,-,Chemiluminescent Assay,PMID33767426_study-01,PMID33767426_protocol-01
6,-,PMID34133941_experimentID-01,Elisa,-,ELISA,PMID34133941_study-01,PMID34133941_protocol-01
7,-,PMID34133941_experimentID-02,Pseudovirus neutralization assay,-,Pseudovirus Neutralization Assay,PMID34133941_study-01,PMID34133941_protocol-01
8,-,PMID34133941_experimentID-03,IFN-γ ELISPOT,-,ELISPOT,PMID34133941_study-01,PMID34133941_protocol-01
9,-,PMID34133941_experimentID-04,IL-4 ELISPOT,-,ELISPOT,PMID34133941_study-01,PMID34133941_protocol-01
10,-,PMID34133941_experimentID-05,B cell immunophenotyping,-,Flow Cytometry,PMID34133941_study-01,PMID34133941_protocol-01
11,-,PMID34133941_experimentID-06,Comparative pathology of vaccinated and unvaccinated animals,-,Histopathology,PMID34133941_study-01,PMID34133941_protocol-01
12,-,PMID34688034_experimentID-01,ELISA RBD,-,ELISA,PMID34688034_study-01,PMID34688034_protocol-01
13,-,PMID34688034_experimentID-02,ELISA Spike,-,ELISA,PMID34688034_study-01,PMID34688034_protocol-01
14,-,PMID34688034_experimentID-03,Live SARS-CoV-2 microneutralization assay,-,Neutralizing Antibody Titer Assay,PMID34688034_study-01,PMID34688034_protocol-01
15,-,PMID35764089_experimentID-01,"SARS-CoV-2 ELISA, pre-vaccination",-,ELISA,PMID35764089_study-01,PMID35764089_protocol-01
16,-,PMID35764089_experimentID-02,"SARS-CoV-2 ELISA, post-vaccination",-,ELISA,PMID35764089_study-01,PMID35764089_protocol-01
17,-,PMID35764089_experimentID-03,"Pseudovirus (PSV) Neutralization Assay, pre-vaccination",-,Pseudovirus Neutralization Assay,PMID35764089_study-01,PMID35764089_protocol-01
18,-,PMID35764089_experimentID-04,"Pseudovirus (PSV) Neutralization Assay, post-vaccination",-,Pseudovirus Neutralization Assay,PMID35764089_study-01,PMID35764089_protocol-01
19,-,PMID35764089_experimentID-05,"Spike megapool (spike MP), pre-vaccination",-,Flow Cytometry,PMID35764089_study-01,PMID35764089_protocol-01
20,-,PMID35764089_experimentID-06,"Spike megapool (spike MP), post-vaccination",-,Flow Cytometry,PMID35764089_study-01,PMID35764089_protocol-01
21,-,PMID35764089_experimentID-07,"Activation-induced markers (AIM) assay, pre-vaccination",-,Cell Mediated Immunoassay,PMID35764089_study-01,PMID35764089_protocol-01
22,-,PMID35764089_experimentID-08,"Activation-induced markers (AIM) assay, post-vaccination",-,Cell Mediated Immunoassay,PMID35764089_study-01,PMID35764089_protocol-01
23,-,PMID35764089_experimentID-09,"Intracellular cytokine staining (ICS), pre-vaccination",-,Flow Cytometry,PMID35764089_study-01,PMID35764089_protocol-01
24,-,PMID35764089_experimentID-010,"Intracellular cytokine staining (ICS), post-vaccination",-,Flow Cytometry,PMID35764089_study-01,PMID35764089_protocol-01
25,-,PMID35764089_experimentID-011,"Detection of SARS-CoV-2-specific memory B cells, pre-vaccination",-,Flow Cytometry,PMID35764089_study-01,PMID35764089_protocol-01
