The validation report is based on ImmPort workspace (workspace_id = 6661).
The validation report was generated on 2022-08-22-13:46:35.
The data package file submitted was /home/immport/data/immport-data-upload-server/webupload_drop_zone/aleliu_20220822_33919___35040666.

File Name	Line Number	Status	Error Message	Description
PMID35040666_protocol.txt		Parsing		Template: protocols.txt, Size:250 bytes
PMID35040666_protocol.txt		Information		Validation Level = Standard
PMID35040666_protocol.txt	3	Stored in:file_info		Size:250 bytes
PMID35040666_protocol-01.txt	4	Stored in:protocols		Size:18238 bytes
PMID35040666_protocol.txt		Parsed		Template: protocols.txt, Size:250 bytes
PMID35040666_reagent.txt		Parsing		Template: reagents.other.txt, Size:739 bytes
PMID35040666_reagent.txt		Information		Validation Level = Standard
PMID35040666_reagent.txt	3	Stored in:file_info		Size:739 bytes
PMID35040666_reagent.txt		Parsed		Template: reagents.other.txt, Size:739 bytes
PMID35040666_treatment.txt		Parsing		Template: treatments.txt, Size:301 bytes
PMID35040666_treatment.txt		Information		Validation Level = Standard
PMID35040666_treatment.txt	3	Stored in:file_info		Size:301 bytes
PMID35040666_treatment.txt		Parsed		Template: treatments.txt, Size:301 bytes
PMID35040666_basic.txt		Parsing		Template: basic_study_design.txt, Size:7561 bytes
PMID35040666_basic.txt		Information		Validation Level = Standard
PMID35040666_basic.txt	3	Stored in:file_info		Size:7561 bytes
PMID35040666_basic.txt	23	Error	Value reported in template does not match preferred vocabulary. See template documentation for preferred vocabulary terms.	The Lookup Table check "lk_research_focus" in field "Research Focus" "Infection Response | Vaccine Response".  The row has ID field(s) "Research Focus" and value "Infection Response | Vaccine Response".
PMID35040666_basic.txt	23	Information		Adding User Defined ID "Infection Response | Vaccine Response:SDY1000056956" for table "study_categorization"
PMID35040666_basic.txt	26	Information		Adding User Defined ID "COVID-19:SDY1000056956" for table "study_2_condition_or_disease"
PMID35040666_basic.txt	64	Error	User defined ID is already in package	The user defined ID field(s) "User Defined ID" with value "PMID35040666_inexcl-03" in the Table inclusion_exclusion.  The row has ID field(s) "User Defined ID" and value "PMID35040666_inexcl-03".
PMID35040666_basic.txt	64	Error	Duplicate data row	The check uses entity "Template File" whose value is "basic_study_design.txt".  The row has ID field(s) "User Defined ID" and value "PMID35040666_inexcl-03".
PMID35040666_basic.txt	67	Information		Adding User Defined ID "PTL1000056935:SDY1000056956" for table "study_2_protocol"
scitranslmed.abm7853_sm.pdf	71	Stored in:study_file		Size:3116004 bytes
PMID35040666_basic.txt	71	Information		Adding User Defined ID "SDY1000056956:scitranslmed.abm7853_sm.pdf" for table "study_file"
PMID35040666_basic.txt	72	Error	File does not exist	The File exists check "compound-type template" in field "File Name" "scitranslmed.abm7853_data_file_s1.xlsx".  The row has ID field(s) "File Name" and value "scitranslmed.abm7853_data_file_s1.xlsx".
PMID35040666_basic.txt	72	Information		Adding User Defined ID "SDY1000056956:scitranslmed.abm7853_data_file_s1.xlsx" for table "study_file"
PMID35040666_basic.txt	73	Error	File does not exist	The File exists check "compound-type template" in field "File Name" "scitranslmed.abm7853_reproducibility_checklist.docx".  The row has ID field(s) "File Name" and value "scitranslmed.abm7853_reproducibility_checklist.docx".
PMID35040666_basic.txt	73	Information		Adding User Defined ID "SDY1000056956:scitranslmed.abm7853_reproducibility_checklist.docx" for table "study_file"
PMID35040666_basic.txt	80	Information		Adding User Defined ID "SDY1000056956:35040666" for table "study_pubmed"
PMID35040666_basic.txt		Failed		Template: basic_study_design.txt, Size:7561 bytes
PMID35040666_subject_organism.txt		Parsing		Template: subjectanimals.txt, Size:1317 bytes
PMID35040666_subject_organism.txt		Information		Validation Level = Standard
PMID35040666_subject_organism.txt	3	Stored in:file_info		Size:1317 bytes
PMID35040666_subject_organism.txt	4	Information		The combined status for subject_id (PMID35040666_organism_subject-01) and table subject has values:  subject_required (yes), subject_user_defined_id (PMID35040666_organism_subject-01), and subject_accession ().
PMID35040666_subject_organism.txt	4	Information		The combined status for arm_or_cohort_id (PMID35040666_organism_subject-05) and table arm_or_cohort has values:  arm_or_cohort_required (no), arm_or_cohort_user_defined_id (PMID35040666_organism_subject-05), and arm_accession (ARM1000056965).
PMID35040666_subject_organism.txt	8	Information		Adding User Defined ID "SUB1000057007:ARM1000056965:unknown:n/a:n/a:COVID-19:DOID:0080600:" for table "immune_exposure"
PMID35040666_subject_organism.txt	5	Information		The combined status for subject_id (PMID35040666_organism_subject-02) and table subject has values:  subject_required (yes), subject_user_defined_id (PMID35040666_organism_subject-02), and subject_accession ().
PMID35040666_subject_organism.txt	5	Information		The combined status for arm_or_cohort_id (PMID35040666_organism_subject-06) and table arm_or_cohort has values:  arm_or_cohort_required (no), arm_or_cohort_user_defined_id (PMID35040666_organism_subject-06), and arm_accession (ARM1000056966).
PMID35040666_subject_organism.txt	8	Information		Adding User Defined ID "SUB1000057012:ARM1000056966:unknown:n/a:n/a:COVID-19:DOID:0080600:" for table "immune_exposure"
PMID35040666_subject_organism.txt	6	Information		The combined status for subject_id (PMID35040666_organism_subject-03) and table subject has values:  subject_required (yes), subject_user_defined_id (PMID35040666_organism_subject-03), and subject_accession ().
PMID35040666_subject_organism.txt	6	Information		The combined status for arm_or_cohort_id (PMID35040666_organism_subject-07) and table arm_or_cohort has values:  arm_or_cohort_required (no), arm_or_cohort_user_defined_id (PMID35040666_organism_subject-07), and arm_accession (ARM1000056967).
PMID35040666_subject_organism.txt	8	Information		Adding User Defined ID "SUB1000057017:ARM1000056967:unknown:n/a:n/a:COVID-19:DOID:0080600:" for table "immune_exposure"
PMID35040666_subject_organism.txt	7	Information		The combined status for subject_id (PMID35040666_organism_subject-04) and table subject has values:  subject_required (yes), subject_user_defined_id (PMID35040666_organism_subject-04), and subject_accession ().
PMID35040666_subject_organism.txt	7	Information		The combined status for arm_or_cohort_id (PMID35040666_organism_subject-08) and table arm_or_cohort has values:  arm_or_cohort_required (no), arm_or_cohort_user_defined_id (PMID35040666_organism_subject-08), and arm_accession (ARM1000056968).
PMID35040666_subject_organism.txt	8	Information		Adding User Defined ID "SUB1000057022:ARM1000056968:unknown:n/a:n/a:COVID-19:DOID:0080600:" for table "immune_exposure"
PMID35040666_subject_organism.txt	8	Information		The combined status for subject_id (PMID35040666_organism_subject-05) and table subject has values:  subject_required (yes), subject_user_defined_id (PMID35040666_organism_subject-05), and subject_accession ().
PMID35040666_subject_organism.txt	8	Information		The combined status for arm_or_cohort_id (PMID35040666_organism_subject-09) and table arm_or_cohort has values:  arm_or_cohort_required (no), arm_or_cohort_user_defined_id (PMID35040666_organism_subject-09), and arm_accession (ARM1000056969).
PMID35040666_subject_organism.txt	8	Information		Adding User Defined ID "SUB1000057027:ARM1000056969:unknown:n/a:n/a:COVID-19:DOID:0080600:" for table "immune_exposure"
PMID35040666_subject_organism.txt		Parsed		Template: subjectanimals.txt, Size:1317 bytes
PMID35040666_subject_human.txt		Parsing		Template: subjecthumans.txt, Size:1268 bytes
PMID35040666_subject_human.txt		Information		Validation Level = Standard
PMID35040666_subject_human.txt	3	Stored in:file_info		Size:1268 bytes
PMID35040666_subject_human.txt	4	Information		The combined status for subject_id (PMID35040666_human_subject-01) and table subject has values:  subject_required (yes), subject_user_defined_id (PMID35040666_human_subject-01), and subject_accession ().
PMID35040666_subject_human.txt	4	Information		The combined status for arm_or_cohort_id (PMID35040666_human_subject-01) and table arm_or_cohort has values:  arm_or_cohort_required (no), arm_or_cohort_user_defined_id (PMID35040666_human_subject-01), and arm_accession (ARM1000056961).
PMID35040666_subject_human.txt	7	Information		Adding User Defined ID "SUB1000057037:ARM1000056961:unknown:n/a:n/a:COVID-19:DOID:0080600:Mild" for table "immune_exposure"
PMID35040666_subject_human.txt	5	Information		The combined status for subject_id (PMID35040666_human_subject-02) and table subject has values:  subject_required (yes), subject_user_defined_id (PMID35040666_human_subject-02), and subject_accession ().
PMID35040666_subject_human.txt	5	Information		The combined status for arm_or_cohort_id (PMID35040666_human_subject-02) and table arm_or_cohort has values:  arm_or_cohort_required (no), arm_or_cohort_user_defined_id (PMID35040666_human_subject-02), and arm_accession (ARM1000056962).
PMID35040666_subject_human.txt	7	Information		Adding User Defined ID "SUB1000057042:ARM1000056962:unknown:n/a:n/a:COVID-19:DOID:0080600:Mild" for table "immune_exposure"
PMID35040666_subject_human.txt	6	Information		The combined status for subject_id (PMID35040666_human_subject-03) and table subject has values:  subject_required (yes), subject_user_defined_id (PMID35040666_human_subject-03), and subject_accession ().
PMID35040666_subject_human.txt	6	Information		The combined status for arm_or_cohort_id (PMID35040666_human_subject-03) and table arm_or_cohort has values:  arm_or_cohort_required (no), arm_or_cohort_user_defined_id (PMID35040666_human_subject-03), and arm_accession (ARM1000056963).
PMID35040666_subject_human.txt	7	Information		Adding User Defined ID "SUB1000057047:ARM1000056963:unknown:n/a:n/a:COVID-19:DOID:0080600:Severe" for table "immune_exposure"
PMID35040666_subject_human.txt	7	Information		The combined status for subject_id (PMID35040666_human_subject-04) and table subject has values:  subject_required (yes), subject_user_defined_id (PMID35040666_human_subject-04), and subject_accession ().
PMID35040666_subject_human.txt	7	Information		The combined status for arm_or_cohort_id (PMID35040666_human_subject-04) and table arm_or_cohort has values:  arm_or_cohort_required (no), arm_or_cohort_user_defined_id (PMID35040666_human_subject-04), and arm_accession (ARM1000056964).
PMID35040666_subject_human.txt	7	Information		Adding User Defined ID "SUB1000057052:ARM1000056964:unknown:Pfizer BioNTech COVID-19 vaccine:VO:0004987:COVID-19:DOID:0080600:n/a" for table "immune_exposure"
PMID35040666_subject_human.txt		Parsed		Template: subjecthumans.txt, Size:1268 bytes
PMID35040666_panel_SCS.txt		Parsing		Template: assessments.txt, Size:1470 bytes
PMID35040666_panel_SCS.txt		Information		Validation Level = Standard
PMID35040666_panel_SCS.txt	3	Stored in:file_info		Size:1470 bytes
PMID35040666_panel_SCS.txt	4	Information		The combined status for subject_id (PMID35040666_human_subject-01) and table subject has values:  subject_required (no), subject_user_defined_id (PMID35040666_human_subject-01), and subject_accession (SUB1000057037).
